cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
51,43.6,51,20408.2,-0.113486,40.0667,12.2487,89.0528,0.360669,-295.759,0.103256,-1.75023,0.0871165,-1.57158,-1.35971,-0.667517,227.203,10588,27.2984,12112.4,19448.5,-3.18087,-1.34352,-4.43285,-2.79035,-2.09815,0.67984,10287.1,21.397,11811.4,0.497413,0.996373,0.00332597,20681.1,11811.1,134463,168618,-0.00235244,0.996159,12.3579,10.2943,89.8293,70.138,1.0528,12.2644,11.735,88.5549,122.192,1.27441,-52.0545 
52,43.42,52,23655.8,-0.111443,45.9683,12.2349,89.3984,-0.0880938,212.897,0.000106804,-0.433633,-1.45164,-0.856606,-0.0378393,1.24154,213.044,12536,24.7122,13385.9,18919.1,-1.77512,-2.79312,-3.53957,-1.37932,-0.099947,0.630798,12253.8,19.1786,13103.7,0.515189,0.997269,0.00268886,23785,15296.2,187785,205772,-0.00269389,1.15784,12.4419,10.5831,90.1266,70.3926,1.14783,12.3991,11.9222,88.9282,122.488,1.19835,-52.0953 
53,43.34,53,22239.7,-0.0411908,43.4742,12.1265,89.2531,-0.0536975,80.5336,462.579,-1.21215,-1.20673,-1.98269,-0.607183,0.5403,210.146,11542.1,25.8971,12969.9,17302.6,-2.53538,-2.52997,-4.62916,-1.93042,-0.782936,0.626917,11263.7,20.4387,12691.6,0.50212,0.996835,0.00295779,22432.3,13716.6,160077,192566,-0.00252343,1.07953,12.3721,10.4262,90.002,69.8079,1.11496,12.3783,11.8457,88.819,121.95,1.18305,-52.1421 
54,43.5,54,21690,-0.452769,42.1425,12.4091,89.2121,2.05439,-3647.16,0.108142,-2.03608,-1.41898,2.71108,-0.417124,0.437049,198.814,10812.7,23.9416,12961.5,260936,-3.28796,-2.67086,0.207318,-1.669,-0.81483,1.02517,10549.3,18.7776,12698.2,0.485614,0.996895,0.00271664,21723.7,12803.5,139381,189655,-0.00234442,1.00127,12.3029,10.6116,90.0067,70.3166,1.09981,12.4644,11.9008,88.7696,122.589,1.23706,-52.2727 
55,43.32,55,23051.1,-0.36074,44.9969,12.3658,89.0407,0.0576545,193.123,499.989,-2.08448,-1.80826,-0.91537,0.763747,-0.616147,208.159,11729.3,17.125,13601.6,18475.8,-3.3952,-3.11898,-3.53682,-0.546978,-1.92687,0.717616,11453.5,11.7183,13325.8,0.494107,0.998213,0.00161727,23180.2,14856.7,166804,215396,-0.0027077,1.10032,12.406,10.4393,89.8275,70.5107,1.18289,12.4298,11.7244,88.5945,122.973,1.23308,-52.4628 
56,43.4,56,22685.4,-0.0735295,44.775,12.125,89.3281,0.215363,-89.2786,467.161,-1.20137,-0.852839,-1.81503,-1.30524,-0.816868,221.249,11996,27.4931,12932.1,18299,-2.59452,-2.24599,-4.60133,-2.69838,-2.21001,0.679355,11702.9,21.7463,12639,0.512719,0.996759,0.00315946,22825.3,14294.1,175435,192157,-0.00252944,1.1348,12.3089,10.4046,90.0286,70.2925,1.11658,12.3541,11.8121,88.7699,122.409,1.25872,-52.1161 
57,43.68,57,23002.6,-0.501975,44.8744,12.4036,89.26,-0.480398,500.097,492.578,-0.690128,-0.315973,-1.90816,0.891383,-0.938022,210.972,11835.1,26.3258,13358.2,25940.1,-2.01856,-1.6444,-4.56502,-0.437049,-2.26645,0.582397,11555.6,20.846,13078.7,0.501005,0.996853,0.00292751,23064.9,14533.1,169022,204684,-0.00236699,1.11238,12.3335,10.3866,89.9693,70.7858,1.15456,12.3712,11.7422,88.7964,123.044,1.17295,-52.2583 
58,43.44,58,23117,-0.0285255,44.2219,12.4466,89.1238,0.0204141,10.495,500,-1.56058,-1.97689,-1.5562,0.181735,0.274929,219.402,12235.1,30.6637,13159,17924.7,-2.94209,-3.35841,-4.31923,-1.19978,-1.10659,0.665852,11944.5,24.9649,12868.3,0.51333,0.996356,0.00356101,23268.6,14344.9,175501,193377,-0.00262253,1.11059,12.5726,10.6362,89.7565,70.0732,1.10199,12.6385,11.9307,88.7078,122.294,1.04865,-52.2206 
59,43.48,59,22087.5,-0.185737,43.1939,12.2171,89.04,0.154739,182.802,3.20764e-08,0.00901655,-1.69055,1.07067,-2.53793,-0.369755,184.885,10780.9,22.1261,13458.8,18099.3,-1.15515,-2.85472,-1.25768,-3.7021,-1.53393,0.880262,10536,17.3239,13213.9,0.47536,0.997131,0.00240925,22164.3,13627,140868,209515,-0.00248777,1.01673,12.2006,10.487,89.8408,71.4802,1.16336,12.447,11.7649,88.6018,124.106,1.23907,-52.6253 
60,43.56,60,22938.6,-0.224773,44.5635,12.3141,89.2389,0.0223273,59.2835,500,-2.37472,0.186289,-1.60336,-1.17773,-0.780444,225.103,11663.6,27.2589,13478.9,17907.1,-3.79213,-1.23113,-4.43819,-2.59514,-2.19786,0.688645,11365.4,21.4121,13180.7,0.494913,0.996714,0.00298357,22964.4,14535,166132,207734,-0.00251927,1.10827,12.2212,10.3979,90.0328,70.9114,1.15307,12.5372,11.7887,88.799,123.278,1.23375,-52.3665 
61,43.36,61,21642.8,-0.061185,41.8868,12.283,88.9373,-0.0553696,56.4587,7.18987e-12,-2.98317,-0.545679,-3.64857,0.342067,1.17669,214.247,10640.8,25.4318,13160.7,16850.3,-4.33223,-1.89474,-6.34668,-1.00699,-0.17237,0.538524,10357,19.8669,12876.9,0.477531,0.996654,0.00283402,21688.6,12914.2,135070,196805,-0.00221775,0.999942,12.2215,10.3698,89.7271,70.9597,1.127,12.395,11.8145,88.4887,123.457,1.23834,-52.4976 
62,43.46,62,22648.9,-0.0292293,44.0657,12.208,89.2327,-0.0468252,50.6727,500,-2.48165,-1.06641,-3.4203,-0.278644,-0.424717,212.774,11942.7,25.1487,12874.7,17589.4,-3.82143,-2.40619,-6.09986,-1.61843,-1.7645,0.611731,11660.9,19.6221,12592.8,0.512733,0.997064,0.00286214,22742.6,14076.1,170809,191272,-0.00261392,1.10671,12.3089,10.6524,89.9809,70.4882,1.10596,12.4932,11.8497,88.7212,122.835,1.25975,-52.3465 
63,43.52,63,16399.6,-0.425237,31.7991,12.6359,89.2439,1.27033,690.987,465.705,-2.21918,-1.54022,-1.65316,0.364724,-2.11324,179.088,7853.41,16.1716,10473.9,41655,-3.34685,-2.66789,-3.9085,-0.762947,-3.24091,0.71936,7616.18,11.5199,10236.7,0.458131,0.99736,0.00206873,16624.5,7327.94,68815,118555,-0.00204136,0.688537,12.54,10.8812,89.7193,70.2178,0.854103,12.6269,12.1886,88.7166,122.71,1.00276,-52.4927 
64,43.3,64,21339.9,-0.49133,41.8229,12.4155,89.13,-1.66489,296.92,162.971,-0.433404,-1.32847,-0.506118,-2.0687,-1.18902,212.259,10965.8,22.2249,12518.4,32995.8,-1.76994,-2.66501,-3.1792,-3.40524,-2.52556,0.765285,10684.6,16.7116,12237.3,0.498039,0.99727,0.00250933,21453.4,12559.7,143574,179272,-0.00228186,1.0254,12.3201,10.4007,89.9312,71.1053,1.07718,12.3413,11.8423,88.7425,123.521,1.18872,-52.4158 
65,43.58,65,23223.4,-0.0247624,44.7783,12.2866,89.1225,0.0240351,-2.6563,500,-1.34499,-1.21078,-1.13917,0.0262039,-1.29363,199.169,11909.6,30.4719,13469.5,17912,-2.59911,-2.46489,-3.64739,-1.22791,-2.54774,0.707906,11645.7,25.2987,13205.7,0.500532,0.996213,0.00351659,23266.7,14504.5,167753,205321,-0.00252846,1.08916,12.4027,10.7095,89.8973,70.9068,1.14183,12.5281,11.8971,88.7371,123.304,1.1602,-52.3974 
66,43.66,66,21968.1,-0.493908,42.763,12.4685,89.4515,3.90969,-734.059,264.744,-1.98773,-2.22472,-1.57812,-1.23381,-1.5674,201.783,11332.4,23.0426,12770.9,110783,-3.2583,-3.4953,-4.11927,-2.50439,-2.83798,0.745963,11065.1,17.8015,12503.6,0.501403,0.997193,0.00261575,22068.3,13286.9,152812,188750,-0.00245308,1.04736,12.4652,10.4938,90.2793,71.7172,1.1059,12.4526,11.7321,88.9904,124.138,1.2889,-52.4205 
67,43.51,67,19399,-0.0168268,37.7758,12.2655,89.0676,-0.000728644,-16.3947,500,-3.05691,-0.982364,-0.654832,0.248663,-1.18408,211.838,9656.67,19.3262,11858,15083.6,-4.3908,-2.31625,-3.3226,-1.08522,-2.51797,0.756279,9376.06,13.8239,11577.4,0.479247,0.997426,0.00219472,19564.2,10424.5,109623,157789,-0.00227623,0.890173,12.2617,10.5993,89.8821,70.6879,1.00039,12.4686,11.9677,88.6237,123.117,1.25836,-52.4295 
68,43.53,68,13861.1,-0.0215551,26.2528,12.8157,89.0708,0.0109981,-0.727796,499.798,-1.55722,-1.20986,-0.382756,-0.19877,-1.18224,137.539,6336.46,18.2669,9342.03,10952.8,-2.42327,-2.07591,-2.11485,-1.06482,-2.04829,0.782583,6154.26,14.6945,9159.83,0.432944,0.995839,0.00294646,14214.9,5267.71,43021,90919,-0.00185069,0.537274,12.9293,10.8228,89.9814,70.0339,0.736128,12.885,12.3172,88.6647,122.346,1.31671,-52.3125 
69,43.53,69,15283.9,-0.00523031,29.0205,12.6222,89.1033,-0.0124174,-0.514924,15.3494,-0.904339,-0.89201,-1.21931,0.0462773,-1.50364,126.386,7117.8,13.811,10014.1,11924.6,-1.70016,-1.68783,-2.81095,-0.749542,-2.29946,0.696046,6950.38,10.5282,9846.67,0.445096,0.997356,0.00196574,15615.5,6373.47,55773.6,106747,-0.00216593,0.608113,12.8238,11.0594,89.9472,70.7361,0.797151,12.9319,12.3172,88.6414,123.568,1.30589,-52.8321 
70,43.53,70,15446.9,-0.0278612,29.7626,12.5236,89.0229,-0.103864,2.71811,500,-0.805904,-2.20971,-3.80628,-1.05954,-2.37832,151.819,7214.34,17.2382,10081.9,12143,-1.76187,-3.16567,-5.7182,-2.0155,-3.33428,0.642512,7013.23,13.2948,9880.84,0.446465,0.996694,0.00247246,15708.4,6440.35,57533.9,106696,-0.00223304,0.618005,12.7705,11.1081,89.8431,70.5074,0.788345,13.0001,12.5238,88.6425,123.155,1.20066,-52.6474 
