cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,43.3959,12,21303,-0.104169,34.3597,15.9907,122.111,0.107266,-20.5871,1.14616e-12,-8.12262,-10.0631,-8.71161,-5.26373,-2.98204,305.778,8921.67,151.963,14088,17957.9,-10.048,-11.9885,-12.5624,-7.18913,-4.90745,0.730972,8492.79,136.078,13659.1,0.477633,0.972725,0.0180211,17781,-0.00201127,0.450021,16.4959,14.9822,123.086,85.9554,0.730608,16.0077,15.2003,119.999,135.909,3.08695,-49.9532 
13,44.4959,13,24673.8,-0.15917,38.2834,16.2249,122.363,0.249031,21.3101,500,-9.57044,-8.89147,-9.63122,-3.4176,-5.48814,357.487,10455.9,161.907,15537.4,20393,-11.8214,-11.1425,-14.1332,-5.6686,-7.73914,0.720161,9954.48,143.336,15036,0.49331,0.975421,0.0172576,20178.9,-0.00169016,0.50424,16.9811,15.2098,123.222,85.3004,0.778265,16.0603,15.6498,120.383,135.506,2.83974,-50.2051 
14,42.4559,14,21585.5,-0.163848,34.3098,16.2143,121.949,-0.254417,229.388,500,-9.68943,-1.62281,-10.4886,-6.29916,-5.40002,283.645,9337.53,123.349,13929.6,20009.5,-11.4755,-3.40884,-14.0607,-8.08519,-7.18606,0.682002,8939.69,108.614,13531.7,0.492782,0.979181,0.0145705,18141.3,-0.00204661,0.475685,16.695,14.6311,122.933,86.3406,0.730677,16.06,15.0624,119.771,136.358,3.16195,-50.0175 
15,43.6359,15,23432.8,-1.01968,37.1792,16.8005,122.154,0.994516,-2.76541,151.137,-8.79001,-10.5249,-16.5395,-6.76508,-1.2372,259.67,9716.69,141.104,15311.6,20423.3,-10.4251,-12.16,-19.8097,-8.40016,-2.87227,0.630879,9352.47,127.615,14947.4,0.479204,0.976678,0.0154837,19516.7,-0.00203667,0.469375,16.9767,15.3081,123.294,85.7243,0.78035,16.0891,15.4091,120.064,136.236,3.22968,-50.512 
16,45.1359,16,21407.6,-0.0398919,33.9605,16.1304,121.881,-0.031372,-45.8889,500,-6.83511,-4.57448,-14.5605,-4.49783,-5.12615,306.009,9287.27,126.549,13858.2,17879.5,-8.76197,-6.50134,-18.4142,-6.42468,-7.053,0.609498,8858.06,110.653,13429,0.492393,0.978607,0.0149517,17989.8,-0.00213529,0.466874,16.8525,14.8137,122.706,85.6744,0.72952,15.9956,15.0348,119.885,135.982,2.82147,-50.3078 
17,46.1359,17,22319.9,-0.0414324,36.5988,15.644,122.032,0.0414763,-6.07288,9.518e-12,-8.27086,-7.60985,-8.71216,-8.4326,-2.55739,392.505,10381.6,154.249,13656.4,18646.7,-10.7424,-10.0814,-13.6552,-10.9041,-5.02889,0.729128,9831.11,133.859,13105.9,0.524519,0.976727,0.0184672,18743.1,-0.00206014,0.523879,16.4019,15.0701,122.818,85.7093,0.703611,15.7996,15.5299,119.837,136.094,2.98169,-50.3843 
18,45.9759,18,20956.3,-0.0849437,32.5899,16.3181,122.29,0.0892689,-24.0013,486.553,-6.07417,-5.99031,-9.00621,-0.43331,-3.97235,305.409,9187.26,152.89,13379.3,17381.8,-7.99726,-7.91339,-12.8524,-2.35639,-5.89543,0.652778,8758.89,137.024,12951,0.49864,0.973352,0.0191173,17565.6,-0.00196706,0.463052,16.7344,14.9709,122.834,85.7413,0.712277,15.8501,14.8917,119.77,135.883,3.0636,-50.1415 
19,45.7159,19,20799.8,-0.122109,33.1379,-16.037,122.484,0.784918,-96.1619,1.31927,-8.63678,-4.62575,-15.5177,-3.0998,-1.51725,238.507,8776.28,126.145,13680.3,19757,-10.1386,-6.12757,-18.5213,-4.60162,-3.01907,0.563261,8441.75,113.755,13345.7,0.481922,0.976961,0.0154589,17516.9,-0.00191073,0.444651,16.6841,14.751,123.297,85.3322,0.711428,15.8409,15.2622,120.164,135.468,3.13283,-50.1354 
20,45.9359,20,19553.7,-0.0472921,32.0164,15.7159,122.106,0.016046,-1.0572,9.95709e-05,-6.71047,-9.73299,-9.77817,-3.45701,-3.77983,296.125,8647.63,121.531,12420.3,16380.3,-8.57509,-11.5976,-13.5074,-5.32163,-5.64445,0.697457,8232.28,106.148,12005,0.502101,0.977933,0.0160268,16395.7,-0.00188593,0.443825,16.563,14.7794,122.84,85.4019,0.667687,15.501,15.1859,119.874,135.473,2.96605,-50.0715 
21,45.7959,21,21139.4,-0.207144,33.4416,16.3979,121.99,0.0169876,20.6049,500,-5.13778,-3.50883,-22.9976,-5.35951,-7.22979,282.856,9010.06,146.672,13905.7,17862.7,-6.91885,-5.2899,-26.5597,-7.14057,-9.01086,0.516392,8613.33,131.978,13509,0.48391,0.973886,0.0176786,17799.4,-0.00212088,0.438822,16.8584,15.3385,122.892,85.3278,0.712788,16.1448,15.2104,119.796,135.428,3.09673,-50.1001 
