cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,43.1518,12,26626.5,-0.10279,58.0169,11.0654,120.689,0.0829543,-43.1114,500,-1.99974,1.91488,-5.66355,-1.99812,-1.14284,62.3335,12428.5,64.2629,16326.2,21014.9,-2.39223,1.52238,-6.44855,-2.39062,-1.53533,0.426508,12341.1,61.0248,16238.8,0.527769,0.991421,0.00687497,23383.4,-0.00253136,1.35559,11.2295,10.0899,120.924,88.6566,1.61504,11.3111,11.3784,119.774,138.709,1.14965,-50.0525 
13,43.4318,13,29541.4,0.00765566,62.7783,11.1733,120.91,-0.119252,50.874,500,-8.88432,-8.82804,-7.93899,-2.00089,-3.3462,63.0411,14222.7,59.8007,17433.1,23031.7,-9.28127,-9.225,-8.7329,-2.39784,-3.74315,0.738381,14134.3,56.5258,17344.7,0.545122,0.99305,0.00596754,25928.7,-0.00258523,1.52306,11.431,10.1006,121.095,88.2193,1.65804,11.4805,11.6663,120.068,138.293,1.02689,-50.0734 
14,43.2118,14,27817.8,-0.733657,60.3681,11.3875,120.569,1.3126,-28.5031,425.276,-5.95205,-4.39718,-6.99059,-0.430134,-3.64893,70.8,13099.2,66.5123,17000,23596.5,-6.39785,-4.84299,-7.88221,-0.875943,-4.09474,0.672852,12999.9,62.8344,16900.6,0.530774,0.991612,0.00680212,24492.3,-0.00283035,1.40132,11.3487,10.1936,120.763,88.6094,1.64288,11.505,11.5385,119.718,138.872,1.04507,-50.2625 
15,43.1918,15,28417.7,-0.644338,61.58,-11.2106,120.754,0.635176,381.197,31.8984,-6.69752,-8.93067,-9.87141,-1.47838,-0.455034,-52.9815,13263.8,41.4732,17255.7,30355.1,-6.36391,-8.59706,-9.20419,-1.14477,-0.121423,0.638077,13338.1,44.2255,17330,0.530922,0.994231,0.00467898,25122.5,-0.00252296,1.42489,11.2175,10.237,121.15,89.1764,1.69483,11.3698,11.3993,119.897,139.38,1.25307,-50.2039 
16,43.4718,16,29753.4,-0.229763,63.1818,11.3141,120.925,0.0285273,187.286,500,-4.71616,-3.83954,-6.39371,-0.415689,-0.0179875,36.5065,13907.6,55.7999,18091.4,23444.4,-4.94604,-4.06941,-6.85346,-0.64556,-0.247859,0.591139,13856.4,53.9034,18040.2,0.530415,0.993238,0.00547402,26123.7,-0.00264899,1.48178,11.4267,10.1141,121.073,89.1248,1.74064,11.554,11.4441,120.004,139.234,1.06842,-50.1089 
17,43.3918,17,27697.2,-0.675743,60.2338,11.2604,120.817,0.911874,145.024,424.612,-5.72736,-6.12736,-7.46086,-3.02771,-0.559538,-53.3031,12653.7,69.3944,17214.5,26384.5,-5.39172,-5.79173,-6.78959,-2.69207,-0.223903,0.674968,12728.4,72.1634,17289.2,0.519844,0.990176,0.00763009,24485.1,-0.00263488,1.38289,11.2644,10.0575,121.114,88.8192,1.70911,11.4307,11.2275,119.933,138.841,1.18156,-50.0219 
18,43.3318,18,28014.8,-0.671247,58.0943,11.7715,120.888,1.35367,-97.1881,141.455,-9.20878,-7.61504,-3.21799,-2.12241,-0.780695,-38.4783,12938.4,66.2933,17294.5,26544.6,-8.96649,-7.37275,-2.73342,-1.88012,-0.538408,0.872812,12992.4,68.2922,17348.4,0.524112,0.990885,0.00719924,24789.3,-0.00261761,1.29512,11.7704,10.4692,121.067,88.0427,1.5326,11.9257,12.0407,120.001,138.286,1.06576,-50.2428 
19,43.2918,19,20800.6,-0.0333822,45.2545,-11.2584,121.172,-0.0450599,29.2058,499.88,-9.66438,-11.5329,-4.2717,1.64717,-3.72994,50.3795,9603.86,32.4685,13447.4,16628.5,-9.9816,-11.8501,-4.90615,1.32994,-4.04717,0.833436,9533.2,29.8514,13376.7,0.51173,0.99455,0.00409401,18629.4,-0.00273958,0.97678,11.7502,10.443,121.264,88.5524,1.25409,11.6975,11.7991,120.401,138.77,0.862456,-50.2176 
20,43.2718,20,26488.9,-0.126135,56.8714,11.2565,120.842,-0.00852542,17.9604,500,-7.95815,-6.96841,-6.98808,-1.4399,1.20788,17.6943,12770,42.172,15906.7,20844.7,-8.06957,-7.07983,-7.21091,-1.55132,1.09646,0.683942,12745.1,41.2528,15881.9,0.541313,0.994368,0.00476203,23544.8,-0.00276433,1.3411,11.5265,10.2584,121.012,88.2523,1.5357,11.5048,11.5705,119.958,138.221,1.05383,-49.9683 
21,43.3518,21,28223.4,0.0191166,60.1307,11.1323,121.011,-0.0616187,-57.1682,497.724,-4.19834,-1.16706,-10.0685,-2.4557,-2.86734,-9.8514,13343,57.1294,16912,21905.5,-4.13631,-1.10503,-9.94448,-2.39367,-2.80531,0.512162,13356.8,57.6411,16925.8,0.537144,0.992504,0.00623422,24866.3,-0.00240226,1.41525,11.3562,10.2303,121.232,88.3131,1.61978,11.4794,11.5528,120.168,138.296,1.06477,-49.9832 
