cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,43.0478,12,24066.6,-0.817803,50.3471,12.2252,118.75,0.0945282,-517.926,459.58,-3.32113,-1.75282,-1.75078,-3.44358,-1.48277,105.084,11393.1,57.1722,15269.2,21630.4,-3.98281,-2.4145,-3.07414,-4.10526,-2.14446,0.804458,11245.7,51.7133,15121.8,0.463732,0.992017,0.00626017,24250.5,-0.00271594,1.04437,12.1544,10.8989,119.264,88.3889,1.28513,12.2151,12.3772,117.469,138.537,1.79557,-50.1477 
13,43.1578,13,17458.4,-0.791468,36.9049,12.7077,118.938,0.446764,-147.451,14.9476,-2.60126,-5.6223,-3.05664,-2.37583,-4.9042,126.261,8009.1,48.0469,12138.4,17411.2,-3.39629,-6.41733,-4.6467,-3.17086,-5.69923,0.800831,7832,41.4879,11961.3,0.43226,0.990815,0.0063488,18118.7,-0.00302995,0.661723,12.8704,11.7225,119.529,88.5294,0.952822,12.6323,12.976,117.69,139.213,1.83925,-50.6831 
14,43.1678,14,17171.9,-0.239446,34.8719,12.6287,118.983,-0.0840463,252.499,500,-8.64712,-6.41142,-8.93306,-1.91744,-7.54419,110.324,8191.79,56.4168,11549.6,15026.9,-9.3418,-7.10611,-10.3224,-2.61212,-8.23888,0.725623,8037.05,50.6857,11394.8,0.450593,0.989084,0.00812733,17836.6,-0.00262953,0.668141,12.7712,11.7725,119.393,88.1124,0.877592,12.7397,13.103,117.756,138.525,1.63748,-50.4122 
15,42.9078,15,26502,-0.0995974,53.745,12.1228,119.445,0.724136,-428.337,5.07671e-08,-4.31902,-2.41143,-3.04549,-2.95397,-1.33939,93.1748,13025.4,88.1411,16188.7,31306.9,-4.90572,-2.99813,-4.21888,-3.54067,-1.92608,0.760147,12894.7,83.3009,16058,0.482865,0.988821,0.00946547,26704.6,-0.00287551,1.17871,12.3816,10.9577,119.891,87.7895,1.37678,12.2626,12.1298,118.282,137.786,1.60838,-49.9967 
16,43.1778,16,18044.1,-0.227618,36.2739,12.8783,119.318,-2.08643,1378.47,7.776e-05,-4.34459,-4.86769,-0.28125,-0.0743111,-2.61125,118.813,8493.46,77.684,12145.1,108833,-5.09272,-5.61582,-1.77751,-0.822442,-3.35938,0.893357,8326.81,71.5119,11978.5,0.446998,0.985193,0.0108778,18628.3,-0.00292387,0.658498,13.3818,11.9871,119.893,88.5178,0.918728,12.8699,13.2018,118.014,139.077,1.87921,-50.5588 
17,43.2178,17,22341.4,-0.121313,46.5774,11.9755,119.053,0.0740201,3.6575,82.8642,-3.39605,-4.51714,-0.984826,-1.89155,-3.75344,99.068,10310.1,58.2782,14507.4,18166.7,-4.01986,-5.14095,-2.23244,-2.51535,-4.37725,0.877915,10171.2,53.1318,14368.4,0.45149,0.990941,0.00676569,22528,-0.00267902,0.894836,12.3605,11.3674,119.557,88.2377,1.17871,12.4636,12.6104,117.804,138.524,1.75307,-50.2862 
18,43.3078,18,28608.2,-0.11155,57.6424,11.9835,119.274,-0.0190026,113.552,485.491,-9.44891,-6.51844,-4.84534,1.12099,-5.17575,113.391,13425.1,88.3902,17632.9,22556.7,-10.1629,-7.23243,-6.27333,0.406997,-5.88974,0.784802,13266,82.4998,17473.9,0.468871,0.989234,0.00862217,28293.6,-0.00259549,1.21181,12.1254,11.1488,119.858,88.4319,1.39777,12.4027,12.8525,118.067,138.726,1.79102,-50.294 
19,43.2778,19,28382.5,-0.0917497,56.8926,12.308,119.235,0.0765388,-138.986,499.995,-6.61463,-2.16557,-4.98638,-1.00106,-1.89133,93.0486,13341.3,75.0499,17510.1,23141.1,-7.20053,-2.75147,-6.15819,-1.58697,-2.47723,0.694752,13210.8,70.2162,17379.6,0.46918,0.990784,0.00738742,28157.2,-0.00264247,1.11774,12.5583,11.5577,119.564,88.6727,1.36743,12.5551,12.9473,118.106,139.09,1.45875,-50.4175 
20,43.4578,20,28037.8,-0.844054,57.1198,12.3379,119.255,0.946416,969.711,51.6757,-2.35885,-6.07655,0.946532,-2.55778,-0.879403,156.06,13751.4,85.9103,16844.5,52817.4,-3.34152,-7.05922,-1.0188,-3.54045,-1.86207,0.939436,13532.5,77.8033,16625.6,0.486247,0.990039,0.00854687,27830.6,-0.00272315,1.19587,12.4405,11.3189,119.695,88.9281,1.38707,12.224,12.5633,117.953,138.89,1.74194,-49.9616 
21,43.1878,21,21446.7,0.0711464,41.7211,-12.7567,119.392,-0.0767315,3.84531,0.000310008,-2.92057,-4.51528,-7.59244,0.407036,-0.883838,112.161,9589.51,81.7969,14110.6,17335.3,-3.62682,-5.22153,-9.00494,-0.299211,-1.59008,0.543882,9432.2,75.9704,13953.3,0.440099,0.986101,0.00992999,21432,-0.002657,0.744879,13.1622,12.1735,119.899,88.4793,1.02197,13.0718,13.5016,118.065,138.93,1.8344,-50.4506 
22,43.1978,22,20504.1,-0.651809,42.0001,-12.588,119.346,0.684544,-546.493,473.266,-5.35903,-2.42591,-1.26928,-0.254226,-3.89249,181.252,9852.13,67.2256,13257.2,29389,-6.50032,-3.5672,-3.55187,-1.39552,-5.03379,0.822838,9597.91,57.8099,13003,0.461871,0.989569,0.00812327,20780.5,-0.00295709,0.802291,12.8849,11.7894,119.514,88.8562,1.00134,12.9187,13.1773,117.746,139.207,1.76785,-50.3506 
23,43.1078,23,24598.2,-0.0950859,50.5906,12.1766,119.209,0.110002,-24.1114,500,-3.52772,-6.02431,-3.61959,-0.904487,-0.253521,144.155,11574.4,63.5631,15688,20139.8,-4.43543,-6.93202,-5.435,-1.8122,-1.16123,0.72517,11372.2,56.0745,15485.8,0.4606,0.991445,0.0066261,24690,-0.00283045,0.985901,12.6329,11.395,119.664,88.6507,1.26767,12.3252,12.7255,118.05,139.144,1.61427,-50.493 
24,43.0678,24,29904.5,-0.00625309,58.3221,12.3871,118.815,-0.0857477,73.5369,442.615,-1.72702,-7.30485,-4.02708,-0.248911,-1.05155,128.185,13956.9,90.9285,18221.3,23723,-2.53416,-8.11199,-5.64136,-1.05606,-1.85869,0.706214,13777.1,84.2696,18041.5,0.470324,0.989409,0.00853082,29292.9,-0.00242002,1.19923,12.4613,11.359,119.177,88.1398,1.43211,12.5687,12.7964,117.64,138.318,1.53775,-50.1783 
25,43.1178,25,26175.8,-0.798493,52.4494,12.5669,118.928,1.47407,-416.305,472.541,-6.77485,-4.3034,-2.82804,4.86936,-2.75034,81.6112,12167.3,86.418,16490,41433.5,-7.28874,-4.81729,-3.85581,4.35548,-3.26422,0.740709,12052.8,82.1785,16375.5,0.461161,0.988209,0.00915969,26135.8,-0.00277476,1.06675,12.6562,11.1264,119.3,88.3955,1.33724,12.5267,12.4822,117.719,138.646,1.58104,-50.25 
26,43.2578,26,26545.7,-0.0155347,52.651,12.2832,119.153,-0.0554437,11.6509,499.995,-6.42113,-6.73026,-0.238328,2.73571,-0.612068,85.1139,12537.4,70.7584,16476.7,21074.1,-6.95707,-7.2662,-1.31021,2.19977,-1.14801,0.909527,12418,66.3369,16357.3,0.468864,0.990738,0.00741522,26485.4,-0.00281604,1.10185,12.4786,11.255,119.703,88.988,1.34008,12.5114,12.5051,117.958,139.148,1.74492,-50.1602 
27,43.1378,27,21022.4,0.00572599,43.2954,-12.1352,119.35,0.127011,-172.329,500,-7.71189,-4.1185,-6.84312,-0.547854,1.19209,62.4145,9377.23,56.8465,14226.1,17816,-8.1049,-4.51151,-7.62914,-0.940861,0.799082,0.62579,9289.69,53.6042,14138.6,0.433109,0.990003,0.00693563,21448.9,-0.00277191,0.816696,12.5317,11.2403,119.727,88.8592,1.14253,12.449,12.7308,118.209,139.464,1.51805,-50.6044 
28,43.3678,28,27068.5,-0.199464,54.2201,12.1632,118.807,-0.0752877,29.4417,0.29952,-6.73474,-7.29883,-7.99056,-2.42374,-1.88155,50.3424,12668.1,68.0618,16911.1,21540.8,-7.05173,-7.61582,-8.62454,-2.74073,-2.19854,0.694505,12597.5,65.4466,16840.5,0.465189,0.99099,0.00710801,27080.3,-0.00261815,1.1502,12.4572,10.8054,119.298,88.7087,1.43348,12.1661,12.228,117.677,138.863,1.62089,-50.1546 
29,43.5578,29,26187.3,-0.0457863,53.1553,12.0089,119.059,-0.0795981,25.1826,500,-4.35309,-7.11691,-8.74084,-2.44856,0.494822,72.234,12672.4,65.5786,15829.6,20845.3,-4.80793,-7.57175,-9.65052,-2.9034,0.0399832,0.612329,12571.1,61.8262,15728.2,0.481699,0.991467,0.00718908,26097.4,-0.00257143,1.15329,12.301,10.9704,119.473,88.4593,1.32651,12.2081,12.4116,117.986,138.805,1.48756,-50.3456 
30,43.3478,30,23946.8,-0.098894,49.0861,11.883,118.953,-0.00898001,12.5356,1.21514e-10,-4.07588,-11.5172,-7.31395,-1.06361,-1.77873,60.9791,11656.4,63.1324,14653.5,18991.7,-4.45985,-11.9012,-8.08188,-1.44758,-2.1627,0.711909,11570.9,59.9646,14568,0.480132,0.991012,0.0075254,24099.3,-0.00250681,1.0739,12.0882,10.9584,119.464,89.0775,1.26893,12.0282,12.1874,117.778,139.396,1.68547,-50.3183 
31,43.0778,31,24560,-0.740291,49.9542,12.3599,119.134,0.320917,1042.76,0.574325,-6.01177,-6.27521,-3.68094,-1.42896,-3.34442,98.4824,11685.5,62.6003,15287.4,30993,-6.63189,-6.89532,-4.92117,-2.04908,-3.96454,0.798824,11547.3,57.4843,15149.3,0.469868,0.991363,0.00694139,24575.7,-0.0024524,1.03339,12.3838,11.0899,119.659,88.9321,1.26385,12.3149,12.4075,118.018,139.362,1.64121,-50.4302 
32,42.9578,32,27541.4,-0.0174872,54.4285,12.3481,119.056,-0.0401573,-37.9454,0.0341984,-2.85186,-11.8457,-5.40104,-0.447896,-2.55572,118.982,12804.7,79.852,17168.6,21928.3,-3.60105,-12.5948,-6.89943,-1.19709,-3.30491,0.749997,12637.8,73.6712,17001.8,0.463615,0.989902,0.00791891,27259.4,-0.00253219,1.11024,12.4285,11.2775,119.44,88.8701,1.3951,12.408,12.5396,117.748,139.04,1.69186,-50.1698 
33,43.2478,33,24564.4,-0.690306,49.8779,12.2671,119.183,0.880639,533.377,4.12648,-6.4447,-11.6645,1.96148,1.53783,0.660992,65.8538,11538.4,64.2081,15309.9,35208.7,-6.85936,-12.0792,1.13215,1.12317,0.246328,1.06888,11446.1,60.7871,15217.5,0.466556,0.990792,0.00730463,24533.1,-0.00241954,1.02985,12.2316,11.1597,119.667,88.7379,1.2569,12.311,12.5409,118,139.185,1.6663,-50.4475 
34,43.3278,34,25574.4,-0.0984839,52.3838,11.9861,119.241,0.600007,-259.641,500,-11.714,-8.40486,-9.93653,-0.121238,-4.37671,106.25,11900.6,67.8408,16067.1,25510.9,-12.383,-9.07389,-11.2746,-0.790264,-5.04574,0.707666,11751.6,62.3213,15918.1,0.461912,0.990805,0.00716044,25441.1,-0.00245363,1.06089,12.2443,11.1087,119.771,89.0125,1.34222,12.1219,12.4879,118.095,139.403,1.67559,-50.3904 
35,42.8078,35,25636.7,-0.340792,52.2414,12.1206,118.986,-3.5098,1332.82,0.00112356,-0.960071,-3.20841,0.377313,-3.28676,0.698807,21.1951,12302,54.1611,15646.4,172895,-1.09353,-3.34186,0.110393,-3.42022,0.565347,1.01538,12272.3,53.0601,15616.7,0.477472,0.992491,0.00621989,25702.7,-0.00258851,1.1295,12.2183,10.9742,119.53,88.9653,1.32289,12.2782,12.2312,117.838,139.151,1.6928,-50.1858 
36,43.2678,36,25848.1,-0.415972,53.0402,12.1976,119.063,1.09656,-582.921,0.000203627,-7.05982,-7.26875,-3.48683,-4.73589,-5.36825,92.3174,12329.9,56.2177,15810.2,41869.2,-7.64112,-7.85005,-4.64943,-5.31719,-5.94954,0.851964,12200.4,51.422,15680.7,0.474987,0.992678,0.00600458,25685.8,-0.00257758,1.10734,12.2558,11.133,119.445,88.6992,1.30073,12.3506,12.5408,117.858,139.114,1.58713,-50.415 
37,43.2878,37,24423.9,-0.0205749,49.4916,12.0584,119.212,0.0100061,-12.8721,0.90693,-6.24278,-7.64088,-2.41879,0.0915757,-3.18204,49.3358,11961.9,58.0613,14910.1,19431.7,-6.55344,-7.95154,-3.0401,-0.219079,-3.49269,0.856983,11892.7,55.4984,14840.9,0.482347,0.9919,0.00684155,24655.8,-0.00273249,1.09576,12.347,10.8995,119.617,88.9821,1.26925,12.3039,12.153,118.122,139.148,1.49473,-50.1658 
38,42.8578,38,23717.2,-0.0201478,49.451,11.7897,119.05,-0.0796629,-148.83,500,-4.15626,-6.57181,-2.48879,2.08861,-0.752307,86.0295,11457.9,63.7636,14649.7,19364.9,-4.69797,-7.11351,-3.5722,1.54691,-1.29401,0.763912,11337.2,59.2946,14529.1,0.47571,0.99093,0.00746172,23832.2,-0.00258495,1.06184,12.0854,10.9381,119.601,89.2132,1.25702,11.9464,12.3979,117.874,139.704,1.72733,-50.4907 
39,43.5078,39,27902.1,-0.0390107,55.904,12.1255,119.236,0.0267403,-25.1381,500,-3.24947,-3.08495,-2.6342,0.0158128,-0.383158,154.602,13242.7,71.3264,17061.4,22088.7,-4.22296,-4.05844,-4.58117,-0.957672,-1.35664,0.698148,13025.9,63.2951,16844.5,0.473458,0.991568,0.00687432,27512.2,-0.00248116,1.17003,12.3764,11.1563,119.558,89.1117,1.3953,12.2629,12.556,118.015,139.245,1.54307,-50.1337 
40,43.2278,40,22114,-0.391732,45.8163,-12.1849,118.921,0.224801,-111.492,499.939,-4.28427,-4.49297,-8.56163,-1.50793,-1.28176,109.833,10141.2,48.0777,14589.1,18989.3,-4.97586,-5.18456,-9.9448,-2.19951,-1.97335,0.59038,9987.14,42.3721,14435.1,0.445828,0.99263,0.00537816,22401.3,-0.0027612,0.885984,12.4486,11.1804,119.545,89.7154,1.20567,12.2942,12.5505,117.801,140.413,1.74402,-50.698 
41,43.1478,41,18414.9,-0.843011,39.3012,12.6103,119.434,1.4054,-1371.03,209.66,-3.54411,-3.81885,-5.67662,-1.36972,-0.40287,93.7824,8689.29,47.8381,12497.1,78858.5,-4.13463,-4.40937,-6.85766,-1.96025,-0.993393,0.626393,8557.75,42.9663,12365.6,0.445899,0.99129,0.00636,19192.1,-0.00311616,0.743985,12.7149,11.3831,119.901,88.5344,1.00741,12.6146,12.6895,118.169,138.892,1.73122,-50.3573 
42,43.2978,42,25248.3,-0.784248,51.9473,12.2695,118.871,1.20001,-633.102,458.619,-3.98699,-4.96412,-4.11459,0.729071,-2.43808,105.553,12071.6,66.9044,15695.2,45480.1,-4.65163,-5.62876,-5.44387,0.0644294,-3.10272,0.709854,11923.5,61.4211,15547.1,0.471396,0.991066,0.00722491,25294.1,-0.00271007,1.09921,12.3878,10.8497,119.364,88.5752,1.34348,12.0739,12.2869,117.724,138.855,1.63971,-50.2803 
43,43.4078,43,27843.6,-0.497098,56.8453,12.2282,119.087,0.223137,3152.27,0.00523111,-9.90943,-7.77588,-3.77238,2.29331,-5.1635,92.9861,13132.7,89.3412,17192.6,45525.9,-10.4949,-8.36138,-4.94339,1.7078,-5.749,0.822441,13002.3,84.5107,17062.2,0.469807,0.988753,0.00904162,27675.8,-0.00279041,1.168,12.4581,11.1398,119.477,88.5761,1.37543,12.3939,12.7806,117.987,138.96,1.49011,-50.384 
44,43.0578,44,28278.1,0.0337519,56.8378,12.1292,119.187,-0.0742712,-9.80982,17.0675,-7.59351,-8.04867,-4.66993,-0.667569,-3.19428,131.414,13312.1,79.1713,17626,22466,-8.42099,-8.87615,-6.32488,-1.49505,-4.02176,0.78294,13127.8,72.3446,17441.7,0.466722,0.990448,0.00758273,28127.6,-0.00289267,1.18081,12.3593,11.1548,119.591,88.884,1.46196,12.4281,12.3238,117.992,139.163,1.5994,-50.2789 
45,43.3378,45,26083.4,0.0251426,53.7869,11.8712,119.134,-0.0985338,20.1761,500,-8.01072,-6.58342,-4.59318,2.81726,-0.416084,76.0354,12474.4,60.3521,16048.5,20850.5,-8.48949,-7.0622,-5.55073,2.33848,-0.894859,0.717647,12367.7,56.4022,15941.9,0.474264,0.992082,0.00647515,26077.7,-0.00269645,1.13593,12.1822,11.0412,119.604,88.6501,1.35036,12.152,12.4501,118.025,138.78,1.57874,-50.1301 
46,43.3178,46,25508.7,-0.117438,52.7623,11.8698,118.715,7.1134,176.236,0.000161205,-5.66309,-8.22375,-1.97587,1.20904,-2.04614,80.9228,12060.3,56.5644,15876.3,61197.6,-6.17264,-8.7333,-2.99496,0.69949,-2.55569,0.848411,11946.8,52.3606,15762.8,0.468451,0.992388,0.00608186,25502.8,-0.00263195,1.12039,12.0824,10.8805,119.098,88.8116,1.362,12.0478,12.3019,117.689,139.237,1.40912,-50.4254 
47,43.2078,47,21677.3,-0.780399,44.3058,12.625,118.84,0.358515,281.215,199.881,-2.97827,-3.91576,-3.09394,-2.75034,-0.49839,86.3095,9802,59.2359,14290.9,21491.1,-3.52174,-4.45923,-4.18087,-3.2938,-1.04186,0.746575,9680.95,54.7523,14169.8,0.442719,0.9902,0.00706759,21867,-0.00256068,0.837597,12.769,11.1618,119.157,89.339,1.14491,12.6843,12.5206,117.692,139.877,1.46504,-50.5377 
48,43.0278,48,25593.9,0.0712611,52.5053,11.9881,118.684,-0.109098,-4.02586,3.30165e-11,-7.02864,-5.0834,-14.4944,-3.14846,-5.58934,147.893,12253.6,75.6961,15917.3,20504.6,-7.95988,-6.01464,-16.3569,-4.0797,-6.52058,0.600385,12046.1,68.0134,15709.9,0.47135,0.990216,0.00791199,25556.6,-0.00278111,1.1188,12.1797,10.9883,119.101,88.5177,1.33445,12.2212,12.4187,117.581,138.848,1.51982,-50.3307 
49,43.0978,49,24755.6,-0.331471,50.3078,12.0869,118.973,-0.298308,583.997,1.6139,-6.46198,-0.366413,-4.38756,-5.22636,2.54886,105.593,11601.9,64.3906,15451.9,25465.6,-7.12688,-1.03131,-5.71734,-5.89125,1.88396,0.680288,11453.8,58.9053,15303.8,0.465316,0.99108,0.00704047,24615,-0.00239631,1.0388,12.1915,11.1323,119.448,89.2592,1.28177,12.3035,12.4073,117.888,139.921,1.55992,-50.6614 
