cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,44.76,12,21700.4,-0.507689,49.0601,11.3495,120.665,0.291221,116.854,500,-7.83713,-5.01445,-8.5391,-5.20966,-5.06836,119.732,1197.9,-12.2242,23077.3,19233.7,-8.59105,-5.76837,-10.0469,-5.96358,-5.82228,0.722401,1029.96,-18.444,22909.4,0.0496798,1.03235,-0.00148526,20732.1,-0.00513185,0.0330214,50.0553,20.3371,128.439,85.8251,2.39309,11.6192,10.9414,120.145,136.931,8.29388,-51.106 
13,44.785,13,21379,-0.824295,49.2734,-11.3217,120.69,1.48098,-693.274,189.968,-1.94456,-7.40104,-5.8146,-5.45431,-2.78839,175.103,2414.8,-3.51616,21563.7,51583.6,-3.04713,-8.50362,-8.01975,-6.55688,-3.89096,0.732838,2169.21,-12.6124,21318.1,0.1058,1.01028,-0.00109103,20502.8,-0.00345258,0.209671,11.161,10.7404,121.357,88.4364,2.27126,11.5391,10.8668,120.18,136.937,1.17733,-48.5009 
14,44.835,14,23325.1,-0.385885,52.7705,11.2441,120.696,0.318206,57.613,500,-7.88289,-6.99152,-4.89375,-12.7624,-10.3181,216.696,3529.23,7.23146,22362.4,19912.6,-9.24736,-8.356,-7.6227,-14.1269,-11.6826,0.850639,3225.29,-4.02545,22058.5,0.145312,1.00219,-0.000336279,22195.6,-0.00338596,0.366998,10.8659,10.1032,121.071,88.3438,2.24104,11.6549,11.2014,120.053,137.155,1.01739,-48.8113 
15,44.8,15,22055.3,0.229283,49.7264,11.1613,120.692,0.273386,-537.416,7.03703e-12,-10.8014,-3.46035,-6.19889,-5.33723,-8.09969,225.009,3083.55,10.5822,21715.5,22850.2,-12.2182,-4.87718,-9.03254,-6.75405,-9.51651,0.786961,2767.95,-1.1066,21399.9,0.130737,1.0007,-9.52653e-05,21171.9,-0.00363973,0.297892,10.7981,10.6461,121.048,89.2513,2.22471,11.686,11.023,120.136,137.839,0.911683,-48.5876 
16,44.82,16,21621.8,-0.0177097,48.9809,11.1418,120.905,0.0507555,-23.727,1.09496e-11,-7.86534,-0.415234,-12.2539,-5.70745,0.645616,179.808,3312.96,-5.87359,20829.6,17804.7,-8.99754,-1.54743,-14.5183,-6.83965,-0.486584,0.55176,3060.76,-15.2142,20577.4,0.147454,1.00878,-0.00136385,20757.4,-0.00343162,0.34304,10.8926,10.0447,121.116,88.8925,2.15628,11.6277,10.9716,120.32,137.75,0.795203,-48.8578 
17,44.825,17,21090.6,-0.282453,49.256,11.0142,120.684,-0.134989,535.507,7.64431e-13,-7.60032,-9.21865,-6.24574,-9.76914,-3.61365,241.601,3617.03,3.86557,20287.9,20013.9,-9.12161,-10.7399,-9.28834,-11.2904,-5.13494,0.796198,3278.16,-8.68513,19949,0.160424,1.00466,-0.000802635,20434.3,-0.00342813,0.390865,10.4488,9.88878,120.984,88.6688,2.13928,11.3984,10.8953,120.147,137.631,0.83638,-48.9625 
18,44.805,18,18789.1,-0.92984,45.5231,11.2816,120.503,1.57259,263.775,456.191,-8.53666,-5.61908,-4.84097,-10.9454,-4.91994,152.337,3031.93,-2.23262,18649.3,30222,-9.49589,-6.57831,-6.75942,-11.9046,-5.87917,0.833583,2818.26,-10.1462,18435.6,0.150928,1.00634,-0.00101485,18672.9,-0.0037594,0.304889,10.8918,10.0255,120.675,89.0026,2.0124,11.4779,10.7872,119.967,137.815,0.707641,-48.812 
19,44.78,19,21405.7,-0.984997,50.3269,-11.4584,120.676,1.15123,-219.159,374.852,-5.55896,-11.8441,-7.99852,-2.90189,-1.68954,202.533,1862.04,-5.80552,22544.1,26985.6,-6.83426,-13.1194,-10.5491,-4.17718,-2.96483,0.719773,1577.97,-16.3267,22260,0.0761508,1.01844,-0.00135293,20721.6,-0.00406361,0.137714,12.4002,12.2333,121.799,89.2557,2.321,11.6265,11.0377,120.162,137.287,1.63704,-48.0309 
20,44.845,20,20791.2,-0.0959147,48.8997,-11.0348,120.486,0.00724143,64.9395,2.48077e-11,-7.98563,-2.63294,-6.52425,-5.05529,-4.76217,234.644,2974.59,-4.9598,20857.3,17581,-9.46312,-4.11043,-9.47923,-6.53279,-6.23967,0.735403,2645.48,-17.1491,20528.2,0.130321,1.01147,-0.00154125,20299.7,-0.0039421,0.295381,10.411,10.4873,121.095,88.9299,2.22298,11.5225,10.8251,119.989,137.752,1.1054,-48.8219 
21,44.845,21,22843.3,-0.151968,52.1702,11.1954,120.632,0.275495,-118.403,1.96575e-07,-5.26045,-4.19661,-8.71974,-5.03145,-6.00913,213.832,3225.46,-5.79632,22503.1,20075.1,-6.6069,-5.54306,-11.4126,-6.3779,-7.35557,0.693999,2925.54,-16.9045,22203.2,0.132857,1.01022,-0.00140447,22020.3,-0.00368887,0.317378,10.9021,10.2489,120.981,89.287,2.32532,11.6088,10.9542,120.182,137.939,0.799096,-48.6523 
22,44.845,22,20807.3,-0.0596709,48.6204,-10.9446,120.578,-0.013452,20.4983,500,-7.08098,0.475956,-4.66925,1.34611,-1.08432,184.511,2988.73,4.30562,20616.2,17331.5,-8.2428,-0.68586,-6.99288,0.184298,-2.24613,0.611147,2729.94,-5.27936,20357.4,0.134896,1.0034,-0.000477949,20237.3,-0.00356137,0.295417,10.527,10.6323,121.105,88.9031,2.17433,11.4047,10.9436,120.029,137.723,1.07559,-48.8203 
23,44.845,23,21514,-0.901474,49.856,-11.4278,120.991,0.752956,-65.0401,268.653,-12.2316,-1.4977,-13.1024,-3.94984,1.86774,245.213,3017.23,8.6391,21330.3,20141.2,-13.7757,-3.04174,-16.1905,-5.49388,0.323698,0.575922,2673.3,-4.09924,20986.4,0.12901,1.00269,-0.000359945,20721.6,-0.00369376,0.297357,10.8856,10.3809,121.242,88.425,2.19179,11.6608,11.0077,120.467,136.943,0.77439,-48.5182 
24,44.845,24,21982.9,0.0300566,49.9079,11.185,120.536,-0.00694639,-59.0774,5.29415e-11,-11.0727,-2.35153,-4.81141,-9.39655,-3.18269,199.606,3196.17,2.73342,21565,18185.3,-12.3295,-3.60839,-7.32514,-10.6534,-4.43956,0.809023,2916.2,-7.63572,21285,0.137419,1.0046,-0.000661269,21221.3,-0.00359218,0.321272,10.6176,10.4182,120.862,88.9097,2.21967,11.6421,10.9798,120.012,137.403,0.849467,-48.4928 
