cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,44.84,0.05,0,28527.8,-0.0991641,60.8898,11.7259,120.561,0.146255,-18.8613,4.68224e-12,-5.74208,-1.40624,-6.97387,-0.777189,-1.67524,169.379,2382.48,-58.7285,28744.5,23332.4,-6.80862,-2.47278,-9.10694,-1.84372,-2.74178,0.603595,2144.91,-67.5274,28506.9,0.0804516,1.05831,-0.00438271,26660.9,-0.00468378,0.362293,9.57357,9.62099,121.661,86.9597,2.70115,12.5067,11.286,119.869,136.274,1.79246,-49.3147 
1,44.79,0.05,1,31048.9,-0.967378,64.3447,12.1864,120.5,1.41785,-221.138,442.813,-9.31888,-0.217273,0.0663412,-0.33438,0.705815,160.641,3235.33,-31.095,30360,35732.9,-10.3304,-1.22878,-1.95668,-1.34589,-0.305697,0.870995,3010.01,-39.44,30134.7,0.10406,1.02347,-0.00241676,28925.8,-0.00440349,0.416234,10.1784,10.0651,121.548,87.0647,2.69692,12.7529,11.6011,119.848,136.616,1.69949,-49.5517 
2,44.77,0.05,2,29807.1,-0.135536,59.6708,12.34,120.418,0.162224,-52.4096,500,-0.852282,-0.188995,-2.8674,-3.61908,-1.49911,116.987,1561.1,-52.8883,30768.5,24247.1,-1.58891,-0.925629,-4.34066,-4.35571,-2.23574,0.677194,1397.01,-58.9656,30604.4,0.050403,1.07976,-0.00356182,27716.8,-0.00446923,0.205092,10.6806,10.2578,122.098,87.3029,2.65397,13.0102,11.7255,119.771,136.488,2.32755,-49.1851 
3,44.85,0.05,3,31507.6,-0.0955666,64.3919,12.0891,120.164,0.0677242,4.18576,500,-3.03355,-1.39628,-3.29282,-3.4527,-2.78828,147.499,1567.05,-55.4833,32570.1,25350,-3.96231,-2.32504,-5.15034,-4.38146,-3.71704,0.73637,1360.17,-63.1456,32363.2,0.0465929,1.08843,-0.00360719,29192.6,-0.00485109,0.234708,10.0478,10.259,122.023,87.9709,2.83184,12.811,11.833,119.555,136.842,2.46824,-48.8715 
4,44.765,0.05,4,28152.5,-0.458784,59.566,11.8683,120.385,0.64475,-146.483,0.867307,-4.1563,1.38595,-8.78081,-1.38371,-1.65085,140.31,1260.63,-68.5967,29339.1,26088.1,-5.0398,0.502461,-10.5478,-2.26721,-2.53434,0.469605,1063.83,-75.8855,29142.3,0.040719,1.14264,-0.0048199,26126.2,-0.00451305,0.215406,9.43106,9.67019,122.083,87.7691,2.74346,12.4721,11.3401,119.788,136.675,2.29406,-48.9057 
5,44.855,0.05,5,30779.5,-0.123789,62.5311,12.0737,120.711,0.274452,-336.523,499.685,0.0391663,-1.82786,-0.702189,-4.40231,-1.68252,77.6886,1393.36,-54.2455,31849.4,27583.8,-0.450018,-2.31705,-1.68056,-4.89149,-2.1717,0.854002,1284.39,-58.2813,31740.4,0.0449384,1.08626,-0.00339393,28581.2,-0.00447893,0.205011,10.1396,9.66175,122.445,87.4707,2.81217,12.7614,11.6839,120.114,136.372,2.33026,-48.9013 
6,44.815,0.05,6,31730.5,-0.970795,64.3373,12.4239,120.491,1.21562,-657.278,499.694,-5.20852,-1.97974,-0.591171,-5.89448,-2.61034,66.8282,3430.84,-44.5505,30671.5,52030.4,-5.62932,-2.40054,-1.43277,-6.31528,-3.03114,0.923826,3337.11,-48.0221,30577.8,0.112611,1.02583,-0.0029014,29634,-0.00439612,0.418362,10.7948,10.2836,121.516,86.9724,2.64331,12.9801,11.7589,119.719,136.292,1.79738,-49.3193 
7,44.795,0.05,7,32647.3,-0.926707,65.8161,12.3714,120.588,1.48555,-471.271,488.15,-4.33824,-1.9167,-4.70654,-3.80408,0.0232502,147.493,3566.31,-28.0922,31341.8,49296.7,-5.26697,-2.84542,-6.56399,-4.7328,-0.905475,0.676884,3359.44,-35.7542,31134.9,0.111478,1.01898,-0.00211989,30135.5,-0.00404983,0.434843,10.4671,10.3117,121.81,88.0218,2.66614,12.923,11.8819,119.877,137.637,1.93352,-49.6155 
8,44.83,0.05,8,31337.2,0.050993,63.1331,12.0491,120.517,-0.159043,38.1496,51.694,-2.9969,-3.13679,-6.40937,-2.30954,0.218558,155.534,3138.59,-38.9965,30390.7,24960.7,-3.97625,-4.11615,-8.36809,-3.2889,-0.7608,0.592003,2920.44,-47.0762,30172.5,0.101162,1.02903,-0.0028824,28868.8,-0.00420432,0.396945,10.6516,10.1743,121.494,87.774,2.69737,12.7716,11.5935,119.992,137.29,1.50146,-49.516 
9,44.81,0.05,9,33921.1,-0.304951,67.3377,12.1558,120.75,1.03677,-537.838,465.045,-5.48893,-8.49386,-5.81209,-1.09621,-3.46107,115.52,3893.72,-40.2238,32189.9,44798.5,-6.21633,-9.22126,-7.26689,-1.82362,-4.18847,0.746944,3731.69,-46.2249,32027.8,0.119316,1.02216,-0.00266575,31275.6,-0.00408311,0.462416,10.8972,10.2657,121.497,87.0259,2.70748,13.0798,11.8787,120.002,136.731,1.49458,-49.7051 
