,filename,time,B,e_B,A,x0,sigma,C,e_A,e_x0,e_sigma,e_C
0,2024-03-27_F_e_windowsamples=112.dat,109.8,202.06356374060408,0.011869637266045174,0.08696388786292786,44.811045547097606,0.1730689312077366,0.018934216871071677,0.007853919036026096,0.001854311278457227,0.016228605191166177,0.008493042821404471
1,2024-03-27_F_e_windowsamples=120.dat,117.8,202.09934360165482,0.0076967569893895416,0.10313302931957373,44.816634986829015,0.21986799853638697,-0.004987492668080157,0.015810488392707118,0.0012022896234136862,0.02613550527230858,0.016489286756325112
2,2024-03-27_F_e_windowsamples=128.dat,125.8,202.15226790827734,0.009706340844360284,0.08504546254641417,44.82490158940206,0.17791890648977238,0.016622806336109724,0.008409849478756934,0.001515956182473883,0.01729171603005148,0.009110195311034373
3,2024-03-27_F_e_windowsamples=136.dat,133.8,202.19756737295276,0.009456189828398465,0.10084967313871007,44.831976175098156,0.21172840612596866,0.001064107377477746,0.015572879325072357,0.0014766871006524267,0.02649444604439582,0.016353537472708863
4,2024-03-27_F_e_windowsamples=144.dat,141.8,202.18809049474729,0.013936613573548584,0.08891737384473652,44.83049621528578,0.1956484792632336,0.012753491362296556,0.01617273390154891,0.002176401310103828,0.03131777892014924,0.017212297524127892
5,2024-03-27_F_e_windowsamples=152.dat,149.8,202.11575469926208,0.005996865162785525,0.09258357897204256,44.81919848658148,0.1971136542325844,0.0073457175911987695,0.008040133708507488,0.0009367104141928254,0.01482026548417003,0.008539510295840245
6,2024-03-27_F_e_windowsamples=16.dat,13.8,202.07422536304216,0.018022665873246524,0.08738372653321395,44.81271114159504,0.1934486495912525,0.009518580615993135,0.01826852974701194,0.002815440401590793,0.03639729768858551,0.019494250954379025
7,2024-03-27_F_e_windowsamples=24.dat,21.8,202.12307780046868,0.014596036781284738,0.10891679298905327,44.820342352808616,0.2230323346189297,-0.010187767412122807,0.03568873952938309,0.0022798216819707906,0.0556019062753487,0.03711279111677926
8,2024-03-27_F_e_windowsamples=32.dat,29.8,202.21627945050778,0.010322022989754487,0.07859461697796657,44.83489822940665,0.17362199766288888,0.020272143701110936,0.006243815624055021,0.0016118038836017206,0.014262841959839687,0.006751593325379549
9,2024-03-27_F_e_windowsamples=40.dat,37.8,202.19401619816372,0.01068406487621587,0.08568139729364874,44.83142160964092,0.17517635408846138,0.017287616612772935,0.007937504934842325,0.0016684478614085608,0.01643934299578948,0.008601379361022512
10,2024-03-27_F_e_windowsamples=48.dat,45.8,202.15857201220535,0.011282078166146903,0.08841461274970491,44.82588618227933,0.20318779953036972,0.007727267082402862,0.016273254739905287,0.0017620206018484407,0.03125120718293575,0.01718397108543846
11,2024-03-27_F_e_windowsamples=8.dat,5.8,202.10056688528073,0.010758595324091402,0.0810116523052377,44.816826074514886,0.18646155514661766,0.014614354670958382,0.009915554056624105,0.0016805572446878844,0.02122624819538217,0.010646047239088
