Run           ,B (G)       ,omega (kHz)     ,Amplitude   ,f0 (MHz)     ,Width      ,Offset      ,median    ,lower     ,upper     ,sigma_M    ,sigma_P    ,N_fits      
50us          ,      202.10,      2.5000,    -2268.20,     43.2164,        0.02,    27031.55,       43.22,       43.15,       43.25,        0.07,        0.03,          10
90us          ,      202.10,      2.5000,    -9972.90,     43.2206,        0.00,    27361.74,       43.22,       43.21,       43.24,        0.01,        0.02,          10
130us         ,      202.10,      2.5000,    -5725.47,     43.2303,        0.01,    24482.54,       43.23,       43.22,       43.30,        0.01,        0.07,          10
169us         ,      202.10,      2.5000,    -3560.44,     43.2506,        0.01,    27380.25,       43.25,       43.21,       43.27,        0.04,        0.01,          10
209us         ,      202.10,      2.5000,    -3965.42,     43.2055,        0.02,    26613.08,       43.21,       43.15,       43.26,        0.06,        0.05,          10
249us         ,      202.10,      2.5000,    -3747.80,     43.2252,        0.00,    26700.93,       43.23,       43.15,       43.25,        0.07,        0.02,          10
290us         ,      202.10,      2.5000,    -4959.87,     43.2398,        0.01,    28081.06,       43.24,       43.14,       43.27,        0.10,        0.03,          10
329us         ,      202.10,      2.5000,    -2631.66,     43.2134,        0.01,    26704.40,       43.21,       43.16,       43.25,        0.06,        0.03,          10
369us         ,      202.10,      2.5000,    -4505.53,     43.2640,        0.00,    26193.89,       43.26,       43.20,       43.29,        0.06,        0.02,          10
409us         ,      202.10,      2.5000,    -5603.21,     43.1980,        0.02,    25499.46,       43.20,       43.13,       43.25,        0.07,        0.05,          10
449us         ,      202.10,      2.5000,    -2148.54,     43.1983,        0.01,    23281.86,       43.20,       43.11,       43.27,        0.09,        0.07,          10
489us         ,      202.10,      2.5000,    -4393.10,     43.2330,        0.02,    24443.52,       43.23,       43.20,       43.34,        0.03,        0.11,          10
529us         ,      202.10,      2.5000,    -3952.02,     43.1839,        0.00,    24952.19,       43.18,       43.14,       43.20,        0.05,        0.01,          10
570us         ,      202.10,      2.5000,    -2243.75,     43.2266,       -0.00,    25662.68,       43.23,       43.22,       43.25,        0.01,        0.02,          10
