# VVA	Vpp
1.1	0.007
1.2	0.0132
1.25	0.0248
1.3	0.0424
1.35	0.0648
1.4	0.0926
1.5	0.152
1.6	0.220
1.7	0.288
1.8	0.356
2.0	0.488
2.2	0.605
2.3	0.68
2.4	0.752
2.5	0.808
2.6	0.94
2.7	0.98
2.8	1.06
3.0	1.16
3.2	1.18
3.3	1.245
3.5	1.42
3.7	1.48
3.9	1.58
4.0	1.66
4.2	1.725
4.3	1.78
4.4	1.805
4.5	1.82
4.6	1.885
4.8	1.96
5.0	2.04
5.2	2.16
5.3	2.2
5.5	2.2
5.7	2.34
6.0	2.45
6.3	2.56
6.5	2.62
6.7	2.7
7.0	2.80
7.1	2.86
7.4	2.94
7.5	3.08
8.0	3.16
8.5	3.4
9.0	3.6
9.5	3.8
10.0	4.04
