cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
41,43.203,0.05,41,5069.95,0,5,101,125,0,5,135,-7.65267,-5.19493,-28.4865,-6.63365,-12.2728,376.44,-49.8552,18714,-65.3421,16439.4,-9.10716,-6.64942,-31.3954,-8.08814,-13.7273,0.544779,-71.8544,17064.1,-87.3412,0.406729,-0.00241201,1.00279,-176.664,493.377,571.959,0.648223,26983.8,7.96739e-07,0.666739,113.698,87.0775,24.0652,25.6631,0.937735,526.433,609.859,0.711164 
42,43.138,0.05,42,16827.3,0,5,101,125,0,5,135,-3.65721,-8.59194,-16.6684,-4.94679,-19.7212,371.759,-40.8819,30135.2,-52.2565,16439.4,-5.09361,-10.0283,-19.5412,-6.38319,-21.1576,0.685852,-62.6075,28505.8,-73.982,0.413562,-0.00125661,1.00141,-151.386,516.632,582.174,0.74576,40142.6,9.0953e-07,0.602976,113.281,86.7071,24.3737,25.6305,0.950963,540.017,608.312,0.630159 
43,43.168,0.05,43,9946.93,0,5,101,125,0,5,135,-7.9536,-7.76235,-20.2624,-9.1167,-7.84869,303.98,-37.9253,23644.5,-40.6897,16439.4,-9.12812,-8.93687,-22.6115,-10.2912,-9.02321,0.623085,-55.6899,22312.1,-58.4543,0.442563,-0.00142829,1.00142,-125.835,450.647,533.107,0.64309,32038.5,8.4367e-07,0.580969,113.167,87.4266,23.0118,24.7848,0.928463,481.356,568.832,0.62023 
44,43.278,0.05,44,15980.3,0,5,101,125,0,5,135,-4.46083,-6.13563,-26.0924,-14.5197,-6.12722,368.796,-31.9936,29354.8,-54.071,16439.4,-5.88578,-7.56058,-28.9424,-15.9447,-7.55218,0.560718,-53.5461,27738.4,-75.6234,0.371089,-0.0011043,1.00148,-144.294,471.892,539.782,0.591056,38733.9,8.98764e-07,0.561546,113.092,86.6914,23.7409,25.1399,0.944351,512.342,585.248,0.609262 
45,43.253,0.05,45,13783.6,0,5,101,125,0,5,135,-2.20061,-9.6347,-26.0713,-12.3045,-8.91871,320.253,-25.6413,26317.3,-53.3148,16439.4,-3.438,-10.8721,-28.546,-13.5419,-10.1561,0.571085,-44.3569,24913.6,-72.0303,0.339137,-0.00101842,1.00157,-130.793,459.601,546.798,544.869,33819.8,8.59024e-07,0.583577,113.185,87.5117,23.1628,24.8508,0.932074,487.695,571.866,0.614774 
46,43.188,0.05,46,13713.7,0,5,101,125,0,5,135,-9.61105,-10.4159,-22.4225,-14.5492,-12.8457,366.401,-40.1302,27002.6,-34.906,16439.4,-11.0268,-11.8316,-25.2539,-15.9649,-14.2614,0.677631,-61.5426,25396.7,-56.3185,0.476614,-0.00138664,1.00121,-129.125,531.88,614.165,0.601935,36620.3,8.8211e-07,0.647928,113.029,86.5957,25.1701,26.7865,0.939658,575.886,664.421,0.701241 
47,43.233,0.05,47,12137,0,5,101,125,0,5,135,-4.22497,-7.66642,-14.9253,-10.7619,-8.85247,400.117,-55.7604,26021.2,-27.1406,16439.4,-5.77094,-9.2124,-18.0173,-12.3079,-10.3984,0.67657,-79.1433,24267.5,-50.5235,0.566234,-0.00186707,1.00113,-139.771,515.894,596.305,0.585744,35242.1,8.70901e-07,0.636863,113.393,86.9205,24.8594,26.4649,0.939334,561.755,648.565,0.693077 
48,43.308,0.05,48,15092.3,0,5,101,125,0,5,135,-8.6967,-8.56584,-23.1709,-6.30039,-9.49858,361.706,-41.9038,28912.3,-51.4879,16439.4,-10.0943,-9.9634,-25.9661,-7.69795,-10.8961,0.598159,-63.0419,27326.9,-72.626,0.419739,-0.00132,1.00144,-150.193,522.532,592.746,0.860214,38846.7,8.99636e-07,0.61862,113.15,86.8369,24.3367,25.6756,0.947854,538.38,610.454,0.637242 
49,43.128,0.05,49,18160.3,0,5,101,125,0,5,135,-10.5316,-6.99114,-29.0851,-5.1794,-8.18789,329.189,-39.0096,31543.5,-42.3164,16439.4,-11.8035,-8.26306,-31.6289,-6.45132,-9.45981,0.532163,-58.2474,30100.6,-61.5542,0.440893,-0.00110699,1.00111,-132.112,543.772,639.881,1.70891,42087.6,9.23988e-07,0.638398,112.658,86.825,24.5073,26.3395,0.930442,545.956,642.431,0.640952 
50,43.223,0.05,50,10156.4,0,5,101,125,0,5,135,-7.93133,-6.09035,-21.9327,-11.6861,-7.54745,374.943,-36.1457,23735.1,-41.6374,16439.4,-9.38003,-7.53906,-24.8301,-13.1348,-8.99616,0.611302,-58.0573,22091.7,-63.5491,0.432243,-0.00150398,1.00156,-134.316,532.733,590.884,0.532312,32716.7,8.49581e-07,0.660391,113.367,86.9679,25.5414,26.6531,0.958292,593.001,657.82,0.735151 
51,43.198,0.05,51,11136.8,0,5,101,125,0,5,135,-8.96616,-7.53043,-22.359,-5.55037,-12.7128,334.441,-36.7784,23979.6,-27.7349,16439.4,-10.2584,-8.82264,-24.9435,-6.84258,-14.005,0.615498,-56.3231,22513.7,-47.2796,0.498176,-0.0014316,1.00114,-113.059,559.24,623.535,0.800972,32774.7,8.50083e-07,0.694654,113.198,87.0935,25.2669,26.426,0.956139,580.322,646.657,0.720626 
52,43.243,0.05,52,11944.3,0,5,101,125,0,5,135,-9.64925,-14.3076,-10.5313,-14.2616,-8.86471,364.201,-49.6192,26104.5,-57.0293,16439.4,-11.0564,-15.7148,-13.3457,-15.6688,-10.2719,0.797968,-70.9031,24508.2,-78.3132,0.430031,-0.0016559,1.00174,-164.879,469.311,545.377,0.52341,35143.2,8.70086e-07,0.581456,113.407,87.4133,24.0331,25.6524,0.936877,525.032,609.351,0.650077 
53,43.298,0.05,53,16327.1,0,5,101,125,0,5,135,-10.7279,-5.20206,-22.5936,-9.25097,-2.95623,377.007,-49.3236,29007.3,-43.9456,16439.4,-12.1845,-6.65874,-25.507,-10.7076,-4.41291,0.571101,-71.3558,27354.9,-65.9779,0.474033,-0.00149281,1.00131,-150.529,548.492,673.329,357.929,40808.4,9.14531e-07,0.664508,112.496,87.4385,23.7701,25.2837,0.940134,513.603,591.963,0.602925 
54,43.213,0.05,54,8177.22,0,5,101,125,0,5,135,-9.9454,-7.01094,-19.5384,-10.6474,-13.898,362.257,-34.4671,21933,-28.6013,16439.4,-11.3451,-8.41063,-22.3378,-12.0471,-15.2977,0.678308,-55.6374,20345.3,-49.7716,0.48228,-0.00156511,1.00133,-115.363,523.679,589.409,0.56886,30257.5,8.27738e-07,0.671194,113.91,86.4657,25.1322,26.3874,0.952431,574.152,644.772,0.735061 
55,43.208,0.05,55,2594.1,0,5,101,125,0,5,135,-5.8704,-4.77938,-15.342,-5.10009,-13.2205,333.924,-38.8694,15760.7,-66.8087,16439.4,-7.16061,-6.0696,-17.9224,-6.39031,-14.5107,0.655693,-58.3839,14297.1,-86.3232,0.360457,-0.00233896,1.00329,-161.972,502.769,561.213,0.731227,23139.5,7.56949e-07,0.701749,114.227,87.0405,24.0795,25.2016,0.955476,527.061,588.123,0.735526 
56,43.318,0.05,56,13678.4,0,5,101,125,0,5,135,-6.61025,-11.012,-12.6473,-12.8611,-15.2795,383.172,-49.2438,27454.2,-49.6794,16439.4,-8.09075,-12.4925,-15.6083,-14.3416,-16.76,0.768055,-71.6364,25774.8,-72.072,0.453043,-0.00159071,1.00152,-158.123,488.86,568.885,1.21558,36907,8.84405e-07,0.596284,113.017,87.4686,23.3182,24.9203,0.935713,494.261,575.067,0.602818 
57,43.183,0.05,57,7212.37,0,5,101,125,0,5,135,-4.08497,-0.4606,-23.6774,-6.12803,-6.23227,322.614,-36.8237,20616.7,-21.4394,16439.4,-5.33148,-1.70711,-26.1705,-7.37455,-7.47879,0.45549,-55.6772,19202.7,-40.293,0.53521,-0.00165958,1.00114,-104.029,446.185,512.443,0.626312,28623,8.12556e-07,0.588473,114.078,86.5274,22.9501,24.3554,0.942301,478.778,549.289,0.631123 
