cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
464,43.248,0.65,464,10625.3,0,5,101,125,0,5,135,-9.09664,-12.6577,-23.5145,-7.76142,-7.24512,348.458,-32.4972,22984.1,-33.2264,16439.4,-10.443,-14.004,-26.2072,-9.10779,-8.5915,0.616593,-52.8611,21456.8,-53.5903,0.451151,-0.00140976,1.00136,-117.169,580.451,642.447,0.840416,31871.9,8.42205e-07,0.725076,112.087,86.8617,25.6747,26.7626,0.959352,599.208,663.237,0.748524 
465,43.288,0.65,465,15808.1,0,5,101,125,0,5,135,-7.89073,-8.22848,-14.8004,-11.7314,-13.2858,349.39,-28.8232,28344.9,-51.3774,16439.4,-9.24071,-9.57845,-17.5004,-13.0814,-14.6358,0.726713,-49.2415,26813.5,-71.7958,0.363684,-0.0010505,1.00146,-135.396,584.951,643.771,485.553,38379.5,8.96014e-07,0.684874,111.594,87.1099,25.3757,26.3729,0.962191,585.332,644.061,0.685251 
466,43.268,0.65,466,13045,0,5,101,125,0,5,135,-9.05209,-9.55096,-14.2005,-3.89681,-11.3505,329.019,-30.6586,25359.7,-48.5635,16439.4,-10.3234,-10.8222,-16.743,-5.16807,-12.6218,0.699291,-49.8865,23917.6,-67.7914,0.380128,-0.00119329,1.00154,-131.236,541.955,604.424,0.8797,34547,8.65138e-07,0.661557,111.734,87.0315,24.7596,25.9053,0.955775,557.255,621.426,0.680199 
467,43.158,0.65,467,15232.1,0,5,101,125,0,5,135,-2.27266,-5.53118,-22.146,-7.86876,-10.2758,270.902,-30.9555,27338.6,-50.241,16439.4,-3.31937,-6.57789,-24.2394,-8.91547,-11.3225,0.554215,-46.787,26151.2,-66.0725,0.371108,-0.00102339,1.00137,-126.074,532.971,557.844,0.637071,36481.9,8.80997e-07,0.618919,110.909,86.9209,25.037,25.3857,0.986264,569.811,596.749,0.661892 
468,43.258,0.65,468,11343.8,0,5,101,125,0,5,135,-13.351,-6.58887,-16.1508,-12.8512,-18.3584,283.022,-24.2357,23496,-47.5304,16439.4,-14.4445,-7.68241,-18.3379,-13.9448,-19.452,0.751726,-40.7755,22255.5,-64.0702,0.346554,-0.00104804,1.00157,-117.66,519.915,555.516,0.59977,31846.5,8.41981e-07,0.638281,111.623,87.5712,24.8781,25.4754,0.976554,562.602,600.974,0.690599 
469,43.238,0.65,469,10217.6,0,5,101,125,0,5,135,-4.15867,-10.7275,-16.4287,-8.549,-16.0891,312.929,-25.5068,22323.8,-36.8606,16439.4,-5.36776,-11.9366,-18.8469,-9.7581,-17.2982,0.701825,-43.7944,20952.3,-55.1482,0.398231,-0.00119583,1.00143,-109.972,582.805,638.115,0.890075,30927,8.33799e-07,0.731392,112.024,87.5932,25.6668,26.6076,0.964643,598.838,655.576,0.751459 
470,43.193,0.65,470,14905.1,0,5,101,125,0,5,135,-6.2289,-2.82724,-14.3162,-6.81464,-18.2009,356.59,-6.89352,26517.7,-49.2017,16439.4,-7.60669,-4.20503,-17.0718,-8.19243,-19.5786,0.698669,-27.7326,24954.7,-70.0408,0.248096,-0.000635441,1.00153,-111.782,560.707,610.447,0.947435,35959.1,8.76768e-07,0.667279,111.787,87.0986,25.1167,25.9648,0.96734,573.446,624.283,0.682421 
471,43.148,0.65,471,14553.5,0,5,101,125,0,5,135,-1.15891,-8.19543,-19.8219,-8.59844,-11.0693,287.134,-49.7768,26141.1,-45.6962,16439.4,-2.26834,-9.30486,-22.0407,-9.70787,-12.1787,0.602874,-66.557,24882.6,-62.4763,0.470272,-0.00153082,1.00136,-141.529,562.216,612.641,9.55198e+10,35003.2,8.6893e-07,0.675414,111.395,87.234,24.8697,25.7216,0.96688,562.22,612.644,0.675418 
472,43.178,0.65,472,14164.2,0,5,101,125,0,5,135,-8.11827,-5.73738,-15.5424,-3.23049,-7.02353,289.308,-38.2401,25553,-56.9109,16439.4,-9.2361,-6.85521,-17.7781,-4.34832,-8.14136,0.616513,-55.1473,24284.9,-73.8181,0.383689,-0.00129931,1.00165,-143.729,520.976,568.276,0.65785,34045.8,8.60933e-07,0.632003,111.338,87.2614,24.6904,25.5515,0.9663,554.143,604.567,0.672301 
473,43.228,0.65,473,10012.9,0,5,101,125,0,5,135,-9.11608,-8.5176,-17.9684,-13.7976,-8.46579,323.401,-64.3206,22192.2,-41.9429,16439.4,-10.3656,-9.76716,-20.4675,-15.0471,-9.71535,0.686863,-83.2201,20774.7,-60.8425,0.532673,-0.0022943,1.00159,-156.231,585.981,636.933,1.17409,30906,8.3361e-07,0.732868,111.571,87.4388,25.5447,26.3864,0.968101,593.154,644.722,0.741835 
