cyc,time (ms),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,0.76,0,24593.5,0,5,101,125,0,5,135,-9.54654,-6.40903,-14.3716,-10.1803,-11.24,-7.77513,-22.6282,32158.1,-11.3172,16439.4,-9.5165,-6.37899,-14.3115,-10.1503,-11.21,0.722469,-22.1738,32192.2,-10.8629,0.629773,-0.000393752,1.00018,-35.2092,473.939,539.027,0.561302,42178.6,9.24654e-07,0.546622,109.619,85.3657,23.9166,25.2616,0.946756,519.954,590.929,0.599474 
1,0.26,1,25322.5,0,5,101,125,0,5,135,-9.92909,-9.35442,-7.80146,-7.40216,-7.64675,-18.7603,1.3171,33367.5,-4.70799,16439.4,-9.8566,-9.28193,-7.65649,-7.32967,-7.57426,0.816387,2.41345,33449.7,-3.61164,-1.25667,4.12278e-05,1.00006,-1.92052,466.481,528.687,0.642224,43382.7,9.3337e-07,0.532062,109.829,85.8328,23.407,24.6864,0.948173,498.03,564.322,0.567986 
2,1.76,2,22395.1,0,5,101,125,0,5,135,-7.91193,-1.84521,-7.83862,-10.532,-9.69376,47.9053,-2.7299,30276.1,-5.54489,16439.4,-8.09703,-2.03031,-8.20881,-10.7171,-9.87886,0.789151,-5.52948,30066.1,-8.34448,0.355757,-0.000105103,1.00015,-15.5429,538.39,606.776,1.56275,39671.2,9.05955e-07,0.630893,110.066,85.7359,24.4003,25.6639,0.950763,541.198,609.9,0.634163 
3,2.01,3,22374,0,5,101,125,0,5,135,-8.2814,-4.74491,-14.4256,-9.45248,-7.91081,-36.9146,-9.87258,30356.1,-0.934603,16439.4,-8.13877,-4.60228,-14.1403,-9.30985,-7.76818,0.678332,-7.7153,30517.9,1.22268,1.23483,-0.000144485,0.999978,-6.24808,550.814,620.799,1.83978,40162.7,9.09682e-07,0.642819,109.221,84.6644,24.6556,25.9334,0.950728,552.583,622.776,0.644874 
4,1.51,4,23087.9,0,5,101,125,0,5,135,-7.76421,-5.99365,-17.3445,-12.2082,-10.8976,-42.9789,-16.8658,31363.8,-20.5821,16439.4,-7.59815,-5.82759,-17.0124,-12.0422,-10.7316,0.68029,-14.3541,31552.2,-18.0704,0.398298,-0.000260029,1.00031,-36.0386,475.173,542.747,0.472783,41289.3,9.18109e-07,0.553134,109.563,85.3705,24.5398,25.9691,0.94496,547.403,624.493,0.636829 
5,0.01,5,19246.9,0,5,101,125,0,5,135,-7.99823,-5.20197,-9.43309,-10.2543,-8.3685,67.8736,0.985169,27627.5,-34.4951,16439.4,-8.26048,-5.46422,-9.9576,-10.5166,-8.63075,0.767507,-2.98137,27330.1,-38.4616,0.0606767,-6.23396e-05,1.00076,-49.1353,429.956,489.541,0.621634,36164,8.7843e-07,0.522275,110.271,85.7885,22.5278,23.819,0.945791,461.319,525.361,0.560432 
6,1.26,6,22110.3,0,5,101,125,0,5,135,-6.06324,-4.6841,-6.51652,-11.6156,-11.3988,-69.2331,-4.50407,30296.2,-13.2337,16439.4,-5.79574,-4.41659,-5.98151,-11.3481,-11.1313,0.845332,-0.458088,30599.6,-9.1877,0.0398916,-8.55457e-06,1.00016,-11.4833,519.429,597.403,0.875656,40089.5,9.09129e-07,0.612734,109.473,84.9914,24.2439,25.7538,0.941372,534.282,614.179,0.630097 
7,0.51,7,21529.8,0,5,101,125,0,5,135,-10.4714,-4.81228,-6.49607,-8.29774,-11.0128,-16.2137,-1.63199,30088.6,-27.5756,16439.4,-10.4088,-4.74963,-6.37078,-8.23509,-10.9502,0.843525,-0.684462,30159.7,-26.6281,0.0209712,-1.29685e-05,1.00048,-32.6382,449.738,512.034,0.517684,39170.6,9.02129e-07,0.531938,109.705,85.7137,23.5445,24.8777,0.946407,503.898,573.104,0.595689 
8,1.01,8,21839.6,0,5,101,125,0,5,135,-2.20571,-0.122328,-7.127,-7.09458,-6.59276,-43.9994,8.06802,30066.7,-24.2831,16439.4,-2.03571,0.0476771,-6.78699,-6.92458,-6.42276,0.693207,10.6393,30259.6,-21.7117,-0.690205,0.000200875,1.00039,-15.4147,484.819,563.506,0.629484,39611.9,9.05504e-07,0.57723,110.217,85.6027,23.9115,25.5342,0.93645,519.732,603.749,0.618625 
9,0.76,9,20458.1,0,5,101,125,0,5,135,-5.15372,-3.45861,-5.77335,-7.60478,-13.2898,-84.8197,6.00213,28562,-21.7609,16439.4,-4.82599,-3.13088,-5.1179,-7.27705,-12.962,0.846373,10.959,28933.8,-16.804,-1.19044,0.000216388,1.00032,-9.20582,461.012,523.34,0.579036,36796.2,8.83519e-07,0.555945,110.098,85.5664,23.5078,24.8136,0.947377,502.33,570.152,0.605723 
10,0.26,10,21952.8,0,5,101,125,0,5,135,-2.77389,-4.51212,-11.2394,-6.87444,-6.85346,-85.6663,-4.32402,30492.1,-28.2481,16439.4,-2.44289,-4.18112,-10.5774,-6.54344,-6.52246,0.650534,0.682316,30867.6,-23.2418,-0.0250779,1.2631e-05,1.00041,-27.2078,467.583,532.476,0.695765,40211.7,9.10052e-07,0.548293,110.011,85.6889,23.2844,24.6133,0.946011,492.829,560.984,0.577773 
11,1.76,11,19980.7,0,5,101,125,0,5,135,-3.2461,-0.208422,-2.57468,-4.45942,-4.00432,-85.1798,-3.10872,28854.6,-16.528,16439.4,-2.91698,0.120696,-1.91644,-4.1303,-3.6752,0.846908,1.86919,29227.9,-11.5501,-0.155884,3.65428e-05,1.00021,-11.9909,533.485,605.656,155.451,37751.1,8.91097e-07,0.637895,109.553,85.6018,24.5763,25.749,0.954456,549.031,613.948,0.651538 
12,2.01,12,21547.3,0,5,101,125,0,5,135,-6.98844,-5.95041,-5.88666,-6.40268,-5.56936,-97.6654,-4.13691,30154.4,-28.1338,16439.4,-6.61108,-5.57305,-5.13194,-6.02532,-5.192,0.820143,1.57065,30582.4,-22.4262,-0.0619812,2.93466e-05,1.0004,-25.3408,520.087,590.273,0.607629,39851.7,9.07327e-07,0.610661,110.366,85.3432,24.8558,26.2259,0.947757,561.593,636.904,0.659149 
13,1.51,13,21320,0,5,101,125,0,5,135,-6.42284,-2.42222,-11.7367,-5.69234,-8.25217,-142.472,2.71494,29621.1,-21.5739,16439.4,-5.87236,-1.87173,-10.6357,-5.14186,-7.70169,0.659367,11.041,30245.6,-13.2479,-2.27349,0.000208554,1.00024,-4.85642,523.804,588.982,0.879656,38516.7,8.9708e-07,0.619161,109.914,85.1564,24.3409,25.5719,0.95186,538.565,605.534,0.636586 
14,0.01,14,21274.1,0,5,101,125,0,5,135,-5.07775,0.156283,-12.6257,-11.8419,-7.22884,-41.7908,-3.20633,29827.1,-28.3525,16439.4,-4.91627,0.317754,-12.3028,-11.6804,-7.06737,0.654892,-0.76408,30010.3,-25.9102,0.0239851,-1.45491e-05,1.00047,-31.8564,431.185,482.759,0.553332,38704.7,8.98538e-07,0.507763,109.779,86.0567,22.8511,23.9425,0.954417,474.657,530.823,0.558635 
15,1.26,15,22791.1,0,5,101,125,0,5,135,-5.81281,0.485047,-11.97,-5.52438,-7.27328,-69.9918,5.63022,30874.4,-17.2652,16439.4,-5.54238,0.755481,-11.4292,-5.25395,-7.00285,0.598594,9.72054,31181.1,-13.1749,-1.59634,0.000178108,1.00023,-6.08928,495.051,561.353,0.601501,40234.5,9.10223e-07,0.579155,109.803,85.6125,24.2758,25.5919,0.948571,535.687,606.483,0.626205 
16,0.51,16,22737.9,0,5,101,125,0,5,135,-2.2833,-4.75474,-10.9649,-7.98242,-13.6181,-17.6352,-15.0406,30980,-20.4672,16439.4,-2.21517,-4.6866,-10.8286,-7.91428,-13.55,0.723722,-14.01,31057.2,-19.4366,0.375261,-0.000257839,1.00034,-37.334,479.289,542.643,0.700236,40155.4,9.09627e-07,0.560651,110.062,85.3526,23.5673,24.8428,0.948658,504.876,571.495,0.590521 
17,1.01,17,22247,0,5,101,125,0,5,135,-7.08333,-6.74563,-10.0065,-8.03689,-8.77748,-78.2905,-0.130866,30581.7,-23.8311,16439.4,-6.78083,-6.44313,-9.40153,-7.73439,-8.47498,0.75791,4.44443,30924.8,-19.2558,-0.238147,8.21174e-05,1.00034,-18.6626,471.699,536.429,0.521761,39735.4,9.06444e-07,0.554942,109.673,85.3853,24.0855,25.457,0.946124,527.322,600.105,0.620599 
