cyc,time (ms),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,1.01,0,22793.3,0,5,101,125,0,5,135,-2.9148,-6.15093,-7.63945,-4.57456,-5.87712,-20.2957,-6.13561,31447.6,-24.5271,16439.4,-2.83638,-6.07251,-7.48261,-4.49614,-5.7987,0.719609,-4.94953,31536.6,-23.341,0.150173,-8.96913e-05,1.0004,-32.9588,525.77,577.038,0.649739,41710.8,9.21223e-07,0.59791,110.312,85.2455,24.8305,25.7692,0.963571,560.447,614.914,0.63725 
1,2.51,1,24017.5,0,5,101,125,0,5,135,-7.29648,-6.83067,-7.99445,-3.49222,-7.22619,-78.6808,14.4274,32214.4,-15.5952,16439.4,-6.99247,-6.52667,-7.38643,-3.18821,-6.92219,0.761851,19.0255,32559.3,-10.9971,3.26398,0.000333794,1.00018,5.82893,585.352,673.24,1.07132,42580.6,9.27582e-07,0.67677,109.896,83.934,25.5795,27.1778,0.941189,594.769,683.977,0.687611 
2,4.51,2,18841.2,0,5,101,125,0,5,135,-4.0701,-8.01618,-6.09714,-8.16459,-2.17538,-100.833,4.46385,27644.6,-7.82361,16439.4,-3.6805,-7.62658,-5.31794,-7.77499,-1.78578,0.796915,10.3565,28086.6,-1.93092,1.28822,0.000210662,1.00004,8.03944,618.875,701.794,0.745998,37188.3,8.86646e-07,0.743286,110.507,84.4815,26.692,28.1527,0.948116,647.631,733.925,0.777569 
3,0.01,3,22421.8,0,5,101,125,0,5,135,-1.87519,-8.08431,-4.9497,-9.26354,-6.46823,-241.452,-27.3238,30717.5,-14.8096,16439.4,-0.942269,-7.15139,-3.08386,-8.33062,-5.53531,0.87686,-13.2134,31775.7,-0.699163,0.940295,-0.000237676,1.00001,-14.0524,442.788,502.221,0.511823,40427.9,9.1168e-07,0.517253,110.786,85.1121,23.4015,24.677,0.948311,497.798,563.895,0.581143 
4,6.01,4,19978.9,0,5,101,125,0,5,135,-5.30651,-6.87545,-9.37582,-5.98388,-5.97347,-68.0929,10.0857,27853.5,-11.0469,16439.4,-5.04341,-6.61236,-8.84963,-5.72079,-5.71037,0.7229,14.0651,28151.9,-7.06751,2.51878,0.000285412,1.00014,5.58409,633.963,704.873,0.679459,37721.9,8.90867e-07,0.750368,110.504,84.35,27.1983,28.398,0.957754,672.434,746.772,0.795437 
5,0.51,5,18421.4,0,5,101,125,0,5,135,-3.00964,-7.62262,-14.2536,-7.40767,-10.1437,-46.4043,12.4145,26655.3,-19.8819,16439.4,-2.83034,-7.44332,-13.895,-7.22838,-9.96443,0.664059,15.1264,26858.7,-17.1701,-2.76143,0.000321716,1.00035,-5.47773,480.415,543.828,0.818563,34553,8.65188e-07,0.590784,109.849,85.2445,23.3802,24.643,0.948756,496.891,562.341,0.61097 
6,7.01,6,19111.4,0,5,101,125,0,5,135,-7.08075,-4.45749,-12.4144,-14.4259,-10.1318,-121.403,15.746,26749.7,8.60081,16439.4,-6.61167,-3.98841,-11.4763,-13.9568,-9.66269,0.748856,22.8408,27281.8,15.6956,0.548062,0.00047818,0.999688,41.6755,649.228,725.601,0.688149,35771.3,8.75239e-07,0.784189,110.313,84.7164,27.4944,28.7981,0.954729,687.154,767.964,0.829986 
7,2.01,7,21493.5,0,5,101,125,0,5,135,-5.08891,-3.81099,-9.18303,-6.68281,-8.33657,-89.9154,8.18252,29697.7,-8.63436,16439.4,-4.74149,-3.46357,-8.4882,-6.33539,-7.98915,0.726344,13.4372,30091.8,-3.3797,1.4323,0.0002551,1.00006,9.38153,565.254,654.603,1.71007,40128.6,9.09424e-07,0.668874,109.783,84.7278,24.9866,26.641,0.937903,567.52,657.222,0.671552 
8,4.01,8,23764.3,0,5,101,125,0,5,135,-5.6434,-7.96886,-5.27007,-4.38726,-6.01108,-78.2647,-13.2461,31373.1,4.03597,16439.4,-5.341,-7.66646,-4.66527,-4.08486,-5.70868,0.830146,-8.67229,31716.1,8.60976,-5.22608,-0.000156273,0.999853,1.65943,602.271,674.572,0.671444,42680.9,9.2831e-07,0.686621,109.88,85.0567,26.5242,27.8061,0.953898,639.514,715.967,0.728918 
9,5.01,9,19484.3,0,5,101,125,0,5,135,-2.9403,-7.5744,-15.5756,-10.7948,-10.4498,-48.8972,2.99211,26924.6,-0.475207,16439.4,-2.75137,-7.38547,-15.1978,-10.6059,-10.2609,0.671054,5.84966,27138.9,2.38234,0.67172,0.000123153,0.999952,8.70847,597.403,702.964,0.68503,35974.2,8.76891e-07,0.739018,111.098,84.8947,26.3765,28.3391,0.930745,632.411,743.678,0.782071 
10,6.51,10,22269.2,0,5,101,125,0,5,135,-7.12802,-2.02164,-8.90322,-6.40605,-3.6723,-156.792,3.7575,29326.6,-3.85692,16439.4,-6.52221,-1.41582,-7.6916,-5.80023,-3.06648,0.68601,12.9204,30013.9,5.30602,0.669881,0.000245929,0.999904,19.2877,650.001,740.794,0.893433,39047.7,9.01185e-07,0.770002,110.387,84.0579,27.1114,28.6702,0.945631,668.144,761.156,0.791331 
11,1.51,11,20959.6,0,5,101,125,0,5,135,-5.26712,-5.29012,-10.9384,-8.24412,-3.25606,-59.8268,8.01076,28976.8,-10.3742,16439.4,-5.03596,-5.05896,-10.4761,-8.01296,-3.0249,0.668571,11.507,29239,-6.8779,3.53675,0.000224835,1.00013,3.25356,538.61,596.878,0.768059,37955.7,8.92704e-07,0.635144,109.5,84.786,24.8475,25.9119,0.958921,561.215,621.742,0.661702 
12,5.51,12,22166.3,0,5,101,125,0,5,135,-4.6701,-5.07562,-10.2477,-8.67861,-7.1747,-92.9794,16.239,29859.3,-1.61896,16439.4,-4.31085,-4.71637,-9.52919,-8.31936,-6.81545,0.717161,21.6727,30266.8,3.81475,0.825614,0.000409007,0.999932,26.2504,628.045,703.053,0.764002,39960.4,9.08152e-07,0.731697,110.745,84.6817,26.8472,28.139,0.954093,655.186,733.213,0.763201 
13,3.01,13,23961.7,0,5,101,125,0,5,135,-4.88869,-4.02896,-12.1827,-7.37332,-6.93346,-101.366,-2.87499,32047.4,-0.105563,16439.4,-4.49703,-3.6373,-11.3994,-6.98166,-6.5418,0.655161,3.04884,32491.7,5.81826,0.303949,5.36167e-05,0.999903,10.0307,597.359,686.698,0.945562,43246.7,9.32394e-07,0.686912,110.045,84.2842,25.9332,27.5434,0.941538,611.332,702.504,0.702852 
14,3.51,14,20651.4,0,5,101,125,0,5,135,-2.55672,-2.76814,-2.59324,-10.4516,-9.78429,-96.3153,-2.77598,28756.3,-8.90573,16439.4,-2.18458,-2.396,-1.84896,-10.0794,-9.41215,0.92867,2.85269,29178.5,-3.27706,-2.64189,5.58637e-05,1.00006,-1.07979,602.04,692.679,1.00554,38885.3,8.99933e-07,0.717577,110.198,83.9746,25.9858,27.6128,0.941078,613.817,706.048,0.73152 
15,1.01,15,21359.6,0,5,101,125,0,5,135,-3.5563,-1.2375,-9.53517,-6.64246,-11.2097,-135.672,-11.055,29096.4,-3.41924,16439.4,-3.03209,-0.713292,-8.48675,-6.11825,-10.6855,0.707715,-3.12626,29691.1,4.50945,-1.36812,-6.0171e-05,0.999918,2.28508,525.922,570.522,1.00691,38388.5,8.96084e-07,0.611291,110.028,85.737,24.2819,25.0548,0.969154,535.96,581.292,0.622895 
16,2.51,16,19401.7,0,5,101,125,0,5,135,-11.6763,-7.15246,-16.3562,-9.06937,-7.49936,-28.8793,20.4289,27592.8,-11.2331,16439.4,-11.5647,-7.04087,-16.133,-8.95779,-7.38777,0.684188,22.1166,27719.4,-9.54543,2.07432,0.000455721,1.00019,10.6621,583.502,661.304,176.166,36780.3,8.83392e-07,0.703183,109.504,84.6951,25.4148,26.6726,0.952842,587.137,658.786,0.704025 
17,4.51,17,19200.7,0,5,101,125,0,5,135,-3.2441,-4.65101,-15.1622,-10.6472,-10.4632,-8.15658,10.7959,27149.4,-20.9748,16439.4,-3.21259,-4.61949,-15.0992,-10.6156,-10.4316,0.656669,11.2726,27185.2,-20.4981,-0.845965,0.000236892,1.00041,-13.3251,633.049,699.74,1.24241,36646.8,8.82323e-07,0.754326,110.484,84.5887,26.5291,27.6322,0.960079,639.748,707.037,0.762251 
18,0.01,18,25063.8,0,5,101,125,0,5,135,-4.90308,-1.09077,-8.12294,-10.2005,-13.2704,-65.6748,0.302983,32724,-31.9313,16439.4,-4.64933,-0.837012,-7.61543,-9.94678,-13.0167,0.788843,4.14102,33011.8,-28.0933,-0.140037,7.16751e-05,1.00046,-29.5709,454.796,526.157,0.631148,43250.5,9.32421e-07,0.524631,110.436,85.95,23.1394,24.6675,0.938055,486.71,563.458,0.561635 
19,6.01,19,20276.1,0,5,101,125,0,5,135,-7.65352,-5.50817,-6.57194,-3.83176,-11.3212,-64.5122,-9.84725,28046.6,-7.65028,16439.4,-7.40426,-5.25891,-6.07342,-3.5825,-11.0719,0.818112,-6.07716,28329.4,-3.88019,0.566192,-0.000122597,1.00007,-10.7334,646.164,733.087,0.972771,38069.1,8.93592e-07,0.770211,110.87,84.9016,26.9519,28.435,0.947842,660.305,748.719,0.786851 
20,0.51,20,23083.3,0,5,101,125,0,5,135,-1.018,-4.52004,-4.95458,-5.88773,-11.4896,-64.0858,-8.5511,30861.3,-20.6087,16439.4,-0.770382,-4.27242,-4.45935,-5.64011,-11.242,0.830985,-4.80592,31142.2,-16.8635,0.191914,-8.81916e-05,1.00029,-25.0421,469.382,535.576,0.560261,40348.9,9.11086e-07,0.550319,109.895,85.6457,23.8167,25.1961,0.945253,515.619,587.868,0.604289 
21,7.01,21,21509.6,0,5,101,125,0,5,135,-3.66528,-9.63751,-13.6217,-8.28533,-9.24787,-50.3199,9.74686,28732.7,6.46242,16439.4,-3.47085,-9.44309,-13.2328,-8.0909,-9.05344,0.69433,12.6876,28953.3,9.40312,0.529281,0.000250342,0.999824,23.9713,626.983,715.897,0.646624,38277.1,8.95216e-07,0.748385,110.839,83.9852,27.1473,28.738,0.94465,669.913,764.758,0.799546 
22,2.01,22,21559.6,0,5,101,125,0,5,135,-3.34894,-4.84894,-0.394372,-5.97949,-14.6584,-7.59896,-23.0688,29918.3,-13.5483,16439.4,-3.31957,-4.81958,-0.33565,-5.95013,-14.629,0.988447,-22.6247,29951.6,-13.1042,0.589956,-0.000431829,1.00024,-38.3498,565.133,643.399,432.548,39590.7,9.05343e-07,0.666043,109.555,85.1703,25.2782,26.609,0.949987,580.841,655.645,0.681632 
23,4.01,23,24467.1,0,5,101,125,0,5,135,-4.45774,-3.85573,-3.98971,-6.99888,-12.2088,-46.7594,17.4945,32466,4.21449,16439.4,-4.27707,-3.67506,-3.62838,-6.81821,-12.0281,0.880751,20.2271,32670.9,6.94711,0.708142,0.000353656,0.999885,28.5637,597.743,702.108,0.771164,43935,9.37314e-07,0.691153,110.232,84.4089,26.1734,28.1019,0.931376,622.71,731.278,0.719944 
24,5.01,24,20162.7,0,5,101,125,0,5,135,-5.79264,-3.33073,-15.5686,-7.30184,-8.57195,-241.713,4.52678,28359.7,-0.530357,16439.4,-4.85871,-2.3968,-13.7007,-6.3679,-7.63801,0.608127,18.6525,29419.2,13.5954,0.533433,0.000362169,0.999749,34.9669,623.68,717.86,605.235,37713.2,8.90799e-07,0.75114,110.888,84.8703,26.556,28.1691,0.942735,641.048,734.782,0.77045 
25,6.51,25,16472.1,0,5,101,125,0,5,135,-2.80708,-2.56308,-12.0569,-10.471,-9.11412,-74.2992,5.79643,25101.5,-23.0353,16439.4,-2.52001,-2.276,-11.4827,-10.1839,-8.82705,0.674616,10.1385,25427.1,-18.6932,-0.824708,0.000227792,1.0004,-12.2934,627.709,706.322,0.704794,34046.2,8.60937e-07,0.773409,110.669,84.3599,26.9834,28.3544,0.951648,661.85,744.481,0.815333 
26,1.51,26,20741,0,5,101,125,0,5,135,-2.13753,-2.35041,-14.8331,-6.39806,-8.08154,-90.1265,1.30909,29315,-22.0003,16439.4,-1.7893,-2.00218,-14.1366,-6.04983,-7.73331,0.554208,6.57608,29710,-16.7333,-0.486978,0.000126465,1.00031,-13.5039,516.654,575.078,0.543149,39015.7,9.00938e-07,0.605018,109.663,85.422,25.0778,26.2136,0.956669,571.667,636.307,0.669437 
27,5.51,27,18662.4,0,5,101,125,0,5,135,-1.33169,-2.98432,-12.47,-4.90998,-9.9498,-103.859,10.8714,26339.2,-16.1577,16439.4,-0.930396,-2.58303,-11.6674,-4.50869,-9.54851,0.60095,16.941,26794.5,-10.0882,3.50374,0.000361159,1.0002,4.83511,642.436,708.754,0.878036,35496.9,8.72995e-07,0.772949,110.997,84.4754,26.9689,28.0607,0.961091,661.137,729.138,0.795314 
28,3.01,28,22038.8,0,5,101,125,0,5,135,0.18457,-0.273629,-11.949,-8.71957,-13.828,-52.7358,-2.64847,29551.4,0.622466,16439.4,0.388331,-0.069868,-11.5414,-8.5158,-13.6242,0.654065,0.43341,29782.5,3.70435,0.0888385,8.31565e-06,0.999932,4.87863,577.62,658.98,0.767679,39415.9,9.04008e-07,0.682472,109.71,84.6907,25.7311,27.2258,0.945099,601.841,686.394,0.710976 
29,3.51,29,20434.8,0,5,101,125,0,5,135,-5.73989,-1.49253,-9.27594,-10.1607,-8.14417,-109.086,13.951,28211,-6.55134,16439.4,-5.31841,-1.07104,-8.43297,-9.7392,-7.72269,0.73879,20.326,28689.1,-0.176334,1.01052,0.000404688,1,20.1144,591.858,687.264,1.38317,37418.7,8.88474e-07,0.717836,110.133,84.6465,25.6134,27.3459,0.936645,596.35,692.465,0.723277 
30,1.01,30,24119.5,0,5,101,125,0,5,135,0.225034,-3.25677,-10.6412,-8.95009,-10.5856,-56.1335,-15.161,32404.3,-19.4591,16439.4,0.441922,-3.03989,-10.2075,-8.7332,-10.3687,0.68009,-11.8806,32650.4,-16.1787,0.379632,-0.000207971,1.00027,-31.295,511.382,556.841,0.543268,42757.6,9.28865e-07,0.574494,109.71,85.7359,24.9559,25.797,0.967397,566.124,616.239,0.635884 
31,2.51,31,21376.6,0,5,101,125,0,5,135,-4.71152,-1.44817,-7.52264,-10.8599,-6.6913,-73.0887,-10.5924,29238.6,-11.4798,16439.4,-4.42912,-1.16577,-6.95783,-10.5775,-6.4089,0.764454,-6.32112,29558.9,-7.2085,0.422215,-0.000122214,1.00013,-14.9713,590.485,684.853,136.912,39163.3,9.02073e-07,0.704955,109.714,85.2326,25.6466,27.0228,0.949071,597.894,676.197,0.704867 
32,4.51,32,19225.3,0,5,101,125,0,5,135,-0.588833,-7.43952,-12.1712,-9.02799,-12.2582,-89.1827,-3.10589,27214.8,-0.48949,16439.4,-0.244249,-7.09493,-11.482,-8.68341,-11.9136,0.708714,2.10594,27605.7,4.72234,0.270939,4.35903e-05,0.999907,7.77275,619.354,701.366,1.03958,36621.6,8.8212e-07,0.747161,110.286,85.1357,26.3343,27.7609,0.948609,630.389,713.643,0.760356 
33,0.01,33,22121.7,0,5,101,125,0,5,135,-1.28346,-6.40249,-13.7456,-7.7415,-6.51855,8.27665,-2.54235,30653.4,-22.7903,16439.4,-1.31544,-6.43447,-13.8095,-7.77347,-6.55053,0.615156,-3.02604,30617.1,-23.274,0.0977565,-5.64802e-05,1.00041,-30.9548,435.798,497.106,0.53342,39963.1,9.08172e-07,0.512506,109.853,85.8233,23.0696,24.4178,0.944787,483.778,552.11,0.569073 
