cyc,amp (Vpp),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
13,1.4,13,16114.7,0,5,101,125,0,5,135,-4.82234,-5.8206,-11.601,-7.07328,-8.71309,-166.748,16.4831,23471.1,-19.0608,16439.4,-4.17805,-5.17632,-10.3124,-6.429,-8.06881,0.698155,26.2279,24202,-9.31607,1.74288,0.00061888,1.00021,15.0486,560.299,616.676,0.73829,31390.3,8.37941e-07,0.701496,109.757,85.2089,25.4023,26.3957,0.962365,586.557,645.175,0.734142 
14,0.2,14,18032.3,0,5,101,125,0,5,135,-2.89521,-6.88816,-18.6811,-4.63159,-14.1796,-53.4359,-0.226834,25682.6,-9.05311,16439.4,-2.68875,-6.68169,-18.2682,-4.42512,-13.9731,0.603184,2.89596,25916.8,-5.93032,-0.686178,6.38477e-05,1.00012,-4.22042,398.749,463.763,0.473372,33478.2,8.56122e-07,0.502299,109.827,85.5452,22.4544,23.9834,0.936247,458.321,532.642,0.577121 
15,1.6,15,20157.7,0,5,101,125,0,5,135,-7.19796,-2.09847,-8.40366,-2.04417,-6.73636,-157.398,12.9712,27634.7,-3.13222,16439.4,-6.5898,-1.49032,-7.18736,-1.43602,-6.12821,0.685203,22.1695,28324.6,6.06609,0.752815,0.000447053,0.999884,29.4488,572.948,628.519,0.643908,36459.4,8.80816e-07,0.68129,109.786,84.9841,25.9591,26.9298,0.963955,612.557,671.552,0.728162 
16,0.4,16,17302.9,0,5,101,125,0,5,135,-5.55682,-3.98622,-8.52709,-4.54608,-7.47291,-189.951,14.947,24781.2,-7.71531,16439.4,-4.82288,-3.25229,-7.05923,-3.81215,-6.73898,0.725167,26.0477,25613.8,3.38544,0.865078,0.000580772,0.999928,30.1102,447.384,505.97,0.680638,32466.2,8.47408e-07,0.561449,109.804,86.4914,22.8186,24.0333,0.949458,473.306,534.857,0.593741 
17,0.6,17,20469.7,0,5,101,125,0,5,135,-2.62601,-6.02297,-9.88234,-7.69252,-2.92014,-174.376,19.5835,27233.1,-18.6454,16439.4,-1.95225,-5.34921,-8.53483,-7.01877,-2.24639,0.659987,29.774,27997.4,-8.45481,1.5169,0.00060732,1.00016,19.6282,459.593,516.712,0.605898,35261.7,8.71063e-07,0.55945,109.798,86.4393,23.3589,24.5348,0.952072,495.989,557.415,0.603637 
18,2,18,19839.9,0,5,101,125,0,5,135,-6.69961,-3.59485,-9.41927,-6.87672,-9.66557,-213.883,18.0677,27041.9,-29.4864,16439.4,-5.87321,-2.76845,-7.76647,-6.05031,-8.83916,0.751851,30.5671,27979.3,-16.987,3.00189,0.00062389,1.00033,10.1826,633.31,713.22,2.27578,36303.7,8.7956e-07,0.764108,109.866,84.6137,26.4184,27.7765,0.951107,634.424,714.444,0.765435 
19,1.8,19,20961.6,0,5,101,125,0,5,135,-6.68804,-4.35421,-10.7119,-3.03803,-11.2466,-218.309,14.6673,28063.6,-9.37241,16439.4,-5.84454,-3.5107,-9.02492,-2.19453,-10.4031,0.708664,27.4253,29020.5,3.38555,0.870977,0.000539728,0.999937,31.488,593.587,699.204,1.03334,37355.9,8.87977e-07,0.725509,109.575,84.3114,25.7847,27.7224,0.930103,604.352,711.664,0.738552 
20,0.8,20,20106,0,5,101,125,0,5,135,-6.88702,-3.00192,-12.793,-6.00978,-11.2505,-67.2528,29.919,27399.2,-14.0401,16439.4,-6.62717,-2.74207,-12.2733,-5.74992,-10.9906,0.680242,33.8492,27694,-10.1098,1.55862,0.000697947,1.0002,21.7175,479.259,538.756,0.561099,35885.2,8.76167e-07,0.579955,109.425,85.4344,24.0581,25.26,0.952419,526.124,590.852,0.636351 
21,1,21,18988.8,0,5,101,125,0,5,135,-3.51724,-3.80384,-17.3924,-3.78623,-6.67196,-177.435,24.4341,26626.5,-8.32486,16439.4,-2.83167,-3.11827,-16.0213,-3.10066,-5.98639,0.484154,34.8034,27404.2,2.04444,0.934151,0.000725188,0.99996,37.2567,512.274,578.139,0.65085,35222.5,8.7074e-07,0.624998,109.905,85.3907,24.5092,25.7907,0.950311,546.04,615.942,0.66603 
22,1.2,22,18189.3,0,5,101,125,0,5,135,-5.54504,-3.93841,-10.0396,-4.71155,-8.1232,-198.281,16.4402,25455.7,-13.7752,16439.4,-4.77892,-3.17229,-8.50736,-3.94543,-7.35708,0.693551,28.0277,26324.8,-2.18766,1.10334,0.000608024,1.00005,25.4025,495.522,574.437,0.52825,33598.7,8.57148e-07,0.622439,109.274,85.4057,24.6396,26.2951,0.937042,551.865,640.268,0.693492 
