cyc,field,FB,79,VVA,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,202.18,3.351,44.8292,2.026,47.3795,0,14747.4,-0.751415,32.8399,12.3492,121.161,0.329652,162.016,243.324,-7.8238,-4.23776,-8.41783,-2.6694,-0.128346,48.8696,778.112,515.137,16054.7,14940.5,-8.13152,-4.54548,-9.03327,-2.97711,-0.436065,0.640445,723.185,502.213,15999.7,0.0746857,0.45141,0.0546609,9683.04,-0.00281486,0.0942613,11.5104,20.9988,123.257,107,1.34025,12.3878,11.8672,120.601,138.068,2.65613,-31.0681 
1,201.5,2.98,44.7229,2.031,47.2639,1,13779,-0.776781,28.2899,13.693,120.828,0.131196,18.3035,184.352,-6.08991,-7.21607,-6.89381,-2.33977,-4.7437,84.3652,2319.49,556.566,13303.7,12688.5,-6.62113,-7.7473,-7.95626,-2.87099,-5.27493,0.738887,2224.66,534.255,13208.9,0.231214,0.704094,0.0693406,9621.64,-0.00282904,0.113354,16.2307,23.6373,124.434,93.0531,0.936555,13.1607,13.3584,119.898,138.646,4.5361,-45.5924 
2,202,3.253,44.8011,2.027,47.3489,2,15249,-0.0316665,31.2696,-12.7037,121.115,-0.0261132,54.3608,500,-3.16279,-4.9521,-9.36171,-3.65627,-3.38896,79.8837,1471.86,568.239,15587,12977.6,-3.6658,-5.4551,-10.3677,-4.15927,-3.89197,0.623538,1382.08,547.113,15497.2,0.137377,0.590751,0.0610626,10060.5,-0.00333884,0.0849475,13.6838,47.8392,124.393,107,1.1679,12.7648,11.9197,120.211,137.699,4.18191,-30.6986 
3,201.3,2.871,44.6916,2.032,47.2299,3,12965.3,-0.747975,27.4529,13.3482,120.439,-0.006586,522.292,197.142,-3.23381,-1.74743,-10.332,-2.32235,-4.70406,40.9197,1503.39,296.288,13598.3,12041.1,-3.49147,-2.00509,-10.8473,-2.58001,-4.96172,0.545864,1457.4,285.466,13552.3,0.161097,0.744724,0.0373527,9046.7,-0.00286044,0.0830154,15.5212,22.0828,124.717,91.8829,1.00434,13.1578,12.8757,119.587,138.046,5.13087,-46.163 
4,201.4,2.926,44.7073,2.031,47.2469,4,15254.8,-0.834137,30.6086,13.916,120.761,0.357255,-76.2389,290.166,-6.52557,-4.37649,-7.92162,-0.625853,-2.04022,85.9802,2082.69,485.443,15192.3,14752.7,-7.06696,-4.91789,-9.00441,-1.16725,-2.58162,0.636011,1986.05,462.705,15095.6,0.190242,0.710374,0.0534457,10439.6,-0.00303728,0.110143,16.4863,20.9874,124.725,91.4756,1.05177,13.6006,13.3527,119.881,137.75,4.84427,-46.2748 
5,202.4,3.471,44.8636,2.025,47.4168,5,15231,-0.16437,34.523,11.6148,121.278,-0.002903,115.837,500,-1.41544,-5.63452,-10.1579,-3.31318,-2.47349,116.708,299.086,281.687,17171.9,13064.1,-2.15032,-6.3694,-11.6277,-4.04806,-3.20837,0.575691,167.909,250.822,17040.7,0.0172912,0.276691,0.0263982,9710.69,-0.00588056,0.0135764,-55.5439,88.1214,148,70.6046,1.50716,11.963,11.9839,120.858,138.114,27.1425,-67.5098 
6,202.22,3.373,44.8355,2.026,47.3862,6,14715.1,-0.751888,33.0888,12.2368,121.08,0.175123,542.951,345.306,-4.53685,-6.07716,-3.03399,-1.80665,-2.17284,57.4672,548.527,444.674,16241.9,16276.1,-4.8987,-6.43902,-3.7577,-2.16851,-2.53469,0.810204,483.936,429.476,16177.3,0.05071,0.391686,0.0466243,9543.2,-0.00282511,0.0971772,11.1734,17.1902,123.751,107,1.3767,12.2947,11.8688,120.595,137.918,3.15612,-30.9181 
7,202.02,3.264,44.8042,2.027,47.3523,7,13667.2,-0.721056,29.6439,12.773,121.161,1.19448,1087.86,102.864,-4.7914,-9.76954,-5.19662,-5.90548,-5.26428,49.1928,1282.62,415.473,14407.8,54627,-5.10116,-10.0793,-5.81613,-6.21524,-5.57403,0.822602,1227.33,402.463,14352.5,0.132473,0.635382,0.049118,9264.71,-0.00319504,0.0673306,13.7484,48.0192,124.596,107,1.14574,12.4606,11.73,120.415,137.928,4.18056,-30.9285 
8,202.2,3.362,44.8324,2.026,47.3829,8,13446.4,-0.0844948,30.3266,-11.828,120.776,0.0486319,77.3069,2.40823e-09,-5.26834,-0.728014,-10.2675,-5.67957,3.70005,60.8413,557.803,394.05,14999.7,11799.4,-5.65144,-1.11112,-11.0337,-6.06267,3.31695,0.462871,489.42,377.96,14931.3,0.0552957,0.425268,0.0445523,8850.95,-0.00275861,0.0859815,11.548,19.2478,123.623,107,1.31352,12.1508,11.5269,120.257,137.044,3.36597,-30.0439 
9,202.26,3.395,44.8417,2.026,47.393,9,14865.7,-0.0639949,33.192,11.8499,120.969,0.0672474,-35.802,500,-3.2039,-6.64288,-7.50568,-4.72238,-4.24932,59.3285,682.942,464.305,16474.4,12882.3,-3.57747,-7.01646,-8.25284,-5.09596,-4.62289,0.711092,616.259,448.615,16407.7,0.0628542,0.439766,0.0479511,9804.58,-0.00297101,0.0838974,11.8733,20.2889,123.842,107,1.42684,12.2035,11.6709,120.516,138.554,3.32613,-31.5537 
10,202.9,3.744,44.9416,2.021,47.5016,10,13952.1,-0.100539,34.363,-10.8299,121.269,0.0205443,-0.184218,500,-2.84093,-1.38968,-0.997707,-0.187665,-2.83569,98.6761,-241.404,408.796,16376.1,12114.7,-3.46227,-2.01102,-2.24038,-0.809001,-3.45703,0.812985,-352.312,382.699,16265.2,-0.0402357,-1.10995,0.0415418,8756.21,-0.00235483,-0.0289374,9.69088,8.7995,115.851,81.8118,1.60447,11.3404,11.3304,120.932,138.053,-5.08076,-56.2408 
