cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,130,0,19339.6,0,5,101,125,0,5,135,-3.84417,-6.29557,-10.9562,-8.32501,-9.67962,-130.734,7.94803,27882.3,-38.3225,16439.4,-3.33904,-5.79044,-9.94597,-7.81988,-9.17449,0.724258,15.5881,28455.3,-30.6824,-0.734225,0.000312937,1.00059,-21.2307,519.931,580.523,1.08225e+06,36764.9,8.83269e-07,0.621999,109.417,85.693,23.9161,25.0382,0.955183,519.932,580.524,0.621999 
2,30,2,20853.4,0,5,101,125,0,5,135,-3.4906,-3.71203,-5.9289,-2.97185,-5.6085,-95.0944,-6.96441,29216,-1.5857,16439.4,-3.12317,-3.3446,-5.19405,-2.60443,-5.24108,0.733739,-1.40709,29632.8,3.97161,-0.418919,-2.71345e-05,0.999927,3.35885,449.059,499.076,0.536869,37731.6,8.90944e-07,0.531355,109.551,85.3606,23.4057,24.433,0.957954,497.976,552.797,0.588894 
3,90,3,21702.3,0,5,101,125,0,5,135,-9.7361,-5.06195,-12.3425,-6.63412,-1.40938,-144.022,15.8984,30203.7,-10.4888,16439.4,-9.17963,-4.50548,-11.2295,-6.07765,-0.852906,0.647372,24.315,30834.9,-2.07216,1.11392,0.0004504,1.00004,21.8284,491.94,552.212,0.674065,39130.5,9.01821e-07,0.577948,109.634,85.3476,23.9428,25.1251,0.952942,521.091,584.558,0.611998 
4,10,4,22682.1,0,5,101,125,0,5,135,-5.43663,-7.98736,-13.3757,-7.40097,-10.4791,-165.283,24.6041,30879.6,-17.7671,16439.4,-4.79801,-7.34874,-12.0984,-6.76235,-9.8405,0.703818,34.2633,31604,-8.108,1.39658,0.000619127,1.00014,24.5337,426.337,483.435,0.511325,39049,9.01195e-07,0.503764,109.544,86.15,22.9522,24.2036,0.948296,478.866,542.467,0.565555 
5,100,5,21137.2,0,5,101,125,0,5,135,-3.81489,-2.63552,-9.82698,-4.74766,-11.4192,-201.822,16.9317,29115.5,-25.4179,16439.4,-3.03509,-1.85572,-8.26737,-3.96786,-10.6394,0.702242,28.7262,30000.1,-13.6234,2.32072,0.000546864,1.00025,12.3781,449.917,504.704,0.458124,37113.6,8.86053e-07,0.537805,110.014,85.5884,23.9819,25.17,0.952795,522.796,586.651,0.625023 
6,70,6,21151.3,0,5,101,125,0,5,135,-4.90056,-3.1513,-10.9812,-6.75275,-7.06951,-116.192,5.32286,29412.8,0.832707,16439.4,-4.45161,-2.70235,-10.0833,-6.30381,-6.62057,0.665691,12.1131,29922.1,7.62296,0.569743,0.000231273,0.999862,21.2607,494.771,539.731,0.754768,37894.4,8.92223e-07,0.579185,109.705,85.6616,23.8306,24.6554,0.966547,516.221,562.907,0.604175 
7,200,7,21050.6,0,5,101,125,0,5,135,-3.35519,-3.25321,-13.0621,-8.03833,-7.99523,-96.2791,2.29096,29206.6,-20.7331,16439.4,-2.98319,-2.88121,-12.3181,-7.66633,-7.62322,0.631988,7.91751,29628.6,-15.1065,-0.775441,0.000152677,1.00028,-10.2103,473.014,531.98,0.539106,37720,8.90852e-07,0.563091,109.506,86.0355,24.0161,25.2147,0.952464,524.288,588.734,0.623647 
8,80,8,23172.6,0,5,101,125,0,5,135,-1.35156,-2.36473,-8.5965,-6.87231,-6.52333,-224.781,-0.482774,31343.2,-24.7828,16439.4,-0.483055,-1.49622,-6.85949,-6.0038,-5.65482,0.665348,12.6534,32328.4,-11.6467,-9.56712,0.000223608,1.0002,-1.32259,502.597,558.969,0.810389,40158.8,9.09652e-07,0.582678,109.24,85.0846,23.9292,24.9969,0.957286,520.503,578.61,0.603294 
9,150,9,21569,0,5,101,125,0,5,135,-3.42768,-8.41168,-11.9726,-8.07728,-2.05873,-198.317,14.6435,29752.3,-10.5975,16439.4,-2.66142,-7.64542,-10.4401,-7.31102,-1.29248,0.644294,26.2332,30621.5,0.992143,0.956586,0.000489298,0.999982,27.4237,460.75,530.797,0.504513,37888.9,8.9218e-07,0.554299,109.213,85.9608,23.9208,25.4263,0.940789,520.135,598.657,0.625452 
10,110,10,21398.3,0,5,101,125,0,5,135,-7.11733,-6.56621,-6.54824,-9.68076,-7.71422,-110.621,16.3225,29839.4,-28.1725,16439.4,-6.68991,-6.13879,-5.6934,-9.25334,-7.2868,0.83762,22.7872,30324.2,-21.7078,-6.98516,0.000429216,1.00039,-3.26223,485.179,553.382,0.724043,38479.6,8.96792e-07,0.577792,109.874,85.5375,23.6546,25.0259,0.945204,508.625,579.953,0.605624 
