cyc,field,FB,79,VVA,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,202.3,3.417,44.848,2.025,47.3998,11,12924.8,-0.0784157,29.9995,11.5578,121.09,0.0221752,42.2912,2.61754e-12,-3.68202,-4.29328,-7.84275,-0.622717,-3.32304,44.4953,897.432,62.1835,14549.1,11317.6,-3.9622,-4.57346,-8.4031,-0.902892,-3.60322,0.608153,849.382,60.2223,14501,0.091726,0.889619,0.00759211,9259.99,-0.00276704,0.0739461,11.8423,20.5171,124.444,108,1.32654,11.8094,11.4164,120.601,137.71,3.84263,-29.7104 
12,202.7,3.635,44.9104,2.023,47.4677,12,14544.6,-0.0900161,34.6394,-11.0831,121.359,0.0272241,7.71348,500,-5.66376,-3.7013,-5.85368,-3.23671,-3.9614,58.9093,226.937,63.7404,17009.9,12504.4,-6.0347,-4.07224,-6.59555,-3.60764,-4.33234,0.73235,163.321,61.1439,16946.3,0.016345,0.604171,0.00660262,9992.15,-0.00259918,-0.0212485,5.14927,7.74907,116.07,81.458,1.60477,11.6429,11.5167,121.089,138.219,-5.0192,-56.7609 
13,202.1,3.308,44.8167,2.027,47.3659,13,14286.7,-0.718059,31.0587,-12.6135,120.844,0.335921,910.681,367.498,-3.82457,-7.0251,-9.02055,-2.38726,1.64634,65.2212,1379.27,65.0907,15235.1,22711.6,-4.23525,-7.43578,-9.84192,-2.79794,1.23566,0.573486,1308.84,62.2159,15164.6,0.129533,0.923202,0.00750091,10104.3,-0.00320815,0.0674855,13.1419,45.6091,124.289,108,1.22984,12.4862,11.67,120.194,137.461,4.09493,-29.4605 
14,202.14,3.329,44.823,2.026,47.3727,14,16362.4,-0.355547,34.6296,12.3445,121.178,-0.343814,-235.154,499.505,-9.03425,-2.52419,-11.7402,-2.81129,-1.70275,91.6475,1588.37,103.47,17079.7,16548,-9.61133,-3.10127,-12.8943,-3.38837,-2.27983,0.587713,1489.4,99.43,16980.8,0.13136,0.895393,0.0106713,11338.2,-0.0030247,0.0861572,12.5484,40.1468,123.68,108,1.35415,12.446,11.8144,120.482,137.542,3.19829,-29.5425 
15,202.1,3.308,44.8167,2.027,47.3659,15,13951.1,-0.14792,30.0317,12.5158,121.076,0.0676178,13.9503,11.5566,-2.8303,-6.35132,-4.87111,-1.46464,0.87665,107.847,1372.23,71.674,14863.5,12266.6,-3.50938,-7.03041,-6.22928,-2.14373,0.197564,0.667155,1255.77,66.9204,14747,0.128021,0.914697,0.00828997,9809.05,-0.00302132,0.0717479,12.5235,43.2661,124.193,108,1.20081,12.3962,11.6931,120.188,137.157,4.00505,-29.1567 
16,201.6,3.035,44.7386,2.03,47.2809,16,13268.1,-0.767281,26.4433,-14.1894,120.901,0.638759,533.703,88.6913,-3.10865,-3.61029,-4.48762,-1.53159,0.995782,131.653,2777.15,90.2268,12541.7,23312.2,-3.93764,-4.43927,-6.14559,-2.36058,0.166797,0.632359,2634.98,84.4239,12399.5,0.268145,0.946907,0.0123869,9826.71,-0.00274046,0.113321,17.7324,21.9706,124.387,91.4416,0.877311,13.4585,13.2545,120.029,138.214,4.35835,-46.7726 
17,202.6,3.58,44.8948,2.023,47.4507,17,15856.1,-0.149693,36.8154,11.2495,121.407,0.0508068,126.235,0.0722583,-8.31855,-3.83864,-2.99985,-2.45358,-3.63769,108.533,535.465,105.805,17968.8,13690.9,-9.00195,-4.52204,-4.36666,-3.13698,-4.3211,0.827736,418.261,101.021,17851.6,0.0388279,0.702903,0.0103168,10772.2,-0.00217219,-0.0182728,3.86838,-8.17018,116.321,77.994,1.63634,11.6966,11.7586,121.06,137.315,-4.73924,-59.3211 
18,201.7,3.089,44.7542,2.029,47.2979,18,11502.9,-0.192453,24.5887,13.2008,120.753,0.647519,76.8988,499.785,-4.34821,-3.30965,0.223868,-4.76754,-3.77135,103.253,2232.44,64.9754,11794.1,12187.5,-4.99837,-3.9598,-1.07644,-5.4177,-4.4215,0.945836,2120.94,60.4244,11682.6,0.238392,0.952511,0.00943774,8896.86,-0.00314807,0.0898107,17.5353,23.7843,124.838,92.1014,0.900443,13.0784,12.5012,119.913,138.268,4.9248,-46.1666 
19,201.98,3.242,44.798,2.027,47.3455,19,15317,-0.0124425,31.7274,12.7301,120.661,-0.00242755,8.41034,500,-8.94686,1.78993,-8.57148,-4.91065,-6.81956,140.474,2134.04,102.448,15620.8,13148.7,-9.83139,0.905401,-10.3405,-5.79517,-7.70408,0.68441,1982.34,96.2559,15469.1,0.180963,0.921681,0.0113326,10954.4,-0.00366825,0.0838618,14.6971,49.9216,123.768,108,1.18106,12.6546,11.8589,119.92,137.672,3.84802,-29.6722 
20,201.2,2.817,44.676,2.033,47.2128,20,13397.9,-0.016502,27.6683,12.8823,120.656,0.0342786,3.64167,2.5507e-12,-4.45054,-12.3409,-8.79858,-2.89114,-2.52866,117.407,1895.37,78.9202,13866,11607.1,-5.18982,-13.0801,-10.2771,-3.63043,-3.26794,0.710058,1768.59,73.7452,13739.2,0.181629,0.931992,0.00979067,9737.35,-0.00287695,0.0942569,14.5495,22.5407,124.389,95.9079,1.00877,13.2752,12.9352,119.952,137.597,4.43675,-41.689 
21,202.8,3.689,44.926,2.022,47.4846,21,15374.5,0.0599869,35.7094,-11.1501,121.156,-0.0355583,-15.4001,500,-3.51488,-4.94846,-9.51738,-1.79958,-0.832818,89.4599,340.603,102.585,17529.2,12979.4,-4.07819,-5.51177,-10.644,-2.36289,-1.39612,0.55637,243.996,98.6417,17432.6,0.0235633,0.585657,0.010316,10354.9,-0.00226552,-0.0192589,8.39536,7.83816,119.019,79.1212,1.60073,11.6689,11.8391,120.862,136.882,-1.84358,-57.761 
22,201.1,2.762,44.6603,2.033,47.1958,22,14194.8,-0.0965627,30.2907,12.5361,120.598,0.33943,290.619,0.0230823,-3.69004,-4.97334,-5.93995,-1.53435,-5.93147,104.421,1276.33,47.3585,15457.3,15572.6,-4.34754,-5.63085,-7.25497,-2.19186,-6.58898,0.721115,1163.56,42.756,15344.6,0.115623,0.93958,0.00510662,10063.4,-0.00315036,0.0726725,13.7849,22.922,125.723,95.942,1.18378,13.012,12.6424,119.924,137.637,5.79833,-41.6946 
23,201.9,3.199,44.7855,2.028,47.3319,23,13009,-0.117468,27.634,-12.875,120.758,0.17832,7.63595,1.13376e-06,-3.89848,-6.84215,-7.59517,-5.65022,1.08987,168.001,1937.58,71.1417,13558.1,11626.4,-4.95634,-7.90001,-9.71089,-6.70808,0.032014,0.667928,1756.16,63.7367,13376.6,0.184575,0.94028,0.00870085,9514.6,-0.00316335,0.0801627,15.8751,29.3506,125.256,95.8113,1.04023,12.8467,12.4215,120.017,138.176,5.23847,-42.365 
24,202.5,3.526,44.8792,2.024,47.4338,24,13917.9,0.0323122,33.4863,11.1882,121.104,-0.0578709,-49.1888,5.2683e-12,-7.47713,-5.33695,-13.3934,-5.48333,-5.6181,110.525,402.584,102.161,16368.1,12288.9,-8.17308,-6.03289,-14.7853,-6.17928,-6.31404,0.643595,283.229,97.2897,16248.8,0.0291763,0.62456,0.0109093,9707.51,-0.00255002,-0.0219231,3.70764,7.03043,116.414,78.5509,1.49818,11.6493,11.8343,120.805,137.767,-4.39183,-59.2158 
25,202.06,3.286,44.8105,2.027,47.3591,25,13083.1,-0.0963247,29.1307,12.0476,121.206,0.11688,-63.4501,0.773006,-2.14827,-5.92481,-4.36439,0.32562,-4.76203,110.103,1809.9,74.914,13623.4,11666.1,-2.84156,-6.61809,-5.75097,-0.367669,-5.45532,0.726582,1691,70.061,13504.5,0.177558,0.932396,0.00946629,9523.63,-0.00289056,0.0974686,12.7526,26.6523,124.284,96.7251,1.14247,12.3387,11.8708,120.526,136.825,3.75827,-40.0998 
26,201.94,3.22,44.7917,2.028,47.3387,26,13792.3,-0.0499402,28.6211,12.6729,120.987,0.0496377,6.2349,6.83716e-08,-2.65414,-2.39831,-10.7455,1.18781,0.646985,106.049,1873.63,87.1979,14168.2,11817.5,-3.3219,-3.06607,-12.0811,0.520042,-0.0207784,0.327701,1759.11,82.5235,14053.7,0.177504,0.924132,0.0107011,9910.24,-0.00315607,0.0830124,13.7466,44.9933,124.319,108,1.09067,12.6431,11.7141,120.194,137.412,4.12552,-29.4119 
27,203.1,3.853,44.9727,2.02,47.5354,27,14512.4,-0.667747,35.852,11.0138,121.001,-0.00505059,221.347,500,-5.28388,-2.76438,-6.98941,-1.89237,-1.33544,71.8323,246.603,91.4187,16810.4,12890.6,-5.73619,-3.21669,-7.89403,-2.34468,-1.78775,0.623723,169.032,88.2525,16732.8,0.0171188,0.522553,0.00962217,9874.08,-0.00227443,-0.0257611,10.9071,8.03302,117.689,82.1839,1.6676,11.2395,11.294,120.751,136.904,-3.0626,-54.7197 
28,203,3.798,44.9571,2.021,47.5185,28,15743.3,-0.0303545,37.3299,11.0622,121.386,0.00537685,-0.821301,500,-2.8177,-2.56363,-7.23681,-1.75521,-1.27357,106.43,192.856,105.567,18234.8,13443.1,-3.48786,-3.23379,-8.57714,-2.42537,-1.94374,0.563902,77.9228,100.875,18119.8,0.00735994,0.306234,0.0101511,10587.4,-0.00246459,-0.0253553,13.8568,8.30796,114.72,81.7643,1.70672,11.6193,11.6016,121.047,136.672,-6.32651,-54.9076 
29,201.8,3.144,44.7699,2.029,47.3149,29,12597.6,-0.22398,26.2312,13.2376,120.717,-0.0149783,112.622,499.999,-6.08429,-3.94163,-3.96358,-4.82264,-3.48136,82.905,2047.75,43.804,12884.3,11358.6,-6.60632,-4.46366,-5.00764,-5.34467,-4.00339,0.803048,1958.23,40.1498,12794.7,0.208785,0.965362,0.00574729,9379.18,-0.00304224,0.0824394,18.1003,22.8143,125.111,89.0789,0.988604,13.0678,12.5846,119.889,138.016,5.22151,-48.9367 
30,202.18,3.351,44.8292,2.026,47.3795,30,13562.6,-0.0088069,30.465,11.8856,120.958,-0.00751807,4.95858,1.0229e-11,-7.54388,-2.2568,-6.16685,0.608363,-1.77786,97.6498,880.129,63.0448,15202.4,11788.6,-8.15875,-2.87168,-7.3966,-0.00651179,-2.39274,0.644843,774.678,58.7407,15097,0.0812805,0.88285,0.00711643,9530.91,-0.00277884,0.0808697,11.2547,18.5105,124.066,108,1.30725,12.2626,11.7243,120.442,137.254,3.62407,-29.2545 
31,201.5,2.98,44.7229,2.031,47.2639,31,13290.6,-0.249044,26.9429,13.4419,120.891,-0.0477858,69.6991,2.12241e-06,-4.58724,-4.33489,-8.58354,-4.82637,-1.7803,104.054,2379.41,68.129,13109.7,11898,-5.24244,-4.9901,-9.89394,-5.48158,-2.43551,0.647194,2267.04,63.5426,12997.3,0.231202,0.953243,0.0089255,9805.47,-0.00286814,0.103459,16.4801,22.2043,124.752,91.3935,0.943536,13.3113,13.1244,119.932,137.878,4.81977,-46.485 
32,202,3.253,44.8011,2.027,47.3489,32,13589.4,-0.641832,29.4418,12.9072,120.859,4.02265,-1347.99,500,-11.3582,-2.4478,-9.06827,-1.56057,-4.84043,86.5169,1620.77,70.4693,14488.1,188890,-11.903,-2.99258,-10.1578,-2.10534,-5.3852,0.687874,1527.34,66.6558,14394.7,0.154647,0.929046,0.00845787,9876.26,-0.00359675,0.065731,14.3112,52.8024,124.132,108,1.13281,12.5957,11.7032,120.131,137.049,4.00123,-29.0494 
33,201.3,2.871,44.6916,2.032,47.2299,33,13131.8,-0.201508,27.523,13.0097,120.339,-0.349876,115.62,500,-4.90284,-7.18918,-12.0446,-3.80499,-8.11687,86.5165,1865.62,64.0909,13663.1,12973.2,-5.44761,-7.73395,-13.1342,-4.34976,-8.66164,0.666027,1772.19,60.2775,13569.7,0.183787,0.943821,0.00811632,9642.62,-0.00290695,0.0880356,15.833,21.6759,124.815,92.6816,1.00703,13.096,12.9722,119.635,137.737,5.17964,-45.0558 
34,201.4,2.926,44.7073,2.031,47.2469,34,13851.5,-0.0685939,27.7558,-13.269,120.324,0.0313065,2.80028,500,-5.78714,-4.69231,-6.31546,-4.40275,-3.89317,97.0204,2448.34,88.0319,13565.7,11992,-6.39805,-5.30323,-7.53728,-5.01366,-4.50408,0.737891,2343.57,83.7555,13460.9,0.230873,0.941139,0.0113319,10150.9,-0.00277362,0.106065,15.683,24.6617,123.841,94.5586,0.973285,13.3188,12.9011,119.464,137.754,4.37784,-43.1949 
