cyc,Field,#2,#3,#4,#5,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
46,202.9,3.752,44.9416,2.018,1.16075,46,26787,0,5,101,125,0,5,135,-7.04968,-5.63189,-10.1396,-5.50236,-3.16652,-79.107,8.62457,33844.2,-23.3859,16439.4,-6.74403,-5.32624,-9.52831,-5.19671,-2.86086,0.678707,13.2476,34190.9,-18.7629,-1.4294,0.000221356,1.0003,-9.26794,398.348,463.188,0.444499,45529.4,9.48519e-07,0.45286,110.078,86.2157,22.689,24.2261,0.936553,467.948,543.475,0.531671 
47,202.6,3.586,44.8948,2.019,1.27735,47,25395.7,0,5,101,125,0,5,135,-6.2637,-2.21139,-7.05669,-5.74892,-6.36877,-43.4044,7.04273,32317.3,-16.4824,16439.4,-6.096,-2.04368,-6.72128,-5.58121,-6.20106,0.74773,9.57929,32507.5,-13.9458,-1.3387,0.00016836,1.00023,-7.15568,432.209,500.489,0.526418,42889.8,9.29822e-07,0.5002,109.973,86.045,23.0218,24.5433,0.938006,481.774,557.801,0.557521 
48,201.9,3.199,44.7855,2.021,1.5711,48,24631.1,0,5,101,125,0,5,135,-5.0763,-7.98997,-10.4011,0.407288,-4.83886,-45.07,26.597,31491.4,-1.67011,16439.4,-4.90216,-7.81583,-10.0528,0.581429,-4.66472,0.625651,29.2309,31688.9,0.963784,0.96194,0.000526826,0.999983,30.3874,565.946,671.353,0.937536,43457.1,9.33904e-07,0.660026,109.263,85.5014,25.2461,27.2414,0.926757,579.368,687.179,0.675632 
49,202.4,3.475,44.8636,2.02,1.35818,49,26821.9,0,5,101,125,0,5,135,-1.57946,-5.14049,-5.20195,-5.58232,-5.90301,-79.1667,13.8564,34002.1,-17.8455,16439.4,-1.27357,-4.83461,-4.59018,-5.27643,-5.59713,0.787215,18.4829,34349.1,-13.219,7.05426,0.000307386,1.00021,2.62011,461.29,528.243,0.521868,46167.7,9.52931e-07,0.518015,109.384,85.8795,23.8066,25.2448,0.94303,515.181,590.14,0.578624 
50,202,3.254,44.8011,2.021,1.52728,50,23587.9,0,5,101,125,0,5,135,-0.986344,-6.69184,-8.53166,-6.27212,-6.33666,-19.4693,18.5782,30446.6,-13.314,16439.4,-0.911119,-6.61662,-8.38121,-6.19689,-6.26143,0.704546,19.716,30532,-12.1762,3.86241,0.000368863,1.00022,5.10458,542.265,630.863,0.813367,41938.3,9.22894e-07,0.633755,109.02,84.854,24.8552,26.5586,0.935863,561.566,653.164,0.656235 
51,202.5,3.53,44.8792,2.019,1.31746,51,25482.9,0,5,101,125,0,5,135,-3.84273,-3.71271,-7.67284,-4.92799,-6.27332,-119.28,5.70412,32085.1,-21.063,16439.4,-3.38186,-3.25184,-6.75109,-4.46712,-5.81245,0.714715,12.6748,32607.9,-14.0922,-2.99227,0.000222067,1.00023,-4.23586,438.494,491.884,0.526069,42973.2,9.30424e-07,0.499152,109.486,86.4427,23.1883,24.3268,0.953197,488.767,548.003,0.556239 
52,202.1,3.309,44.8167,2.021,1.48408,52,24756,0,5,101,125,0,5,135,-4.48289,-4.36707,-8.21985,-4.56666,-2.71419,-142.172,15.3353,31114.1,7.63122,16439.4,-3.93357,-3.81774,-7.1212,-4.01733,-2.16486,0.661776,23.6438,31737.3,15.9398,0.552794,0.000425525,0.999727,42.7715,533.547,600.959,0.738277,42675.5,9.28271e-07,0.610006,109.056,85.6151,24.7863,26.0526,0.951393,558.456,628.515,0.63823 
53,201.3,2.867,44.6916,2.023,1.84707,53,23747.9,0,5,101,125,0,5,135,-6.99075,-5.70778,-10.1993,-7.77163,-4.54379,-80.3053,26.6493,30407,-5.94349,16439.4,-6.68047,-5.3975,-9.57869,-7.46134,-4.23351,0.712796,31.3423,30759,-1.25045,1.05028,0.000581927,1.00002,29.8418,580.4,679.691,1.44955,41937.7,9.2289e-07,0.680565,109.431,84.8817,25.3519,27.1818,0.932677,584.233,684.18,0.68506 
54,201.7,3.088,44.7542,2.022,1.66061,54,20670.5,0,5,101,125,0,5,135,-4.60122,-2.32162,-11.1981,-2.29166,-7.03958,-81.7646,20.1819,26941.2,-0.216568,16439.4,-4.28529,-2.0057,-10.5663,-1.97574,-6.72366,0.586555,24.9602,27299.6,4.56176,0.820134,0.000522188,0.999909,30.4343,607.085,675.311,0.722539,37693.1,8.9064e-07,0.718909,109.062,84.4392,26.4829,27.6693,0.957123,637.524,708.938,0.754831 
55,201.4,2.922,44.7073,2.023,1.79952,55,21490.6,0,5,101,125,0,5,135,-4.99834,-1.0121,-10.9668,-7.69082,-5.11037,-143.447,14.3696,28217.7,-15.5086,16439.4,-4.4441,-0.457852,-9.85826,-7.13658,-4.55612,0.627328,22.7527,28846.5,-7.12559,1.60208,0.000450512,1.00013,14.202,580.215,656.765,0.849578,38909.2,9.00117e-07,0.685805,109.283,85.3576,25.6618,27.0437,0.948903,598.605,677.241,0.707364 
56,202.8,3.696,44.926,2.019,1.199,56,22390.6,0,5,101,125,0,5,135,-5.6468,-6.80114,-9.35273,-6.21401,-8.32879,-36.9584,7.50736,28999.2,-8.50529,16439.4,-5.504,-6.65834,-9.06713,-6.07121,-8.18599,0.744492,9.66721,29161.1,-6.34543,4.70953,0.000189398,1.00012,2.05269,405.643,468.033,0.48069,39115.7,9.01707e-07,0.48322,109.777,86.3018,22.574,24.0306,0.939388,463.217,534.738,0.551947 
57,201.6,3.033,44.7386,2.022,1.7063,57,19840.9,0,5,101,125,0,5,135,-8.73337,-8.12182,-12.3948,-9.55157,-6.46205,-74.6416,25.9675,26305.9,3.91757,16439.4,-8.44497,-7.83341,-11.818,-9.26317,-6.17364,0.728529,30.3296,26633,8.27962,0.753247,0.000650318,0.999831,40.2651,593.511,667.555,0.720241,35938,8.76597e-07,0.718056,109.33,84.961,26.1961,27.5158,0.952038,623.791,701.096,0.754411 
58,201.2,2.812,44.676,2.023,1.89523,58,20350.5,0,5,101,125,0,5,135,-5.01154,-9.7904,-13.5011,-4.17838,-7.6897,29.1335,15.6175,27477.9,-26.9285,16439.4,-5.12411,-9.90297,-13.7263,-4.29094,-7.80227,0.663955,13.9149,27350.2,-28.6311,-0.680688,0.00029064,1.00057,-20.4424,554.198,635.348,0.653953,38342.4,8.95726e-07,0.662466,110.016,84.6683,25.4906,27.0335,0.942928,590.644,676.731,0.705823 
59,201.8,3.143,44.7699,2.022,1.61555,59,20664.5,0,5,101,125,0,5,135,-5.16178,-8.44906,-3.76596,-5.90267,-6.04152,-71.022,5.05441,27233.8,5.16359,16439.4,-4.88736,-8.17465,-3.21713,-5.62825,-5.76711,0.883751,9.20494,27545.1,9.31411,0.451624,0.000190922,0.999816,20.3819,605.094,705.389,301.486,37800.8,8.91488e-07,0.732842,109.298,84.9447,25.8951,27.3531,0.946697,609.537,692.827,0.728949 
60,202.2,3.365,44.8324,2.02,1.44149,60,24156.1,0,5,101,125,0,5,135,-3.196,-3.84639,-5.96667,-2.05621,-6.73971,-46.0553,2.50392,30707.8,-6.43333,16439.4,-3.01805,-3.66845,-5.61077,-1.87826,-6.56176,0.729436,5.19539,30909.6,-3.74186,7.36775,9.60383e-05,1.00007,0.705153,452.595,511.687,0.418367,41900.9,9.2262e-07,0.521596,109.193,86,24.4803,25.7667,0.950073,544.751,614.796,0.627251 
61,202.3,3.42,44.848,2.02,1.39952,61,24557.6,0,5,101,125,0,5,135,-6.38147,-2.9061,-11.9937,-5.83292,-9.09637,-29.0694,40.0611,31084.9,-20.7267,16439.4,-6.26915,-2.79378,-11.7691,-5.7206,-8.98406,0.668819,41.7599,31212.4,-19.0279,2.20643,0.000763946,1.00033,18.9264,499.845,556.176,0.710698,42116.5,9.242e-07,0.570503,109.574,85.8112,24.0401,25.1252,0.956809,525.336,584.565,0.59961 
62,203,3.807,44.9571,2.018,1.12313,62,26098.6,0,5,101,125,0,5,135,-3.39979,-2.65284,-14.4479,-4.66746,-4.12494,-31.6891,4.21564,32887.8,-29.3297,16439.4,-3.27735,-2.5304,-14.203,-4.54502,-4.0025,0.502666,6.06755,33026.7,-27.4777,-0.225511,0.00010497,1.00045,-26.9058,386.836,440.114,0.427331,44179.8,9.39052e-07,0.439396,109.274,86.5436,22.4991,23.7801,0.94613,460.145,523.649,0.52273 
63,201.1,2.756,44.6603,2.024,1.94401,63,21508.2,0,5,101,125,0,5,135,-4.14465,0.459783,-2.49726,-4.12202,-5.1969,-83.0501,6.34903,28149.8,-13.2108,16439.4,-3.82376,0.780672,-1.85548,-3.80113,-4.87601,0.863323,11.2025,28513.8,-8.35738,9.54522,0.000224452,1.00016,1.17362,571.112,652.889,1.22982,38954.1,9.00464e-07,0.678132,109.699,85.6469,25.2006,26.694,0.944054,577.279,659.84,0.685403 
64,202.7,3.641,44.9104,2.019,1.23786,64,27086.4,0,5,101,125,0,5,135,-2.04464,-0.191674,-14.124,-6.41743,-4.21111,-64.7749,-2.49052,33811.6,-28.9965,16439.4,-1.79436,0.0586034,-13.6235,-6.16716,-3.96083,0.465478,1.29493,34095.5,-25.211,-0.044717,2.17021e-05,1.0004,-28.9583,385.713,441.691,0.366339,45163.6,9.45972e-07,0.436329,109.732,85.8811,23.242,24.6461,0.94303,491.037,562.483,0.555564 
65,201,2.701,44.6446,2.024,1.99342,65,22679.4,0,5,101,125,0,5,135,-4.12111,-4.84715,-4.49741,-9.49625,-7.42622,-103.898,21.7104,29591.4,-7.09011,16439.4,-3.71966,-4.44571,-3.69453,-9.09481,-7.02478,0.867956,27.7822,30046.8,-1.01829,1.04601,0.000528082,1.00002,26.5603,522.865,602.737,0.616466,40522.8,9.12392e-07,0.615286,109.596,85.3812,24.8897,26.4697,0.94031,563.127,648.801,0.662487 
66,201.5,2.978,44.7229,2.022,1.7526,66,23661.8,0,5,101,125,0,5,135,-1.10979,-1.80406,-4.61805,-6.644,-5.64976,-82.0103,21.286,30207.2,-9.30151,16439.4,-0.79292,-1.48718,-3.98431,-6.32713,-5.33289,0.777716,26.0787,30566.7,-4.50883,1.26178,0.000487291,1.00008,20.6681,581.576,698.42,72.8968,40617.2,9.131e-07,0.69798,109.944,84.7085,25.8517,27.9286,0.925636,607.497,722.287,0.725451 
67,202.9,3.752,44.9416,2.018,1.16075,67,22174.1,0,5,101,125,0,5,135,-8.13236,-2.27418,-4.26003,-4.08339,-8.43672,-61.8357,3.86631,29330.9,-37.7063,16439.4,-7.89344,-2.03526,-3.78219,-3.84447,-8.1978,0.853137,7.47999,29601.9,-34.0926,-0.223743,0.000144371,1.00063,-33.4311,364.779,423.818,0.382588,39063.4,9.01305e-07,0.436247,109.695,86.0447,22.3708,23.9002,0.936008,454.912,528.951,0.544252 
68,202.6,3.586,44.8948,2.019,1.27735,68,24498,0,5,101,125,0,5,135,-2.81575,-0.562271,-6.09619,-4.09134,-6.82767,-94.8441,4.00808,31528.7,-14.1962,16439.4,-2.44929,-0.195812,-5.36327,-3.72488,-6.46122,0.705225,9.55077,31944.4,-8.6535,-11.4595,0.000170817,1.00015,-0.833434,404.009,467.948,0.434337,42266.7,9.25297e-07,0.469908,109.999,86.0571,22.9429,24.4634,0.937848,478.479,554.173,0.55651 
69,201.9,3.199,44.7855,2.021,1.5711,69,22559.4,0,5,101,125,0,5,135,-2.53576,-4.9489,-12.7687,-6.919,-7.81681,-75.1848,12.068,29627.1,-19.7582,16439.4,-2.24526,-4.6584,-12.1877,-6.6285,-7.52631,0.633411,16.4618,29956.6,-15.3644,-8.33323,0.000313914,1.00028,-1.97545,574.813,662.787,0.806042,41098.3,9.16691e-07,0.673329,109.7,84.8542,25.6059,27.2407,0.939989,596,687.143,0.69811 
70,202.4,3.475,44.8636,2.02,1.35818,70,22476.2,0,5,101,125,0,5,135,-4.87197,-0.54259,-8.7407,-7.55659,-8.31766,-65.4433,19.7393,29555,-19.5942,16439.4,-4.61911,-0.28973,-8.23498,-7.30373,-8.0648,0.711178,23.5638,29841.8,-15.7697,5.07825,0.00045101,1.00029,4.64015,411.914,475.4,0.410666,39803.4,9.06961e-07,0.487915,109.604,85.9276,23.4317,24.9395,0.939542,499.083,575.953,0.591141 
71,202,3.254,44.8011,2.021,1.52728,71,20324.2,0,5,101,125,0,5,135,-1.86701,-1.88985,-7.27537,-3.62873,-11.8138,-85.605,12.32,27251.4,-5.6801,16439.4,-1.53625,-1.55909,-6.61385,-3.29797,-11.4831,0.729939,17.3227,27626.6,-0.677342,1.04923,0.000358176,1.00001,16.5099,523.78,613.458,0.63977,37425.6,8.88528e-07,0.637963,109.402,85.7123,24.8246,26.6239,0.932418,560.183,656.38,0.68245 
72,202.5,3.53,44.8792,2.019,1.31746,72,22162.9,0,5,101,125,0,5,135,-5.91114,-5.11803,-1.55454,-7.1444,-1.81846,-87.2968,7.50842,29273.7,-25.289,16439.4,-5.57385,-4.78074,-0.879945,-6.8071,-1.48116,0.954927,12.61,29656.3,-20.1874,-1.08569,0.000242916,1.00037,-11.6148,415.52,471.338,0.436001,39337.3,9.03407e-07,0.489868,109.278,85.7943,23.2594,24.5368,0.94794,491.77,557.503,0.57959 
73,202.1,3.309,44.8167,2.021,1.48408,73,21481.7,0,5,101,125,0,5,135,-3.36557,-0.381933,-11.4191,-3.17213,-5.10552,-92.7007,9.68969,28866.2,-13.1362,16439.4,-3.00739,-0.0237563,-10.7027,-2.81395,-4.74734,0.497411,15.1071,29272.5,-7.71879,2.58481,0.000294819,1.00014,5.84458,503.371,580.952,0.596226,39196.3,9.02326e-07,0.599308,109.487,85.4286,24.4983,26.0687,0.939761,545.554,629.288,0.649352 
74,201.3,2.867,44.6916,2.023,1.84707,74,19901.2,0,5,101,125,0,5,135,-6.08911,-1.79882,-11.7375,-6.32794,-6.04725,-62.1873,14.4089,27448.4,-11.4,16439.4,-5.84883,-1.55854,-11.2569,-6.08766,-5.80697,0.631632,18.0432,27721,-7.76576,2.06816,0.000371796,1.00015,8.72426,555.294,666.784,0.78399,38179.8,8.94458e-07,0.68029,109.296,84.6431,25.1979,27.3608,0.920947,577.157,693.22,0.707168 
75,201.7,3.088,44.7542,2.022,1.66061,75,19200.5,0,5,101,125,0,5,135,0.320037,-2.16168,-5.94171,-5.69909,-7.95371,-81.8798,6.86812,26925.8,1.6307,16439.4,0.636404,-1.84531,-5.30898,-5.38272,-7.63734,0.728273,11.6532,27284.6,6.41576,0.602167,0.000243996,0.999872,19.3521,565.388,671.35,697.484,35833.3,8.75744e-07,0.703511,109.13,85.0046,26.161,28.096,0.931126,622.118,730.975,0.770035 
76,201.4,2.922,44.7073,2.023,1.79952,76,19383.7,0,5,101,125,0,5,135,-4.68263,-2.34792,-3.20091,-8.5133,-5.6495,-161.523,8.35594,26321.9,-4.86144,16439.4,-4.05854,-1.72382,-1.95273,-7.88921,-5.02541,0.905436,17.7953,27029.9,4.57795,0.764113,0.000376063,0.999908,23.2889,573.603,657.368,0.901508,36153.9,8.78348e-07,0.699106,109.407,84.8942,25.4556,26.9941,0.943006,589.023,674.762,0.717753 
77,202.8,3.696,44.926,2.019,1.199,77,26149.5,0,5,101,125,0,5,135,-5.46374,-3.91729,-10.0096,-6.61395,-8.26587,-53.9804,2.29236,33846.3,-38.6669,16439.4,-5.25517,-3.70872,-9.5925,-6.40538,-8.0573,0.709486,5.44698,34082.9,-35.5123,-0.146551,9.13149e-05,1.00057,-37.1678,397.235,463.906,0.451225,45220,9.46365e-07,0.453607,109.663,86.2009,22.5914,24.183,0.934186,463.928,541.541,0.529642 
78,201.6,3.033,44.7386,2.022,1.7063,78,18996.6,0,5,101,125,0,5,135,-4.24616,-2.87401,-2.928,-3.49304,-7.24877,-155.775,16.0497,25826.7,11.0191,16439.4,-3.64428,-2.27213,-1.72424,-2.89116,-6.64689,0.899629,25.1532,26509.4,20.1226,0.510204,0.0005419,0.999588,49.3002,572.012,681.418,0.665528,35873.8,8.76074e-07,0.712637,109.05,84.4119,25.8709,27.9644,0.925137,608.398,724.14,0.757643 
79,201.2,2.812,44.676,2.023,1.89523,79,23214.6,0,5,101,125,0,5,135,-4.66868,-1.84593,-5.89674,-3.06084,-6.59305,-74.9028,27.2809,29898.3,-16.7933,16439.4,-4.37927,-1.55652,-5.31792,-2.77143,-6.30364,0.738404,31.6582,30226.6,-12.416,1.88903,0.000598133,1.00022,16.759,534.444,613.187,0.550769,40819,9.1461e-07,0.62591,109.746,84.8812,25.4769,27.0483,0.941906,590.011,677.472,0.691257 
80,201.8,3.143,44.7699,2.022,1.61555,80,21132.7,0,5,101,125,0,5,135,-0.621221,-1.61825,-5.80305,-5.68918,-4.2118,-144.2,11.0716,27586,-5.87539,16439.4,-0.0640613,-1.06109,-4.68873,-5.13202,-3.65464,0.678866,19.4987,28218.1,2.55164,0.864278,0.000394701,0.999951,22.5606,602.837,689.031,1.02275,38371.9,8.95955e-07,0.719338,109.402,84.7785,25.9907,27.5284,0.944144,614.049,701.735,0.732659 
81,202.2,3.365,44.8324,2.02,1.44149,81,24294.3,0,5,101,125,0,5,135,-3.76294,-4.38055,-1.81997,-6.32681,-4.41798,-17.0866,12.2318,31316.6,-23.399,16439.4,-3.69692,-4.31454,-1.68793,-6.26079,-4.35196,0.9169,13.2303,31391.5,-22.4005,-0.96924,0.000240777,1.00039,-13.6502,495.194,570.263,0.593772,42584.2,9.27608e-07,0.572876,109.341,85.7194,24.3097,25.84,0.94078,537.186,618.295,0.621292 
82,202.3,3.42,44.848,2.02,1.39952,82,25276.3,0,5,101,125,0,5,135,-5.73967,-0.42586,-12.4639,-9.13571,-7.08156,-54.4977,-1.26876,32331.2,-18.1527,16439.4,-5.5291,-0.215292,-12.0428,-8.92514,-6.87099,0.641406,1.91609,32570.1,-14.9678,-0.119417,3.36158e-05,1.00025,-16.0453,478.779,570.787,0.656524,43606,9.34969e-07,0.559123,109.545,85.5348,23.6709,25.6079,0.92436,509.324,607.238,0.594812 
83,203,3.807,44.9571,2.018,1.12313,83,27044.2,0,5,101,125,0,5,135,-4.85774,-4.69577,-11.8167,-6.3424,-6.80992,-61.2749,-4.25215,33737.1,-23.0952,16439.4,-4.62098,-4.45901,-11.3432,-6.10565,-6.57317,0.657327,-0.671245,34005.7,-19.5143,0.0278659,-1.12797e-05,1.00031,-24.0884,392.513,454.989,0.437894,45193.3,9.46179e-07,0.446637,109.731,85.9105,22.5714,24.0721,0.93766,463.109,536.586,0.526851 
84,201.1,2.756,44.6603,2.024,1.94401,84,19326,0,5,101,125,0,5,135,-8.54923,-5.08016,-15.7086,-6.94398,-4.67949,-68.0084,16.4877,25806.5,-15.7389,16439.4,-8.28646,-4.81739,-15.1831,-6.68121,-4.41672,0.614494,20.4621,26104.6,-11.7645,3.22508,0.000447715,1.00024,6.3447,515.935,597.96,0.582368,35286.4,8.71267e-07,0.637503,109.571,84.9791,24.8708,26.5213,0.937767,562.271,651.333,0.694582 
85,202.7,3.641,44.9104,2.019,1.23786,85,23486.7,0,5,101,125,0,5,135,-4.85017,-6.85965,-7.65661,-5.17196,-5.21687,-72.6487,13.7043,30282.9,-21.524,16439.4,-4.56947,-6.57895,-7.09521,-4.89126,-4.93617,0.747241,17.9499,30601.3,-17.2784,-6.44695,0.000335072,1.00031,-2.78424,402.18,457.674,0.433915,40991.6,9.15898e-07,0.468427,109.421,86.0215,22.8898,24.186,0.946407,476.266,541.677,0.554559 
86,201,2.701,44.6446,2.024,1.99342,86,17823.1,0,5,101,125,0,5,135,-2.81117,-4.92252,-5.10681,-5.83178,-1.01754,-50.9706,-2.72348,24970.9,-10.0781,16439.4,-2.61423,-4.72558,-4.71293,-5.63484,-0.820599,0.745359,0.255244,25194.3,-7.09942,-0.030886,5.78912e-06,1.00015,-8.26406,512.445,598.116,0.696314,34352.5,8.63511e-07,0.641133,109.508,85.3286,24.3864,26.0994,0.934365,540.58,630.774,0.676237 
87,201.5,2.978,44.7229,2.022,1.7526,87,21024.1,0,5,101,125,0,5,135,-7.98873,-5.62214,-5.90267,-2.35701,-5.8653,-88.0557,14.5641,27081.4,-7.61244,16439.4,-7.6485,-5.28191,-5.22221,-2.01678,-5.52507,0.796757,19.7101,27467.3,-2.46647,1.1767,0.000409879,1.00005,16.7503,587.294,683.371,1.2123,37208,8.86803e-07,0.714379,109.584,85.0059,25.5612,27.3172,0.935717,593.919,691.011,0.722402 
88,202.9,3.752,44.9416,2.018,1.16075,88,23464,0,5,101,125,0,5,135,-2.54998,-4.66425,-9.04145,-5.55572,-8.83842,-42.3379,4.03365,30456,-17.3074,16439.4,-2.3864,-4.50067,-8.71428,-5.39214,-8.67484,0.706277,6.50788,30641.6,-14.8332,-0.576327,0.000121349,1.00026,-11.292,392.367,463.559,0.470836,41042,9.16272e-07,0.465451,109.576,86.0555,22.287,23.9936,0.928874,451.511,533.091,0.535439 
89,202.6,3.586,44.8948,2.019,1.27735,89,23736.6,0,5,101,125,0,5,135,-7.30422,-8.38068,-11.5727,-4.47917,-6.87301,-121.091,12.1508,30379.9,-30.8812,16439.4,-6.83635,-7.91281,-10.637,-4.0113,-6.40514,0.7029,19.2273,30910.7,-23.8047,-2.05896,0.000355318,1.00042,-9.33833,407.833,470.69,0.456931,40931.5,9.1545e-07,0.478602,109.439,86.1762,22.8314,24.3201,0.938784,473.837,547.702,0.556483 
90,201.9,3.199,44.7855,2.021,1.5711,90,22960.2,0,5,101,125,0,5,135,-5.13371,-6.30582,-7.47202,-5.08759,-8.36943,-39.6443,22.8331,29489.2,-12.1462,16439.4,-4.98053,-6.15264,-7.16567,-4.93441,-8.21625,0.772153,25.15,29663,-9.82935,1.88322,0.000484255,1.00018,13.3547,563.412,650.375,0.751839,40199.8,9.09962e-07,0.66523,109.862,84.7495,25.4444,27.0808,0.939573,588.506,679.104,0.694737 
91,202.4,3.475,44.8636,2.02,1.35818,91,21571.4,0,5,101,125,0,5,135,-5.96081,-4.0465,-7.9603,-10.2095,-7.17715,-42.6284,6.2485,28383.6,-7.69906,16439.4,-5.7961,-3.8818,-7.63088,-10.0448,-7.01244,0.777953,8.7397,28570.5,-5.20786,3.50954,0.000174769,1.0001,2.49027,442.744,503.338,0.536584,38379.6,8.96015e-07,0.526855,109.725,85.9577,23.2315,24.5417,0.946616,490.593,557.725,0.583789 
92,202,3.254,44.8011,2.021,1.52728,92,23203.2,0,5,101,125,0,5,135,-8.15847,-2.92362,-6.26424,-4.59525,-10.1894,42.702,0.971204,29950,-8.21421,16439.4,-8.32346,-3.08861,-6.59422,-4.76024,-10.3544,0.800905,-1.5243,29762.8,-10.7097,0.106031,-2.92665e-05,1.0002,-14.376,531.377,607.546,0.612253,40813.6,9.1457e-07,0.621261,109.668,84.8957,25.1068,26.594,0.944077,572.989,654.905,0.669801 
93,202.5,3.53,44.8792,2.019,1.31746,93,23455.2,0,5,101,125,0,5,135,-6.34981,-4.47745,-13.2231,-6.65527,-4.5839,-82.9476,18.4338,30582.2,-34.2793,16439.4,-6.02932,-4.15696,-12.5821,-6.33477,-4.2634,0.622913,23.2813,30945.7,-29.4319,-1.93415,0.000429716,1.00052,-12.037,407.169,473.871,0.431104,41374,9.18737e-07,0.478108,109.629,86.1023,23.0588,24.6503,0.935439,483.326,562.673,0.567619 
94,202.1,3.309,44.8167,2.021,1.48408,94,21403.3,0,5,101,125,0,5,135,-5.24362,-2.35902,-9.2725,-8.16552,-8.01838,-46.1776,12.8094,28475.1,-24.0277,16439.4,-5.0652,-2.1806,-8.91566,-7.9871,-7.83996,0.721286,15.508,28677.5,-21.329,-1.53745,0.000308918,1.0004,-10.0868,521.05,605.76,0.830237,38644.5,8.98072e-07,0.625574,109.763,85.4936,24.3373,25.9978,0.93613,538.406,625.87,0.646377 
95,201.3,2.867,44.6916,2.023,1.84707,95,19811.6,0,5,101,125,0,5,135,-7.72931,-7.8709,-5.99629,-10.6455,-4.83409,-35.6957,10.0247,26665.1,-4.49588,16439.4,-7.59139,-7.73297,-5.72044,-10.5075,-4.69617,0.842188,12.1108,26821.5,-2.40982,1.31368,0.000257952,1.00005,9.219,563.365,643.682,0.685964,36844.5,8.83906e-07,0.681278,109.173,84.6688,25.6002,27.1097,0.944317,595.733,680.555,0.720363 
96,201.7,3.088,44.7542,2.022,1.66061,96,21596.7,0,5,101,125,0,5,135,-5.32624,-4.98899,-2.84642,-3.99506,-4.28726,-106.491,17.7012,28153.4,-1.42693,16439.4,-4.91478,-4.57753,-2.0235,-3.5836,-3.8758,0.893361,23.9246,28620.2,4.79641,0.806077,0.000477448,0.999909,29.6803,584.365,691.007,0.709378,38922.1,9.00217e-07,0.705889,109.767,84.407,26.0192,28.0293,0.928286,615.394,727.506,0.743272 
97,201.4,2.922,44.7073,2.023,1.79952,97,20100.1,0,5,101,125,0,5,135,-7.7947,-7.22949,-14.0316,-11.1428,-6.35544,-36.7,8.05854,27370.9,-17.3728,16439.4,-7.6529,-7.08769,-13.748,-11.001,-6.21364,0.69919,10.2033,27531.8,-15.228,-1.26429,0.000211727,1.0003,-8.07033,593.578,703.391,399068,38053.9,8.93474e-07,0.723195,109.198,83.9138,25.5539,27.5608,0.927181,593.579,703.391,0.723196 
98,202.8,3.696,44.926,2.019,1.199,98,26881.9,0,5,101,125,0,5,135,-4.2901,-6.19679,-11.7902,-9.44931,-5.95021,-59.8841,5.93394,34312.4,-6.27209,16439.4,-4.05872,-5.96541,-11.3274,-9.21793,-5.71883,0.687849,9.43356,34574.9,-2.77246,1.54481,0.000155887,1.00004,6.10661,413.157,478.175,0.476885,46114.7,9.52566e-07,0.466612,109.778,85.8333,22.8163,24.3271,0.937898,473.213,548.014,0.5346 
99,201.6,3.033,44.7386,2.022,1.7063,99,20848.6,0,5,101,125,0,5,135,-1.13513,-6.47584,-6.98561,-5.2984,-7.68697,-58.2739,7.63068,27521.2,0.0322954,16439.4,-0.909976,-6.25068,-6.53529,-5.07324,-7.46181,0.750856,11.0362,27776.6,3.43782,0.727905,0.000226989,0.999933,15.1616,592.192,686.041,0.811918,38559.3,8.97411e-07,0.710256,109.757,83.9828,25.9823,27.7,0.93799,613.65,710.512,0.735791 
100,201.2,2.812,44.676,2.023,1.89523,100,21683.7,0,5,101,125,0,5,135,-4.2004,-4.83909,-6.10349,-8.78594,-9.01434,-51.2855,16.2889,28906.7,-16.3587,16439.4,-4.00224,-4.64093,-5.70718,-8.58778,-8.81619,0.820271,19.286,29131.5,-13.3616,5.93028,0.000378162,1.00025,3.25212,551.977,628.757,0.584936,40064.6,9.08941e-07,0.648136,110.018,85.2964,25.7141,27.1822,0.945992,601.048,684.196,0.70552 
101,201.8,3.143,44.7699,2.022,1.61555,101,17795.4,0,5,101,125,0,5,135,-0.826676,-4.4646,-12.798,-7.82654,-4.81213,-87.6625,14.2306,25150.9,-6.02534,16439.4,-0.487965,-4.12589,-12.1206,-7.48783,-4.47341,0.577616,19.3536,25535.1,-0.902344,1.05926,0.00043291,1.00002,18.2708,587.166,668.24,0.86639,34824.1,8.67445e-07,0.722112,109.729,85.4572,25.7949,27.258,0.946324,604.832,688.021,0.743663 
102,202.2,3.365,44.8324,2.02,1.44149,102,22275.6,0,5,101,125,0,5,135,-5.25035,-6.73898,-8.01174,-7.6077,-8.17953,-119.179,7.82724,29054.2,-8.70885,16439.4,-4.78987,-6.2785,-7.09077,-7.14722,-7.71904,0.785293,14.7921,29576.6,-1.74403,1.1648,0.000285706,1.00003,12.6992,481.536,542.54,0.5549,39280.9,9.02975e-07,0.56605,109.741,85.4931,24.1511,25.3893,0.951234,530.201,596.915,0.623018 
