cyc,Field,#2,#3,#4,#5,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
11,201.3,2.867,44.6916,2.023,1.84707,11,21666.5,0,5,101,125,0,5,135,-7.57671,-1.92279,-2.38944,-8.82914,-6.91099,15.8521,18.4563,28264.5,-10.2679,16439.4,-7.63796,-1.98404,-2.51194,-8.89039,-6.97224,0.910277,17.5299,28195,-11.1943,4.27902,0.000355152,1.00022,4.09671,555.048,664.084,0.766273,38873.8,8.99844e-07,0.674698,109.533,84.9947,25.2265,27.3374,0.922783,578.466,692.031,0.703128 
12,201.7,3.088,44.7542,2.022,1.66061,12,20807.9,0,5,101,125,0,5,135,-8.29705,-2.48001,-6.65684,-7.91319,-9.52665,-90.183,15.9835,27852.6,-14.7652,16439.4,-7.9486,-2.13156,-5.95994,-7.56474,-9.1782,0.818201,21.2538,28247.9,-9.49493,2.15559,0.00042976,1.00018,9.85986,591.011,724.318,734.58,38956,9.00478e-07,0.72659,109.035,84.3779,25.6161,27.4239,0.934078,596.473,696.421,0.715744 
13,201.4,2.922,44.7073,2.023,1.79952,13,20639.4,0,5,101,125,0,5,135,-7.63618,-5.87213,-8.55082,-8.28757,-5.16354,6.35459,16.6598,27867,-9.6887,16439.4,-7.66073,-5.89668,-8.59993,-8.31212,-5.1881,0.758819,16.2885,27839.1,-10.0601,3.86312,0.000334227,1.0002,4.2164,536.464,633.383,0.532034,38507.3,8.97008e-07,0.649841,109.369,84.5956,25.6407,27.5968,0.929118,597.62,705.229,0.723738 
14,202.8,3.696,44.926,2.019,1.199,14,27180.3,0,5,101,125,0,5,135,-9.98974,-6.50825,-13.5758,-6.07883,-5.4133,-25.7111,2.23193,34082,-9.61264,16439.4,-9.8904,-6.40891,-13.3771,-5.97948,-5.31395,0.673489,3.73449,34194.7,-8.11008,-0.622662,6.24033e-05,1.00013,-5.99761,411.93,475.571,0.426497,46013.7,9.5187e-07,0.464988,109.515,85.7795,23.2505,24.7373,0.939895,491.393,566.653,0.554365 
15,201.6,3.033,44.7386,2.022,1.7063,15,20435.7,0,5,101,125,0,5,135,-7.05295,-4.97401,-11.5255,-6.34031,-8.97767,0.09564,3.04459,27125.5,-2.08562,16439.4,-7.05332,-4.97438,-11.5262,-6.34068,-8.97804,0.703488,3.039,27125.1,-2.0912,5.73876,6.40168e-05,1.00004,0.529557,607.06,704.066,1.10435,37760.6,8.91172e-07,0.733602,109.484,84.7145,26.0345,27.7746,0.93735,616.12,714.346,0.744432 
16,201.2,2.812,44.676,2.023,1.89523,16,23986,0,5,101,125,0,5,135,-3.32214,-8.34922,-12.2032,-6.08522,-8.01877,-2.97414,16.9222,31119.2,-11.1966,16439.4,-3.31065,-8.33773,-12.1803,-6.07373,-8.00728,0.678703,17.096,31132.2,-11.0228,4.41911,0.000313697,1.00019,3.86865,551.253,656.088,0.651952,42966.2,9.30374e-07,0.646396,109.59,85.2903,25.4313,27.4887,0.925156,587.899,699.713,0.689372 
17,201.8,3.143,44.7699,2.022,1.61555,17,24098.4,0,5,101,125,0,5,135,-5.20226,-0.122625,-5.49107,-3.14001,-3.89075,-168.287,9.49835,30487,-16.7194,16439.4,-4.55204,0.527604,-4.19062,-2.48978,-3.24052,0.699497,19.3331,31224.6,-6.88471,1.74622,0.000353681,1.00012,11.0714,560.098,657.319,0.589641,41965.8,9.23097e-07,0.657314,108.946,84.5167,25.8854,27.7852,0.931628,609.084,714.889,0.714843 
18,202.2,3.365,44.8324,2.02,1.44149,18,25061.3,0,5,101,125,0,5,135,-6.03827,-5.25517,-8.50544,-6.59171,-2.1146,-104.72,5.129,31620,-9.4682,16439.4,-5.63366,-4.85055,-7.6962,-6.1871,-1.70998,0.704872,11.2488,32079,-3.34838,1.55569,0.000200337,1.00006,7.23077,502.164,572.213,0.641065,43097.9,9.31323e-07,0.575574,109.304,85.3567,24.2939,25.6894,0.945678,536.488,611.112,0.614809 
19,202.3,3.42,44.848,2.02,1.39952,19,25469.3,0,5,101,125,0,5,135,-2.45089,-5.51621,-14.1155,-9.76685,-4.96014,-39.8392,-1.15212,32888.8,-11.8133,16439.4,-2.29696,-5.36228,-13.8076,-9.61292,-4.80621,0.615236,1.17608,33063.4,-9.48514,-0.115233,2.03256e-05,1.00016,-10.2061,472.008,537.925,0.490894,44606.6,9.42067e-07,0.534877,109.115,85.2792,24.3136,25.7086,0.94574,537.36,612.025,0.608746 
20,203,3.807,44.9571,2.018,1.12313,20,26463.5,0,5,101,125,0,5,135,-4.69113,-5.56368,-9.1157,-4.77533,-4.42318,-118.578,1.28356,33433.9,-38.2193,16439.4,-4.23297,-5.10552,-8.19938,-4.31716,-3.96502,0.682441,8.21327,33953.6,-31.2896,-0.279989,0.000138208,1.0005,-29.3343,406.82,466.803,0.464344,45007.1,9.44878e-07,0.461203,110.054,86.024,22.7476,24.1452,0.942119,470.368,539.85,0.53331 
21,201.1,2.756,44.6603,2.024,1.94401,21,19647.9,0,5,101,125,0,5,135,-7.45522,-5.12167,-3.10782,-1.29914,-2.29258,-50.7503,5.83809,26507.3,2.31379,16439.4,-7.25913,-4.92558,-2.71564,-1.10305,-2.09649,0.849964,8.80393,26729.7,5.27964,0.581521,0.000188175,0.999893,15.1395,543.606,625.96,1.20426,36682.4,8.82608e-07,0.660918,109.202,85.3142,24.5931,26.1456,0.94062,549.782,633.008,0.668393 
22,202.7,3.641,44.9104,2.019,1.23786,22,22827.7,0,5,101,125,0,5,135,-7.77991,-6.47533,-11.2557,-0.693014,-6.67413,-108.885,13.1697,30206.7,-17.7846,16439.4,-7.3592,-6.05462,-10.4142,-0.272305,-6.25342,0.656905,19.5329,30683.9,-11.4214,3.35199,0.00036363,1.0002,5.82725,372.07,422.376,0.361904,40644.9,9.13308e-07,0.434055,109.053,86.04,22.8873,24.1566,0.947457,476.164,540.361,0.555396 
23,201,2.701,44.6446,2.024,1.99342,23,22100.4,0,5,101,125,0,5,135,-7.15133,-3.50641,-7.32697,-3.06106,-2.07013,-124.494,3.53401,29001.5,0.222998,16439.4,-6.67031,-3.02539,-6.36493,-2.58004,-1.58911,0.685368,10.8094,29547.1,7.49843,0.545723,0.000209006,0.999862,19.8076,523.605,611.27,0.641922,39548.7,9.05023e-07,0.625114,110.026,85.1284,24.8093,26.5626,0.933996,559.495,653.361,0.668059 
24,201.5,2.978,44.7229,2.022,1.7526,24,20753,0,5,101,125,0,5,135,-2.24909,-1.65767,-7.12789,-6.00904,-4.49106,-147.864,18.0452,27032.5,9.39562,16439.4,-1.67777,-1.08635,-5.98525,-5.43772,-3.91974,0.669448,26.6864,27680.5,18.0368,0.552164,0.000550603,0.999646,48.3306,581.446,671.373,0.683322,37294.8,8.87492e-07,0.703999,109.124,84.1539,26.0223,27.7024,0.939353,615.54,710.633,0.745223 
25,202.9,3.752,44.9416,2.018,1.16075,25,26803.2,0,5,101,125,0,5,135,-4.48855,-2.38798,-7.27009,-7.23122,-5.17564,-21.78,2.95887,33837.2,-24.908,16439.4,-4.40439,-2.30383,-7.10179,-7.14706,-5.09148,0.727363,4.23169,33932.7,-23.6352,-0.175367,7.12569e-05,1.00038,-24.1305,398.339,452.978,0.439772,45156.4,9.45921e-07,0.449066,109.79,86.3621,22.7174,24.0058,0.946331,469.119,533.634,0.528942 
