cyc,wiggle on time,wiggle off time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
58,6,4.1,58,19866.2,0,5,101,125,0,5,135,-7.62137,-3.91133,-11.599,-4.41824,-5.29063,-126.004,4.39253,26317.6,3.25409,16439.4,-7.13451,-3.42447,-10.6253,-3.93139,-4.80377,0.64487,11.7562,26869.8,10.6178,0.479894,0.000249952,0.999786,24.4976,494.85,576.554,0.736811,34703.9,8.66445e-07,0.616475,109.664,85.4186,23.8701,25.5249,0.935169,517.934,603.311,0.645159 
59,4,6.1,59,18023,0,5,101,125,0,5,135,-4.03137,-2.16735,-5.89712,-4.22382,-4.65173,-103.982,1.52232,24944.8,-12.0169,16439.4,-3.6296,-1.76558,-5.09359,-3.82206,-4.24996,0.725573,7.59904,25400.5,-5.94017,16.1396,0.000170924,1.00013,0.470832,460.536,537.5,0.580533,33321.7,8.54786e-07,0.582054,109.601,84.8475,23.4891,25.1475,0.934051,501.53,585.603,0.634005 
60,2,8.1,60,19283.7,0,5,101,125,0,5,135,-8.58093,-3.60957,-7.5661,-5.34542,-5.26303,-112.021,12.2065,25573.3,-10.8007,16439.4,-8.1481,-3.17674,-6.70044,-4.91259,-4.83021,0.7587,18.753,26064.2,-4.25421,1.37405,0.000410968,1.00009,13.6479,445.744,518.193,0.582866,33712.1,8.58112e-07,0.560073,110.179,85.2042,23.0983,24.6733,0.936166,484.981,563.723,0.609328 
61,5,5.1,61,19909.3,0,5,101,125,0,5,135,-6.27539,-2.52043,-8.32835,-6.14676,-6.26317,-177.298,14.0551,26284.6,7.11017,16439.4,-5.59035,-1.83539,-6.95826,-5.46172,-5.57813,0.72631,24.4164,27061.7,17.4715,0.538018,0.000515306,0.99965,45.3822,507.308,583.913,1.52696,34518.9,8.64903e-07,0.629278,109.525,85.1085,23.6897,25.1811,0.940773,510.134,587.166,0.632784 
62,9,1.1,62,19162.1,0,5,101,125,0,5,135,-7.9437,-4.47244,-12.0036,-8.82264,-4.8943,-37.1428,-2.70745,26344.9,-10.1108,16439.4,-7.80019,-4.32893,-11.7166,-8.67913,-4.75079,0.685676,-0.536821,26507.7,-7.9402,0.0533351,-1.15724e-05,1.00016,-10.0651,511.232,598.001,0.621483,36000,8.77101e-07,0.630391,109.874,84.6515,24.5895,26.3436,0.933413,549.621,642.632,0.677585 
63,8,2.1,63,19863.6,0,5,101,125,0,5,135,-8.83543,-0.100677,-7.41275,-3.82036,-4.50336,-79.4175,4.63192,26532.9,12.0792,16439.4,-8.52858,0.206177,-6.79904,-3.51351,-4.19651,0.702207,9.27307,26881,16.7204,0.316082,0.000197085,0.999662,29.3375,534.527,624.818,4.36037e+07,35675,8.74453e-07,0.660884,109.785,84.8199,24.2496,25.9759,0.933541,534.531,624.818,0.660887 
64,10,0.1,64,20523.1,0,5,101,125,0,5,135,-8.0401,-5.37637,-5.41949,-1.51933,-6.83183,-75.5651,-1.5476,26635.6,10.6999,16439.4,-7.74813,-5.0844,-4.83556,-1.22736,-6.53986,0.809888,2.86843,26966.8,15.1159,0.136543,6.07785e-05,0.999696,21.0075,539.224,630.659,1.18883,35465.7,8.7274e-07,0.668186,109.668,84.9655,24.4996,26.2496,0.933331,545.611,638.056,0.676061 
65,4,6.1,65,19414,0,5,101,125,0,5,135,-9.26117,-3.5859,-6.414,-6.5592,-5.99474,-15.2867,19.3266,26080.9,-1.73365,16439.4,-9.20211,-3.52683,-6.29587,-6.50014,-5.93568,0.799881,20.22,26147.9,-0.840299,1.05249,0.000441687,1.00002,19.2116,487.554,574.614,1.00862,34259.8,8.62734e-07,0.613512,109.498,85.128,23.3768,25.1441,0.929714,496.747,585.442,0.625076 
66,7,3.1,66,20251.4,0,5,101,125,0,5,135,-6.11848,-3.65628,-11.4404,-4.91983,-9.23956,-49.8337,10.4309,27159.8,-4.16071,16439.4,-5.92593,-3.46373,-11.0553,-4.72728,-9.04701,0.676927,13.3432,27378.2,-1.24843,1.12648,0.000278417,1.00002,11.845,486.633,580.802,0.690157,35324.1,8.71576e-07,0.609971,109.815,84.7793,23.7766,25.736,0.923864,513.884,613.332,0.644132 
67,6,4.1,67,21362.5,0,5,101,125,0,5,135,-5.49838,-6.22084,-10.6328,-5.67226,-7.71012,-62.23,7.49498,28193.6,0.535827,16439.4,-5.25793,-5.9804,-10.1519,-5.43181,-7.46967,0.703955,11.1317,28466.3,4.17255,0.68975,0.000223406,0.99992,16.1388,500.431,579.103,65.1362,36683.8,8.82619e-07,0.609926,109.829,84.9601,23.804,25.2959,0.941023,515.07,592.533,0.625916 
68,2,8.1,68,20549.9,0,5,101,125,0,5,135,-6.08419,-5.2775,-9.58345,-6.66616,-5.80662,-103.117,12.9427,26991.5,-15.1162,16439.4,-5.68577,-4.87907,-8.7866,-6.26773,-5.4082,0.716811,18.9689,27443.5,-9.09006,2.35322,0.000394814,1.00018,8.0608,454.024,536.537,0.673514,35470.3,8.72777e-07,0.565504,109.962,85.537,23.0033,24.7778,0.928387,481.003,568.508,0.599154 
69,5,5.1,69,20185.7,0,5,101,125,0,5,135,-8.34018,-7.04072,-4.06203,-6.29986,-2.63422,-53.3334,4.3089,26879.7,0.568961,16439.4,-8.13411,-6.83465,-3.64989,-6.09379,-2.42815,0.865519,7.42571,27113.5,3.68577,0.626715,0.000156476,0.999926,11.8486,479.061,560.427,0.705879,35939.6,8.7661e-07,0.591083,109.505,84.9748,23.5495,25.2383,0.933089,504.115,589.836,0.622048 
70,9,1.1,70,22432.7,0,5,101,125,0,5,135,-3.13755,-5.09032,-14.4607,-2.34405,-9.50337,-15.3589,21.536,28680.8,-0.501206,16439.4,-3.07821,-5.03098,-14.342,-2.28471,-9.44403,0.580397,22.4336,28748.1,0.39637,0.979238,0.000445715,0.999993,22.9092,480.429,576.358,0.537799,37765.9,8.91213e-07,0.590445,109.418,85.0782,24.2193,26.2797,0.921595,533.197,639.52,0.655223 
71,8,2.1,71,18327.3,0,5,101,125,0,5,135,-7.85774,-2.52379,-12.8049,-6.05849,-8.06869,27.5805,8.46941,25529.2,-5.86842,16439.4,-7.9643,-2.63036,-13.018,-6.16505,-8.17526,0.656996,6.85761,25408.3,-7.48022,-3.23678,0.000154203,1.00016,-2.11865,507.909,601.053,1.17597,34187.1,8.62123e-07,0.640885,109.762,84.8611,23.7802,25.6304,0.927812,514.041,608.31,0.648623 
72,10,0.1,72,21249.3,0,5,101,125,0,5,135,-9.28489,-3.18902,-8.89265,-5.13925,-11.0609,41.8685,0.999949,27689.3,7.5646,16439.4,-9.44667,-3.35079,-9.21619,-5.30102,-11.2227,0.76085,-1.44684,27505.8,5.11781,-0.308198,-3.00589e-05,0.999899,4.69452,482.432,607.849,889.067,35581.9,8.73691e-07,0.619809,109.717,84.6952,24.1768,26.0061,0.92966,531.329,626.271,0.660244 
73,4,6.1,73,19056.6,0,5,101,125,0,5,135,-6.02364,-7.82979,-11.8043,-3.83539,-4.4224,-57.6387,-8.3345,25808.5,9.31618,16439.4,-5.80093,-7.60708,-11.3589,-3.61268,-4.1997,0.651346,-4.9661,26061.1,12.6846,-0.484242,-0.000108901,0.999736,10.2554,477.562,562.168,0.817469,35012.6,8.69007e-07,0.596245,109.566,85.5454,23.3122,25.0591,0.930287,494.005,581.493,0.616758 
74,7,3.1,74,20957.2,0,5,101,125,0,5,135,-5.97879,-3.49016,-14.1065,-6.49513,-9.48074,-57.5669,-7.20609,27758.4,17.6813,16439.4,-5.75637,-3.26773,-13.6616,-6.2727,-9.25831,0.642523,-3.84188,28010.7,21.0456,-0.17942,-7.83821e-05,0.999592,21.4128,511.075,621.351,0.849682,37451.2,8.88731e-07,0.634075,109.779,84.9809,24.0749,26.3036,0.915272,526.861,640.681,0.653731 
75,6,4.1,75,19739.7,0,5,101,125,0,5,135,-7.39906,-6.8,-7.50635,-7.37733,-9.38359,-66.644,-0.672884,26015.7,13.0816,16439.4,-7.14156,-6.5425,-6.99136,-7.11983,-9.12609,0.810642,3.22179,26307.8,16.9763,0.136555,6.99751e-05,0.99965,23.5933,476.395,556.003,0.617517,34532.6,8.65018e-07,0.594973,110.004,85.2056,23.7451,25.4226,0.934018,512.525,598.482,0.640263 
