cyc,Field,#2,#3,#4,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
50,201.4,2.922,44.7073,2.023,50,18542.1,0,5,101,125,0,5,135,-3.4962,-3.71716,-4.71301,-6.0139,-5.68734,-93.9324,5.50206,25539.3,-16.0977,16439.4,-3.13327,-3.35423,-3.98714,-5.65096,-5.3244,0.814119,10.9915,25951,-10.6083,-6.32251,0.000241969,1.00022,-1.73847,517.579,610.408,0.732215,35136.5,8.7003e-07,0.646047,110.528,85.2005,24.422,26.278,0.929369,542.158,639.435,0.676748 
51,202.6,3.586,44.8948,2.019,51,24969.4,0,5,101,125,0,5,135,0.889189,-4.63174,-10.6297,-7.1118,-7.12902,33.211,-5.64279,32322.1,-29.7998,16439.4,0.760868,-4.76006,-10.8864,-7.24012,-7.25734,0.629502,-7.58364,32176.5,-31.7407,0.166044,-0.000134697,1.00054,-45.6725,389.458,448.557,0.444644,43579.9,9.34782e-07,0.447125,110.812,86.1822,22.4141,23.8295,0.940602,456.674,525.826,0.524221 
52,202.1,3.309,44.8167,2.021,52,23763.4,0,5,101,125,0,5,135,-0.388161,-5.32594,-12.163,-3.11424,-2.76762,-17.3797,10.4629,30977.4,-13.3663,16439.4,-0.321009,-5.25879,-12.0287,-3.04709,-2.70047,0.484986,11.4786,31053.6,-12.3506,-3.43449,0.000211177,1.00022,-3.34214,437.812,514.085,0.5874,41784.7,9.21767e-07,0.514684,110.499,85.5283,22.8688,24.5413,0.931849,475.393,557.71,0.558611 
53,202.8,3.696,44.926,2.019,53,24358.8,0,5,101,125,0,5,135,-5.07735,-4.21518,-14.6309,-3.85254,-5.27642,22.6142,-5.53273,31414.7,-25.7633,16439.4,-5.16472,-4.30256,-14.8056,-3.93991,-5.36379,0.55905,-6.85431,31315.6,-27.0849,0.174161,-0.000125089,1.00047,-39.3562,392.44,439.52,0.425232,42851.2,9.29543e-07,0.446793,110.239,85.743,22.685,23.7739,0.954199,467.781,523.373,0.532301 
54,202.7,3.641,44.9104,2.019,54,25615.5,0,5,101,125,0,5,135,-3.13201,-7.15832,-5.60028,-4.37986,-6.99108,-104.663,-9.28286,32656.1,-10.0182,16439.4,-2.72761,-6.75392,-4.79149,-3.97547,-6.58668,0.807068,-3.16633,33114.8,-3.90171,0.403438,-5.46411e-05,1.00006,-7.84838,409.328,473.896,0.522278,44047.9,9.38116e-07,0.469483,110.987,85.482,22.4139,23.8879,0.938294,456.666,528.406,0.523633 
55,202.3,3.42,44.848,2.02,55,23470.7,0,5,101,125,0,5,135,-3.98863,-5.42359,-11.4863,-9.04378,-7.83309,-15.4231,6.10025,30646.2,-28.672,16439.4,-3.92904,-5.364,-11.3671,-8.98419,-7.7735,0.696212,7.00157,30713.8,-27.7706,-0.265985,0.000130247,1.00049,-26.3232,393.2,452.882,0.446805,41230.4,9.17672e-07,0.459845,110.192,84.976,22.5028,23.9305,0.940341,460.297,530.291,0.538379 
56,202,3.254,44.8011,2.021,56,21269,0,5,101,125,0,5,135,-3.61891,-4.63194,-11.7222,-8.6375,-10.3165,-43.3692,16.9486,28325.7,-15.4579,16439.4,-3.45134,-4.46437,-11.3871,-8.46993,-10.1489,0.699721,19.4831,28515.8,-12.9234,4.90137,0.000390269,1.00025,3.97502,451.356,511.41,0.731961,38406,8.96221e-07,0.53608,110.401,85.759,22.7996,24.0404,0.948387,472.52,535.175,0.561104 
57,201.3,2.867,44.6916,2.023,57,18736.1,0,5,101,125,0,5,135,-1.9322,-2.6827,-7.40367,-0.919643,-5.15439,-67.1184,7.40941,25758.7,-21.3623,16439.4,-1.67287,-2.42337,-6.885,-0.660311,-4.89505,0.583651,11.3318,26052.9,-17.4399,-1.18088,0.000248483,1.00036,-9.59608,523.996,593.883,0.624939,35703.3,8.74684e-07,0.637768,110.425,85.5222,24.8785,26.2354,0.948278,562.618,637.366,0.684621 
58,201.1,2.756,44.6603,2.024,58,17754.1,0,5,101,125,0,5,135,-5.01933,0.546206,-9.35619,-7.4439,-3.0015,-137.112,11.2457,24926,-4.62551,16439.4,-4.48956,1.07598,-8.29664,-6.91412,-2.47172,0.606721,19.2586,25527,3.38731,0.825721,0.000430923,0.999928,23.3233,531.937,620.514,0.858762,34485.9,8.64628e-07,0.664472,110.438,85.1896,24.5574,26.2714,0.934756,548.189,639.117,0.684583 
59,202.4,3.475,44.8636,2.02,59,22660.3,0,5,101,125,0,5,135,-6.65287,-6.9234,-4.13431,-6.77077,-9.30501,-8.85313,-5.25587,29493.3,-28.7106,16439.4,-6.61867,-6.88919,-4.0659,-6.73656,-9.2708,0.878923,-4.73849,29532.1,-28.1932,0.122853,-9.16955e-05,1.00052,-38.5703,395.521,453.632,0.47046,39657.4,9.05851e-07,0.467606,110.266,86.1306,22.3781,23.7404,0.942618,455.212,521.902,0.538078 
60,202.9,3.752,44.9416,2.018,60,25149.6,0,5,101,125,0,5,135,-3.90205,-1.39798,-6.5483,-4.95376,-6.90373,-31.1005,1.98569,31445.1,-26.9568,16439.4,-3.78188,-1.27781,-6.30797,-4.83359,-6.78357,0.725559,3.8032,31581.4,-25.1393,-0.144257,6.88098e-05,1.00043,-26.364,368.738,432.786,0.415719,41748.3,9.21499e-07,0.433512,110.013,86.1792,22.0908,23.6978,0.932189,443.597,520.028,0.52121 
61,201.2,2.812,44.676,2.023,61,18524.8,0,5,101,125,0,5,135,-4.20951,-5.08897,-12.6043,-5.0346,-5.35652,-71.4069,11.6869,25572.6,-8.43415,16439.4,-3.93361,-4.81306,-12.0525,-4.7587,-5.08061,0.606621,15.86,25885.6,-4.26114,1.47581,0.000349988,1.00009,10.7466,494.602,560.687,0.496162,35383.5,8.72065e-07,0.603864,110.225,85.8301,24.8462,26.2149,0.947791,561.159,636.367,0.685249 
62,201.7,3.088,44.7542,2.022,62,19243,0,5,101,125,0,5,135,-3.8117,-2.28267,-13.6529,0.416968,-6.93945,-32.0797,20.3454,25708,-27.0644,16439.4,-3.68775,-2.15872,-13.405,0.540917,-6.8155,0.47485,22.2201,25848.6,-25.1896,-2.77492,0.000490973,1.00053,-8.00746,475.269,538.414,0.640344,34964.8,8.68611e-07,0.582375,109.937,85.6178,23.6305,24.9191,0.948286,507.586,575.013,0.621968 
63,201.5,2.978,44.7229,2.022,63,16283.7,0,5,101,125,0,5,135,-1.29934,-7.43036,-12.796,-3.10088,-3.80179,-20.7178,2.72506,23621.9,-13.557,16439.4,-1.21929,-7.35031,-12.6359,-3.02083,-3.72175,0.547879,3.93581,23712.7,-12.3463,-0.361756,9.48362e-05,1.00028,-10.8797,490.821,564.947,0.578456,33058.4,8.52529e-07,0.61767,109.992,85.0523,24.2596,25.7816,0.940965,534.974,615.506,0.673091 
64,203,3.807,44.9571,2.018,64,23037.1,0,5,101,125,0,5,135,-9.20548,-1.53233,-14.9162,-7.33652,-7.36733,-31.9378,7.18033,30060,-23.6686,16439.4,-9.08208,-1.40893,-14.6694,-7.21311,-7.24393,0.629724,9.04678,30200,-21.8021,-0.528563,0.000171149,1.00039,-17.1158,377.976,421.837,0.430438,40359.2,9.11163e-07,0.438236,110.431,85.8774,22.2103,23.2357,0.95587,448.409,499.946,0.51964 
65,202.5,3.53,44.8792,2.019,65,20976.8,0,5,101,125,0,5,135,-2.87472,-2.54189,-7.45584,-2.81939,-3.41159,-52.769,8.9182,28038.2,-21.4442,16439.4,-2.67083,-2.338,-7.04806,-2.6155,-3.20771,0.605815,12.002,28269.5,-18.3604,-1.19656,0.000242546,1.00035,-10.0304,363.813,417.189,0.399705,37986.6,8.92946e-07,0.436295,110.296,86.2623,22.1184,23.4579,0.942899,444.706,509.554,0.533097 
66,201.9,3.199,44.7855,2.021,66,21842.4,0,5,101,125,0,5,135,-3.86515,-5.61622,-11.1411,-9.81796,-5.07951,-76.3728,-2.97796,28723.7,-25.1589,16439.4,-3.57006,-5.32113,-10.5509,-9.52287,-4.78442,0.687376,1.48527,29058.5,-20.6957,-0.0636103,2.92066e-05,1.00039,-23.3495,458.135,525.081,0.582989,39365,9.03619e-07,0.542781,110.01,85.6075,23.4125,24.8308,0.942882,498.266,570.944,0.590259 
67,202.2,3.365,44.8324,2.02,67,22918.8,0,5,101,125,0,5,135,-0.764049,-3.84752,-10.8672,0.427915,-5.58738,-73.2571,-1.92356,29871.6,-7.47313,16439.4,-0.480998,-3.56447,-10.3011,0.710965,-5.30433,0.456117,2.35758,30192.7,-3.19199,-1.60074,4.46177e-05,1.00006,-1.47281,390.006,446.28,0.427449,40043.3,9.0878e-07,0.459071,110.258,86.2371,22.6136,23.9447,0.944409,464.841,530.922,0.54665 
68,201,2.701,44.6446,2.024,68,20033.7,0,5,101,125,0,5,135,-1.9308,-1.15002,-5.44982,-8.21149,-6.18641,-146.331,12.2888,26831.1,-9.16026,16439.4,-1.36541,-0.584625,-4.31903,-7.6461,-5.62101,0.778921,20.8404,27472.5,-0.608692,1.03632,0.000433293,1.00001,20.11,542.158,608.008,0.722866,36657,8.82404e-07,0.650654,110.497,84.8666,25.0257,26.2486,0.953411,569.297,638.006,0.68299 
69,201.6,3.033,44.7386,2.022,69,21050.3,0,5,101,125,0,5,135,-5.49058,-1.19604,-6.07667,-6.57088,-4.78178,-86.866,-6.15926,27676.6,-12.5752,16439.4,-5.15495,-0.86041,-5.4054,-6.23525,-4.44615,0.755435,-1.08282,28057.3,-7.49871,0.107409,-2.20536e-05,1.00015,-10.0813,494.795,572.516,0.594363,38192.9,8.9456e-07,0.594973,110.013,85.5026,24.2874,25.8868,0.938216,536.201,620.538,0.64482 
70,201.8,3.143,44.7699,2.022,70,19083.5,0,5,101,125,0,5,135,-0.750845,-1.56813,-6.43019,-7.99066,-2.51282,-111.597,9.66427,25982.2,-15.7506,16439.4,-0.319656,-1.13694,-5.56781,-7.55948,-2.08163,0.665908,16.186,26471.4,-9.22886,3.16666,0.00034928,1.00019,5.11138,458.245,519.808,0.517518,35462.6,8.72714e-07,0.55924,110.266,85.8374,23.7642,25.073,0.947803,513.349,582.135,0.626392 
71,201.4,2.922,44.7073,2.023,71,17830.2,0,5,101,125,0,5,135,-8.155,-1.32519,-9.25318,-6.281,-3.48925,-46.6708,11.7368,25477.2,-22.5853,16439.4,-7.97467,-1.14487,-8.89253,-6.10067,-3.30892,0.675711,14.4643,25681.7,-19.8579,-1.54447,0.000321732,1.00042,-9.36517,518.482,584.986,0.683491,35249.8,8.70965e-07,0.632323,110.571,85.4451,24.5666,25.8458,0.950506,548.6,618.576,0.668842 
72,202.6,3.586,44.8948,2.019,72,22630.6,0,5,101,125,0,5,135,-3.76576,-1.88421,-10.7947,-4.78969,-7.97417,-51.4673,19.9411,29526.6,-29.0202,16439.4,-3.5669,-1.68535,-10.397,-4.59083,-7.77531,0.628883,22.9489,29752.2,-26.0125,-2.77625,0.000440568,1.00047,-8.26613,384.188,444.688,0.438767,40016.1,9.08574e-07,0.454925,110.499,85.9455,22.3116,23.7895,0.937875,452.509,524.063,0.535976 
73,202.1,3.309,44.8167,2.021,73,19727.7,0,5,101,125,0,5,135,-4.12923,-3.95519,-0.506195,-10.5228,-4.84278,-58.1209,-1.3639,27069.4,-26.6121,16439.4,-3.90466,-3.73063,-0.0570605,-10.2983,-4.61821,0.997476,2.03269,27324.1,-23.2156,-0.0787071,4.25078e-05,1.00046,-25.826,399.5,461.552,0.461276,36751.7,8.83164e-07,0.486214,110.452,86.2831,22.5736,24.0231,0.939665,463.2,534.404,0.56335 
74,202.8,3.696,44.926,2.019,74,23316.1,0,5,101,125,0,5,135,0.21899,-2.5579,-9.66134,-5.21529,-7.68471,-42.8252,4.56857,30291.6,-20.506,16439.4,0.384458,-2.39243,-9.3304,-5.04982,-7.51924,0.609728,7.07128,30479.3,-18.0033,-0.486578,0.000132556,1.00032,-14.5327,376.986,429.271,0.409955,40780.6,9.14323e-07,0.439976,110.102,85.9058,22.3944,23.6791,0.945744,455.873,519.21,0.532101 
75,202.7,3.641,44.9104,2.019,75,24275,0,5,101,125,0,5,135,-3.94056,-2.04445,-5.29707,-7.82665,-6.28896,-111.909,1.42162,31428.8,-33.8027,16439.4,-3.50816,-1.61205,-4.43228,-7.39425,-5.85657,0.80563,7.9616,31919.3,-27.2628,-0.321632,0.000142511,1.00046,-24.7537,392.629,442.429,0.425358,43057.6,9.31033e-07,0.44766,110.06,86.5748,22.6857,23.8726,0.950279,467.809,527.732,0.533673 
76,202.3,3.42,44.848,2.02,76,24460.7,0,5,101,125,0,5,135,1.06952,-3.94642,-5.69237,-4.84547,-6.56801,47.4106,-4.30724,31482.9,-14.5337,16439.4,0.886336,-4.12961,-6.05874,-5.02865,-6.7512,0.712609,-7.07791,31275.1,-17.3043,0.254207,-0.000129337,1.0003,-27.8431,411.856,471.202,0.481243,42473.3,9.26802e-07,0.475324,110.084,85.9933,22.7592,24.0983,0.944436,470.849,537.754,0.542932 
77,202,3.254,44.8011,2.021,77,20912,0,5,101,125,0,5,135,-5.51605,-5.68198,-16.5775,-8.46419,-9.70202,-53.2496,-1.37286,27840.7,-28.0264,16439.4,-5.3103,-5.47623,-16.166,-8.25845,-9.49627,0.638403,1.73905,28074.1,-24.9144,-0.0617598,3.53958e-05,1.00048,-28.1583,406.654,458.446,0.427181,37919.3,8.92419e-07,0.483824,110.235,85.8446,23.0915,24.2897,0.950667,484.694,546.334,0.576626 
78,201.3,2.867,44.6916,2.023,78,16881.8,0,5,101,125,0,5,135,-4.01485,0.955938,-3.16461,-7.79677,-5.36188,-36.1252,-0.0523461,23650.9,-2.92324,16439.4,-3.87527,1.09552,-2.88545,-7.65719,-5.2223,0.844405,2.05881,23809.3,-0.812084,1.89873,4.94095e-05,1.00002,1.08431,539.818,616.846,1.15792,33166.9,8.53461e-07,0.676127,110.142,85.3179,24.5234,25.9721,0.944224,546.674,624.633,0.684688 
79,201.1,2.756,44.6603,2.024,79,20511.8,0,5,101,125,0,5,135,-3.65413,-5.82891,0.104625,-5.83466,-8.24109,-72.1508,-0.875821,27253.4,-13.2403,16439.4,-3.37535,-5.55013,0.662178,-5.55589,-7.96232,1.0304,3.34067,27569.6,-9.02377,-0.446145,6.92364e-05,1.00018,-7.48786,550.811,630.924,1.01966,37802.9,8.91505e-07,0.66125,110.021,84.692,24.8438,26.3404,0.943183,561.051,642.477,0.673452 
80,202.4,3.475,44.8636,2.02,80,22781,0,5,101,125,0,5,135,-3.17338,1.74626,-10.7248,-6.24947,-6.05907,-65.5346,-3.70719,29645,-21.1468,16439.4,-2.92017,1.99947,-10.2184,-5.99626,-5.80586,0.554583,0.122649,29932.3,-17.3169,-0.00593722,2.34145e-06,1.00031,-20.6576,399.93,458.787,0.50165,40074.3,9.09014e-07,0.471224,110.588,86.115,22.2829,23.6232,0.943265,451.346,516.761,0.531287 
81,202.9,3.752,44.9416,2.018,81,22205.4,0,5,101,125,0,5,135,-6.92775,-1.72319,-5.74158,-3.88864,-3.44959,-149.223,-9.70026,29483.2,-29.9125,16439.4,-6.35118,-1.14662,-4.58844,-3.31208,-2.87302,0.748872,-0.979645,30137.2,-21.1919,0.0370938,-1.85753e-05,1.00038,-26.41,387.358,450.284,0.507726,39818.9,9.07079e-07,0.46042,109.88,86.2146,21.8916,23.3728,0.93663,435.633,505.862,0.517525 
82,201.2,2.812,44.676,2.023,82,17279.3,0,5,101,125,0,5,135,-3.80008,-3.62214,-10.8175,-6.89766,-7.40137,-92.7179,3.23604,24548.9,-30.5221,16439.4,-3.44184,-3.26389,-10.101,-6.53942,-7.04312,0.667613,8.65447,24955.3,-25.1037,-0.403097,0.000198131,1.00055,-21.4699,513.528,592.274,0.713873,33557.7,8.568e-07,0.643671,110.188,85.1874,24.3739,25.929,0.940024,540.027,622.565,0.676738 
83,201.7,3.088,44.7542,2.022,83,20172.4,0,5,101,125,0,5,135,-4.84696,-9.02201,-9.79406,-1.45681,-6.15122,-20.0605,-0.840637,27083.9,-23.1725,16439.4,-4.76945,-8.9445,-9.63904,-1.3793,-6.07371,0.687105,0.331699,27171.8,-22.0002,-0.0127241,6.97564e-06,1.00044,-26.0685,503.763,581.928,178.592,37102.3,8.85963e-07,0.611128,110.074,85.879,23.5382,25.0186,0.94083,503.631,579.612,0.609831 
84,201.5,2.978,44.7229,2.022,84,20712,0,5,101,125,0,5,135,-4.01932,-6.894,-8.38837,-1.53975,-7.702,-31.093,21.4411,27601,3.43105,16439.4,-3.89919,-6.77387,-8.1481,-1.41962,-7.58186,0.707141,23.2581,27737.3,5.24813,0.786921,0.000478923,0.999897,29.5559,529.379,610.406,1.26574,38134.9,8.94107e-07,0.635775,110.089,85.5412,24.2492,25.7985,0.939943,534.514,616.315,0.641936 
85,203,3.807,44.9571,2.018,85,22507.9,0,5,101,125,0,5,135,-1.8156,-1.49627,-11.6112,-0.164282,-1.34101,-85.9401,15.8233,29750.3,-15.6954,16439.4,-1.48355,-1.16422,-10.9471,0.167773,-1.00896,0.241684,20.8456,30127,-10.6731,2.5934,0.000395229,1.00019,8.03793,369.62,426.282,0.425126,40062.3,9.08923e-07,0.436716,110.038,85.8056,22.0165,23.4129,0.940355,440.616,507.603,0.520314 
86,202.5,3.53,44.8792,2.019,86,18486.1,0,5,101,125,0,5,135,-3.27017,-4.64813,-5.6468,-6.80693,-1.13323,11.8541,-1.25161,25874.9,-32.7993,16439.4,-3.31598,-4.69393,-5.7384,-6.85273,-1.17903,0.73653,-1.94436,25823,-33.492,0.0461462,-4.3028e-05,1.0007,-42.1348,376.341,440.048,0.515633,35227.2,8.70779e-07,0.46734,110.152,86.3757,21.5247,23.0482,0.9339,421.152,491.909,0.522702 
87,201.9,3.199,44.7855,2.021,87,19628.4,0,5,101,125,0,5,135,-5.05946,-4.69978,-4.45075,-2.5048,-6.93616,-123.105,8.65118,27174.5,-20.7389,16439.4,-4.58381,-4.22413,-3.49944,-2.02914,-6.46051,0.831734,15.8455,27714.1,-13.5446,-38.8325,0.000326606,1.00027,-0.408046,420.939,486.486,0.471956,37525.4,8.89318e-07,0.508848,109.955,85.961,23.0879,24.577,0.939409,484.546,559.334,0.585391 
88,202.2,3.365,44.8324,2.02,88,22064.9,0,5,101,125,0,5,135,-2.77455,-2.70384,-7.44618,-7.00597,-2.88112,-79.3051,13.2326,29483.5,-39.4291,16439.4,-2.46813,-2.39742,-6.83334,-6.69955,-2.57471,0.674186,17.8672,29831.1,-34.7945,-0.748015,0.000342137,1.00063,-23.8862,419.403,488.846,0.513627,39483.9,9.04528e-07,0.500587,110.119,85.6967,22.7447,24.3241,0.935066,470.246,547.882,0.561156 
89,201,2.701,44.6446,2.024,89,18862,0,5,101,125,0,5,135,-0.476199,-4.74328,-12.4462,-7.45638,-4.86654,-77.0983,6.80017,25772.4,-6.01084,16439.4,-0.178307,-4.44539,-11.8504,-7.15848,-4.56865,0.579791,11.3058,26110.3,-1.50522,1.19014,0.000247368,1.00003,9.49953,528.748,591.263,0.864238,35238.9,8.70875e-07,0.642036,110.864,85.6566,24.4747,25.6361,0.954696,544.503,608.579,0.661002 
90,201.6,3.033,44.7386,2.022,90,16829.4,0,5,101,125,0,5,135,-7.20181,-2.16474,-10.3689,-4.91058,-7.33613,-50.5739,18.1274,24353.5,-8.28647,16439.4,-7.0064,-1.96933,-9.97804,-4.71517,-7.14072,0.676139,21.083,24575.1,-5.33093,1.4356,0.000489987,1.00012,14.6859,493.147,562.064,0.590076,33692.6,8.57946e-07,0.61365,110.06,85.2118,24.2601,25.6667,0.945198,534.995,610.03,0.665872 
91,201.8,3.143,44.7699,2.022,91,16909.1,0,5,101,125,0,5,135,-4.71366,-4.40111,-8.43733,-2.45813,-6.80278,-79.9559,14.0045,24315.3,-30.6367,16439.4,-4.40473,-4.09218,-7.81947,-2.1492,-6.49385,0.686713,18.6772,24665.8,-25.9641,-1.49659,0.000432504,1.00057,-12.4798,446.187,513.94,0.635373,33077.4,8.52692e-07,0.561594,109.991,85.5165,22.9104,24.3564,0.940634,477.125,549.335,0.600402 
92,201.4,2.922,44.7073,2.023,92,18637.5,0,5,101,125,0,5,135,1.60285,-1.59759,-9.362,-0.9979,-6.5022,-103.054,7.55907,25293.2,-22.7492,16439.4,2.00103,-1.19941,-8.56564,-0.599721,-6.10402,0.40795,13.5815,25744.9,-16.7267,-2.09252,0.000301362,1.00035,-6.49052,510.102,589.012,79.1212,33579.6,8.56986e-07,0.639612,109.73,85.3758,24.1451,25.6553,0.941135,529.935,609.488,0.663163 
93,202.6,3.586,44.8948,2.019,93,25716.8,0,5,101,125,0,5,135,-9.07587,-2.05694,-7.92327,-3.77968,-2.80934,-138.069,15.4166,32759.2,-23.3863,16439.4,-8.5424,-1.52347,-6.85633,-3.24621,-2.27587,0.694517,23.4853,33364.3,-15.3175,4.60112,0.00040207,1.00025,5.10427,395.3,459.16,0.441118,43989.1,9.37699e-07,0.45434,109.989,86.2303,22.6105,24.1564,0.936005,464.713,540.351,0.5344 
94,202.1,3.309,44.8167,2.021,94,22068.8,0,5,101,125,0,5,135,-0.570091,-6.22055,-7.96617,-7.1548,-7.54483,-69.7877,7.76475,29209.4,-42.317,16439.4,-0.300445,-5.9509,-7.42688,-6.88516,-7.27518,0.733216,11.8431,29515.3,-38.2386,-0.347886,0.000229236,1.0007,-34.0431,422.821,497.251,0.561837,39526.3,9.04851e-07,0.506744,109.897,85.4121,22.5773,24.2582,0.930709,463.352,544.917,0.55532 
95,202.8,3.696,44.926,2.019,95,24277.5,0,5,101,125,0,5,135,-4.4003,0.320192,-12.1127,-4.78393,-3.39215,-95.8712,1.51693,31313.7,-37.9,16439.4,-4.02987,0.690619,-11.3718,-4.41351,-3.02172,0.486513,7.11965,31733.9,-32.2973,-0.225041,0.000128186,1.00055,-31.6371,372.22,422.282,0.394549,42494.5,9.26956e-07,0.427703,110.132,86.2942,22.4246,23.6512,0.948139,457.106,517.988,0.524939 
96,202.7,3.641,44.9104,2.019,96,24466.4,0,5,101,125,0,5,135,2.87513,-4.17074,-10.5712,-3.47504,0.231008,-62.2806,5.59874,31754.7,-33.0444,16439.4,3.11577,-3.9301,-10.0899,-3.2344,0.471648,0.261731,9.23841,32027.7,-29.4047,-0.354679,0.000164802,1.0005,-26.0473,396.911,459.85,0.479733,42936.2,9.30157e-07,0.459302,110.35,85.93,22.3443,23.815,0.938246,453.837,525.187,0.524868 
97,202.3,3.42,44.848,2.02,97,19630,0,5,101,125,0,5,135,-4.63353,-0.420469,-6.56755,-5.4504,-9.94728,-82.3116,18.7662,26537.3,-51.7688,16439.4,-4.3155,-0.102433,-5.93148,-5.13236,-9.62924,0.76379,23.5765,26898.1,-46.9585,-0.719374,0.000500614,1.00095,-32.7737,383.317,451.433,0.510308,35962,8.76792e-07,0.474438,109.61,86.5017,21.7493,23.3898,0.92986,429.986,506.602,0.53231 
98,202,3.254,44.8011,2.021,98,20419.8,0,5,101,125,0,5,135,-3.72379,-1.70316,-6.27397,-3.79691,-6.76386,-142.961,3.40472,27761.6,-30.259,16439.4,-3.17142,-1.15079,-5.16923,-3.24454,-6.21148,0.727181,11.7593,28388.2,-21.9044,-0.809541,0.000236649,1.00042,-14.5259,419.533,486.245,0.485955,37690.3,8.90619e-07,0.50713,110.211,85.1118,22.9338,24.4579,0.937685,478.099,553.924,0.577819 
99,201.3,2.867,44.6916,2.023,99,18157.9,0,5,101,125,0,5,135,-9.05858,-0.53206,-7.51224,-7.29717,-3.12664,-24.0751,14.9066,24927.2,-11.1724,16439.4,-8.96555,-0.439038,-7.32619,-7.20415,-3.03362,0.728343,16.3135,25032.7,-9.76548,3.55032,0.000372255,1.00021,4.59495,531.553,605.189,1.28341,34354.6,8.63529e-07,0.656814,110.099,85.3099,24.2965,25.6833,0.946006,536.604,610.82,0.662989 
100,201.1,2.756,44.6603,2.024,100,17748.3,0,5,101,125,0,5,135,-9.14282,-4.48434,-10.2542,-6.13211,-2.9805,-130.352,14.743,24517.9,-28.4967,16439.4,-8.63916,-3.98068,-9.24684,-5.62845,-2.47684,0.691484,22.3608,25089.2,-20.8789,-8.30067,0.000509028,1.00045,-2.69386,548.021,629.894,8.79785e+10,33827.7,8.59091e-07,0.683901,110.554,85.1827,24.5537,26.0812,0.94143,548.022,629.896,0.683902 
101,202.4,3.475,44.8636,2.02,101,21313.5,0,5,101,125,0,5,135,-4.65379,-3.72953,-8.27914,-7.89793,-7.77357,-11.9922,17.6182,28526.7,-27.2332,16439.4,-4.60746,-3.6832,-8.18647,-7.8516,-7.72723,0.744619,18.319,28579.3,-26.5324,-1.35497,0.000366145,1.0005,-13.5199,404.128,468.142,0.516846,38434.8,8.96445e-07,0.485204,110.335,85.8736,22.3054,23.7748,0.938194,452.256,523.415,0.54274 
102,202.9,3.752,44.9416,2.018,102,23075.7,0,5,101,125,0,5,135,-3.47831,-5.39063,-5.81239,-8.66325,-4.72144,-18.4251,11.1051,30275.6,-34.9297,16439.4,-3.40712,-5.31944,-5.67001,-8.59206,-4.65025,0.794854,12.1818,30356.3,-33.853,-0.428308,0.000229259,1.00061,-28.4417,358.341,428.12,0.396679,40942.7,9.15533e-07,0.427816,110.221,86.0022,21.9822,23.791,0.923971,439.245,524.127,0.52408 
103,201.2,2.812,44.676,2.023,103,18111.8,0,5,101,125,0,5,135,-4.20334,-4.23747,-8.9115,-8.5155,-6.07843,-90.6504,15.7046,25211.6,-18.7235,16439.4,-3.85308,-3.88721,-8.21099,-8.16525,-5.72817,0.724876,21.0022,25609,-13.4259,4.29392,0.000468416,1.00028,4.89116,528.216,610.305,1.09621,34661.6,8.66093e-07,0.655563,110.179,85.467,24.2838,25.8622,0.938968,536.041,619.36,0.665283 
104,201.7,3.088,44.7542,2.022,104,18059.9,0,5,101,125,0,5,135,-6.02446,-6.69148,-6.63968,-7.65583,-5.0766,-116.933,4.65051,25071,-7.79126,16439.4,-5.57265,-6.23967,-5.73606,-7.20402,-4.62479,0.804744,11.4841,25583.5,-0.957682,1.1112,0.000256441,1.00002,10.3349,474.806,555.777,0.72082,33991.3,8.60474e-07,0.596995,110.023,85.6135,23.4099,25.0907,0.93301,498.155,582.96,0.626274 
105,201.5,2.978,44.7229,2.022,105,17764.2,0,5,101,125,0,5,135,-5.69477,-4.38812,-11.3294,-8.75996,-10.6321,-92.7219,23.5357,24284.3,-2.1654,16439.4,-5.33651,-4.02987,-10.6129,-8.4017,-10.2739,0.725445,28.9544,24690.7,3.25327,0.881189,0.000669658,0.999928,32.8583,470.299,538.805,0.560766,32643.5,8.48948e-07,0.592955,110.098,85.3863,23.8357,25.265,0.943426,516.44,591.087,0.650811 
106,203,3.807,44.9571,2.018,106,22818.7,0,5,101,125,0,5,135,1.81948,-4.6118,-10.057,-4.45839,-9.11848,-55.3079,21.9109,30022.7,-25.6128,16439.4,2.03318,-4.3981,-9.62956,-4.24469,-8.90479,0.617023,25.1431,30265.1,-22.3806,-14.6723,0.000474496,1.0004,-1.71364,378.16,429.367,0.445992,40496,9.12191e-07,0.44174,110.729,86.2632,22.0736,23.2983,0.947432,442.905,502.646,0.51725 
