cyc,Field,#2,#3,#4,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
18,202.9,3.752,44.9416,2.018,18,23389.4,0,5,101,125,0,5,135,-7.32227,-7.05709,-9.40614,-7.53187,-3.71523,-45.473,4.91969,30278,-17.0309,16439.4,-7.14657,-6.88139,-9.05475,-7.35617,-3.53953,0.733515,7.57713,30477.3,-14.3735,-0.783485,0.000142046,1.00026,-9.67107,365.016,412.571,0.375372,40899.3,9.1521e-07,0.424018,110.924,85.4378,22.4565,23.6637,0.948984,458.406,518.536,0.532714 
19,201.2,2.812,44.676,2.023,19,19322,0,5,101,125,0,5,135,-3.94996,-4.29513,-12.316,-5.46498,-4.15483,-64.2021,0.625804,25711,-9.96946,16439.4,-3.70189,-4.04707,-11.8199,-5.21692,-3.90677,0.588049,4.37777,25992.4,-6.21748,-1.41988,9.62337e-05,1.00013,-3.08321,548.874,610.067,1.29457,35678.5,8.74482e-07,0.66172,110.717,85.2661,24.6845,25.7833,0.957384,553.877,615.585,0.667728 
20,201.7,3.088,44.7542,2.022,20,16880,0,5,101,125,0,5,135,0.247902,-6.62977,-6.72904,-3.77869,-6.36,-124.119,0.867457,23626.8,-33.683,16439.4,0.727473,-6.15019,-5.7699,-3.29911,-5.88043,0.716775,8.12097,24170.8,-26.4295,-0.34419,0.000191953,1.00059,-23.5944,471.318,529.676,0.662281,32564.1,8.48258e-07,0.589025,110.424,85.8712,23.4678,24.639,0.952464,500.623,562.16,0.625399 
21,201.5,2.978,44.7229,2.022,21,18391.7,0,5,101,125,0,5,135,-1.02412,-2.87699,-10.7082,-4.1234,-8.75591,-74.8054,10.2732,25134.8,-26.7587,16439.4,-0.73509,-2.58795,-10.1302,-3.83437,-8.46688,0.606664,14.6448,25462.7,-22.3871,-1.19846,0.000328547,1.00048,-12.2197,514.811,578.187,0.733634,34378.4,8.63728e-07,0.631656,110.249,85.6312,24.3509,25.5677,0.952411,539.009,605.333,0.66133 
22,203,3.807,44.9571,2.018,22,22324.8,0,5,101,125,0,5,135,-6.8513,-2.20858,-16.1297,-7.76046,-7.75559,-149.299,14.191,29092.5,-28.683,16439.4,-6.27444,-1.63172,-14.9759,-7.1836,-7.17873,0.597901,22.916,29746.9,-19.9579,-22.1734,0.000440016,1.00036,-1.03349,366.926,408.108,0.430204,39018.3,9.00958e-07,0.429509,110.944,86.1517,21.8871,22.8691,0.957061,435.456,484.296,0.50971 
23,202.5,3.53,44.8792,2.019,23,22219.5,0,5,101,125,0,5,135,-9.09326,-7.05923,-12.6481,-8.88251,-5.06608,-115.867,20.0848,28967.6,-22.5182,16439.4,-8.64557,-6.61154,-11.7528,-8.43483,-4.61839,0.706644,26.856,29475.5,-15.747,3.374,0.000520376,1.00029,7.9597,379.146,435.857,0.430481,38783,8.99143e-07,0.452112,110.982,85.616,22.2576,23.6308,0.941888,450.32,517.094,0.536681 
24,201.9,3.199,44.7855,2.021,24,18051.2,0,5,101,125,0,5,135,-2.15465,-6.73097,-12.1239,-6.38592,-10.3521,-122.296,25.1864,24839.7,-32.304,16439.4,-1.68212,-6.25844,-11.1788,-5.91339,-9.8796,0.679804,32.3334,25375.7,-25.157,15.0738,0.000727577,1.00054,2.14501,425.99,472.764,0.479615,33385.4,8.5533e-07,0.524672,110.458,84.7018,23.1643,24.1686,0.958447,487.757,540.897,0.600516 
25,202.2,3.365,44.8324,2.02,25,20222.2,0,5,101,125,0,5,135,-3.89174,-5.71509,-6.76169,-3.02735,-2.52385,-87.4513,0.892812,27441.4,-30.2049,16439.4,-3.55385,-5.3772,-6.0859,-2.68945,-2.18595,0.694058,6.00347,27824.7,-25.0943,-0.249007,0.000123276,1.00049,-24.1096,416.935,468.477,0.577668,37050,8.85546e-07,0.499076,110.855,86.529,22.3522,23.4687,0.952428,454.158,510.023,0.543484 
26,201,2.701,44.6446,2.024,26,16494.9,0,5,101,125,0,5,135,-4.39775,-3.04746,-14.8909,-4.73406,-5.28098,-151.795,22.2754,23501.9,-2.34081,16439.4,-3.81125,-2.46096,-13.7179,-4.14755,-4.69448,0.524215,31.1463,24167.2,6.53009,0.798983,0.000735905,0.999853,38.9824,512.336,589.807,0.702795,32110.4,8.44301e-07,0.651081,111.23,85.0125,24.3704,25.8978,0.941023,539.871,621.064,0.68583 
27,201.6,3.033,44.7386,2.022,27,16778.3,0,5,101,125,0,5,135,-1.72875,-3.55559,-9.89227,-3.90113,-6.48776,-119.65,-5.68806,23990.8,-27.875,16439.4,-1.26645,-3.09329,-8.96767,-3.43883,-6.02546,0.606538,1.30426,24515.2,-20.8827,-0.054905,3.04003e-05,1.00046,-23.7549,480.067,536.179,0.598631,32978.7,8.51843e-07,0.595588,109.869,85.4385,23.9142,25.0286,0.955477,519.85,580.075,0.644646 
