cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,4,0,8718.15,-0.0384999,20.3126,9.6267,98.3377,-0.00019542,11.7928,500,0.0201897,0.934208,-0.827966,-1.04597,-0.941558,-104.365,3524.52,33.6269,5416.32,6365.66,0.677345,1.59136,0.486345,-0.388809,-0.284402,0.766387,3670.9,44.47,5562.7,0.442921,0.97924,0.0145126,8287.94,-7.71316e-05,0.59414,9.0645,8.13515,98.4338,69.6565,0.692191,9.74721,9.47863,97.7606,119.257,0.673248,-49.6005 
1,0,1,9839.38,-0.0440632,23.201,9.42729,98.8244,0.00511781,24.325,55.2913,0.433037,-0.214579,-1.29299,-2.33369,-0.677989,-79.5842,4332.17,43.7029,5659.72,7124.21,0.934157,0.286542,-0.290745,-1.83257,-0.176868,0.730663,4443.79,51.9714,5771.34,0.481242,0.979944,0.0163176,9234.01,-2.46864e-05,0.724186,9.0934,8.21632,98.8128,70.3092,0.735372,9.4059,9.65329,98.2783,120.091,0.534554,-49.7816 
2,0,2,9771.51,-0.00861199,22.5801,9.56103,99.0478,0.00965338,5.23644,0.0310519,-0.0392708,-0.106654,-2.56921,-2.6614,-0.887077,-77.4562,4302.47,53.8699,5608.7,7029.53,0.44845,0.381067,-1.59376,-2.17368,-0.399356,0.522437,4411.11,61.9173,5717.34,0.481746,0.976025,0.0195593,9156.5,0.000111376,0.702004,9.09604,8.32442,99.066,70.0919,0.710259,9.48885,9.68353,98.4257,119.825,0.640278,-49.7329 
3,9,3,6754.06,-0.00843,15.8956,9.43671,98.8509,-0.0358041,0.406724,500,1.37311,5.59651,-3.05217,1.96308,-0.0676937,-88.1175,2467.22,26.7472,4440.47,4883.55,1.92796,6.15136,-1.94247,2.51794,0.487158,1.21248,2590.81,35.9023,4564.06,0.406148,0.976324,0.0142836,6378.99,-3.3488e-05,0.415799,9.15238,8.07142,98.9795,70.3799,0.59103,9.38884,9.45304,98.3199,120.413,0.65957,-50.0333 
4,5,4,8338.48,-0.0360446,19.4625,9.51635,98.8103,-0.0441585,34.0145,478.982,0.554282,0.873289,-1.3869,-0.998483,1.28609,-103.315,3265.17,28.0046,5214.02,6078.15,1.20483,1.52384,-0.0858057,-0.347935,1.93664,1.02028,3410.08,38.7387,5358.93,0.433963,0.980507,0.0131412,7857.99,1.06575e-05,0.546973,9.00703,8.21968,98.9368,70.0786,0.675339,9.49011,9.60609,98.229,120.138,0.707806,-50.0595 
5,3.5,5,9102.83,-0.00446897,21.0157,-9.49719,98.5766,0.00452997,6.05879,2.05665e-10,-1.29774,0.0286822,-2.96325,-1.00946,-3.777,-90.8273,3745.69,42.4762,5462.37,6498.22,-0.725828,0.600597,-1.81942,-0.437548,-3.20509,0.674364,3873.09,51.9128,5589.76,0.454983,0.977081,0.0168201,8512.59,0.000176879,0.638336,8.8851,8.01727,98.6562,69.5352,0.735291,9.51083,9.14713,97.9335,119.105,0.722658,-49.57 
6,8,6,7093.53,-0.00315601,16.249,9.57916,98.5847,0.00096844,7.68272,6.23558e-11,-1.54473,0.0310989,-7.32483,-2.1563,-4.18452,-62.9244,2509.9,23.2261,4638.63,5067.24,-1.14851,0.427317,-6.53239,-1.76008,-3.7883,0.489735,2598.16,29.7637,4726.89,0.3984,0.980347,0.0114662,6521.47,0.000125069,0.409746,9.26839,8.18258,98.6132,69.0154,0.608443,9.4247,9.47969,98.0328,118.628,0.580416,-49.6125 
7,0,7,9214.35,-0.0262329,21.4847,9.45435,98.6693,0.12566,-15.7085,20.0176,1.95572,-1.76303,3.2102,-1.77375,2.32234,-92.7533,3847.81,38.0871,5476.31,6676.63,2.53976,-1.17899,4.37828,-1.18971,2.90638,0.412763,3977.91,47.7238,5606.4,0.460874,0.979437,0.0154386,8631.22,0.000129258,0.683563,8.74687,7.9268,98.7135,70.1191,0.740544,9.47639,9.11714,98.0263,119.748,0.687231,-49.6284 
8,0,8,9058.49,-0.0337178,21.5238,-9.39488,98.7273,0.0307611,33.5672,0.264895,3.48377,2.2789,-0.638977,-4.68434,-1.10155,-86.6397,3913.89,54.2245,5269.21,6616.33,4.02932,2.82445,0.452118,-4.13879,-0.556004,0.826847,4035.41,63.2261,5390.73,0.474212,0.973313,0.0211485,8509.72,7.61663e-06,0.685189,8.99653,7.98355,98.9486,69.6064,0.723533,9.2091,9.26116,98.0314,119.435,0.917172,-49.8285 
9,3,9,8953.56,-0.00282793,20.958,-9.57327,99.1243,-0.000696135,11.905,2.28203e-11,2.6967,-0.451168,-0.159602,-0.616486,0.779083,-124.032,3800.44,48.8952,5362.26,6531.65,3.4777,0.329831,1.4024,0.164513,1.56008,0.797766,3974.4,61.7817,5536.23,0.463786,0.973517,0.020143,8569.47,-7.4407e-05,0.645487,9.01035,8.04704,99.1775,70.0262,0.706597,9.58258,9.42463,98.5814,119.871,0.596073,-49.8445 
10,6,10,7616.23,-0.0118647,17.7901,9.37494,98.8826,-0.0134128,9.09378,349.616,-1.15796,1.45739,-3.50895,-0.966141,-3.2777,-76.345,2865.87,36.8825,4805.06,5433.26,-0.677236,1.93811,-2.5475,-0.485417,-2.79697,0.442439,2972.95,44.8144,4912.14,0.421694,0.974298,0.0165281,7050.03,0.00014464,0.498692,8.72366,8.09507,98.9398,69.684,0.64736,9.34466,9.32162,98.3173,119.195,0.62247,-49.5108 
11,10,11,6866.89,-0.0295842,16.0527,9.50072,98.936,-0.0190122,68.7711,71.6611,0.0924804,-0.592556,-3.75307,-1.08276,0.931265,-50.3645,2517.44,29.4043,4455.8,5007.33,0.409612,-0.275424,-3.11881,-0.765623,1.2484,-0.246603,2588.08,34.637,4526.44,0.407891,0.977115,0.0139001,6345.03,9.91335e-05,0.435173,8.77614,8.12957,99.1712,71.2569,0.585288,9.33411,9.50369,98.3518,121.147,0.819426,-49.8901 
12,2.5,12,9318.92,-0.0210085,21.2058,-9.68746,98.8327,0.00933441,-21.8534,1.611e-10,0.767368,-2.60581,-4.17641,-1.69462,0.0960192,-100.458,3891.39,32.5266,5542.93,6694.06,1.39992,-1.97326,-2.9113,-1.06206,0.728575,0.237504,4032.3,42.9638,5683.83,0.46084,0.981695,0.0137332,8749.87,5.04534e-05,0.641979,9.28691,8.06372,98.8459,69.7768,0.729424,9.5962,9.36102,98.2694,119.59,0.576469,-49.8136 
13,7,13,7450.56,-0.0392651,17.1769,9.68105,99.2733,0.0255017,12.9662,255.888,1.35815,0.450476,4.03697,-1.24189,1.53104,-105.211,2983.98,13.1902,4580.53,5424.06,2.02063,1.11296,5.36195,-0.579404,2.19353,0.469622,3131.55,24.1213,4728.1,0.443822,0.9867,0.00931035,7055.87,3.78375e-05,0.508013,9.08083,8.03288,99.5091,69.4728,0.605723,9.57516,9.27553,98.6448,119.23,0.864361,-49.7573 
