cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
95,-4,48.3719,0,95,17261,0.0175576,28.4384,12.7272,96.0891,-0.0122313,-52.5628,500,2.19398,3.52987,2.12317,5.96408,4.47341,-129.752,-89.9782,5.10382,16261.5,11803.3,3.011,4.34689,3.75721,6.7811,5.29043,0.837958,92.0122,18.5846,16443.5,0.00631855,0.738845,0.00207764,14562.2,10920.7,880.092,276262,0.00100716,0.0237874,10.6197,8.09368,119.323,56.8574,1.30362,12.4017,12.2124,95.8221,124.958,23.5011,-68.1004 
96,-4,48.3719,0,96,16533.4,0.119257,27.4427,12.5937,96.0669,-0.101901,-69.5139,4.24755,0.945517,3.01147,0.92892,1.52593,1.91893,-139.705,-82.788,-0.4066,15664.5,11481.2,1.8252,3.89116,2.68829,2.40561,2.79861,0.802461,113.162,14.1082,15860.4,0.00804258,0.820899,0.00163591,14070.4,10261.8,891.221,259131,0.000838914,0.0224409,11.1233,8.85646,119.66,58.4894,1.26805,12.3525,12.1536,95.7394,125.807,23.9203,-67.3175 
97,-4,48.3719,2.5,97,12979.7,0.0057625,21.538,12.5225,96.2238,-0.0111054,-13.6115,500,2.24193,1.92778,4.2731,1.93925,3.19586,-104.884,1702.93,26.9517,10323.4,8784.85,2.90235,2.58821,5.59395,2.59968,3.85629,0.681083,1850.04,37.8487,10470.5,0.167212,0.965435,0.00661479,11064.1,4817.92,5463.3,113464,0.0011533,0.201909,10.8451,9.57437,97.0922,73.9807,0.844257,12.2108,12.0576,95.7419,125.151,1.35027,-51.1707 
98,-4,48.3719,2,98,13621.4,0.143757,22.2064,12.5899,95.9371,-0.328153,324.04,470.819,1.73619,0.991717,3.29031,1.50912,0.514094,-132.965,1735.5,29.1516,10903.3,12562.7,2.57344,1.82896,4.9648,2.34636,1.35134,0.61999,1921.99,42.9662,11089.8,0.164539,0.962352,0.00708643,11681,5385.39,5727.73,127722,0.00125847,0.213775,10.7813,9.06827,96.6556,72.9094,0.901418,12.3289,11.7851,95.4687,124.276,1.18691,-51.3661 
99,-4,48.3719,3.5,99,14122,0.140247,22.9305,12.6838,96.0578,-0.0103866,3.84505,168.201,3.91983,-0.556854,3.56213,4.90926,0.920122,-131.495,1551.95,16.1992,11603.5,9469.33,4.74781,0.271133,5.2181,5.73724,1.74811,0.705565,1736.39,29.8609,11787.9,0.143387,0.970784,0.0046447,12109.8,5807.71,4655.09,139945,0.00111665,0.183958,10.9968,9.39991,96.8568,73.4972,0.921899,12.5922,12.1194,95.5753,124.495,1.28145,-50.9978 
100,-4,48.3719,3,100,13548.9,0.105211,21.6233,13.0587,96.1492,-0.0920954,20.8129,453.535,-1.09352,2.95324,4.28895,3.5024,0.54889,-76.3685,1692.49,4.82954,11009.3,9254.51,-0.612644,3.43411,5.2507,3.98327,1.02976,0.59873,1799.61,12.7639,11116.4,0.155379,0.98774,0.00211065,11582,5051.21,4924.63,120045,0.00104793,0.187673,11.1295,9.62284,96.8619,73.2065,0.83346,12.8468,12.4593,95.7353,124.802,1.12656,-51.5958 
101,-4,48.3719,5,101,14053.5,0.106104,22.9004,12.6907,96.0119,0.0965805,128.73,0.00219917,-1.19031,4.96257,6.27716,1.22107,3.07983,-77.5633,1037.09,15.7811,12030.1,9865.45,-0.701914,5.45097,7.25395,1.70947,3.56823,0.580228,1145.88,23.8396,12138.9,0.0968781,0.964871,0.00360468,11828.1,6209.01,2840.9,152104,0.00126061,0.145238,9.93044,8.78632,96.186,72.3199,0.975221,12.4033,11.9437,95.6101,124.01,0.575935,-51.6898 
102,-4,48.3719,4.5,102,13308.9,0.152199,21.522,12.6303,96.0478,0.3154,-25.2244,0.640339,2.97179,2.28568,3.16723,1.79715,4.70896,-141.816,1089.11,20.6473,11249.2,9107.93,3.86477,3.17866,4.95318,2.69013,5.60194,0.755865,1288.02,35.3814,11448.1,0.113358,0.954133,0.00566096,11362.4,5666.69,2830.64,137631,0.00127819,0.139156,10.2484,8.93051,95.8263,72.5959,0.94109,12.3546,11.6173,95.7088,123.728,0.117504,-51.1316 
103,-4,48.3719,1.5,103,15436,0.0168822,25.4735,12.7285,96.3854,-0.0550478,12.9152,500,3.52977,3.17303,6.94135,1.50539,-0.260393,-143.317,1751.13,29.0373,12802.8,10578.2,4.4322,4.07546,8.74621,2.40781,0.642035,0.569231,1952.15,43.9273,13003.8,0.145731,0.962113,0.0061842,13395.5,7105.53,5693.85,172179,0.00114196,0.21339,10.5835,9.17462,96.9308,72.549,1.03163,12.4994,12.0037,95.9697,123.427,0.961165,-50.8778 
104,-4,48.3719,4,104,15381.7,0.137201,24.7881,12.8512,96.3774,-0.268095,-30.2311,76.7691,0.204674,1.18417,3.09174,0.265944,2.37937,-119.808,944.951,54.9023,13358.1,10633.9,0.959072,1.93857,4.60054,1.02034,3.13377,0.605182,1112.99,67.3499,13526.1,0.0855098,0.904244,0.00908893,13016,7360.77,2385.03,181953,0.00131484,0.123467,10.6896,8.52901,97.2054,73.1284,1.04376,12.6519,12.2309,96.0568,124.992,1.14863,-51.8637 
105,-4,48.3719,0,105,16700.8,0.118647,27.0657,12.906,96.3167,0.0458105,-109.427,327.08,2.50615,-0.396663,2.17495,2.99208,-1.10152,-138.657,-6.23948,-4.54699,15726.1,11534.4,3.37924,0.476422,3.92112,3.86517,-0.228431,0.656449,188.24,9.85892,15920.5,0.0132579,0.916041,0.00113944,14198.3,9980.17,899.667,251223,0.000877613,0.0230373,8.60447,9.37417,119.773,58.2789,1.21593,12.6739,12.4791,96.0463,124.633,23.7271,-66.3542 
106,-4,48.3719,0,106,16792.5,-0.0196955,28.0042,12.6577,96.5114,0.00988793,-4.11356,2.43992e-12,4.16026,-0.792859,1.43206,4.83164,4.88605,-106.803,-93.2364,11.6126,15837.7,11540.4,4.83277,-0.120351,2.77708,5.50415,5.55856,0.85031,56.5649,22.709,15987.5,0.00400444,0.587348,0.00260974,14125.6,10571.6,930.163,266826,0.000964902,0.0173784,12.0262,10.4631,118.843,58.1133,1.29276,12.2634,12.1146,96.1836,124.75,22.6592,-66.6367 
107,-4,48.3719,0,107,16585.6,0.114917,27.455,12.6473,95.9503,-0.0519107,-102.678,275.322,0.212356,4.44529,2.7664,-2.7525,-0.957286,-145.973,-115.137,31.4231,15710.1,11477.1,1.13151,5.36444,4.6047,-1.83335,-0.038132,0.501071,89.6046,46.5891,15914.9,0.00635733,0.523588,0.00536365,14094.7,10333.7,956.156,260465,0.00101193,0.0229225,8.93967,7.94729,119.809,56.7174,1.27782,12.2862,12.0718,95.6921,124.031,24.1167,-67.3137 
108,-4,48.3719,2.5,108,13783.2,0.178153,22.5115,12.4021,95.8824,-0.0455858,100.425,7.76425,1.66568,3.39823,2.8074,2.64069,-1.0919,-148.839,1563.14,50.3636,11090,9237.56,2.60287,4.33543,4.68179,3.57789,-0.154707,0.688778,1771.9,65.8274,11298.7,0.151253,0.938955,0.0106183,11714.8,5838.71,5265.15,136773,0.00154569,0.204211,10.3473,8.83026,96.3833,72.2241,0.959403,12.1352,11.3173,95.3817,122.661,1.00162,-50.4368 
109,-4,48.3719,2,109,14057.5,0.162223,22.6255,12.6828,95.9954,-0.2452,53.0011,8.76122,1.31895,3.73671,-1.55924,-0.680951,1.11642,-159.617,1981.98,-0.556335,11013.4,9764.37,2.32402,4.74178,0.450892,0.324116,2.12148,0.95474,2205.86,16.0273,11237.2,0.182383,0.987445,0.00262044,12094.6,5529.2,7179.35,125833,0.00121393,0.227877,11.3954,9.5318,96.9891,73.0427,0.873259,12.5668,12.1195,95.5511,123.88,1.43794,-50.8369 
110,-4,48.3719,3.5,110,14275,0.128776,23.6629,12.4867,96.1021,-0.0210402,-46.4085,0.0361614,1.92678,1.82913,7.88208,-0.0661506,0.203898,-98.0602,1371.13,3.70604,11975.2,9650.37,2.54424,2.44659,9.117,0.551308,0.821357,0.411065,1508.67,13.8941,12112.7,0.123988,0.984139,0.00210856,12167.9,6419.69,4658.73,151933,0.0010691,0.185894,10.61,9.13104,96.6811,73.4592,0.975507,12.3565,11.958,95.6574,124.046,1.02371,-50.5864 
111,-4,48.3719,3,111,13653.6,0.059941,22.1925,12.7146,96.2036,0.0591753,-80.5413,1.08694e-09,2.49173,-0.68697,6.09598,4.32681,-1.53435,-138.229,1266.43,5.97287,11479.1,9340.71,3.36212,0.183421,7.83676,5.1972,-0.66396,0.507603,1460.31,20.3343,11673,0.124467,0.976212,0.00319869,11732.5,5768.5,3917.95,135483,0.00103651,0.167961,10.508,8.97304,96.612,73.2429,0.901401,12.5041,12.3401,95.8855,124.381,0.726481,-51.138 
