cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,0,47.5376,1.2,12,13708.6,0.0956032,22.2862,12.2337,95.812,0.234995,-543.849,211.575,1.81476,0.605297,0.248186,-0.683319,-4.96531,-203.682,3037.18,82.4287,9186.46,13035.8,3.09729,1.88783,2.81325,0.599213,-3.68278,0.403316,3322.86,103.59,9472.15,0.297089,0.948266,0.019748,11184.7,0.00212099,0.363997,10.8356,9.05259,96.2319,76.621,0.811028,11.6616,11.3047,95.2477,128.273,0.984257,-51.6518 
13,0,47.5376,1.12,13,16406.3,0.310758,25.9925,12.3561,95.7504,2.36301,94.3963,161.001,-0.307369,-7.66302,1.10891,-0.73721,-0.269576,-203.707,519.536,70.2175,14261.5,17716.3,0.975321,-6.38033,3.67429,0.545481,1.01311,22.3463,805.255,91.3819,14547.2,0.0625227,0.834311,0.0114393,12879.4,0.00233176,0.0659439,9.41672,8.24412,95.9621,75.4503,1.21288,12.0727,11.4762,95.4626,128.576,0.49943,-53.1261 
14,0,47.5376,1.18,14,15145,0.00585621,23.4379,12.6351,95.61,0.0806795,-723.915,500,-1.41346,-3.39364,5.93208,0.438686,0.238112,-266.398,1731.72,94.3087,11594.7,11541.7,0.263974,-1.7162,9.28695,2.11612,1.91555,0.217374,2105.37,121.986,11968.3,0.174878,0.907939,0.0184295,12039.1,0.00270808,0.211108,10.4164,8.58127,96.5233,76.9918,1.02405,11.9716,10.9573,95.1579,128.988,1.36543,-51.9958 
15,0,47.5376,1.24,15,12935.7,0.132443,20.8534,11.9849,95.9582,-0.123992,-67.6337,1.83671,-0.274689,0.931893,2.25348,-2.80554,-6.22775,-206.667,3957.28,73.8657,7624.71,8408.92,1.02664,2.23322,4.85613,-1.50421,-4.92643,-1.88138,4247.15,95.3375,7914.59,0.392663,0.962202,0.0217079,10816.3,0.00193949,0.490318,10.6139,9.08861,96.3482,76.7429,0.671963,11.8394,11.0643,95.4151,128.346,0.933061,-51.6033 
16,0,47.5376,1.16,16,14904.6,0.259806,23.4615,12.2606,95.8102,0.159536,-181.668,0.000542151,-3.65947,1.97026,1.12481,0.880408,-3.06459,-233.559,1836.36,55.4499,11447.5,10307.5,-2.18881,3.44092,4.06613,2.35107,-1.59393,0.330721,2163.95,79.7158,11775.1,0.181276,0.939438,0.0123172,11937.3,0.00236555,0.215901,10.509,9.10861,96.356,76.6506,0.991129,12.0723,11.173,95.391,128.776,0.964956,-52.1255 
17,0,47.5376,1.4,17,12600.6,0.10463,20.3771,11.9256,95.6082,0.0767256,-198.612,500,4.07094,-3.08334,-1.95302,-1.91992,-4.85282,-211.603,4013.14,89.6013,7245.4,8406.82,5.40335,-1.75093,0.7118,-0.587514,-3.52042,-1.77733,4309.93,111.586,7542.19,0.407753,0.956656,0.0265307,10570,0.0020732,0.480407,10.498,9.20415,96.1354,77.0477,0.632531,11.7684,11.1766,95.027,128.62,1.10832,-51.5724 
18,0,47.5376,0,18,17200.1,0.233533,26.6634,12.8925,95.5573,-0.76812,1022.84,500,-1.81012,-0.839721,1.45944,5.283,-0.894524,-216.739,121.925,39.1842,15514.4,36766.6,-0.445372,0.525028,4.18894,6.64775,0.470226,0.632116,425.923,61.7026,15818.4,0.0314215,0.797754,0.00713423,13555.2,0.00195447,0.0243928,10.0219,6.84547,93.898,73.2362,1.23662,12.5734,11.9445,95.2604,127.616,-1.36232,-54.3802 
19,0,47.5376,1.3,19,13646.2,0.123322,22.3116,12.1158,95.9078,-0.55056,660.926,0.094142,-1.99389,-4.50354,3.02488,-0.133672,-3.56894,-205.774,4379.67,102.836,7960.65,20645.4,-0.698185,-3.20784,5.61629,1.16203,-2.27324,-8.37523,4668.29,124.215,8249.27,0.405403,0.955507,0.0269893,11515.2,0.00183976,0.505111,11.1023,9.323,96.3226,77.0382,0.679655,11.912,11.4798,95.1941,128.758,1.12846,-51.7195 
20,0,47.5376,1.1,20,16896.9,0.240248,25.9402,12.9138,95.7492,0.207201,-152.675,2.45967,0.777625,1.71458,-0.884794,1.74386,-0.991901,-228.997,328.338,63.8022,14921,11934.8,2.21956,3.15651,1.99908,3.18579,0.450035,0.818447,649.529,87.5941,15242.2,0.0488349,0.809061,0.0104754,13300.5,0.00246368,0.027334,9.58046,6.86691,97.2106,75.2791,1.23104,12.357,11.5565,95.4968,128.609,1.71383,-53.3295 
21,0,47.5376,1.14,21,14059.8,0.314996,22.1851,12.1559,95.7124,-0.245548,-1104.82,91.2086,0.367988,-1.75842,1.33052,0.0868208,-3.61337,-185.695,1142.66,57.8339,11332,17610.3,1.53726,-0.589153,3.66906,1.25609,-2.4441,-0.0699588,1403.11,77.1269,11592.4,0.127268,0.912247,0.0121075,11024.8,0.00221658,0.150836,10.1892,8.3293,96.6084,76.4079,1.03034,11.7633,10.972,95.3157,128.87,1.29274,-52.4622 
22,0,47.5376,0,22,16561.3,0.292985,25.2565,12.9278,95.521,0.312098,-630.44,2.45062,-4.77313,0.309228,-0.361369,0.195606,-1.26558,-252.579,230.577,69.7506,14701.5,17034.2,-3.1827,1.89965,2.81948,1.78603,0.324841,0.226969,584.844,95.9926,15055.8,0.0447089,0.776859,0.0116085,13081.2,0.00218381,0.0151117,17.0557,7.15762,101.262,71.8314,1.19928,12.4048,11.7624,95.2832,128.286,5.97897,-56.4551 
23,0,47.5376,1.22,23,14637.2,0.322395,23.1657,12.1465,95.6064,-0.268252,236.363,14.7199,0.00144795,-2.39765,4.61515,2.03155,-0.77862,-236.96,2888.29,81.2971,10258.9,11224,1.49352,-0.905571,7.59931,3.52363,0.713457,0.388354,3220.65,105.916,10591.2,0.268133,0.94558,0.0180885,12011.4,0.00230848,0.339112,10.5714,9.08773,96.1129,77.0869,0.881082,12.0015,11.271,95.1122,128.733,1.00064,-51.6466 
24,0,47.5376,0,24,17320.6,0.153805,26.7763,12.8936,95.4237,0.1479,-309.441,500,2.41624,1.33996,1.46486,3.33749,2.36683,-257.79,157.502,62.0498,15454.7,12728.6,4.03947,2.96319,4.71133,4.96073,3.99006,0.772012,519.078,88.8332,15816.3,0.0380372,0.769533,0.0102404,13646.6,0.00227342,0.0197772,11.0211,7.44358,119.063,60.5024,1.26979,12.3967,11.6536,95.1698,128.187,23.8927,-67.6842 
25,0,47.5376,1.2,25,14911,0.343242,23.1417,12.3139,95.751,0.245682,627.703,104.499,-0.000750117,3.65802,1.49829,0.941999,4.32251,-255.018,2275.27,60.7679,10971.2,14296.7,1.60503,5.2638,4.70985,2.54778,5.92829,0.765151,2632.95,87.2633,11328.9,0.218758,0.94518,0.0139907,12035.9,0.0024001,0.266681,10.7635,9.05,96.3193,76.0788,0.937803,12.059,11.3221,95.3838,127.586,0.935454,-51.5067 
