cyc,VVA,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0,47.4727,0,11489.7,-0.369374,22.1924,13.1619,89.2643,0.333636,-605.525,470.179,-1.8926,-1.47007,1.4843,-0.0601325,-0.551364,7.71345,475.771,32.2999,12937.8,16085.3,-1.94117,-1.51864,1.38716,-0.108702,-0.599934,1.49875,465.553,32.0996,12927.6,0.0393142,0.89233,0.00455316,11841.9,6382.52,489.58,162263,-0.0233362,0.025944,386.222,147.569,73.7453,66.5386,0.950155,13.2934,12.732,89.2134,120.495,-15.4681,-53.9559 
1,4,47.4727,1,8393.47,-0.0690798,15.6606,13.9798,89.0412,0.0585708,10.04,3.63305e-11,1.13712,-1.3062,-1.88611,-1.76671,0.0255706,77.5877,1885.38,23.0831,8353.05,7146.11,0.648571,-1.79475,-2.86321,-2.25526,-0.462978,0.57441,1782.6,21.0678,8250.27,0.197129,0.979737,0.00468196,9042.84,2403.86,2192.5,57545.4,-0.00226771,0.0770117,19.9064,16.7479,88.5572,69.5765,0.524409,14.1118,14.0964,88.8904,119.69,-0.333214,-50.1132 
2,7,47.4727,2,7029.38,-0.515799,12.9935,16.2497,89.0611,-0.256742,423.673,0.85674,-0.814029,0.325548,1.01286,-0.522079,-1.58553,82.3583,2881.67,29.7788,5970.4,10414.3,-1.33262,-0.193041,-0.0243213,-1.04067,-2.10412,0.994819,2772.57,27.6397,5861.3,0.349608,0.982853,0.00861186,7930.51,1239.37,4708.45,24949.9,-0.00251032,0.115511,19.4477,17.3041,88.9086,67.5828,0.309539,15.7054,15.9022,89.0205,119.374,-0.111907,-51.791 
3,10,47.4727,3,5595,-0.51736,10.6146,16.9767,88.5321,0.164719,-37.9188,32.4944,-1.3209,-0.316702,-0.582795,-1.09006,-1.75496,91.2121,3321.22,28.2325,4168.93,6069.48,-1.89523,-0.89104,-1.73147,-1.6644,-2.3293,0.796571,3200.4,25.8633,4048.1,0.47324,0.986055,0.0116323,6762.73,774.897,6097.43,11433.6,-0.00260744,0.130195,19.962,17.4406,88.4554,66.1782,0.202278,16.3334,16.4764,88.2848,118.469,0.170608,-52.2912 
4,2,47.4727,4,10762,-0.0216732,20.4192,12.7563,88.8249,0.00866541,22.7854,500,-0.856199,0.80791,2.70137,-1.04709,-0.331386,-7.32935,734.194,24.8933,11728.5,8485.69,-0.810048,0.854061,2.79367,-1.00094,-0.285235,-0.800611,743.903,25.0837,11738.2,0.0671785,0.94428,0.00392101,11073.5,5238.73,561.771,132705,-0.00256393,0.0268259,31.2619,22.6128,73.8577,83.8234,0.868356,13.0986,12.6258,88.7893,120.157,-14.9317,-36.3341 
5,9,47.4727,5,5780.7,-0.565505,11.2945,16.7953,88.7505,-0.0942192,239.727,366.006,-0.026902,0.995115,1.67788,1.36644,1.3648,112.965,3208.28,24.327,4624.4,6910.45,-0.738213,0.283804,0.255255,0.655133,0.653487,0.76993,3058.63,21.3929,4474.76,0.437171,0.987908,0.00872982,6996.43,879.241,5621.74,14468,-0.0028796,0.123582,19.8152,18.1407,88.5022,67.5248,0.229355,16.1543,16.4294,88.6182,120.52,-0.116024,-52.9952 
6,0,47.4727,6,10957.4,-0.296471,20.7705,13.0777,88.8284,-0.00163659,70.1118,53.2591,-1.52491,-1.12388,1.08811,-1.31738,-1.1279,2.33254,596.31,29.9499,12066.4,8846.25,-1.5396,-1.13857,1.05874,-1.33207,-1.14259,1.2586,593.22,29.8893,12063.3,0.0529239,0.918971,0.00454345,11208.9,5637.91,497.38,143119,-0.00243964,0.0281666,29.5978,18.3086,71.6813,85.7459,0.910037,13.1459,12.3891,88.7953,119.87,-17.114,-34.1243 
7,6,47.4727,7,7633.35,-0.441608,13.5473,15.9357,88.4503,0.342756,169.422,258.082,-1.06954,-0.422549,-1.63291,-0.77373,1.03164,78.381,2610.95,27.8914,6704.78,8918.21,-1.56308,-0.916094,-2.62,-1.26727,0.538097,0.550473,2507.12,25.8555,6600.95,0.301483,0.982272,0.00716372,8315.96,1464.64,3859.51,31640.7,-0.00220937,0.104663,19.6272,16.8655,88.0297,67.7842,0.354012,15.5508,15.5008,88.5349,119.521,-0.505214,-51.7367 
8,0,47.4727,8,11653.8,-0.0195268,22.2431,12.7464,88.9872,-0.0257922,-3.4035,498.002,-0.754175,-0.363145,1.18328,-0.353759,0.103201,38.4439,509.685,28.6506,12989.4,9232.34,-0.996246,-0.605216,0.699139,-0.59583,-0.13887,1.42708,458.76,27.652,12938.5,0.0387315,0.904582,0.0039215,11844.6,6552.27,496.152,166674,-0.0015818,-0.00607607,-0.0352431,-2.28679,84.1822,65.9795,0.9741,13.1882,12.5903,88.907,120.068,-4.7248,-54.0889 
9,0,47.4727,9,10679.6,-0.0493058,20.1021,12.8957,89.2075,-1.62379,538.535,499.683,-1.07845,-0.398583,0.0829988,1.31419,-2.2151,14.3929,494.909,25.7198,11924.6,36905.7,-1.16908,-0.489212,-0.0982576,1.22356,-2.30573,0.965387,475.843,25.346,11905.6,0.0434451,0.914734,0.00390637,10952.7,5551.7,462.553,140959,-0.00140995,-0.101181,14.061,0.0313876,95.2125,68.4072,0.901328,13.1202,12.4939,89.1422,120.257,6.07024,-51.8498 
