cyc,VVA,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
48,7,47.6227,48,8309.2,-0.0809774,14.6912,13.9436,88.7396,0.159069,113.535,0.323005,-1.46137,-0.573023,-1.56824,-2.28707,-1.29367,-14.9351,1076.87,23.0831,8777.26,7256.41,-1.36732,-0.47898,-1.38015,-2.19303,-1.19962,0.79149,1096.65,23.471,8797.04,0.124083,0.963898,0.0048908,8838.05,2495.33,747.374,61566.4,-0.00271861,0.0268041,32.2053,31.5016,80.7674,76.6123,0.533064,14.2543,14.1051,88.7132,120.879,-7.94585,-44.2668 
49,0,47.6227,49,12241.2,-0.277148,23.0946,12.8743,89.1002,-0.657085,266.214,0.0330119,-0.905724,-0.607717,-1.66694,0.175353,-0.134618,-40.9961,511.199,36.8018,13403.1,15373.3,-0.647582,-0.349575,-1.15066,0.433495,0.123523,0.276678,565.505,37.8667,13457.4,0.0455757,0.89511,0.0051566,12408.1,6852.63,525.743,174611,-0.00257951,0.0328026,29.6185,15.2194,72.1227,86.1434,0.993492,13.2556,12.6123,89.1171,119.473,-16.9944,-33.3297 
50,10,47.6227,50,6165.43,-0.28027,11.1629,14.8443,88.8774,0.0727469,70.463,248.251,1.28194,0.118256,-1.64981,-1.4257,-1.58773,-27.8095,1156.6,28.3731,6402.66,5561.13,1.45705,0.293365,-1.29959,-1.25059,-1.41262,0.412586,1193.43,29.0955,6439.5,0.173965,0.959081,0.00825444,6860.2,1316.51,810.697,30955.6,-0.00222367,0.0304344,29.0122,26.3493,83.1495,73.3347,0.367616,14.8495,14.4532,88.9612,121.614,-5.81173,-48.2789 
51,0,47.6227,51,11896.4,-0.00245043,22.8014,-12.6062,88.9583,0.0084688,-9.53977,4.02738e-12,-1.94382,-2.3098,1.67393,-0.0569249,-1.42653,-12.0445,540.008,29.9579,13109.3,9359.76,-1.86798,-2.23396,1.82561,0.0189159,-1.35069,1.50597,555.963,30.2707,13125.3,0.0459238,0.913006,0.00423046,12106.2,6886.78,598.916,174680,-0.0160336,0.0193533,257.697,115.423,92.5572,69.8981,1.0091,12.972,12.4068,88.9194,119.856,3.63786,-49.9576 
52,0,47.6227,52,11944.9,-0.245883,22.5769,12.9561,88.8426,1.17438,-2049.72,493.241,-2.47445,-0.506658,-2.13416,1.18198,-1.50651,-6.99794,594.031,27.9563,13121.6,87882.9,-2.43039,-0.462593,-2.04604,1.22605,-1.46245,0.604662,603.301,28.1381,13130.9,0.0496197,0.924539,0.0039319,12158.5,6655.53,602.137,168654,-0.0174337,0.0212068,-264.283,-115.557,87.3198,70.7772,0.974198,13.1244,12.6953,88.8344,119.673,-1.51458,-48.896 
53,2,47.6227,53,10797.6,-0.296775,20.9136,12.8239,88.9424,0.294934,71.3057,499.262,0.69892,-1.0942,-1.0082,0.518595,-1.26658,30.6975,452.172,26.7436,11938.9,9415.22,0.505626,-1.28749,-1.39479,0.325302,-1.45987,0.578769,411.508,25.9463,11898.3,0.0378155,0.900625,0.00400096,10882,5686.35,505.681,143917,-3.10842,3.11017,-9473.18,-1948.96,98.2609,65.9811,0.90975,13.0449,12.5536,89.041,120.257,9.21993,-54.276 
54,0,47.6227,54,11945.4,-0.0379289,22.6144,12.6694,88.9452,0.0143355,77.524,500,-0.860602,-0.700975,-2.41262,0.192017,-1.0679,-19.478,593.254,30.8577,13085.4,9363.06,-0.737955,-0.578327,-2.16732,0.314665,-0.945257,0.473209,619.056,31.3637,13111.2,0.0509223,0.918559,0.00438723,12156.9,6729.96,587.16,170952,-0.00252473,0.0325017,28.3056,-16.4122,71.6573,87.4805,0.99894,13.0533,12.3857,88.9372,120.995,-17.2799,-33.5142 
55,3,47.6227,55,10426.6,-0.361222,19.9128,13.4307,89.1,0.745879,-203.696,8.69634,-2.122,-1.66822,-2.59993,0.368484,-1.39305,-16.0212,709.886,27.6181,11482.2,13652.1,-2.02112,-1.56734,-2.39817,0.469365,-1.29217,0.647816,731.109,28.0342,11503.5,0.0673575,0.937116,0.00446919,10854.2,4901.95,487.699,123810,-0.00298542,0.0220154,33.3824,31.3645,72.627,85.2945,0.818043,13.3091,12.9024,89.0422,120.497,-16.4152,-35.2023 
56,6,47.6227,56,7785.18,-0.205648,14.8644,13.7836,89.0216,-0.0508126,243.804,0.001212,-1.56667,-1.47303,-3.22639,-1.05109,-2.16297,11.5514,869.067,18.8851,8573.78,7072.98,-1.6394,-1.54577,-3.37186,-1.12382,-2.2357,0.659977,853.766,18.5851,8558.48,0.101818,0.963303,0.00398426,8385.22,2587.64,555.203,63923.1,-0.00300343,0.0201653,34.6532,40.8858,78.7748,81.6459,0.56672,13.6265,13.3204,88.9858,122.165,-10.211,-40.5189 
57,5,47.6227,57,8348.24,-0.00471866,15.576,13.4261,88.986,-0.022354,8.3228,500,-1.48463,-2.2441,-3.95217,-1.23907,-2.27811,5.80851,858.216,22.1337,9013.51,6813.75,-1.5212,-2.28067,-4.02532,-1.27565,-2.31469,0.647444,850.521,21.9829,9005.81,0.0969185,0.956726,0.00447639,8775.64,2838.09,551.725,70546.3,-0.0028561,0.0199315,34.9955,39.6594,76.9892,80.5531,0.592424,13.5152,13.6018,89.052,120.639,-12.0628,-40.0858 
