cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,4,0,14194.4,-0.0760519,28.393,11.1629,98.5275,0.0578929,88.7896,11.9229,-0.235033,-0.605859,-2.2711,1.00674,3.20303,-45.4346,5915.18,51.8951,8504.97,10485,0.0510563,-0.319769,-1.69893,1.29283,3.48912,1.60367,5978.91,56.6156,8568.7,0.456721,0.983699,0.0120249,13090.9,-6.34309e-05,0.776251,10.4534,8.95971,98.5502,72.4623,0.849116,11.3175,10.6149,97.8703,123.087,0.679859,-50.6247 
1,3,1,15710.5,-0.0611819,30.7409,11.3267,98.8809,-0.00699561,24.8624,15.0987,0.460008,0.691894,4.84991,3.25879,-2.09921,-74.3159,7134.69,14.6518,8668.73,11340.5,0.927956,1.15984,5.78581,3.72673,-1.63127,0.419624,7238.93,22.3729,8772.97,0.498532,0.99462,0.00467578,14520.5,7.04884e-05,0.871396,10.8207,9.26922,98.9608,72.7247,0.84051,11.3668,10.9158,98.2352,123.408,0.725617,-50.6835 
2,9,2,11624.7,0.00513712,22.6655,11.2702,98.9226,-0.011864,2.59332,4.01517e-12,2.0823,1.97947,-2.64644,-0.134683,3.17001,-111.557,4466.06,33.1694,7169.63,8316.55,2.78474,2.68192,-1.24155,0.56776,3.87246,1.14328,4622.53,44.7598,7326.1,0.431883,0.983337,0.0111293,10703.2,0.000238686,0.570736,10.585,8.88063,99.0273,72.1414,0.72699,11.1904,10.5658,98.3091,122.757,0.718182,-50.6152 
3,7,3,12747.1,-0.0152046,25.2802,11.2313,98.5978,0.0038114,7.42463,1.63169e-12,1.0308,-1.48812,2.45544,3.41707,3.06855,-78.3939,5081.43,36.009,7757.95,9243.77,1.52443,-0.994496,3.44269,3.91069,3.56218,0.69921,5191.38,44.1538,7867.91,0.442885,0.985334,0.0102319,11721.7,-5.43789e-05,0.645396,10.7786,9.05878,98.6638,71.935,0.773413,11.1539,10.8791,97.9048,122.655,0.759005,-50.7204 
4,5,4,13825.9,-0.0386698,27.4177,11.1134,98.7341,0.0637694,-65.0759,418.371,-1.89186,0.231638,6.81499,0.0937156,-0.232972,-105.443,5624.25,50.0377,8262.99,10054.2,-1.22791,0.895584,8.14288,0.757662,0.430974,0.0951543,5772.14,60.9928,8410.88,0.452604,0.981844,0.0131822,12753.2,7.7802e-05,0.729214,10.5804,8.94894,98.7202,71.5705,0.832715,11.1944,10.6698,98.0753,122.034,0.644921,-50.4634 
5,8,5,12513.7,-0.0358921,24.2426,11.3802,98.8925,0.0659418,-15.0998,353.736,-0.847988,-0.0554476,6.74301,0.506438,1.13602,-70.7951,4895,52.1029,7542.59,9013.43,-0.40221,0.39033,7.63456,0.952216,1.58179,0.248322,4994.3,59.4582,7641.89,0.440528,0.979591,0.0141301,11337.1,0.000328996,0.622673,10.6171,9.01646,98.9078,72.8958,0.752895,11.2041,10.6469,98.2674,123.635,0.640331,-50.7394 
6,0,6,16527.3,-0.0422589,32.0497,11.3508,98.4305,-0.00686692,2.25873,99.7883,0.692235,1.47026,2.39945,0.0056734,0.768237,-106.538,7615.53,-5.75135,8989.21,11843.1,1.36307,2.1411,3.74113,0.676512,1.43908,0.600345,7764.96,5.31748,9138.64,0.50586,0.998803,0.00107071,15350,0.000251036,0.958874,10.7557,8.95087,98.383,72.1803,0.904585,11.3599,10.4346,97.7487,122.713,0.634277,-50.5326 
7,0,7,16131.9,-0.019255,32.0606,10.9977,98.8114,-0.0359049,-6.25477,89.6938,-0.433659,-2.13945,6.44161,1.42988,4.31353,-84.3742,6804.31,47.5782,9276.47,11485.4,0.0976228,-1.60817,7.50418,1.96116,4.84481,0.413718,6922.66,56.3443,9394.82,0.470278,0.985957,0.0109271,14720.4,0.000452123,0.918081,10.2696,8.72917,98.7421,73.4337,0.951277,11.0164,10.4952,98.1975,124.557,0.544605,-51.1237 
8,0,8,15870.7,-0.0425965,31.2018,11.2034,98.8084,-0.0244187,71.9762,39.5052,2.842,-3.16234,1.3238,0.538944,0.939823,-116.527,6970.74,56.2567,8960.69,11436.7,3.57574,-2.4286,2.79128,1.27269,1.67357,0.594566,7134.18,68.3634,9124.13,0.485081,0.983507,0.0136142,14707.2,0.000174069,0.874829,10.7521,9.06813,98.8015,73.2334,0.89642,11.1381,10.7283,98.1286,124.146,0.672905,-50.913 
9,10,9,11393.3,-0.0253803,22.3913,11.2662,99.0809,0.0366511,-32.1883,2.86903e-11,2.29954,1.15975,4.45831,1.67969,0.892433,-117.408,4360.06,28.7837,7106.73,8250.47,3.03883,1.89903,5.93688,2.41898,1.63172,0.602231,4524.74,40.9819,7271.41,0.428479,0.984397,0.0102755,10560,6.76154e-05,0.548289,10.6885,9.13255,98.9817,70.9802,0.696977,11.2141,10.9131,98.5134,121.36,0.46822,-50.3798 
