cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,1.7,0,11965.8,-0.296123,21.9318,13.3822,89.3196,0.480815,-3.3774,28.1821,2.08623,2.21361,-1.03538,0.452004,-1.52874,-16.5374,5500.89,17.8607,7694.77,9607.13,2.19036,2.31774,-0.827112,0.556136,-1.42461,1.29408,5522.8,18.2903,7716.68,0.448517,0.994238,0.00434722,12313.5,3501.34,29648.9,58268.2,-0.00124453,0.417243,13.6055,11.6887,90.2643,71.6559,0.577801,13.0502,12.6222,88.7948,123.555,1.46944,-51.8989 
1,3,1,10758.4,-0.111725,19.6156,13.3574,89.129,0.148699,-30.8231,0.271303,-1.27267,-0.330186,0.951678,0.750164,0.879673,-14.979,4861.09,16.7789,7152.99,8678.63,-1.17835,-0.235868,1.14032,0.844482,0.973992,0.261725,4880.94,17.1679,7172.83,0.436069,0.993882,0.00438966,11193,2785.86,21764.6,47739.3,-0.00118825,0.345858,13.9643,12.1222,89.8265,71.7966,0.513951,13.0172,13.0812,88.9056,123.604,0.920844,-51.807 
2,1.3,2,14915,-0.0396581,26.9174,13.1388,89.3914,-0.188828,-50.2896,0.249373,0.162485,0.0921574,-0.917207,-1.34432,2.54152,-1.23814,7389.85,11.3077,8841.57,11822,0.170281,0.0999536,-0.901615,-1.33652,2.54932,2.55071,7391.49,11.3398,8843.21,0.487131,0.997322,0.0023566,15173.5,5222.95,53738.8,78800.1,-0.0013525,0.560604,13.6822,11.7053,90.1592,71.4912,0.680572,12.827,12.507,88.9098,123.232,1.24938,-51.7404 
3,4,3,12061.2,-0.0337375,21.259,13.7305,89.1942,-0.133142,98.6703,500,-0.631202,-0.651096,0.0534627,0.0477622,-1.89915,-39.8838,5534.55,22.8668,7807.65,9929.85,-0.380065,-0.399959,0.555738,0.2989,-1.64801,1.35321,5587.38,23.9027,7860.48,0.446826,0.992569,0.0055704,12504.6,3182.35,26543.4,53246.7,-0.00147021,0.367547,14.486,12.7057,89.969,72.4625,0.515339,13.7413,13.8039,88.8035,124.563,1.1655,-52.1002 
4,0,4,14418.2,-0.291641,26.2972,13.2667,89.3004,0.0350257,82.3149,500,1.2242,1.06664,-0.389063,-0.294087,-0.0741224,19.5869,6773.96,15.2678,8918.38,11451,1.10087,0.943305,-0.63573,-0.41742,-0.197456,1.80111,6748.01,14.759,8892.44,0.463038,0.996187,0.00304807,14573.4,4911.79,45998,78514.6,-0.00119351,0.526075,13.3825,11.5971,90.1828,72.2415,0.67698,12.7902,12.6264,88.8354,124.165,1.34738,-51.9231 
5,2,5,11372.7,-0.312215,20.6082,13.7049,89.0981,-0.846901,278.278,375.487,-0.980469,1.07061,1.85832,0.238351,-0.46583,-36.4673,5124.28,18.5819,7510.42,16866.1,-0.750844,1.30023,2.31757,0.467976,-0.236206,0.25209,5172.59,19.5291,7558.72,0.437455,0.993436,0.00473681,11824.3,3087.16,24169,53059,-0.00120397,0.365886,13.8644,12.1492,89.99,72.1829,0.543193,13.1131,12.9367,88.6961,123.893,1.29386,-51.7097 
6,1.2,6,14944.5,-0.0590415,27.7594,12.7388,89.476,0.0918385,96.309,4.12151e-05,-1.31533,-0.0325521,-0.338247,-1.66296,-0.248376,-36.6643,7336.26,12.8968,9054.84,11799.4,-1.08446,0.198313,0.123483,-1.4321,-0.017511,1.05582,7384.83,13.8492,9103.4,0.479664,0.996729,0.00279459,15395.8,5532.86,55736,84759.6,-0.00136282,0.589137,13.0907,11.4803,90.3177,72.6356,0.720978,12.4941,12.3126,88.9307,124.605,1.38697,-51.9697 
7,1.1,7,15859.9,-0.315131,28.7391,13.2306,89.3339,0.416345,387.621,12.3564,-1.44615,1.1467,0.349161,0.316111,-0.465173,-21.9666,7545.16,20.0654,9592,17631.5,-1.30784,1.28502,0.625796,0.454429,-0.326855,0.143398,7574.26,20.6359,9621.1,0.472186,0.995255,0.00393551,16040.8,5791.07,56698.2,90644.8,-0.00122707,0.583598,13.2733,11.7414,90.1902,71.8616,0.724136,12.8932,12.6485,88.8756,123.965,1.31456,-52.1034 
8,1.6,8,13052.7,-0.123319,23.3659,13.3625,89.1621,3.07789,-926.691,499.999,-0.851815,0.851225,3.30144,3.34716,1.34887,-24.0884,5937.77,24.371,8318.68,103014,-0.700137,1.0029,3.6048,3.49884,1.50055,0.595283,5969.68,24.9967,8350.59,0.448235,0.992726,0.00548393,13318.2,3938.53,33474.2,65844.3,-0.00110929,0.440258,13.5263,11.9195,90.0681,72.5035,0.607073,13.0364,12.9203,88.6468,124.536,1.42129,-52.0323 
9,0,9,14286.3,-0.318335,26.2206,13.2118,89.4314,2.48113,741.303,394.393,0.0739184,0.703352,-1.08823,0.028802,-1.78804,-32.8634,6838.39,17.3813,8866.45,71151.3,0.280851,0.910284,-0.674371,0.235734,-1.58111,0.186146,6881.93,18.2349,8909.99,0.467436,0.995384,0.00375583,14722.7,4925.01,46389.9,78466,-0.00136381,0.524329,13.5176,11.6853,90.3421,73.0355,0.681625,12.7207,12.522,88.9424,125.004,1.39973,-51.9683 
