cyc,VVA,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
343,10,49.0227,343,10300,-0.10133,19.887,12.7596,88.773,0.254132,19.624,0.000279774,-2.91546,-0.736174,-4.06091,0.39577,-1.47689,-4.5173,563.766,27.2567,11466.7,8422.73,-2.88702,-0.70773,-4.00402,0.424214,-1.44845,0.535658,569.75,27.374,11472.7,0.053419,0.922441,0.00437607,10665.7,5154.83,462.837,130726,-0.00240819,0.027303,29.4691,17.944,73.2886,87.9863,0.877397,12.9051,12.4178,88.6994,121.957,-15.4108,-33.9709 
344,0,49.0227,344,11695.9,-0.0392874,22.4603,-12.6169,88.5623,-0.172671,91.4305,499.995,-0.71733,-0.515343,-1.11335,-1.58268,-2.41695,-12.8528,528.832,34.0785,13018,9738.87,-0.636399,-0.434412,-0.951485,-1.50175,-2.33602,0.837632,545.857,34.4124,13035.1,0.0454248,0.900637,0.00483959,12016.7,6744.35,502.625,171736,-0.00148737,-0.0175631,-30.0222,0.109193,108.071,69.5679,1.00682,12.9256,12.3814,88.5067,121.462,19.564,-51.8938 
345,10,49.0227,345,10130.4,-0.31643,19.8639,12.8843,88.7665,0.242693,-31.701,28.3473,0.138658,0.0104426,-0.370622,0.52781,-1.92877,-5.11387,493.47,25.3207,11341.8,8581.88,0.170859,0.0426433,-0.306221,0.56001,-1.89657,0.785752,500.244,25.4535,11348.6,0.0477014,0.918237,0.00411463,10487,5036.67,401.256,127801,-2.29951,2.30201,3376.97,1601.4,99.7654,70.2881,0.859835,12.911,12.5763,88.7267,122.142,11.0388,-51.854 
346,0,49.0227,346,10857.8,-0.31423,21.0948,12.8696,88.9126,0.319687,86.9957,500,-0.901062,-1.50016,-4.11136,-1.27526,-0.817643,-29.2098,531.347,30.0164,12030.7,9743,-0.717136,-1.31623,-3.74351,-1.09133,-0.633717,0.500993,570.04,30.7751,12069.4,0.0509371,0.913677,0.00467514,11191.1,5732.09,482.086,145587,-0.00244487,0.0302076,-28.1642,-15.9905,71.1949,88.4376,0.924939,12.9391,12.4259,88.8735,121.925,-17.6786,-33.4877 
347,10,49.0227,347,9891.08,-0.308173,19.8065,12.6119,88.5739,0.350566,76.4341,0.362305,-0.271856,-1.91808,-3.73401,-0.419259,-1.48419,8.56704,463.322,27.2731,11155.7,9003.98,-0.325801,-1.97203,-3.8419,-0.473204,-1.53813,0.528663,451.973,27.0506,11144.4,0.0440562,0.905193,0.00445142,10259,4977.15,435.3,126148,-0.00145488,-0.0022598,-26.1187,0.102728,100.13,66.4566,0.860712,12.7794,12.6028,88.5521,121.246,11.5783,-54.7898 
348,0,49.0227,348,12199.6,-0.385137,24.1946,12.7513,88.3398,1.91377,1178.85,267.716,-1.08725,-0.149295,-2.00138,-0.915595,0.218222,-24.5363,550.937,33.5388,13679.8,83485.3,-0.932755,0.00520316,-1.69239,-0.761097,0.37272,0.43743,583.439,34.1761,13712.3,0.0461207,0.907021,0.00457022,12650.3,7463.75,566.007,190281,-0.00288789,0.0363414,-28.3633,13.8225,73.9391,90.5236,1.06053,12.9409,12.3731,88.3698,123.08,-14.4307,-32.5564 
349,10,49.0227,349,10432.1,-0.345249,20.5688,12.9202,88.5111,0.393934,581.688,489.828,-2.01078,-0.298693,1.34526,-0.226398,0.208604,-14.2043,513.093,27.6026,11733.3,16110.6,-1.92134,-0.209252,1.52414,-0.136957,0.298045,4.42223,531.91,27.9715,11752.1,0.0489166,0.915728,0.00436529,10873.8,5362.42,453.436,135989,-0.0416527,0.0442547,-504.206,-203.164,97.4916,67.4861,0.879621,13.0339,12.6899,88.5182,120.778,8.97341,-53.2921 
350,0,49.0227,350,12560.4,-0.361762,24.3948,12.8657,88.6954,0.301122,171.1,476.216,-1.02358,-0.39039,-1.12467,0.118053,-0.409027,-3.10221,528.149,36.2748,13963.8,11894.3,-1.00404,-0.370856,-1.08561,0.137587,-0.389493,0.599764,532.259,36.3554,13967.9,0.0415049,0.89323,0.00477172,12824,7517.51,558.537,191752,-0.123146,0.12548,1001.71,350.919,110.097,66.7036,1.03792,13.0952,12.8182,88.7914,123.076,21.3058,-56.3725 
351,10,49.0227,351,11428.9,-0.350941,22.3747,12.8739,88.6834,-0.0201087,1194.26,103.355,-0.981742,-0.421894,-2.64252,0.585421,-0.931551,-9.99729,449.781,29.2071,12822.7,10158.8,-0.918792,-0.358944,-2.51662,0.648371,-0.8686,0.373131,463.025,29.4668,12836,0.0393773,0.899791,0.00421101,11758.7,6177.42,440.061,157200,-0.00266371,0.0306372,28.0136,-13.7341,70.5233,88.8184,0.930474,13.1661,13.0723,88.7723,122.337,-18.2491,-33.5189 
352,0,49.0227,352,11732.1,-0.043244,22.7622,12.5985,88.6389,-0.0914726,-90.4608,500,-2.00553,-1.08258,-2.17137,0.660735,-0.1982,-5.76224,548.362,35.4896,13077,9604.7,-1.96925,-1.04629,-2.0988,0.697018,-0.161917,0.541671,555.995,35.6393,13084.6,0.0460625,0.899139,0.0049924,12070.4,6711.01,538.065,170842,-0.00268902,0.034869,28.0953,-13.4202,72.1084,88.5377,0.993936,13.0184,12.582,88.6453,121.582,-16.537,-33.0438 
