cyc,VVA,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
284,0,48.8227,284,10705.9,-0.00441441,21.2007,12.4145,88.3604,-6.49798e-05,-7.26112,2.88156e-06,-1.38881,-2.15545,-5.36852,0.0584912,-0.170056,8.23036,434.023,25.3758,12158.1,8567.94,-1.44064,-2.20728,-5.47217,0.00666683,-0.22188,0.413819,423.12,25.162,12147.2,0.0380756,0.905741,0.00380128,11112.6,6044.33,488.254,153520,-0.00171781,-0.0012471,-1.58848,0.0249741,104.915,67.7979,0.956345,12.8819,12.3182,88.319,121.548,16.596,-53.7505 
285,8,48.8227,285,10228.3,-0.0325838,19.7927,12.6108,88.6266,-0.000498054,-3.15606,500,-0.698558,-2.77439,-2.4664,0.651131,0.443925,-25.2656,550.583,28.1169,11329.4,8125.41,-0.539467,-2.61529,-2.14821,0.810222,0.603016,0.447723,584.052,28.7732,11362.8,0.0551859,0.920629,0.00464295,10583.4,4997.66,460.236,126501,-0.0211687,0.0242836,-319.757,139.867,94.8053,70.2868,0.852516,12.8363,12.7387,88.5329,121.763,6.27244,-51.4765 
286,8,48.8227,286,10456,-0.0472646,20.5714,12.3356,88.6227,0.0158972,-6.35057,310.088,-1.56441,-0.709188,-1.36992,-1.79661,-3.65806,-6.36987,463.382,23.8533,11750.8,8264.02,-1.5243,-0.669078,-1.2897,-1.7565,-3.61795,0.854395,471.82,24.0187,11759.2,0.0436066,0.918201,0.00374849,10819.9,5526.09,464.107,140195,-0.00246694,0.0296406,28.1419,14.471,69.705,88.0966,0.911958,12.8285,12.4442,88.602,121.534,-18.897,-33.4376 
287,9,48.8227,287,10523.7,-0.275194,20.6619,12.5737,88.4067,-0.00129724,42.2843,370.442,-1.81408,-1.71225,-2.8139,-3.40551,-0.916036,-19.2915,481.286,27.4306,11594.3,8459.04,-1.69261,-1.59077,-2.57096,-3.28404,-0.794563,0.741169,506.841,27.9317,11619.9,0.0472256,0.912041,0.00440851,10732.3,5307.07,457.924,134536,-0.00124585,0.000800735,14.6654,-0.193813,94.9582,68.1368,0.883608,12.7731,12.7471,88.4123,120.599,6.54591,-52.462 
288,10,48.8227,288,10671.2,-0.325617,20.5926,13.0493,88.6106,0.132007,227.703,176.71,-1.33597,-1.29419,-0.727659,1.10289,-1.37304,-12.8431,525.327,25.8664,11918.7,9726.2,-1.2551,-1.21332,-0.56592,1.18376,-1.29217,0.819929,542.34,26.1999,11935.7,0.0490996,0.922049,0.00402731,11045.7,5437.13,453.123,137875,-0.00139119,0.000865425,-0.134185,2.07532,84.7853,71.3113,0.883684,13.0839,12.7503,88.5326,121.902,-3.74724,-50.5909 
289,0,48.8227,289,11176.7,-0.12081,21.3463,12.8502,88.704,0.123051,-115.407,500,0.649233,-0.627286,-2.14005,-1.02578,-0.293003,-35.6642,499.211,31.5497,12467.1,9391.8,0.873802,-0.402717,-1.69091,-0.801211,-0.0684349,0.190747,546.454,32.4761,12514.3,0.047275,0.905794,0.00475772,11559.1,6006.38,472.843,152623,-0.00147852,-0.518192,-1.38933,-0.276973,113.161,67.496,0.932567,13.1087,12.654,88.6255,122.452,24.5359,-54.9555 
290,0,48.8227,290,11216.1,-0.328849,21.5802,13.0176,88.6347,1.80253,-1819.33,447.601,-0.535101,-1.41572,-1.43753,-0.363744,-0.150946,-44.1527,549.339,27.9421,12359.9,115900,-0.257084,-1.1377,-0.881493,-0.0857265,0.127072,0.605585,607.827,29.0889,12418.4,0.0526896,0.922722,0.00429643,11536,6015.77,483.172,152930,-0.00131497,-0.0345162,0.0573445,-3.70541,84.0712,63.18,0.942084,12.9845,12.525,88.5385,120.471,-4.46734,-57.2913 
291,7,48.8227,291,11135.9,-0.262306,21.5182,12.8833,88.7911,-0.377055,-369.238,500,-2.19298,-1.25373,-4.06668,-2.65854,0.213825,-29.3172,586.986,28.0266,12362,13556.8,-2.00837,-1.06913,-3.69748,-2.47394,0.398428,0.582229,625.822,28.7881,12400.8,0.0542375,0.925497,0.00425817,11538.6,5996.45,526.073,152248,-0.0202376,0.0240856,249.273,-129.395,92.0156,70.5822,0.941571,12.9309,12.4665,88.6637,122.76,3.3519,-52.1779 
292,0,48.8227,292,10064,-0.0170121,19.9809,12.4573,88.6826,0.0057289,9.33126,9.33216e-13,0.0498595,-2.09348,-1.15528,0.0054481,0.145753,-27.7678,528.396,26.4333,11450.7,8104.54,0.224706,-1.91863,-0.805591,0.180295,0.3206,0.596927,565.179,27.1545,11487.5,0.0529484,0.922441,0.00433556,10674.2,5460.94,488.002,138426,-0.0242838,0.027124,428.85,143.35,89.6682,68.1931,0.917902,12.7853,12.1011,88.5925,121.708,1.07567,-53.5152 
293,7,48.8227,293,10088.2,-0.122694,19.9066,12.5903,88.7763,0.0208147,65.4268,4.91387e-10,0.0120358,0.179961,-2.35664,-0.634583,-2.63988,6.47117,549.018,27.5343,11275.5,8203.16,-0.0287115,0.139214,-2.43813,-0.67533,-2.68063,0.571022,540.446,27.3662,11267,0.0516908,0.9186,0.00445434,10455.4,5104.03,466.594,129208,-0.00243608,0.0254253,29.6832,18.4292,71.0988,85.737,0.877712,12.7716,12.3886,88.6026,120.041,-17.5037,-34.3044 
