cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,10,11,3928.6,-0.00802088,6.63692,14.2792,98.3738,0.0144807,9.90632,0.000117836,-1.63867,1.88053,-0.991667,0.226141,1.67328,-23.2008,3341.2,25.9826,1046.28,3089.74,-1.49258,2.02662,-0.699488,0.37223,1.81937,1.34523,3373.74,28.3931,1078.82,0.780397,0.985486,0.0462397,4323.1,571.404,9935.29,1459.8,-0.000565959,0.219999,15.1155,12.2138,98.1765,70.2318,0.0693124,14.3923,14.3357,98.1124,120.356,0.0640957,-50.1243 
12,2.5,12,4054.58,-0.0197248,8.84878,10.2058,98.536,0.0174789,9.32044,127.522,1.79984,0.417223,1.27778,0.325995,-3.08502,-11.19,490.129,26.5416,3686.57,2945.14,1.8703,0.487683,1.4187,0.396455,-3.01456,-0.224517,505.824,27.7042,3702.26,0.134391,0.912535,0.0135972,3763.81,933.014,816.166,20009.4,0.000206691,0.067298,9.25439,8.61167,98.1809,69.9243,0.433488,9.62111,10.0351,98.2478,119.54,-0.0668843,-49.6158 
13,7,13,3820.68,-0.0744077,7.07542,13.3145,98.6497,-0.276422,80.8611,500,-0.0448043,0.686275,2.89944,0.0822646,3.49513,-6.98384,2770.36,19.5236,1480.13,3794.34,-0.000828918,0.730251,2.98739,0.12624,3.53911,0.595323,2780.15,20.2492,1489.92,0.679531,0.987414,0.0244242,4091.29,557.016,8194.17,2831.1,-0.000498168,0.217303,13.7112,11.274,98.7985,70.2299,0.118271,12.9735,12.5082,98.2583,120.362,0.540227,-50.1318 
14,2,14,4173.03,-0.0290121,9.78827,9.59665,98.8656,0.0218225,-9.49944,41.622,0.887147,1.90705,0.392465,0.109272,-1.90763,-37.4422,119.411,-4.32021,4145.53,3064.63,1.12291,2.14281,0.863992,0.345035,-1.67187,0.691749,171.928,-0.43011,4198.05,0.0444693,1.0044,-0.000188768,3866.21,1229.34,505.579,27870.7,5.68187e-05,0.0308342,8.5711,8.08058,98.1453,70.5908,0.528434,9.19578,9.94478,98.5503,120.792,-0.405035,-50.2009 
15,4,15,4591.31,-0.00965365,8.40686,12.1612,98.9244,-0.00462911,-8.71048,500,0.77939,2.78972,1.52697,-0.698673,-0.32993,-29.6357,1704.75,20.5118,2974.98,3329.47,0.965998,2.97633,1.90018,-0.512065,-0.143321,0.633673,1746.32,23.5908,3016.55,0.396811,0.976905,0.0142015,4400.88,705.517,4066.52,10797.7,8.51404e-05,0.163709,12.5603,10.0668,99.0769,70.0669,0.278067,11.2861,11.0087,98.3032,120.424,0.77374,-50.3566 
16,0,16,4184.9,-0.0144436,9.88704,9.36721,98.5548,-0.0400896,23.7597,6.70824e-11,0.789937,0.392464,0.543129,-3.58068,-2.93689,-16.5677,-64.7018,12.4235,4351.06,3045.9,0.894259,0.496787,0.751774,-3.47636,-2.83256,1.18045,-41.4639,14.1448,4374.3,-0.0108889,2.4813,0.00592138,3807.92,1317.42,423.686,30335.2,0.000106667,0.0128595,6.53262,-3.81418,121.433,47.4797,0.559367,9.04256,9.82372,98.2886,120.067,23.1444,-72.5877 
17,0,17,4124.41,-0.0309319,10.0189,9.29207,98.585,0.033389,-22.9965,428.855,0.589484,-2.52367,2.1633,-1.47797,0.474601,-4.32481,-102.189,-1.08737,4272.71,3055.58,0.616716,-2.49643,2.21777,-1.45073,0.501833,4.6306,-96.1227,-0.638043,4278.78,-0.0261972,0.988517,-0.000274766,3669.2,1381.95,453.035,31852.1,6.20929e-05,0.0339282,-0.180979,-2.36265,104.313,65.6895,0.587252,8.82569,9.60619,98.3329,121.199,5.98038,-55.5093 
18,9,18,4228.25,-0.109078,7.0721,14.7359,98.1876,-0.0814313,70.8014,108.638,0.403759,-0.624192,1.66486,-2.03016,-1.86833,-16.5236,3422.36,30.7678,1244.82,3580.19,0.507804,-0.520147,1.87294,-1.92611,-1.76429,2.02358,3445.54,32.4845,1268,0.755372,0.983769,0.0450656,4561.38,613.952,10453.7,1984.73,-0.00053129,0.225082,15.2714,12.1659,97.9604,68.9247,0.088956,13.5455,13.5739,97.9835,118.956,-0.0231586,-50.0315 
19,5,19,4400.25,-0.00217176,8.0042,12.8221,98.9156,-0.0025882,5.0461,1.8179e-11,-0.243614,-1.59016,1.51063,0.289201,1.28751,-29.5555,2238.31,25.635,2445.26,3341.39,-0.0575107,-1.40406,1.88284,0.475304,1.47361,0.205617,2279.77,28.7057,2486.72,0.510234,0.97844,0.0208218,4468.08,628.577,5916.58,6894.46,-0.000245654,0.186592,13.4667,10.9634,98.8008,70.0663,0.206095,12.0716,11.7833,98.4904,120.29,0.310345,-50.2242 
20,3.5,20,4341.28,-0.0342048,8.99428,11.1143,98.8053,0.0334128,-50.5593,500,-1.2548,1.29484,1.02028,-2.63036,0.0138966,-27.5323,1151.29,18.4437,3351.97,3309.17,-1.08144,1.46821,1.367,-2.457,0.18726,3.6494,1189.91,21.3042,3390.59,0.285102,0.96962,0.0114421,4173.63,802.985,2416.04,15009.5,-4.06381e-05,0.127945,11.5509,9.82523,99.026,70.276,0.345562,10.5503,10.7435,98.3484,120.254,0.677592,-49.9779 
