cyc,VVA,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
364,0,49.2227,364,10863.3,-0.336568,21.5858,12.6998,88.6407,0.270318,-55.2144,487.259,-1.79799,-0.340282,-5.20934,-1.26353,-1.17337,-8.96096,496.444,28.4042,12236.5,9409.89,-1.74157,-0.283857,-5.09649,-1.2071,-1.11695,0.460459,508.314,28.6369,12248.3,0.045036,0.910258,0.00428842,11286.8,6128.33,484.724,155743,-0.00157743,4.17541e-05,4.8734,0.122731,93.2309,67.0699,0.968215,12.8895,12.18,88.5779,121.388,4.653,-54.3178 
365,10,49.2227,365,10258.5,-0.321123,20.4868,12.6542,88.4587,-0.321957,328.782,162.576,-0.913164,-2.92851,-3.97004,-0.774731,0.275898,14.3469,513.308,27.0485,11534.5,11885.2,-1.0035,-3.01884,-4.15072,-0.86507,0.185559,0.531129,494.303,26.6758,11515.5,0.0465098,0.913708,0.00424914,10627.9,5381.36,442.029,136494,-0.00148156,0.0172719,14.6203,0.115268,94.8002,68.1262,0.899695,12.7615,12.4897,88.4301,121.398,6.37014,-53.2717 
366,0,49.2227,366,11631.4,-0.219394,22.548,12.7974,88.7331,-0.235385,-431.522,0.00167963,-1.41345,-0.116974,-5.05008,-1.18056,-0.623825,-22.6107,583.489,30.5632,12879.7,12700,-1.27107,0.0253999,-4.76533,-1.03819,-0.481451,0.367208,613.441,31.1505,12909.7,0.0512313,0.918388,0.00442524,11974,6517.87,536.332,165870,-0.0267115,0.0297141,361.986,155.339,94.7187,70.0209,0.98139,12.9089,12.5512,88.6926,121.606,6.02602,-51.5848 
367,10,49.2227,367,11196.6,-0.329189,21.6056,12.9845,88.625,1.1008,444.646,83.5978,-1.97648,-1.20979,-4.3864,-3.09701,-1.51622,-17.8733,597.218,33.3207,12385.6,25066.1,-1.86394,-1.09725,-4.16131,-2.98447,-1.40368,0.638481,620.894,33.785,12409.3,0.0537988,0.913056,0.00499022,11541,5922.76,533.522,150448,-0.00257625,0.0305776,-29.5699,-17.1725,72.6237,87.5456,0.931593,13.011,12.5827,88.5273,121.406,-15.9036,-33.8608 
368,0,49.2227,368,10781.7,-0.328117,21.3859,12.6813,88.785,-2.88516,2469.75,251.881,-1.56541,-2.00406,-1.91043,-0.357581,-1.44663,-31.3437,468.674,29.2133,12079.5,240791,-1.36804,-1.8067,-1.5157,-0.160218,-1.24927,0.751522,510.195,30.0275,12121,0.0456482,0.906622,0.00454273,11176.7,5825.15,442.613,148038,-0.0025594,0.029075,-30.6505,-14.2158,71.8082,88.5262,0.933704,12.9169,12.4447,88.7254,121.673,-16.9171,-33.1468 
369,10,49.2227,369,11269,-0.0694542,21.7668,12.5525,88.5637,0.117096,-46.0358,6.38791e-10,-0.682583,-2.15494,-3.87621,-1.38912,-0.637547,6.768,474.356,26.5128,12494.7,9069.93,-0.725199,-2.19756,-3.96145,-1.43173,-0.680164,0.559649,465.39,26.337,12485.8,0.0406353,0.909889,0.00387064,11452.9,6110.9,453.795,155475,-0.00145131,-0.00265616,14.6151,-0.0920159,96.0338,67.3016,0.945535,12.984,12.6634,88.5757,121.13,7.45804,-53.8288 
370,0,49.2227,370,10184,-0.297668,20.3416,12.4883,88.6889,-0.0182491,178.856,409.781,-0.00230979,-1.01899,-2.90273,-1.37059,-1.43318,-22.3973,455.35,25.4628,11432.3,8375.85,0.13872,-0.877958,-2.62067,-1.22956,-1.29215,0.55443,485.019,26.0445,11462,0.0458795,0.914101,0.00416827,10571.6,5380.55,418.856,136664,-0.0805781,0.0827151,-1000.56,291.421,93.6957,70.7342,0.911031,12.6088,12.2822,88.6326,121.887,5.06304,-51.153 
371,10,49.2227,371,9395.66,-0.101829,18.1688,12.8119,88.9314,0.0615724,10.9098,4.40203e-07,-0.994934,-2.07074,-2.93525,-1.21734,-0.633482,-20.0666,540.671,23.9779,10420.2,7599.56,-0.86858,-1.94439,-2.68254,-1.09099,-0.507127,0.621838,567.253,24.4991,10446.8,0.0581174,0.92973,0.00430139,9760.46,4267.23,425.23,107776,-0.0319504,0.0348605,375.814,182.236,93.8054,71.3501,0.788478,12.8967,12.5962,88.7367,121.528,5.06872,-50.1775 
372,0,49.2227,372,12074.1,-0.323542,23.5931,12.6714,88.6048,0.57181,-399.127,488.181,-0.245591,-0.322824,0.0766125,-0.830507,1.3471,-35.0576,501.571,35.5484,13370,17161.6,-0.0248425,-0.102076,0.518109,-0.609758,1.56785,0.616012,548.011,36.459,13416.4,0.0443573,0.895715,0.00498097,12354.5,7123.53,516.976,181499,-0.0239528,0.0263619,-13685.5,140.348,70.8694,71.4205,1.03444,12.8339,12.4581,88.5477,121.37,-17.6783,-49.9495 
373,10,49.2227,373,10648.3,-0.0626843,20.7853,12.5889,89.13,0.965115,-288.694,500,-1.39096,-1.06233,-1.29491,-0.81697,0.0154725,-24.7368,504.729,30.7663,11923.1,17588.1,-1.2352,-0.906568,-0.983388,-0.661209,0.171233,0.72798,537.497,31.4088,11955.9,0.0486042,0.907225,0.00481602,11058.7,5619.55,462.131,142680,-0.00144687,-0.00707678,14.7368,-0.0971802,96.7397,66.8368,0.912827,12.8539,12.5973,89.0517,122.065,7.68807,-55.228 
374,0,49.2227,374,11888.2,-0.0237593,22.7139,12.7456,88.8647,0.0373605,-17.7342,500,-2.15018,-1.05438,-4.20037,-1.1846,0.0906118,-35.4301,573.005,30.1789,13213.4,9445.79,-1.92709,-0.83129,-3.75418,-0.961504,0.313706,0.475699,619.938,31.0991,13260.3,0.0504465,0.919296,0.00430166,12289,6921.3,523.042,176311,-0.00150938,-0.0378635,7.62451,0.13998,87.237,66.8307,1.01743,12.9682,12.4136,88.744,123.236,-1.50692,-56.4049 
