cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,-1,47.5366,1.16,0,13314.6,0.126488,23.3214,11.7993,96.9675,-0.0882154,286.421,90.6551,5.07307,4.44846,2.23643,2.07753,-1.21698,-143.006,2537.36,68.8313,10013.5,9780.44,5.97354,5.34892,4.03737,2.978,-0.316508,0.775967,2737.94,83.6891,10214.1,0.233487,0.949225,0.0148689,11726.3,5203.07,11757.2,116689,0.00105698,0.322406,10.7469,9.00418,97.3763,71.3749,0.904715,11.7208,11.253,96.4755,121.483,0.900713,-50.108 
1,-1,47.5366,1.1,1,15093.9,0.11459,25.0816,12.5537,96.8227,-0.120677,185.07,461.392,3.78352,4.064,5.48854,0.92407,2.72022,-120.228,522.971,19.1313,13722.8,10977,4.54056,4.82104,7.00262,1.68111,3.47726,0.674639,691.602,31.6225,13891.4,0.0535459,0.925912,0.00417586,12916.1,8297.63,1374.37,207456,0.00106804,0.0726161,9.9103,8.86799,97.0304,70.8471,1.1616,12.3421,11.5659,96.4105,121.708,0.619911,-50.8611 
2,-1,47.5366,1.6,2,12934.2,-0.00297294,22.0595,12.2672,96.9253,0.00626278,-33.7352,499.972,-3.2301,0.453717,3.2524,-3.79724,-0.819139,-155.969,5228.45,41.8534,7103.13,8816.03,-2.24801,1.43581,5.21659,-2.81514,0.162954,-1.97716,5447.21,58.0579,7321.89,0.458116,0.98169,0.0143964,11890.5,3809.46,39375.1,53102.1,0.000768831,0.560219,11.5623,9.8896,97.2464,71.9912,0.569538,12.5464,11.9307,96.2423,122.322,1.00415,-50.3307 
3,-1,47.5366,1.18,3,14616.6,0.107285,24.6381,12.3925,96.8388,0.0178029,-80.4771,123.216,-0.240653,-1.35727,1.00579,-0.221881,2.55409,-91.6855,3284.36,22.5664,10540.6,9986.1,0.336667,-0.779955,2.16042,0.355438,3.13141,0.584852,3412.96,32.0922,10669.2,0.266599,0.983811,0.00551039,12801.8,5452.47,16875.4,118136,0.00096669,0.372511,11.1395,9.62176,97.1043,72.4494,0.856459,12.4703,11.9505,96.3415,122.93,0.762789,-50.481 
4,-1,47.5366,1.22,4,12963.1,0.0147893,21.6325,12.5085,97.0016,-0.0108252,-2.51281,0.304853,1.06591,-0.132269,-2.88565,-1.27,-4.00357,-183.866,4497.95,61.5152,7756.65,8809.54,2.22366,1.02548,-0.570142,-0.11225,-2.84582,-1.04307,4755.84,80.6181,8014.54,0.402742,0.97119,0.0181926,11808.6,3893.35,29402.4,65103.9,0.00102772,0.493761,11.6373,9.3573,97.3526,72.9138,0.645312,12.3227,11.67,96.3851,123.875,0.967537,-50.9617 
5,-1,47.5366,1.3,5,13683.4,0.12705,22.7867,12.4088,97.0769,0.40351,55.5788,81.5078,-0.300821,1.67726,-4.20553,0.339531,2.78918,-156.13,4588.61,62.1668,8361.14,9934.64,0.682286,2.66037,-2.23932,1.32264,3.77229,1.36128,4807.6,78.3881,8580.12,0.389024,0.972258,0.0165509,12358.1,4248.16,30834.8,73135.6,0.00105876,0.499244,11.5084,9.71216,97.445,73.1948,0.678526,12.4202,11.7736,96.3673,123.8,1.07768,-50.6051 
6,-1,47.5366,1.2,6,14271.3,0.00580262,23.6805,12.6004,96.8406,0.0015722,-0.267759,2.20426e-11,-0.889459,-1.89346,-0.0333587,2.73617,-5.73717,-180.852,4653.54,48.7453,8848.76,9713.36,0.24932,-0.754681,2.2442,3.87495,-4.59839,-1.21018,4907.21,67.5351,9102.42,0.379893,0.976482,0.0134832,12917.3,4560.31,31489.9,80143.6,0.00101103,0.503571,11.5742,9.68322,97.0157,72.6759,0.693333,12.6836,12.0948,96.3502,123.504,0.665575,-50.8284 
7,-1,47.5366,0,7,15775.8,0.122348,25.5989,12.8443,96.8477,0.0791559,-40.8044,42.6924,3.3029,-2.77702,4.88412,-1.08867,0.742789,-106.413,65.4295,5.65957,14703,10808.7,3.97295,-2.10697,6.22422,-0.418616,1.41284,0.314847,214.684,16.7154,14852.2,0.0161603,0.880083,0.00206891,13284.7,9136.35,972.305,229244,0.00112787,0.0297887,9.0021,7.22289,96.3337,70.5716,1.19798,12.584,11.8008,96.5288,122.834,-0.195095,-52.2625 
8,-1,47.5366,1.4,8,13003.5,0.155327,22.5218,11.7593,97.051,-0.0402515,-168.587,0.618332,-1.29371,0.137173,2.689,0.838667,2.95261,-149.026,5116.83,46.4276,7124.97,8842.37,-0.355331,1.07555,4.56574,1.77704,3.89099,0.583189,5325.85,61.9108,7333.99,0.452119,0.980063,0.0153122,11779.8,4073.3,41272,57805.3,0.00116316,0.611615,10.8641,9.2544,97.2019,71.6115,0.630091,11.8586,11.2353,96.473,121.447,0.728923,-49.8354 
9,-1,47.5366,1.24,9,13385,0.151481,22.5236,12.1457,96.9554,-0.0997041,-80.2331,202.68,4.03232,0.546884,3.10258,-1.48203,-2.81686,-151.976,4997.18,46.4817,7479.22,9165.84,4.98928,1.50384,5.01649,-0.525079,-1.85991,0.450225,5210.34,62.2715,7692.39,0.434933,0.979513,0.0146931,11979.6,4081.65,38307.2,60821.7,0.00110697,0.563544,11.5289,9.47584,97.1476,71.3037,0.624515,12.1188,11.7892,96.4529,121.5,0.694653,-50.1958 
10,-1,47.5366,1.12,10,15221.4,0.0960458,25.2226,12.6767,96.6497,0.00198431,93.9129,385.929,2.12645,-2.13588,9.34754,0.833348,-3.56684,-127.879,614.274,-11.9109,13856.4,10414.7,2.93167,-1.33066,10.958,1.63857,-2.76162,0.0417939,793.637,1.37521,14035.7,0.0603752,0.996977,0.000180456,13145.1,8118.75,1655.35,202423,0.000825388,0.0880805,9.45676,9.42727,96.1991,71.1814,1.11394,12.6621,11.9683,96.2574,122.107,-0.0583096,-50.926 
11,-1,47.5366,0,11,16083.2,0.0865031,26.3757,12.8733,96.8877,-0.116894,-64.668,222.075,-0.00697517,-0.940475,0.647264,1.06624,-1.22418,-118.221,-25.237,13.9062,15224.8,11299.3,0.737431,-0.196069,2.13608,1.81065,-0.479772,0.467089,140.579,26.1889,15390.7,0.010273,0.754141,0.00312475,13684.4,9728.84,880.296,245299,0.000860732,0.0197927,-11.2806,6.85009,121.393,56.4936,1.23224,12.5713,11.9601,96.612,122.776,24.7813,-66.2828 
12,-1,47.5366,1.14,12,14061,0.114769,23.9155,12.2268,96.7923,-0.158391,8.22429,118.958,4.83391,3.80707,1.99154,1.3928,-2.65777,-160.701,1028.95,12.389,12291.3,9561.35,5.8458,4.81897,4.01532,2.40469,-1.64588,0.739922,1254.35,29.0852,12516.7,0.102237,0.961004,0.00426228,12269,6938.71,3100.3,170765,0.00104062,0.161376,9.40407,8.44278,96.7876,71.6036,1.07745,12.0821,11.2964,96.3554,122.568,0.432203,-50.9648 
13,-1,47.5366,0,13,17190.8,-0.014964,28.2052,12.8909,96.5301,0.0164258,-28.7496,1.82298e-11,2.37006,-2.9406,4.92681,3.43974,1.69682,-175.666,-94.5755,3.94797,16199.5,11851.5,3.47618,-1.83448,7.13905,4.54586,2.80294,0.557393,151.813,22.199,16445.9,0.0103809,0.796245,0.00248034,14624.2,11313.2,946.626,285799,0.00104975,0.0188802,9.61829,8.59722,119.783,55.909,1.35228,12.4583,11.667,96.2694,121.542,23.514,-65.633 
14,-1,47.5366,1.16,14,14387.7,0.15859,24.3273,12.1074,96.759,0.234185,79.1914,11.8108,6.25666,1.47727,1.72509,3.64701,-1.84739,-159.279,2366.48,25.2901,11025.6,10191.9,7.2596,2.4802,3.73096,4.64994,-0.844449,0.784041,2589.89,41.8386,11249,0.207374,0.972507,0.00680476,12489,5943.47,10674.4,136761,0.00122284,0.311651,10.3291,8.97176,97.247,72.1573,0.951787,12.1149,11.5179,96.3343,122.764,0.912752,-50.6064 
15,-1,47.5366,1.1,15,16047.2,0.131832,26.3251,12.673,96.5341,-0.118198,-110.961,0.325131,0.207428,0.0246233,2.66744,-0.207861,2.84631,-145.817,644.963,-0.711079,14360.4,11287.3,1.1256,0.942797,4.50379,0.710313,3.76449,0.592306,849.487,14.4388,14564.9,0.0621579,0.971114,0.00182283,13666.6,8814.36,1876.14,220084,0.00113927,0.106811,9.53844,8.37468,97.2443,71.4627,1.17053,12.5647,11.8645,96.1998,122.615,1.04449,-51.152 
