cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0,0,23121.9,-0.0612856,32.3661,15.7323,94.8803,-0.00204651,-0.43045,117.024,-1.05962,0.936461,-1.07209,0.439379,-1.25448,-139.759,11016,238.26,11049.5,16575.9,-0.179593,1.81649,0.687964,1.3194,-0.374453,0.789601,11212.1,252.781,11245.5,0.531174,0.962043,0.0397612,21108.1,6928.24,94121.7,82293.4,0.00175852,0.675547,14.9517,12.6619,95.2257,73.9395,0.564812,15.3585,15.4967,94.4264,126.453,0.799293,-52.5139 
1,2,1,19411.4,-0.0472762,27.134,15.7369,95.0166,0.0113088,69.0686,11.8675,-1.71977,0.516305,3.26095,0.909553,0.153057,-117.003,9302.89,204.915,9245.55,13925.9,-0.983036,1.25304,4.73442,1.64629,0.889793,0.372135,9467,217.071,9409.65,0.533427,0.961422,0.0407633,17747.5,4938.43,68223.3,56973.1,0.00145537,0.581445,14.7541,12.5283,95.37,74.1283,0.465,15.5314,15.6462,94.4031,126.478,0.966918,-52.3499 
2,4,2,20527.5,-5.62177e-05,28.2109,15.913,95.09,0.0106732,-50.6043,500,-1.59692,-2.4324,-2.3597,-0.0343324,-0.0292044,-133.505,9647.39,220.493,9799.7,14631.4,-0.75627,-1.59176,-0.678405,0.806315,0.811443,0.518409,9834.65,234.363,9986.95,0.528087,0.959966,0.0414373,18623.2,5285.44,70672.7,63303.6,0.00172294,0.582087,15.1586,12.6028,95.4462,74.5798,0.487268,15.4285,15.9287,94.568,127.177,0.878129,-52.5972 
3,6,3,18960.8,0.00652749,26.0997,15.8026,94.9453,-0.00764553,-9.17232,500,-0.207711,0.434743,3.70888,-0.862685,0.792395,-147.907,8907.91,190.659,9039.63,13428.7,0.723622,1.36608,5.57154,0.0686474,1.72373,0.410644,9115.36,206.026,9247.09,0.528341,0.961951,0.0394241,17252.8,4571.53,60967,54774.6,0.00163218,0.541355,15.1784,12.5458,95.4002,74.2335,0.459451,15.3065,15.6059,94.3393,126.855,1.06096,-52.6215 
4,7,4,17754.1,-0.0145607,24.7775,15.631,94.9024,-0.0243826,-8.40065,390.59,-0.47212,-0.907149,0.345272,-0.802172,-0.319588,-147.453,8407.09,190.993,8511.02,12614.4,0.456352,0.0213234,2.20222,0.1263,0.608885,0.355149,8613.91,206.313,8717.83,0.528928,0.959772,0.0417735,16285.6,4138.6,55433,49223.9,0.00147564,0.524478,14.8384,12.4272,95.1974,74.0851,0.439294,15.3681,15.2876,94.5279,126.595,0.669479,-52.5099 
5,8,5,20479,-0.00197093,27.9329,15.9425,94.892,-0.0059108,-40.1459,500,-1.06448,-0.22667,1.13869,1.16804,-2.11843,-135.584,9569.62,199.309,9750.34,14504.3,-0.210745,0.627069,2.84617,2.02178,-1.26469,0.291925,9759.79,213.396,9940.51,0.527344,0.963147,0.0380407,18507.4,5203.99,68604.7,63175.7,0.00168232,0.561978,15.2932,13.0067,95.2416,74.0064,0.489128,15.7291,15.4751,94.4364,126.791,0.805233,-52.7842 
6,9,6,20343.3,-0.00566511,28.0975,15.8899,94.8891,-0.00180948,-58.3105,500,-1.65299,-1.83737,1.18018,0.102386,0.428581,-115.854,9614,212.098,9692.9,14537.4,-0.923485,-1.10787,2.63918,0.831886,1.15808,-0.0159309,9776.5,224.135,9855.4,0.529913,0.961427,0.0402093,18449.2,5157.73,69728.6,61117.3,0.0015013,0.571836,15.275,12.817,95.3003,74.8308,0.473185,15.5681,16.2073,94.5527,127.325,0.747628,-52.4945 
7,10,7,20623.8,0.00808036,27.914,16.0009,95.076,0.00893847,-19.2154,8.2461e-09,-2.82282,-0.423171,3.07178,0.557149,0.248784,-143.241,9546.86,217.646,9776.19,14545.5,-1.92087,0.478779,4.87568,1.4591,1.15073,0.193225,9747.77,232.528,9977.1,0.526121,0.959927,0.0411652,18527.6,5157.58,68863.6,61810.5,0.0019308,0.570865,15.0231,12.8079,95.3871,74.3376,0.474708,15.8568,15.9156,94.5684,126.938,0.818664,-52.6001 
8,0,8,21646.2,-0.0133738,29.8519,15.8015,94.8707,0.0840349,36.1867,0.31908,-0.904151,1.58788,0.870471,-2.8495,-0.530878,-129.847,10094.9,216.047,10381.6,15454.5,-0.0865402,2.40549,2.50569,-2.03189,0.286733,0.186329,10277,229.538,10563.8,0.525058,0.962384,0.0384863,19573.1,5888.07,77652.2,72031.2,0.00176884,0.60457,15.1768,12.8229,95.2373,74.4178,0.526054,15.3869,15.6228,94.3935,126.88,0.843764,-52.4619 
9,2,9,19505.4,0.0046182,26.8876,15.7384,95.1513,0.00191886,-33.1991,21.4167,0.00624337,-1.23272,0.697681,-2.23167,0.796756,-135.707,9056.24,191.57,9365.05,13777.6,0.860754,-0.378212,2.4067,-1.37716,1.65127,0.239193,9246.58,205.67,9555.39,0.523727,0.962534,0.0381372,17655.3,4894.2,64571.7,59455.2,0.00188547,0.567732,14.9188,12.2658,95.5692,74.5929,0.484851,15.2926,15.185,94.528,127.184,1.04119,-52.5911 
10,4,10,22132,0.00225038,30.3474,15.8328,94.9359,-0.0213952,-16.0497,404.279,-1.93709,-1.35092,0.0747851,0.905785,-0.503303,-138.262,10062.9,212.785,10730.9,15652.5,-1.0665,-0.480322,1.81598,1.77638,0.367294,0.247367,10256.8,227.149,10924.9,0.516178,0.96269,0.0368881,19870.7,6035.61,77196.7,76346.6,0.00197226,0.606046,15.0693,12.7815,95.3104,74.4307,0.537407,15.5476,15.6668,94.4449,127.46,0.86544,-53.0295 
11,6,11,19298.6,0.0301148,26.2068,15.8653,94.9858,-0.0880076,-18.1298,322.888,-0.608777,0.0799729,5.46719,0.522989,1.23315,-151.966,8633.12,208.133,9379.59,13586.9,0.348112,1.03686,7.38097,1.47988,2.19004,0.406477,8846.26,223.922,9592.74,0.511703,0.957582,0.0412272,17287.9,4579.9,57342.8,58457.4,0.00207275,0.528023,14.9178,12.5572,95.2399,73.8974,0.475273,15.401,15.4095,94.6805,126.227,0.559466,-52.3293 
12,7,12,17935.4,0.052483,24.4109,15.7156,95.0373,-0.0332815,-63.8869,467.969,-1.2674,-0.785039,-1.01399,-0.630679,-0.55958,-153.621,8324.59,186.357,8434.68,12557.7,-0.300085,0.182272,0.920635,0.336633,0.407731,0.404962,8540.06,202.318,8650.14,0.528725,0.960192,0.0413053,16152.2,4066.89,54570.7,48121,0.00184903,0.520723,14.8526,12.3603,95.3198,73.6112,0.432688,15.3977,15.322,94.6902,125.759,0.629515,-52.1474 
13,8,13,20652.2,0.00768987,27.8458,16.0573,94.7797,0.0221873,-50.484,2.61811e-10,-1.36728,-0.638604,1.46188,-0.796948,-1.87296,-160.506,9358.11,224.289,9938.37,14592,-0.356618,0.372062,3.48321,0.213718,-0.862295,-0.222146,9583.24,240.965,10163.5,0.517255,0.957852,0.0418466,18527.1,5104.1,64903.4,64386.9,0.00197712,0.54675,15.3346,12.94,95.0834,74.8201,0.489431,15.5963,15.8446,94.5895,127.391,0.493925,-52.5711 
14,9,14,18604.9,0.047939,25.2785,15.7719,94.5571,-0.0515659,178.701,85.8442,0.495575,1.33006,4.54349,2.62562,2.60864,-197.732,8416.03,194.208,8954.4,13278.7,1.74064,2.57513,7.03361,3.87069,3.8537,0.631241,8693.37,214.751,9231.74,0.51693,0.958561,0.0410908,16817.3,4198.25,53267.4,52682.1,0.00194677,0.501291,14.9893,12.857,95.0598,74.365,0.445549,15.3539,15.8026,94.0953,126.814,0.964581,-52.4493 
15,10,15,19437.1,-0.00729313,26.3401,15.8956,94.9563,-0.0280215,-6.19019,500,-1.91594,-0.815977,1.45258,1.25073,1.28617,-134.492,8714.96,200.008,9460.91,13635.4,-1.06907,0.0308847,3.1463,2.09759,2.13303,0.503639,8903.59,213.981,9649.55,0.511842,0.95964,0.039246,17395.2,4614.35,57955.7,58770.4,0.00208476,0.534284,14.7517,12.5348,95.5187,74.0759,0.471021,15.4533,15.7258,94.4613,126.564,1.05739,-52.4884 
16,0,16,20051.5,-0.0149185,27.5521,15.8619,95.0737,-0.00626539,13.9194,6.85716e-11,1.28098,3.46298,0.538108,1.06906,-0.277064,-158.322,9315.2,212.495,9677.28,14229.5,2.27789,4.45989,2.53193,2.06597,0.719849,0.789978,9537.26,228.944,9899.35,0.522627,0.959684,0.0408619,18248.7,5124.56,66600.2,63187.1,0.0017846,0.566302,15.1565,12.5376,95.4772,74.2278,0.497829,15.3737,15.2569,94.5507,126.485,0.926485,-52.2571 
17,0,17,20288.4,-0.0418728,28.3464,15.7143,95.022,0.0818327,-117.862,100.417,-0.590815,-0.86002,4.58232,1.12127,0.607871,-167.932,9426.78,223.932,9884.18,14814.6,0.466607,0.197402,6.69716,2.1787,1.66529,0.402315,9662.32,241.38,10119.7,0.520384,0.958114,0.0420893,18567.7,5317.64,69731.5,65153.7,0.00177825,0.591774,14.6627,12.4098,95.3151,73.7557,0.501446,15.4457,15.4522,94.6078,125.667,0.707218,-51.9114 
18,0,18,19711.3,-0.0449471,27.6356,15.6775,95.0163,-0.00824867,7.5098,56.3075,0.719165,0.785144,3.47528,2.39204,2.9735,-152.159,9252.53,199.066,9579.66,14105.9,1.67727,1.74325,5.39149,3.35015,3.9316,0.664995,9465.95,214.874,9793.08,0.523447,0.961793,0.0388483,18083.9,5073.54,66564.7,62174,0.00153184,0.57108,14.9189,12.5671,95.3446,74.5751,0.493026,15.3403,15.3594,94.6783,127.027,0.666358,-52.4516 
19,2,19,20372.9,-0.00508048,28.2246,15.7614,94.8826,-0.0118937,-37.171,500,0.451526,1.29467,-3.12127,-1.72978,1.51083,-158.68,9479.06,195.79,9858.48,14496,1.45069,2.29383,-1.12293,-0.730612,2.51,1.25516,9701.63,212.277,10081,0.522353,0.963121,0.0373408,18572.9,5331.45,69227.1,65941.4,0.00172389,0.577341,15.0944,12.5854,95.2586,74.6399,0.508191,15.3761,15.2762,94.4083,127.051,0.850344,-52.4111 
20,4,20,20099.6,-0.0176581,28.0378,15.643,95.0571,0.00163442,12.6613,8.4635,-0.531958,0.401627,3.64668,0.185248,1.86366,-158.468,9477.61,200.075,9587.64,14278.4,0.465873,1.39946,5.64234,1.18308,2.86149,0.511581,9699.88,216.54,9809.9,0.529106,0.962402,0.0390731,18332.6,5201.18,69344.7,62301.7,0.00171907,0.580543,14.8456,12.6977,95.4976,73.4169,0.492603,15.2166,15.5181,94.714,125.76,0.783583,-52.3434 
