cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
521,40,41,8,521,16073.8,-0.337198,30.6338,12.6457,118.26,0.00602837,135.957,267.224,-5.47592,-3.65436,-10.092,-4.47528,-0.685311,-235.982,8491.62,15.1373,8808.11,12637.3,-3.99001,-2.16844,-7.12014,-2.98936,0.800604,0.539666,8679.59,32.2253,8996.08,0.491047,0.993545,0.00655545,17675.7,-0.00154028,0.800887,12.6734,10.5715,117.721,88.5848,0.744552,12.7486,11.7013,117.508,138.239,0.213187,-49.6542 
522,60,61,8,522,16768.1,-0.331523,31.3772,12.8062,118.203,-0.229336,282.808,238.438,-9.09714,-2.60252,-15.0263,-7.4288,-7.98654,-223.282,9052.83,21.8409,8916.59,15192,-7.69119,-1.19657,-12.2144,-6.02285,-6.58059,0.637615,9230.68,38.0093,9094.44,0.503717,0.992846,0.00764008,18325.1,-0.00155558,0.849038,12.7623,10.5594,117.704,87.9255,0.740405,12.9392,11.7609,117.535,137.461,0.169315,-49.5357 
523,50,51,8,523,17383.1,-0.351256,32.8271,12.7157,118.392,0.0225001,97.2348,477.593,-5.23086,-2.55858,-11.5138,-4.49901,-4.21402,-204.216,9222.27,27.4644,9433.43,13659.6,-3.94497,-1.27269,-8.94199,-3.21312,-2.92813,0.559527,9384.94,42.2521,9596.1,0.494438,0.992183,0.00804563,18981,-0.00162634,0.881229,12.6513,10.4333,117.772,87.8368,0.790304,12.9862,11.6234,117.749,137.275,0.0224638,-49.4382 
524,3,4,8,524,21873.5,-0.290743,40.7608,-12.4653,117.848,0.0387907,224.483,92.2243,-4.25773,-9.25386,-8.6661,-2.60075,1.07862,-206.307,12211.4,41.2134,10621.9,16823.7,-2.95867,-7.9548,-6.06799,-1.30169,2.37768,0.618497,12375.7,56.1526,10786.2,0.534312,0.992122,0.0094988,23162,-0.00121063,1.1838,12.5486,10.3086,117.388,88.2893,0.935223,12.3701,11.3871,117.174,137.691,0.214111,-49.4013 
525,5,6,8,525,20806.9,0.03584,38.6861,-12.355,118.211,-0.0647499,-25.7131,1.23808e-12,-3.69878,-2.38344,-5.62361,-3.54198,-6.01053,-214.261,11341.9,27.7167,10561.6,15613.6,-2.34963,-1.0343,-2.92532,-2.19284,-4.66139,0.77777,11512.6,43.2319,10732.2,0.51754,0.993471,0.00736576,22244.8,-0.00132546,1.08543,12.6897,10.3225,117.655,88.1674,0.931217,12.3726,11.3884,117.594,137.416,0.0609294,-49.2488 
526,16,17,8,526,16540.2,-0.302672,30.9029,12.7402,118.237,-0.0727606,217.902,180.019,-3.83752,-2.37938,-11.7464,-4.83761,-5.86352,-202.894,8721.78,14.803,8993.81,13332.6,-2.55995,-1.10181,-9.19125,-3.56004,-4.58595,0.5623,8883.39,29.4951,9155.42,0.49246,0.994223,0.0058995,18038.8,-0.00150027,0.819676,12.9698,10.4011,117.645,87.263,0.775077,12.8303,11.3586,117.674,136.692,-0.0294875,-49.4286 
527,14,15,8,527,17634.4,-0.326271,32.6939,12.8478,118.197,0.725011,-362.052,77.6796,-5.04705,-7.14664,-6.53363,-8.93448,-6.5059,-182.424,9670.81,22.9203,9121.17,22218.9,-3.89838,-5.99796,-4.23628,-7.7858,-5.35723,0.844686,9816.11,36.1301,9266.48,0.514401,0.9936,0.00713116,19082.6,-0.00147667,0.878774,13.1001,10.6322,117.583,88.3071,0.771636,12.6721,11.6804,117.506,137.861,0.0764629,-49.5543 
528,4,5,8,528,20901.4,-0.204452,39.8661,12.2735,118.265,-0.496014,-155.075,499.999,-6.72701,-5.23109,-8.12089,-7.14545,-1.69985,-228.47,11609,19.3182,10542.6,18432.2,-5.2884,-3.79247,-5.24367,-5.70683,-0.261238,0.741597,11790.9,35.8622,10724.6,0.523681,0.994706,0.00612216,22515.5,-0.0014767,1.1404,12.4511,10.2339,117.749,88.1154,0.944853,12.3068,11.2947,117.543,137.35,0.205871,-49.2348 
529,7,8,8,529,19909.8,-0.0792467,36.9576,12.6188,118.214,0.00616255,-170.636,500,-3.1957,-3.53296,-7.11682,-3.61629,-3.76196,-190.978,11082.7,26.2113,10027.1,15215.8,-1.99317,-2.33042,-4.71174,-2.41376,-2.55943,0.663651,11234.8,40.0404,10179.3,0.524646,0.993802,0.00719385,21414.1,-0.00149634,1.03696,12.892,10.4498,117.803,88.245,0.865823,12.5518,11.5088,117.57,137.607,0.233133,-49.3621 
530,2,3,8,530,23183.3,-0.227745,42.7489,12.5528,118.291,-0.121163,12.5696,0.0108968,-3.67104,-4.96318,-6.24772,-4.37294,-8.51612,-223.196,12803,39.8817,11459.5,17518.3,-2.26563,-3.55778,-3.4369,-2.96753,-7.11071,0.822277,12980.8,56.0439,11637.3,0.527287,0.992501,0.00879338,24618,-0.00140743,1.22013,12.8416,10.2795,117.807,87.5006,1.01296,12.5015,11.2599,117.542,136.943,0.265425,-49.4424 
