cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,-5,47.2177,1.35,12,9081.76,-0.376371,21.7902,13.1007,112.295,0.234766,491.015,2.14252e-05,1.44734,-6.31838,-6.98565,-1.58752,-1.16758,119.574,762.787,62.7783,12023.5,13045.4,0.694418,-7.07131,-8.4915,-2.34044,-1.9205,0.556101,667.542,54.1197,11928.2,0.0540205,0.87575,0.00828856,12357.2,-0.0038533,0.0672477,12.9426,13.4397,111.97,89.6604,0.903926,13.5368,12.5118,111.417,139.97,0.552569,-50.3093 
13,-5,47.2177,1.4,13,8801.18,-0.0683691,21.4215,12.9045,112.167,0.13941,149.965,8.34752e-09,-1.019,-4.45062,-1.14581,-0.798847,-2.58435,56.3575,1491.72,73.5263,11311.3,9679.43,-1.37386,-4.80549,-1.85555,-1.15371,-2.93922,0.847001,1446.83,69.4453,11266.4,0.115858,0.922512,0.0112271,12487.9,-0.00418168,0.130568,12.809,12.3027,111.845,88.3938,0.82533,13.8041,12.7571,111.369,138.838,0.475711,-50.4442 
14,-5,47.2177,1.5,14,6265.46,-0.249933,17.857,12.5541,112.332,0.343573,-615.133,500,-0.578109,-1.39587,-5.28784,-1.86846,-4.82428,-6.75447,1743.39,71.9758,8424.47,14177.7,-0.535578,-1.35334,-5.20278,-1.82593,-4.78174,0.620218,1748.77,72.4649,8429.85,0.174702,0.932387,0.0155883,10010,-0.00391711,0.175774,12.3214,10.7576,111.558,88.381,0.631456,13.4666,12.6851,111.437,138.654,0.121186,-50.2734 
15,-5,47.2177,1.45,15,7065.4,-0.792771,19.7249,13.0139,112.282,-545.55,482955,0.113952,-3.7432,-5.3243,-3.77651,-3.22562,-1.64656,117.649,1704.87,73.1088,9261.84,8.57703e+09,-4.48401,-6.06511,-5.25812,-3.96642,-2.38736,0.762731,1611.16,64.5895,9168.13,0.152054,0.934444,0.0128114,10595.9,-0.00395353,0.162502,12.3514,11.2922,111.702,88.5914,0.687596,13.4732,12.8249,111.343,139.065,0.359263,-50.474 
16,-5,47.2177,1.15,16,9060.12,-0.980007,22.9111,13.4407,112.115,0.134028,641.029,334.829,-5.33973,-5.33663,-7.05171,-2.52818,1.08382,12.8607,242.897,342.651,12549.6,12821.4,-5.42071,-5.41761,-7.21367,-2.60916,1.00284,0.633047,232.653,341.72,12539.4,0.0185807,0.280081,0.047801,12521.2,-5.33536,5.33749,4112.28,-2157.92,105.372,97.7046,0.991014,13.2834,12.2145,111.099,138.142,-5.72647,-40.4379 
17,-5,47.2177,1.375,17,8765.17,-0.449914,22.0058,12.8941,112.27,1.81412,-11402.3,0.105551,-2.66401,-4.5825,-9.15534,-1.24329,-5.49442,-0.913464,1020.25,84.9227,11578.7,682608,-2.65826,-4.57675,-9.14384,-1.23754,-5.48867,0.604249,1020.98,84.9889,11579.5,0.0825445,0.872849,0.01334,12368.9,-0.00388266,0.0894213,12.3498,-13.263,112.282,89.7118,0.894234,13.2501,12.3791,111.301,139.384,0.9813,-49.6718 
18,-5,47.2177,1.275,18,9571.51,-0.952775,23.4562,-13.47,112.194,0.796401,-20.6938,202.072,-2.25593,-3.32152,-10.9963,-3.47177,-1.77715,33.5579,306.034,92.0733,13184.4,10821.9,-2.46724,-3.53283,-11.4189,-3.68308,-1.98846,0.505472,279.304,89.6433,13157.6,0.0212015,0.640341,0.0123947,13173.8,-0.367883,0.373213,830.025,465.001,103.174,98,0.999512,13.3224,12.2663,111.352,139.655,-8.17808,-41.6554 
19,-5,47.2177,1.6,19,8777.36,-1.03997,23.2053,13.1732,112.414,2.90561,-1272.65,371.76,-3.37492,0.00316095,-8.71631,-3.41986,-3.84724,65.4468,2733.21,102.166,10269.5,130328,-3.78702,-0.40894,-9.54052,-3.83196,-4.25934,0.562918,2681.08,97.4265,10217.4,0.211206,0.94021,0.0172619,12694.1,-0.00423773,0.258806,12.1981,11.1949,111.944,89.8547,0.774502,13.4899,12.5441,111.536,139.727,0.408366,-49.8726 
20,-5,47.2177,1.3,20,8551.26,-0.142218,22.0179,11.9378,112.113,0.515287,-165.424,462.372,-2.33208,0.0515776,-8.30245,-4.62822,-3.49769,63.1086,322.91,68.1332,12033.9,11331.3,-2.72946,-0.345801,-9.09721,-5.02559,-3.89506,0.568712,272.642,63.5633,11983.7,0.0226887,0.710231,0.00967629,12016.6,-0.00478161,0.0230487,13.3694,85.1911,118.009,97.9999,0.921646,13.2706,12.0128,110.981,139.289,7.02811,-41.2891 
21,-5,47.2177,1.125,21,9089.13,-0.591028,22.6261,13.1452,113.038,0.179704,397.245,463.887,-4.73732,-1.05693,-10.2806,-0.591582,-1.47396,118.567,240.723,295.832,12702.3,12006.1,-5.48391,-1.80352,-11.7738,-1.33817,-2.22055,0.479495,146.28,287.246,12607.9,0.0117005,0.225406,0.0402785,12502,-9.60456,9.60731,4906.2,2808.67,106.925,97.819,0.990179,13.2603,12.2209,111.416,138.905,-4.49074,-41.0864 
