Run           ,B (G)       ,omega (kHz)     ,Amplitude   ,f0 (MHz)     ,Width      ,Offset      ,median    ,lower     ,upper     ,sigma_M    ,sigma_P    ,N_fits      
130us         ,      202.10,      2.5000,     2169.65,     44.7736,        0.01,    29550.71,       44.77,       44.69,       44.93,        0.08,        0.15,         100
209us         ,      202.10,      2.5000,     2678.69,     44.8269,        0.02,    29641.89,       44.83,       44.73,       44.92,        0.10,        0.10,         100
249us         ,      202.10,      2.5000,     1567.14,     44.8221,        0.02,    26234.65,       44.82,       44.69,       44.94,        0.13,        0.12,         100
290us         ,      202.10,      2.5000,     2055.16,     44.8487,        0.02,    26634.02,       44.85,       44.75,       44.93,        0.10,        0.08,         100
329us         ,      202.10,      2.5000,     2062.09,     44.8534,        0.02,    25377.22,       44.85,       44.75,       44.96,        0.11,        0.11,         100
369us         ,      202.10,      2.5000,     3110.59,     44.8180,        0.02,    25905.62,       44.82,       44.72,       44.96,        0.09,        0.14,         100
409us         ,      202.10,      2.5000,     2388.67,     44.7565,        0.02,    25968.15,       44.76,       44.67,       44.85,        0.09,        0.10,         100
449us         ,      202.10,      2.5000,     2943.20,     44.8006,        0.02,    26592.70,       44.80,       44.71,       44.92,        0.09,        0.12,         100
489us         ,      202.10,      2.5000,     1793.79,     44.8521,        0.01,    25068.30,       44.85,       44.74,       44.97,        0.11,        0.12,         100
529us         ,      202.10,      2.5000,     3156.81,     44.8231,        0.02,    24957.96,       44.82,       44.71,       44.95,        0.12,        0.12,         100
570us         ,      202.10,      2.5000,     2545.60,     44.8428,        0.01,    26289.22,       44.84,       44.76,       44.95,        0.08,        0.11,         100
