cyc,detuning,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,250,47.4659,0,7956.96,0.205024,11.4726,13.0386,121.01,-0.428557,64.258,460.584,2.50116,-0.527054,-3.88238,-1.27471,-0.787504,-109.363,414.654,11.2306,6469.54,5766.01,3.18979,0.161578,-2.50511,-0.586079,-0.0988717,16.5301,532.755,16.051,6587.64,0.0800021,0.949916,0.0044683,6659.26 
1,230,47.4459,1,8304.98,-0.00825868,12.712,13.2168,121.02,0.00174884,2.61344,2.12555,0.288253,-1.89189,1.1301,-1.62468,0.60686,-102.287,646.436,15.8838,6829.22,5469.5,0.932327,-1.24782,2.41824,-0.980608,1.25093,-0.0190325,756.894,20.3923,6939.68,0.104967,0.954974,0.0053839,7210.79 
2,240,47.4559,2,8850.1,0.181436,13.0674,13.1367,120.871,-0.791583,-228.063,364.274,2.45722,0.349003,-2.27698,-3.56404,-0.898344,-99.5865,724.597,13.9658,7138.39,11465.1,3.08429,0.976072,-1.02284,-2.93697,-0.271275,-4.99142,832.14,18.3553,7245.93,0.109914,0.962833,0.00464471,7570.85 
3,0,47.2159,3,12009.7,0.0158997,21.3643,-11.7093,121.698,0.0115787,-21.6497,500,0.606225,0.703338,-10.8268,-1.89277,-3.08516,-115.817,4549.63,33.4055,6780.26,8151.75,1.33549,1.43261,-9.36825,-1.1635,-2.35589,0.0742413,4674.7,38.5104,6905.33,0.421271,0.985788,0.0101688,11096.7 
4,210,47.4259,4,7705.06,0.181605,10.9546,13.3981,120.642,-0.286234,-75.7835,37.4167,1.16023,-2.56873,-8.28035,-5.38104,0.308026,-120.435,893.443,8.47008,5895.27,5484.02,1.91858,-1.81038,-6.76365,-4.62269,1.06637,0.337661,1023.5,13.7785,6025.33,0.154443,0.976983,0.00419479,6627.05 
5,-60,47.1559,5,14377.8,-0.0200209,26.2169,11.6233,121.105,0.0104542,12.6141,1.89208e-11,-5.53708,-1.41934,-6.44312,0.504096,-0.82692,-99.4384,15.5514,15.6333,13736.8,9924.19,-4.91094,-0.793199,-5.19084,1.13023,-0.200783,0.47912,122.934,20.0162,13844.2,0.00945791,0.778248,0.00265629,12998 
6,220,47.4359,6,8756.73,0.0923243,12.7286,13.5707,121.248,-0.39329,24.7796,500,-0.803355,0.886352,-3.78004,-3.98567,0.879118,-97.6697,873.124,3.16224,7094.09,5940.39,-0.188354,1.50135,-2.55004,-3.37067,1.49412,0.180997,978.597,7.46724,7199.56,0.127518,0.986822,0.00190695,7674.19 
7,100,47.3159,7,9953.21,0.108087,14.4779,14.0864,122.038,-0.0197838,-57.8743,215.552,1.26469,-5.31247,2.29371,1.91573,3.77508,-8.87249,3915.58,30.6376,5202.08,6676.24,1.32056,-5.2566,2.40545,1.9716,3.83094,0.436921,3925.16,31.0287,5211.66,0.447465,0.986355,0.0108484,8772.01 
8,370,47.5859,8,10039.7,-0.00462912,15.8528,13.1137,121.057,0.000797691,5.04596,1.58799e-11,-2.07857,1.62761,4.98753,1.30576,2.34352,-86.6953,281.151,20.527,9150.61,6767.64,-1.53267,2.17351,6.07932,1.85166,2.88942,0.469575,374.772,24.3483,9244.24,0.0417717,0.897912,0.00482847,8971.91 
9,120,47.3359,9,8437.68,0.129909,11.9941,14.0525,121.526,0.378414,-395.737,421.054,-2.80915,-2.89979,-1.92032,-1.70791,-0.792437,-43.7039,2964.24,16.7828,4739.87,10361.7,-2.53396,-2.6246,-1.36993,-1.43271,-0.517245,0.838422,3011.44,18.7092,4787.07,0.403494,0.989245,0.00714799,7463.41 
10,160,47.3759,10,8391.26,0.00164231,12.3218,14.1283,121.238,-0.025371,25.2874,5.25131e-12,-3.12633,-0.884638,-1.8378,3.31688,-1.49277,-61.6731,1843.42,30.5152,5891.62,5687.95,-2.73799,-0.496299,-1.06113,3.70521,-1.10443,0.37383,1910.02,33.2336,5958.22,0.256338,0.97045,0.0101704,7451.16 
11,20,47.2359,11,12287.4,0.00963477,21.0425,-12.3507,122.38,-0.044682,15.4178,500,-5.33709,-2.09038,-0.786082,-1.31215,3.65614,-57.9181,7136.5,33.6481,4524.74,8482.68,-4.9724,-1.72569,-0.0566922,-0.94745,4.02084,0.9846,7199.04,36.201,4587.29,0.627903,0.991277,0.0143288,11465.2 
12,200,47.4159,12,8136.9,0.104834,12.3531,13.429,120.898,-0.159775,-49.5957,59.667,-0.914046,0.314369,1.72515,-1.14739,0.248068,-57.7545,1065.74,11.3123,6492.09,5658.2,-0.550382,0.678033,2.45248,-0.783729,0.611733,-0.0184146,1128.11,13.858,6554.45,0.156166,0.978955,0.00387962,7223.75 
13,190,47.4059,13,7762.05,-0.00226678,11.7797,13.5908,120.383,0.00436215,3.87394,9.24089e-12,0.63573,-5.09604,1.02756,0.950416,-1.36512,-91.0112,1089.75,31.8942,6067.22,5212.17,1.2088,-4.52297,2.17371,1.52349,-0.792049,6.31447,1188.03,35.9058,6165.51,0.171633,0.949767,0.0106139,6921.95 
14,40,47.2559,14,10354.2,-0.0125853,16.6806,13.4234,122.147,0.00786453,20.2026,2.50882e-11,-3.07008,-1.01142,-7.74791,-3.8021,0.494995,39.2527,5398.29,36.4185,4470.64,7294.2,-3.31725,-1.25858,-8.24224,-4.04927,0.247831,0.504062,5355.9,34.6884,4428.26,0.565315,0.988793,0.0142247,9474.17 
15,300,47.5159,15,9540.87,-0.0256314,15.4581,13.3356,121.085,0.0119487,39.4921,2.5009e-12,0.636115,1.30462,-0.846026,-0.190404,1.16432,22.0839,497.062,19.8255,8550.4,6725.97,0.497058,1.16557,-1.12414,-0.329461,1.02526,1.91076,473.213,18.8521,8526.55,0.0563155,0.934826,0.00405635,8402.9 
16,400,47.6159,16,9737.32,0.0537062,15.5999,13.0311,121.15,0.0269368,118.722,500,-1.45105,-0.677615,-0.854974,3.9434,1.35568,-59.5381,282.156,14.9735,8865.48,6721.67,-1.07616,-0.302719,-0.105182,4.31829,1.73058,1.02304,346.45,17.5977,8929.78,0.0400467,0.918366,0.00361707,8651.14 
17,-20,47.1959,17,14926.6,0.0140868,26.913,11.9879,120.949,-0.00681955,-5.38764,144.778,4.01423,-0.0873332,5.7305,1.37107,1.02918,-51.1183,236.352,30.983,14294.4,10503.9,4.3361,0.234545,6.37426,1.69295,1.35106,0.544335,291.554,33.2361,14349.6,0.0213802,0.833685,0.00424851,13636.7 
18,60,47.2759,18,10425.7,-0.00415135,16.5367,13.429,121.948,0.00324057,3.8757,1.19467e-11,-1.2507,1.98221,4.68836,1.09478,2.0535,-56.6714,5059.27,21.1922,4806.7,7229.57,-0.893859,2.33905,5.40205,1.45162,2.41035,0.49557,5120.47,23.6902,4867.9,0.53075,0.991969,0.00888515,9647.61 
