cyc,detuning,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
36,390,47.6059,36,14231.3,-0.00840137,23.4219,13.2388,121.459,-0.0118466,3.72867,63.4559,1.90308,0.827474,1.80755,0.950935,1.56661,-23.5675,155.551,11.2303,13795.9,10095.5,2.05148,0.975872,2.10435,1.09933,1.71501,0.73517,181.002,12.2691,13821.3,0.0135976,0.893956,0.00163255,13311.3 
37,320,47.5359,37,15243.3,-0.0047314,24.7177,13.4679,121.479,-0.0220637,7.29946,500,-0.966728,-0.0320608,0.851665,1.00878,1.3204,57.5292,258.132,33.1632,14601.4,10842.1,-1.32897,-0.394307,0.127174,0.646536,0.958151,-13.821,196.006,30.6274,14539.2,0.0139922,0.785268,0.00386547,14008.3 
38,420,47.6359,38,13486.9,0.00271659,22.0483,13.273,121.576,0.00162419,-4.88853,115.519,2.24187,1.58028,3.04746,0.0139922,2.76775,6.69978,103.664,13.9089,13096.6,9526.9,2.19968,1.53809,2.96309,-0.0281946,2.72556,0.684719,96.429,13.6136,13089.3,0.00769505,0.801886,0.00191222,12531.3 
39,440,47.6559,39,13190.3,0.000752771,21.7357,13.1777,121.411,0.00217306,2.42815,18.6555,-0.728262,3.17031,-3.80276,-1.91315,-1.4582,24.3958,147.595,23.2657,12841.1,9324.32,-0.881876,3.0167,-4.10998,-2.06677,-1.61181,0.27305,121.25,22.1904,12814.8,0.00986153,0.757419,0.0031797,12295.3 
40,460,47.6759,40,13151.6,-0.0102235,21.7924,13.162,121.38,-0.00259526,5.38673,432.076,2.47653,-1.11576,-0.404267,-0.352267,0.264206,17.3486,178.206,23.7238,12754.8,9337.8,2.36729,-1.225,-0.622746,-0.461507,0.154966,3.92363,159.472,22.9591,12736.1,0.0130088,0.798756,0.00330974,12258.7 
41,480,47.6959,41,13152.3,-0.00571864,21.6328,13.2362,121.414,-0.00558227,9.41734,146.592,3.22238,2.6556,2.75294,2.15006,3.71013,-13.3723,88.8473,20.0576,12848,9322.89,3.30658,2.7398,2.92135,2.23426,3.79433,0.805196,103.288,20.647,12862.5,0.00838197,0.740839,0.00294825,12322.6 
42,500,47.7159,42,13653.3,-0.0282192,22.3781,13.3957,121.526,0.0385959,40.9589,54.1258,-2.61441,2.69395,1.40901,2.14985,-0.512887,34.5557,156.117,33.3186,13297.3,9809.96,-2.832,2.47636,0.973835,1.93226,-0.730475,0.464921,118.8,31.7955,13260,0.00934272,0.681029,0.00439766,12715.8 
43,250,47.4659,43,13244.8,-0.014355,21.5657,13.416,121.828,0.00272633,3.34516,152.943,-0.495523,-2.38601,1.6547,3.15367,3.63725,43.3461,414.467,19.7157,12470.7,9418.81,-0.768462,-2.65895,1.10882,2.88073,3.36431,0.717602,367.658,17.8052,12423.9,0.0302093,0.921871,0.00263304,12170.4 
44,230,47.4459,44,12987.6,0.0257528,21.0231,13.4737,121.583,-0.0282071,-9.73432,2.83605e-12,3.02006,0.48075,5.83415,0.123014,2.47486,28.1422,634.055,23.7593,12110.3,9229.98,2.84286,0.303546,5.47975,-0.0541897,2.29766,0.495866,603.665,22.5188,12079.9,0.0499741,0.938719,0.00342223,12079.6 
45,240,47.4559,45,13092.7,-0.0244712,21.2291,13.5271,121.471,0.0138253,-10.2646,435.384,-0.651106,4.32713,2.87671,1.10934,1.43195,22.4017,498.168,28.0083,12473.8,9352.9,-0.792163,4.18607,2.59459,0.968288,1.29089,0.685415,473.976,27.0209,12449.6,0.0385313,0.909285,0.00398224,12301.1 
