cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.01,3.99,0,4186.13,-0.0443865,9.86471,11.9907,121.363,0.0624973,-12.6628,496.115,-4.79876,-7.15598,-7.29564,0.316877,1.18472,15.6658,809.528,42.7688,4429.05,3876.31,-4.8974,-7.25462,-7.49293,0.218234,1.08607,0.591458,792.611,42.0783,4412.13,0.256764,0.914993,0.0172648,3086.92,-0.00127247,0.0421926,12.9056,38.7966,123.672,108,0.360829,11.9688,11.0783,120.029,135.223,3.64377,-27.2227 
1,0.53,3.47,1,4507.3,0.00433264,10.0715,12.1574,121.101,-0.00792553,-29.5322,500,-5.48091,-3.18387,-2.94351,-0.455103,-5.32432,-9.9739,768.871,30.8364,4770.28,3993.55,-5.41811,-3.12107,-2.8179,-0.392301,-5.26152,0.834347,779.642,31.276,4781.05,0.23873,0.934402,0.0119069,3265.79,-0.00117654,0.0361177,14.4515,26.098,125.428,98.0783,0.411325,12.1438,11.6015,120.158,135.116,5.27004,-37.0377 
2,0.51,3.49,2,4224.79,-0.300006,10.0194,12.5547,121.218,-2.70675,-207.861,112.652,-3.76438,-2.35152,1.19803,-0.284198,-3.3552,-7.19533,740.498,34.908,4560.2,22410.3,-3.71907,-2.30621,1.28865,-0.238891,-3.3099,1.15553,748.268,35.2251,4567.97,0.239552,0.923888,0.0140061,3123.61,-0.00124143,0.0360041,15.1847,23.3525,124.397,96.0084,0.396633,12.1889,11.6337,120.359,134.847,4.03724,-38.8388 
3,0.39,3.61,3,4264.46,-0.0469808,9.66435,12.604,121.255,-0.590516,334.49,500,-5.10656,-4.65874,-6.46949,1.0157,-4.6685,57.2257,808.044,24.909,4569.76,10395.3,-5.46689,-5.01908,-7.19016,0.65536,-5.02884,0.67391,746.247,22.3867,4507.97,0.241473,0.95012,0.00906503,3090.39,-0.00131826,0.0334679,18.5741,22.3791,124.973,91.5442,0.391666,12.1744,11.8809,120.538,134.39,4.43538,-42.8458 
4,0.25,3.75,4,3886.38,-0.334216,-9.78138,12.5053,121.126,-0.089768,-316.62,487.91,-5.78342,-2.40353,1.81824,-0.109123,0.131238,0.552494,750.74,28.5418,4384.25,4907.12,-5.7869,-2.40701,1.81128,-0.112602,0.127759,1.28446,750.143,28.5175,4383.65,0.247601,0.937622,0.0118417,3029.64,-0.0014836,0.0304826,18.4383,23.1612,125.014,92.2859,0.391687,11.9775,11.7678,120.516,135.109,4.49858,-42.8234 
5,0.71,3.29,5,4188.29,-0.0296098,9.83997,12.2773,121.183,-0.0169951,-28.205,500,-4.54642,-3.93682,-6.98113,-5.28942,-3.75619,23.2223,852.77,37.5074,4572.75,3948.3,-4.69264,-4.08304,-7.27358,-5.43565,-3.90241,0.713496,827.693,36.4838,4547.67,0.259263,0.928386,0.0145631,3192.48,-0.00144814,0.0376871,15.8138,27.0532,124.156,94.925,0.380341,12.2816,11.8407,120.337,134.639,3.81906,-39.714 
6,0.45,3.55,6,4972.5,0.00181946,11.1217,-12.4563,121.083,-5.22912e-05,7.08444,3.69557e-12,-5.4477,-5.00254,-3.77378,-1.94077,-3.33107,36.9698,967.068,47.5526,5256.69,4509.76,-5.68049,-5.23533,-4.23936,-2.17356,-3.56386,0.797088,927.145,45.923,5216.77,0.25472,0.920234,0.0159572,3639.86,-0.00148015,0.0420462,17.3437,23.9409,124.286,93.6329,0.441411,12.2352,11.8557,120.457,134.352,3.82854,-40.7195 
7,0.77,3.23,7,3496.61,-0.0450268,-8.95106,11.7621,121.582,0.0979617,4.67297,500,0.165461,-3.48019,1.85243,0.17799,0.422876,7.84279,674.793,47.9942,4046.53,3442.23,0.116077,-3.52957,1.75366,0.128606,0.373492,2.51473,666.323,47.6485,4038.06,0.240888,0.888777,0.0212742,2766.11,-0.00132727,0.0377036,12.4429,33.8668,124.599,107.517,0.346711,11.6664,11.2216,120.539,135.041,4.05915,-27.5242 
8,0.57,3.43,8,4285.89,-0.0484669,10.2614,12.3819,121.398,0.0607358,-33.1091,500,-6.73849,-2.2945,-0.435497,0.140827,-0.121801,59.9965,887.659,48.4999,4742.89,4201.54,-7.11628,-2.67228,-1.19106,-0.236955,-0.499583,0.89834,822.869,45.8554,4678.1,0.252764,0.911144,0.0177363,3255.48,-0.00148159,0.0435908,14.5641,26.9845,124.876,100.206,0.396535,12.0468,11.715,120.613,134.941,4.2622,-34.7342 
9,0.37,3.63,9,4391.35,-0.0437728,10.3548,12.0423,121.273,0.106777,-8.35427,500,-3.7344,-4.39971,-5.97306,-2.29479,1.30528,19.2436,918.177,36.0769,4731.4,4088.28,-3.85557,-4.52088,-6.2154,-2.41596,1.18411,0.60721,897.396,35.2287,4710.62,0.268126,0.935717,0.0135891,3346.92,-0.00150838,0.034691,19.2673,24.4882,124.715,92.1521,0.41253,11.7343,12.0622,120.643,134.737,4.07163,-42.5852 
