cyc,detuning,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,80,47.2959,8,12,16494.8,-0.343047,30.8268,12.9292,121.533,0.193743,497.313,44.6937,-0.386265,-3.29565,-9.24222,-2.07488,2.78762,-538.478,1998.05,183.785,16287.6,16111.2,3.00439,0.0950032,-2.46091,1.31577,6.17828,1.3026,2753.32,211.757,17042.9,0.187513,0.881374,0.022376,14683.3,-0.00239296,0.151924,13.2675,29.0468,121.915,100.515,1.07586,13.5516,12.1278,121.023,128.069,0.891142,-27.5548 
13,45,47.2609,5,13,15525,-0.338713,29.6242,12.6801,121.535,-0.0113377,276.482,450.805,-1.66265,3.05248,-5.87435,1.18185,-3.46567,-538.871,1988.34,137.56,15168.4,12330.3,1.73048,6.44561,0.911907,4.57498,-0.0725433,0.932901,2744.16,165.553,15924.2,0.197547,0.904506,0.0187912,13891.1,-0.00223825,0.13736,12.8989,25.5833,122.293,93.2522,1.12245,13.2596,11.8258,121.023,128.114,1.26939,-34.8621 
14,-20,47.1959,2.5,14,15560.5,-0.0606968,30.2576,12.2904,121.445,-0.00659714,22.5044,500,-1.60856,0.996682,-4.05293,-1.03208,-5.84927,-575.616,376.88,121.146,17011.1,12110.7,2.01594,4.62118,3.19607,2.59242,-2.22477,0.686686,1184.24,151.048,17818.5,0.0867118,0.817521,0.0153755,13657.2,-0.00114449,-0.0184461,13.3182,8.20904,98.9149,73.9664,1.28515,12.928,12.5554,121.062,127.931,-22.1468,-53.9643 
15,40,47.2559,5,15,16830.4,-0.390547,31.8817,12.8559,121.59,0.165756,115.496,285.998,-1.59088,1.65222,-7.44999,-6.4377,-3.27456,-543.274,2297.05,175.036,16324.7,13965.8,1.82997,5.07307,-0.608285,-3.01685,0.146288,1.17764,3059.04,203.258,17086.7,0.203668,0.895834,0.0214432,15019.8,-0.00250559,0.169604,12.822,27.556,122.333,96.7038,1.135,13.4969,11.8232,121.037,128.276,1.29624,-31.5725 
16,0,47.2159,1.7,16,15957.9,-0.00117688,30.6097,12.4597,121.458,0.000222024,0.873506,483.765,-2.5631,-3.79068,-9.93013,-2.55375,-8.75473,-483.162,2251.66,149.815,15545.5,12415.4,0.479241,-0.748341,-3.84545,0.488586,-5.71239,0.588209,2929.35,174.914,16223.2,0.205056,0.905392,0.0194742,14285.6,-0.00246106,0.16037,12.9293,25.983,122.067,93.6012,1.13061,13.1556,11.8234,120.913,128.625,1.1541,-35.0241 
17,200,47.4159,10,17,16587.9,-0.0259021,30.616,12.7733,121.517,0.0181534,-0.435432,0.00151158,0.905819,-3.14754,-3.87114,-2.14821,-4.41692,-500.443,999.91,151.879,17227.4,12730.8,4.05697,0.00361952,2.43117,1.00295,-1.26577,0.609698,1701.83,177.876,17929.3,0.119407,0.845373,0.0179474,14252.3,-0.00194902,0.14397,12.4721,18.0191,121.915,103,1.21819,13.4611,12.0738,121.029,128.6,0.885958,-25.6 
18,30,47.2459,4,18,16831.8,-0.0404756,30.8704,13.0212,121.695,0.0393586,-44.8299,3.66091,-1.1811,0.989483,-7.27892,-3.54026,-1.69054,-499.835,2041.19,161.217,16433.9,13142.9,1.96623,4.13681,-0.984266,-0.39293,1.45678,1.1592,2742.26,187.183,17134.9,0.186083,0.893294,0.0197263,14736.7,-0.00224997,0.154481,12.6443,25.5354,122.055,95.2137,1.09267,13.7036,12.5311,121.1,128.693,0.954532,-33.4794 
19,20,47.2359,2.5,19,16135,-0.357193,30.5893,12.7817,121.412,0.256306,-4.61356,15.0121,-3.24645,3.26135,-5.20653,-5.47528,2.53396,-555.846,1458.63,160.012,16380.3,12766.3,0.253557,6.76136,1.7935,-1.97527,6.03397,0.860614,2238.26,188.887,17159.9,0.157068,0.871321,0.0198739,14250.2,-0.00222596,0.145089,12.7299,26.5338,121.749,103,1.13111,13.2877,11.9517,120.908,129.387,0.841319,-26.3865 
20,15,47.2309,2.5,20,15902,-0.0388966,30.9208,-12.2191,121.774,-0.0226897,8.84741,7.39173e-13,0.362846,-4.80276,-6.20742,-5.59511,-4.80329,-561.02,1864.12,164.935,15780.1,12305.9,3.89544,-1.27016,0.857774,-2.06252,-1.27069,-4.72418,2651.01,194.079,16567,0.186063,0.886433,0.021124,14247.9,-0.00242431,0.163804,12.4573,28.3813,122.001,100.369,1.12233,13.0834,11.6198,121.262,128.793,0.739123,-28.4241 
21,10,47.2259,2,21,15761.9,-0.35187,30.0788,12.7091,121.461,-0.136636,678.365,263.11,-2.04229,3.27835,-9.79984,-5.2393,-5.76654,-526.127,1305.1,140.988,16045.5,15461.7,1.27059,6.59123,-3.17408,-1.92642,-2.45366,11.3169,2043.04,168.319,16783.5,0.148138,0.873991,0.0181391,13791.5,-0.00216439,0.135008,13.0295,26.6892,121.728,103,1.17018,13.1628,11.4437,120.961,128.529,0.76654,-25.5287 
22,180,47.3959,10,22,15689.5,-0.355946,29.8783,-12.7572,121.971,0.173766,82.6566,0.118818,-1.94575,0.798411,3.03016,-0.258851,-2.59269,-586.377,985.445,120.806,16335.9,12875.7,1.74651,4.49067,10.4147,3.43341,1.09957,0.50839,1807.9,151.267,17158.3,0.13083,0.872278,0.0159804,13818.7,-0.0020979,0.112637,12.6414,23.5708,122.13,103,1.1937,13.2412,11.8841,121.483,128.204,0.647042,-25.2045 
