cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
305,0.28,0.48,43.252,305,18210.6,-0.258078,39.0943,-10.8668,117.673,0.169956,-36.3457,462.682,2.83788,1.34769,-0.0416295,-0.862537,-3.63858,113.821,8599.27,566.416,8546.5,14030.7,2.12118,0.630987,-1.47503,-1.57924,-4.35528,0.683293,8557.61,540.032,8504.84,0.466655,0.900548,0.104719,18338.2,-0.000962248,0.978674,11.0695,10.7561,118.046,87.5742,0.935777,10.6364,12.0569,116.999,138.291,1.04688,-50.7168,259.966,267.733,527.699 
306,0.28,0.48,43.242,306,13495.7,-0.218317,29.6402,10.7318,118.151,-0.0818713,194.17,164.496,0.897069,-2.01258,-3.15156,-0.165446,-2.59693,86.0575,6966.73,398.237,6002.16,10872.5,0.355187,-2.55446,-4.23532,-0.707327,-3.13881,0.588033,6935.23,378.289,5970.67,0.502498,0.912862,0.104514,13801.5,-0.00101337,0.787825,11.2186,10.7343,118.48,87.4686,0.649275,10.6319,12.2537,117.524,138.227,0.956044,-50.7585,211.659,188.714,400.373 
307,0.28,0.48,43.172,307,15938.4,-0.134534,34.9587,-10.6504,117.55,0.134098,-80.4698,500,-0.339476,0.648093,1.56055,-1.40195,-1.13539,92.702,7692.77,482.639,7542.26,12471.6,-0.923196,0.0643734,0.393113,-1.98567,-1.71911,1.09426,7658.84,461.151,7508.33,0.470057,0.904674,0.10164,16293.4,-0.00107347,0.891055,10.9998,10.62,117.948,86.7498,0.826736,10.5828,12.1312,116.898,137.356,1.04988,-50.6059,232.227,236.792,469.019 
308,0.28,0.48,43.182,308,12729.4,-0.223093,28.3652,-10.6752,117.823,-0.206065,218.408,477.35,-1.56052,-2.69223,-3.14291,-1.07352,-0.947883,69.2724,5945.36,425.846,6366.35,11322.4,-1.99671,-3.12842,-4.01529,-1.50971,-1.38407,0.666343,5920.01,409.788,6340.99,0.448073,0.891952,0.106382,13212.1,-0.00110788,0.674669,11.023,11.0388,118.038,88.3073,0.679056,10.7744,12.2037,117.193,139.398,0.844321,-51.091,183.151,199.199,382.35 
309,0.28,0.48,43.192,309,14565.5,-0.26912,31.4641,11.0256,118.214,-0.335331,490.523,499.845,1.10278,-0.670158,1.98546,-2.36169,-1.54641,94.8243,7111.01,485.656,6711.93,16647.7,0.505701,-1.26724,0.791291,-2.95878,-2.1435,1.156,7076.31,463.676,6677.22,0.479583,0.897127,0.113411,14755.1,-0.00113167,0.792925,11.1658,11.035,118.526,87.821,0.703218,11.1247,12.337,117.519,138.57,1.0066,-50.7487,217.967,215.319,433.286 
310,0.28,0.48,43.222,310,11697,-0.217014,25.3248,11.0048,118.065,-0.0158398,22.0628,33.8523,-0.195187,-0.954337,-6.19517,-2.84877,-0.517562,19.0812,5663.52,354.707,5625.58,9083.83,-0.315337,-1.07449,-6.43546,-2.96892,-0.637711,0.437062,5656.54,350.284,5618.6,0.466791,0.902226,0.103013,12117.9,-0.00110483,0.616843,11.4477,11.0553,118.546,87.4212,0.59108,10.9855,12.4159,117.382,138.05,1.16375,-50.629,174.165,179.864,354.029 
311,0.28,0.48,43.232,311,13966.2,-0.0837265,30.1651,10.8105,118.037,0.0382531,3.69561,496.512,0.611771,-1.77122,-8.30636,-0.916471,1.80435,99.0918,6888.27,415.757,6480.38,10620.2,-0.0121834,-2.39518,-9.55427,-1.54043,1.1804,0.224595,6852.01,392.788,6444.12,0.480413,0.908828,0.100947,14262.7,-0.00113841,0.765364,11.1273,11.0917,118.307,87.3574,0.68179,10.9801,12.3561,117.308,138.377,0.998393,-51.0201,210.744,206.366,417.11 
312,0.28,0.48,43.352,312,15481.3,-0.241461,34.1019,10.6662,117.945,-0.419455,102.427,291.438,-3.7107,0.371716,-5.83152,-8.23817,-1.31683,84.4295,7899.41,433.924,6961.09,13239.5,-4.24233,-0.159914,-6.89478,-8.7698,-1.84846,0.685389,7868.51,414.354,6930.19,0.496805,0.915621,0.0992118,15838.2,-0.00111176,0.910166,11.0011,10.7031,118.323,87.3276,0.75381,10.7415,12.102,117.274,137.944,1.04876,-50.6161,239.092,218.616,457.707 
313,0.28,0.48,43.202,313,13214.4,-0.0309953,27.9545,10.9977,118.07,0.00657117,-0.643147,7.45949e-12,-0.0511414,-1.08308,-5.07993,-2.59199,0.474477,70.9562,6305.21,451.932,6212.71,10008.2,-0.497934,-1.52987,-5.97351,-3.03879,0.0276849,0.457566,6279.24,435.485,6186.74,0.46881,0.891768,0.114783,13394,-0.00106785,0.664609,11.5859,11.418,118.415,87.5023,0.649334,11.0419,12.392,117.431,138.457,0.984658,-50.955,196.147,198.223,394.369 
314,0.28,0.48,43.162,314,17178.2,-0.0230231,37.2056,10.6605,117.968,0.0281543,-50.8548,500,0.610012,1.75515,-1.36319,1.84526,-3.68074,68.341,8396.1,488.756,8015.48,12958.2,0.179687,1.32483,-2.22384,1.41493,-4.11107,0.34889,8371.09,472.915,7990.47,0.47671,0.910031,0.0983068,17560.1,-0.00120336,0.950752,11.1185,10.843,118.436,87.997,0.882184,10.7286,11.8977,117.324,138.772,1.11226,-50.7753,255.715,251.224,506.939 
