cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,0.25,47.3224,0,20048,-0.0246551,37.0335,-12.5811,116.765,0.0125411,-20.7543,500,0.130102,0.784177,0.808855,-0.301051,-0.0380979,-96.9837,936.926,3271.42,15339.2,15175.8,0.740783,1.39486,2.03022,0.30963,0.572583,0.597823,984.254,3302.18,15386.5,0.0526939,0.145533,0.283331,18678.7 
1,0.75,47.3229,1,19869.3,-0.010868,36.9555,12.4294,116.927,-0.0378679,38.9027,500,-0.0233623,-1.32303,-3.66731,-0.579371,-2.55402,-70.7634,864.617,2916.46,15593.3,15000.8,0.422216,-0.877456,-2.77615,-0.133793,-2.10844,0.492813,899.15,2938.9,15627.9,0.0476466,0.148811,0.257288,18871.2 
2,1.25,47.3224,2,18509.3,-0.305284,34.3218,12.7228,116.726,0.654024,-800.17,168.761,0.960106,-1.0883,0.0541097,2.22277,-0.0326391,-47.8141,840.902,2559.65,14641.8,31251.2,1.26118,-0.787229,0.656255,2.52385,0.268434,0.832694,864.235,2574.82,14665.2,0.0487465,0.160933,0.244385,17729.2 
3,1.75,47.3229,3,18468.1,-0.0345469,34.4614,12.4436,116.642,-0.0516082,-66.7325,495.084,0.0229321,-0.437579,-1.23243,3.61054,-1.04064,-145.284,903.066,3013.86,14194,14071.8,0.937746,0.477234,0.597198,4.52536,-0.125825,0.906858,973.964,3059.94,14264.9,0.056044,0.153892,0.28323,17378.6 
4,2.25,47.3224,4,19730,-0.0575005,36.6356,12.4195,116.589,0.0200839,-17.7234,500,6.41238,2.82698,0.39217,-1.19453,2.08359,-114.197,915.68,3185.35,15177.6,14823.2,7.13145,3.54605,1.83031,-0.475458,2.80266,0.876622,971.408,3221.57,15233.3,0.0525377,0.146979,0.280354,18489.7 
5,2.75,47.3229,5,17647.1,-0.0244362,33.6951,12.093,116.492,-0.00444223,8.18245,1.28986e-11,2.77098,4.92616,3.99915,-0.170286,-0.531065,-27.3256,881.411,3051.11,13517.2,13265.8,2.94304,5.09822,4.34328,0.00177555,-0.359003,0.638882,894.746,3059.77,13530.5,0.0543758,0.143174,0.29407,16454.8 
6,0.15,47.3204,6,19506.3,0.00790959,36.0725,12.4179,116.433,0.00103684,-8.6854,500,2.68344,-3.15396,1.34734,0.468073,-3.6889,-121.039,918.016,3207.19,14976.5,14582.4,3.4456,-2.3918,2.87164,1.23022,-2.92675,-0.288362,977.083,3245.59,15035.6,0.0534859,0.146778,0.284507,18268 
7,0.65,47.3249,7,18807.4,0.0104962,34.6438,12.4824,116.835,-0.0178309,-14.2969,4.35947e-12,1.58896,-1.87466,1.84334,1.1656,-0.181632,-133.937,870.64,3004.05,14527,14085.6,2.43232,-1.0313,3.53006,2.00896,0.661732,0.535627,936,3046.53,14592.3,0.0528301,0.149344,0.277763,17717.2 
8,1.15,47.3204,8,17749.8,-0.302909,33.4099,12.5682,116.356,0.32747,-123.342,379.151,1.83131,3.84585,1.22388,-1.22781,0.567387,-107.77,877.323,2899.81,13765.1,14984.1,2.50991,4.52444,2.58108,-0.549213,1.24599,0.749707,929.915,2934,13817.7,0.0552854,0.15334,0.281168,16820.3 
9,1.65,47.3249,9,18981,0.00241562,35.1087,12.416,116.739,-0.00763566,-45.0015,500,-0.32623,-0.104613,-3.18758,0.429236,1.99068,-76.3652,820.02,2870.33,14880.4,14201.5,0.154621,0.376238,-2.22588,0.910087,2.47153,2.31974,857.286,2894.55,14917.7,0.0475935,0.144744,0.263315,18012.7 
10,2.15,47.3204,10,18855.6,-0.0409287,35.0818,12.4954,116.85,0.151145,-314.21,499.504,-0.409165,-1.70013,-4.44082,-1.38338,-2.02369,-59.1081,983.847,2889.07,14612,15816,-0.0369772,-1.32794,-3.69645,-1.01119,-1.6515,0.521437,1012.69,2907.82,14640.8,0.0567345,0.165977,0.267861,17849.7 
11,2.65,47.3249,11,18808.6,-0.0263275,35.1369,12.3141,116.552,0.0648131,-150.289,500,0.205989,-1.84766,-5.04031,2.78178,-0.407422,-100.009,900.116,3014.91,14477.1,14402.2,0.835718,-1.21793,-3.78085,3.41151,0.222307,-6.14388,948.92,3046.63,14525.9,0.0537519,0.151089,0.278686,17653.7 
12,0.35,47.3245,12,19715.6,-0.301539,36.5897,12.6387,116.498,1.12327,-517.759,200.507,-0.894211,2.78487,3.39071,1.18217,2.94919,-88.4687,897.989,3109.01,15249,33986.7,-0.337147,3.34193,4.50484,1.73924,3.50625,0.646821,941.162,3137.07,15292.1,0.0507991,0.146347,0.274255,18527.1 
13,0.85,47.3209,13,19312.1,-0.000110257,36.0369,12.3185,116.643,-0.00513982,47.4504,5.23344,1.54063,-2.13169,-3.75652,1.77732,-0.40197,-92.677,910.487,2919.51,15090.2,14459,2.12419,-1.54813,-2.5894,2.36088,0.181593,5.89361,955.713,2948.91,15135.4,0.05205,0.156257,0.264114,18361.4 
14,1.35,47.3245,14,17398,-0.0741338,33.1986,12.2294,116.6,-0.0501979,42.3895,499.999,2.97214,2.99208,1.2282,-0.435288,0.532854,-49.5398,814.442,3189.16,13366.5,13285.8,3.28407,3.30402,1.85208,-0.123349,0.844792,0.797844,838.618,3204.88,13390.7,0.0516457,0.130076,0.305981,16237.9 
15,1.85,47.3209,15,17793.3,-0.11225,33.936,12.125,116.497,0.0157983,31.6112,1.75791e-07,-0.496079,-0.71666,1.44555,1.14503,-0.959219,-113.131,904.348,2722.11,13904.6,13411.1,0.216275,-0.0043051,2.87026,1.85738,-0.246864,0.388363,959.556,2757.99,13959.9,0.0564,0.16584,0.266828,17013.4 
16,2.35,47.3245,16,19553.1,-0.0562189,36.1071,12.535,116.675,-0.174712,30.4837,499.999,2.87686,-0.45608,2.09047,-1.94598,1.50803,-121.803,812.564,2974.73,15276.9,14907.1,3.64382,0.310881,3.62439,-1.17902,2.27499,0.582206,872.004,3013.36,15336.3,0.0471131,0.141896,0.265757,18508.7 
17,2.85,47.3209,17,19704,-0.290396,36.8449,12.5101,116.787,0.168162,-51.0824,124.532,1.67447,1.24192,0.536344,-1.02666,3.19872,-95.127,911.908,3143.89,15231,15284.5,2.27346,1.84091,1.73432,-0.42767,3.79771,0.81187,958.33,3174.07,15277.4,0.0517251,0.147142,0.276788,18527.4 
18,0.25,47.3224,18,20018.6,-0.00973998,36.2315,12.6226,116.72,0.00706516,-7.78254,500,2.12463,-1.83306,-0.912795,-0.322923,1.57977,-62.2154,918.823,3123.76,15266.2,14889.6,2.51638,-1.4413,-0.129288,0.0688301,1.97153,1.0433,949.184,3143.49,15296.6,0.0511958,0.147154,0.274604,18540.3 
19,0.75,47.3229,19,18731.7,0.000772486,34.7323,12.4815,116.653,-0.00887745,-12.0803,7.16617e-11,0.281096,0.0898567,-0.689534,1.86983,0.0536846,-92.4715,888.156,3016.51,14522.4,14115.7,0.863365,0.672125,0.475003,2.4521,0.635953,0.906836,933.282,3045.84,14567.5,0.0527698,0.149003,0.27806,17685.9 
