cyc,time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,0.05,43.225,12,29272.9,0.0378465,56.3073,11.7714,116.57,0.0482489,-184.285,8.58996e-05,-0.707794,-1.0376,-2.63189,3.67936,-0.908349,-14.9229,14812.1,143.672,15167.2,21866.3,-0.613829,-0.943631,-2.44396,3.77332,-0.814384,-1.34436,14833.1,144.835,15188.1,0.459236,0.983199,0.0172632,32299.4,-0.00113937,1.19113,12.2733,12.4984,116.912,89.9721,1.18902,11.7613,13.7183,115.862,141.454,1.04908,-51.4823 
13,0.05,43.15,13,40889.8,-0.10287,76.8629,12.0458,116.355,0.0179729,43.6909,3.59451e-11,-1.66329,-0.192884,-0.284946,0.783177,-1.6844,29.2536,22343.8,227.563,19075.5,30165.9,-1.84749,-0.377086,-0.65335,0.598975,-1.8686,0.842473,22302.7,225.284,19034.5,0.504674,0.98263,0.0213372,44192.3,-0.00110362,1.76426,12.4606,12.4647,116.759,89.2938,1.50818,11.7655,13.661,115.459,140.284,1.30046,-50.9898 
14,0.05,43.24,14,34568.8,-0.127412,65.644,12.0679,116.114,-0.0543533,-110.196,0.444635,-3.61216,-4.40327,-6.91638,-1.54113,-3.83483,103.589,17664.3,188.928,17694.3,25983.3,-4.26444,-5.05554,-8.22093,-2.1934,-4.48711,0.660593,17519,180.856,17549.1,0.46469,0.982255,0.0186306,37700.4,-0.0011782,1.39563,12.3562,12.5542,116.447,89.2351,1.38109,11.9493,13.5433,115.22,140.57,1.22718,-51.3351 
15,0.05,43.05,15,38577,-0.245163,74.139,11.8768,116.333,-0.0339405,-196.918,6.13243e-12,-0.805377,0.037716,1.85761,-0.260065,-1.29039,-21.1129,19500.4,203.13,19741.8,28881.8,-0.672435,0.170658,2.1235,-0.127122,-1.15745,-5.29836,19530,204.775,19771.4,0.462062,0.981982,0.0187218,42267.1,-0.00111489,1.58851,12.1639,12.3886,116.762,89.7782,1.56811,11.7168,13.545,115.528,141.283,1.23408,-51.5044 
16,0.05,43.2,16,34388.4,-0.222955,64.8068,12.1396,116.881,0.166712,277.857,499.998,-2.75732,-0.205791,-3.45038,1.67834,0.437275,-4.3627,17763.9,191.345,17317.3,27118.6,-2.72985,-0.17832,-3.39544,1.70581,0.464746,0.178467,17770,191.685,17323.4,0.471454,0.981472,0.0199759,37692,-0.00103175,1.35261,12.535,12.8445,117.209,89.4541,1.30921,11.9316,13.9542,116.129,141.123,1.0806,-51.6686 
17,0.05,43.3,17,40446.9,0.0110322,76.6381,11.9361,116.568,0.121432,-49.8996,57.7452,1.32878,0.0481575,-3.75046,-3.30788,-2.0723,25.2646,21338.9,198.595,19894.3,29975.8,1.1697,-0.110927,-4.06863,-3.46697,-2.23138,0.532782,21303.5,196.626,19858.9,0.482621,0.984105,0.0179123,44141.2,-0.00121849,1.69195,12.3328,12.5639,117.019,89.7064,1.57498,11.7881,13.4886,115.634,140.999,1.38452,-51.293 
18,0.05,43.25,18,36763.9,-0.272269,68.4868,12.1217,116.552,0.268732,-92.7662,454.769,1.28845,0.00206204,-0.232411,-1.95298,-0.33225,1.039,19562.9,192.242,17874.7,27836.6,1.28191,-0.00448027,-0.245496,-1.95953,-0.338793,0.806145,19561.4,192.162,17873.2,0.487626,0.983099,0.0194205,40115.6,-0.00103501,1.49505,12.552,12.8104,117.006,89.9649,1.38414,11.9168,13.6115,115.643,141.336,1.36287,-51.371 
19,0.05,43.125,19,38872.8,0.675562,74.0461,11.5894,116.442,-0.304781,103.255,5.71311e-09,3.33627,-0.173892,0.980582,-1.69917,-1.68883,11.4031,20824.3,179.636,18590.8,28960,3.26447,-0.245695,0.836977,-1.77097,-1.76063,-1.58207,20808.3,178.747,18574.8,0.493447,0.98519,0.017418,42169.3,-0.000986117,1.71674,12.1109,12.3194,116.832,89.8017,1.54768,11.5383,13.1004,115.575,140.881,1.25733,-51.0798 
20,0.05,43.275,20,39414,-0.231983,74.4365,12.0103,116.716,1.25148,549.507,0.00210319,0.517067,2.75191,-1.91057,-2.53609,-0.736078,52.0427,20100.2,198.496,19959.1,51489.8,0.189369,2.42421,-2.56597,-2.86379,-1.06378,0.33866,20027.2,194.441,19886.2,0.466875,0.983293,0.0176929,42896.3,-0.000889125,1.61668,12.2642,12.4012,117.033,89.8404,1.55212,11.8974,13.5101,115.947,141.258,1.08642,-51.4178 
21,0.05,43.21,21,31334.4,-0.0151178,58.4145,12.2663,116.311,-0.0485925,105.175,500,-3.5946,1.0706,2.15357,-0.62073,-2.48975,30.7011,15230.6,163.049,16800.4,23491.8,-3.78792,0.877287,1.76694,-0.814047,-2.68307,1.38074,15187.5,160.657,16757.3,0.440748,0.981825,0.0173542,34458.4,-0.00116276,1.16889,12.6738,12.8089,116.633,89.5322,1.22037,12.2467,14.0774,115.428,141.249,1.20518,-51.7165 
