cyc,time,freq,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
0,0.04,43.2128,0,3.5841e-07,7.099e-07,9.80124e-30,14.7919,0.504874,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0331036,1.6381e-31,2.60472e-13,44631.3,65045.9,1.38364,20.4667,1.32506,19.6002,1.25113,0.0066,1.37832,6.683e-06 
1,0.04,43.2228,1,3.5668e-07,6.79693e-07,9.38419e-30,14.1625,0.524767,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0701724,-3.45565e-31,4.40686e-13,39172.9,57910.9,1.44253,20.4298,1.36645,19.3523,1.15156,0.0066,1.38003,6.683e-06 
2,0.04,43.2728,2,3.56316e-07,6.48869e-07,8.95861e-30,13.5202,0.549135,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.19134,-9.41294e-31,3.51664e-13,34081.4,50486.3,1.51588,20.4951,1.41837,19.1767,1.03554,0.0066,1.35403,6.683e-06 
3,0.04,43.2028,3,3.52769e-07,6.66774e-07,9.20582e-30,13.8933,0.529068,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0919731,-4.47956e-31,4.68186e-13,36981.4,54936.4,1.45539,20.2202,1.37551,19.1105,1.13063,0.0066,1.35843,6.683e-06 
4,0.04,43.1428,4,3.39711e-07,6.93682e-07,9.57733e-30,14.454,0.489722,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.114682,5.37886e-31,3.92041e-13,41641.7,60907.1,1.33939,19.3596,1.29415,18.7056,1.33024,0.0066,1.38686,6.683e-06 
5,0.04,43.2578,5,3.52064e-07,6.10785e-07,8.43281e-30,12.7267,0.576413,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.320708,-1.55889e-30,1.96496e-13,28425.7,41925.4,1.59948,20.3561,1.47807,18.811,0.912575,0.0066,1.33206,6.683e-06 
6,0.04,43.2628,6,3.65142e-07,6.3472e-07,8.76326e-30,13.2254,0.575281,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.315448,-1.59028e-30,8.03445e-14,31900.1,46226.1,1.596,21.1078,1.47556,19.5149,0.917572,0.0066,1.36796,6.683e-06 
7,0.04,43.2378,7,3.68471e-07,6.61241e-07,9.12943e-30,13.7781,0.557242,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.230445,-1.17234e-30,1.82216e-13,36068.4,52187.1,1.54057,21.226,1.43594,19.7845,0.998281,0.0066,1.4069,6.683e-06 
8,0.04,43.2528,8,3.77153e-07,6.19384e-07,8.55152e-30,12.9059,0.608916,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.467385,-2.43375e-30,1.06778e-13,29643.3,43227.1,1.7007,21.949,1.55133,20.0212,0.773945,0.0066,1.37168,6.683e-06 
9,0.04,43.2428,9,3.54953e-07,6.15202e-07,8.49379e-30,12.8188,0.57697,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.323287,-1.58432e-30,3.73164e-13,29046.9,43221.6,1.6012,20.5254,1.47931,18.9629,0.910131,0.0066,1.36307,6.683e-06 
10,0.04,43.2278,10,3.62119e-07,6.45555e-07,8.91286e-30,13.4512,0.560942,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.248103,-1.24042e-30,-3.05648e-15,33561.9,47835.2,1.55188,20.8747,1.44401,19.4237,0.981482,0.0066,1.40039,6.683e-06 
11,0.04,43.2478,11,3.64307e-07,6.60351e-07,9.11714e-30,13.7595,0.551686,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.203707,-1.0246e-30,4.27186e-13,35922.9,52995,1.52363,20.9644,1.42388,19.592,1.02375,0.0066,1.38035,6.683e-06 
12,0.04,43.2928,12,3.49944e-07,6.8191e-07,9.4148e-30,14.2087,0.513182,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0105292,-5.0872e-32,3.35769e-13,39557.4,58043.3,1.40812,20.0076,1.34223,19.0714,1.20898,0.0066,1.37399,6.683e-06 
13,0.04,43.3128,13,3.38867e-07,6.90693e-07,9.53605e-30,14.3917,0.490619,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.109776,5.13595e-31,5.28916e-13,41105.6,60070.3,1.342,19.3136,1.29596,18.6512,1.32547,0.0066,1.4091,6.683e-06 
14,0.04,43.1828,14,3.2685e-07,6.65354e-07,9.18622e-30,13.8637,0.491242,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.106374,4.80029e-31,4.60385e-13,36745.6,52077,1.3438,18.6301,1.29723,17.9844,1.32216,0.0066,1.43945,6.683e-06 
15,0.04,43.2678,15,3.53842e-07,6.2377e-07,8.61209e-30,12.9973,0.567264,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.278004,-1.35814e-30,5.94623e-13,30277.6,44554.5,1.5713,20.4227,1.45786,18.9483,0.953095,0.0066,1.40141,6.683e-06 
16,0.04,43.1628,16,3.30686e-07,6.77052e-07,9.34771e-30,14.1075,0.488421,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.121813,5.56152e-31,5.15973e-13,38717.9,55513.6,1.33562,18.8423,1.29152,18.2201,1.33718,0.0066,1.398,6.683e-06 
17,0.04,43.3328,17,3.29856e-07,6.85166e-07,9.45975e-30,14.2766,0.481425,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.160524,7.31053e-31,2.67683e-13,40126.8,56536,1.31544,18.78,1.27745,18.2376,1.37492,0.0066,1.42449,6.683e-06 
18,0.04,43.2328,18,3.63909e-07,6.63833e-07,9.16521e-30,13.832,0.548194,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.186767,-9.38375e-31,1.308e-13,36494.1,52780,1.51302,20.9282,1.41634,19.5909,1.0399,0.0066,1.36088,6.683e-06 
19,0.04,43.2178,19,3.54554e-07,6.54924e-07,9.04221e-30,13.6464,0.541366,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.153316,-7.50504e-31,2.9965e-13,35044.4,50975.1,1.49236,20.3653,1.40167,19.1278,1.07186,0.0066,1.35834,6.683e-06 
20,0.06,43.2387,20,3.44329e-07,6.7413e-07,9.30737e-30,14.0466,0.510776,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.00203408,9.66996e-33,4.9301e-13,38218.8,55342.8,1.40101,19.6795,1.33724,18.7837,1.22111,0.0066,1.38462,6.683e-06 
21,0.06,43.2487,21,3.47275e-07,6.52565e-07,9.00964e-30,13.5973,0.532169,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.107577,-5.15796e-31,4.14347e-14,34667.2,49149.4,1.46468,19.9156,1.38208,18.7925,1.11566,0.0066,1.37605,6.683e-06 
22,0.06,43.2987,22,3.54287e-07,6.53751e-07,9.02601e-30,13.622,0.54193,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.156094,-7.6353e-31,2.17029e-13,34856.4,49775.7,1.49406,20.352,1.40288,19.11,1.0692,0.0066,1.3778,6.683e-06 
23,0.06,43.2287,23,3.31889e-07,6.67924e-07,9.22169e-30,13.9173,0.496897,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.075723,3.46981e-31,2.74919e-13,37172.9,53000.2,1.36027,18.9312,1.30872,18.2138,1.2924,0.0066,1.38246,6.683e-06 
24,0.06,43.1687,24,3.2492e-07,7.05814e-07,9.74483e-30,14.7068,0.460347,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.281062,1.26084e-30,3.43334e-13,43865,62104.3,1.25555,18.4652,1.23577,18.1742,1.49324,0.0066,1.40433,6.683e-06 
25,0.06,43.2837,25,3.43182e-07,6.79162e-07,9.37685e-30,14.1515,0.505302,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0308354,1.46102e-31,3.62824e-13,39081.1,56283.6,1.38488,19.5981,1.32594,18.764,1.24893,0.0066,1.37105,6.683e-06 
26,0.06,43.2887,26,3.51615e-07,6.61889e-07,9.13837e-30,13.7915,0.531229,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.102843,-4.99259e-31,4.16676e-13,36174.5,52842.1,1.46188,20.1616,1.38009,19.0335,1.12021,0.0066,1.35549,6.683e-06 
27,0.06,43.2637,27,3.54489e-07,6.66404e-07,9.20071e-30,13.8856,0.531943,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.106443,-5.2096e-31,3.14489e-13,36919.8,52925.7,1.464,20.3286,1.3816,19.1844,1.11675,0.0066,1.39226,6.683e-06 
28,0.06,43.2787,28,3.58647e-07,6.02239e-07,8.31482e-30,12.5486,0.595523,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.407849,-2.01953e-30,-4.91997e-14,27249.2,38936.6,1.65884,20.8161,1.52086,19.0848,0.830156,0.0066,1.33117,6.683e-06 
29,0.06,43.2687,29,3.50262e-07,6.26536e-07,8.65028e-30,13.0549,0.559045,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.239064,-1.15609e-30,-1.04919e-13,30682.1,42911.6,1.54608,20.1839,1.43987,18.7974,0.990079,0.0066,1.36353,6.683e-06 
