cyc,time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
40,0.15,43.225,40,32363.2,-0.10846,61.597,12.0325,116.315,-0.153029,363.959,3.03234e-07,-1.49483,-2.09415,0.294934,0.202466,-1.55407,-5.61551,17285.1,180.659,15892.4,25940.4,-1.45947,-2.05879,0.365653,0.237826,-1.51872,1.08248,17293,181.096,15900.2,0.486056,0.982003,0.0205496,35578.3,-0.00117891,1.3472,12.3753,12.7704,116.558,89.83,1.19679,12.0052,13.9251,115.534,141.046,1.02379,-51.2155 
41,0.15,43.15,41,40106.3,-0.40251,75.7356,12.1025,116.149,0.447752,2244.83,0.093037,1.71926,-2.83824,-2.10343,0.71242,0.11644,1.1069,20488.6,195.076,20231.9,62558.1,1.71229,-2.84521,-2.11737,0.70545,0.10947,0.130576,20487.1,194.989,20230.4,0.468254,0.983617,0.0174453,43752,-0.00106152,1.63295,12.3424,12.4634,116.425,88.9172,1.56607,11.9214,13.6609,115.343,140.18,1.08161,-51.2629 
42,0.15,43.24,42,31194.4,-0.355247,60.5338,11.8657,116.486,-12.0337,18295.1,68.875,-2.13582,-3.25019,-0.105148,-0.972282,-2.56217,-52.5689,15375.1,152.818,16621,7.19021e+06,-1.80481,-2.91918,0.556877,-0.64127,-2.23115,1.07911,15448.8,156.914,16694.7,0.445883,0.982536,0.0170193,34647.7,-0.00111181,1.23121,12.1968,12.6813,116.889,89.9623,1.29145,11.8044,13.5976,115.651,141.22,1.23755,-51.2578 
43,0.15,43.05,43,39329.3,-0.0170457,73.9533,11.9783,116.107,-0.00621197,18.3759,9.17482e-12,-0.829534,3.93118,-2.7843,0.575285,-1.83894,0.942866,20178.9,212.917,19734.9,28840.6,-0.835471,3.92524,-2.79617,0.569348,-1.84487,-1.84763,20177.6,212.843,19733.6,0.470656,0.981875,0.0194815,42871.2,-0.00101957,1.60674,12.3322,12.4641,116.451,89.258,1.55951,11.7916,13.5498,115.322,140.479,1.12976,-51.2207 
44,0.15,43.2,44,36961.6,-0.356291,71.2725,11.8316,116.659,0.470454,-155.017,215.092,0.0772895,1.50955,-0.0457447,-4.67227,0.0667128,-44.5603,19226.6,169.29,18424.5,29825.1,0.357874,1.79013,0.515425,-4.39168,0.347297,1.37324,19289.1,172.763,18487,0.475698,0.984568,0.0169233,40549.1,-0.00111813,1.56431,12.239,12.3605,117.04,89.4898,1.47272,11.6342,13.531,115.918,140.938,1.12163,-51.4485 
45,0.15,43.3,45,37713.7,-0.110613,72.3023,11.8785,116.626,0.114552,-37.6899,500,-1.04519,-0.387633,-2.225,1.93849,-2.86231,-18.148,19930.6,176.342,18375.4,28098.6,-0.930921,-0.27336,-1.99645,2.05276,-2.74804,0.487565,19956,177.756,18400.8,0.485347,0.984651,0.017484,41117,-0.0010965,1.62229,12.228,12.3273,116.812,89.4631,1.43847,11.8791,13.6277,115.861,140.763,0.951633,-51.2998 
46,0.15,43.25,46,33357.3,-0.0210351,63.0734,11.9654,116.421,-0.0692002,83.7012,500,0.905317,1.63945,-1.02611,-2.31907,0.461659,-36.4535,16733.4,200.261,17162.7,24756.6,1.13485,1.86898,-0.567037,-2.08953,0.691197,1.54603,16784.5,203.101,17213.8,0.458839,0.979263,0.0212722,36580.4,-0.00101082,1.32882,12.2937,12.5484,116.726,89.1046,1.2999,12.0162,13.9462,115.614,140.463,1.11186,-51.3582 
47,0.15,43.125,47,39961.1,-0.0211829,75.1869,11.9687,116.71,-0.093265,-110.413,35.9615,1.38833,0.601516,-5.72603,-1.55864,-2.34832,-8.80361,21207.2,204.58,19324.6,29629.7,1.44376,0.65695,-5.61516,-1.50321,-2.29289,0.231909,21219.5,205.266,19336.9,0.488288,0.983353,0.0191794,43457,-0.000831288,1.68742,12.3406,12.4363,117.009,89.3556,1.52371,11.7554,13.5273,115.959,140.67,1.04923,-51.3145 
48,0.15,43.275,48,38145.5,-0.367841,74.2152,11.7266,116.505,0.106258,-55.0582,476.851,0.796555,1.70856,-0.559004,-3.36872,-3.03779,-72.7735,20321.6,170.674,18448.6,28521.3,1.25479,2.1668,0.357466,-2.91049,-2.57955,1.20892,20423.7,176.344,18550.6,0.489109,0.985115,0.0172099,41756.9,-0.00101013,1.6992,11.9961,12.2065,116.85,89.7277,1.52342,11.5437,13.2314,115.772,140.971,1.0782,-51.2431 
49,0.15,43.21,49,32485.3,-0.352028,64.4586,11.5663,116.628,0.0277229,357.34,496.932,2.95153,0.760512,-0.959486,-2.33615,-1.33605,-29.8979,17078.9,126.827,16292.1,24592.6,3.13979,0.948771,-0.582968,-2.14789,-1.14779,3.7773,17120.8,129.157,16334.1,0.476837,0.98697,0.0143568,35905,-0.00122982,1.4612,11.9383,12.0697,117.07,89.8073,1.39248,11.3137,12.9895,115.845,141.065,1.22572,-51.2573 
50,0.15,43.325,50,39729.2,-0.165259,76.6105,11.8168,116.563,0.187349,72.1962,495.653,1.90642,-2.55104,-3.26137,-1.58259,-3.52806,-15.5921,20685.1,194.37,19741.2,29910.4,2.0046,-2.45286,-3.06501,-1.48441,-3.42988,0.63631,20706.9,195.585,19763.1,0.47674,0.983739,0.017904,43434.4,-0.00113271,1.70183,12.2126,12.2075,116.936,90.55,1.5991,11.6662,13.3416,115.714,141.996,1.22244,-51.4457 
51,0.15,43.175,51,37043.3,-0.0489338,71.9334,11.665,116.425,-0.0421195,21.3604,499.974,0.991155,1.33523,-3.49163,1.93713,2.36244,19.0086,19670,166.98,18128.8,27344.9,0.871463,1.21553,-3.73101,1.81744,2.24275,2.54419,19643.3,165.499,18102.1,0.48549,0.98547,0.0165625,40460.8,-0.00113895,1.65638,12.042,12.1256,116.899,89.6367,1.52248,11.486,13.0335,115.541,140.958,1.35812,-51.3217 
52,0.15,43.35,52,37761.7,-0.302271,72.2088,11.834,116.547,0.191556,84.5213,74.7938,-2.6767,-2.16914,-0.772354,-1.34029,-2.18297,-53.1692,20816.7,165.022,17371.4,28344.5,-2.34191,-1.83435,-0.10277,-1.0055,-1.84818,0.985592,20891.2,169.165,17445.9,0.510114,0.986028,0.0175486,40954.1,-0.000813733,1.70958,12.2061,12.2331,116.838,88.6741,1.4183,11.5942,13.3055,115.751,139.537,1.08729,-50.863 
53,0.15,43.1,53,38700.4,-0.204369,74.3473,11.7382,116.685,0.0663966,20.798,499.941,-1.38755,-0.809569,-6.35608,-0.982651,-2.89932,-58.2582,20516.5,185.935,18840.4,28454.3,-1.02071,-0.442733,-5.6224,-0.615814,-2.53248,0.450623,20598.2,190.475,18922.1,0.486281,0.984075,0.0182055,42358.7,-0.000954268,1.68498,12.1569,12.2815,117.113,89.4924,1.55462,11.5453,13.1457,115.892,140.585,1.22005,-51.0928 
54,0.15,43.225,54,27751.8,-0.236796,53.9703,11.7532,116.611,-0.74468,403.836,499.401,-1.71135,0.193201,-0.278019,-2.94488,-1.28754,-21.1824,14541.2,132.443,13878.4,30439.1,-1.57797,0.326581,-0.0112591,-2.8115,-1.15416,0.997847,14570.9,134.094,13908.2,0.476714,0.98415,0.0174505,30565.3,-0.00113081,1.2092,12.1288,12.2168,116.893,89.0131,1.14081,11.6765,13.2596,115.911,140.372,0.98199,-51.3586 
55,0.15,43.15,55,38799.3,-0.368153,74.4845,11.8753,116.523,0.353083,-45.0348,442.213,-2.03999,-0.116229,2.03815,-0.53181,0.276895,-34.5439,19530.5,203.177,19862.2,29311.9,-1.82248,0.101285,2.47318,-0.314296,0.494409,-1.65335,19579,205.869,19910.7,0.460939,0.981932,0.0186907,42476.2,-0.00103654,1.59406,12.0664,12.4384,116.874,89.6944,1.56928,11.7985,13.5366,115.671,140.958,1.20267,-51.2634 
