cyc,time,freq,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
0,0.04,43.2617,0,4.25445e-07,7.40639e-07,1.02256e-29,15.4324,0.57443,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.311507,-1.82976e-30,3.05831e-13,36266.2,52268.3,1.59337,24.5896,1.47368,22.7424,0.921307,0.0066,1.39529,6.683e-06 
1,0.04,43.3017,1,4.04628e-07,7.54591e-07,1.04183e-29,15.7232,0.536221,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.127825,-7.14096e-31,-2.22424e-13,38354.6,52395.4,1.47685,23.2207,1.39069,21.866,1.09625,0.0066,1.44151,6.683e-06 
2,0.04,43.0917,2,3.81652e-07,8.07136e-07,1.11437e-29,16.818,0.472847,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.208846,1.10047e-30,-7.70612e-14,46937.7,64103.6,1.2909,21.7104,1.26036,21.1967,1.42221,0.0066,1.47238,6.683e-06 
3,0.04,43.1617,3,4.14355e-07,7.26347e-07,1.00283e-29,15.1346,0.570464,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.293023,-1.67632e-30,3.11903e-14,34206.9,48308.6,1.58113,23.9298,1.46491,22.1709,0.938821,0.0066,1.41955,6.683e-06 
4,0.04,43.3217,4,3.88367e-07,7.99816e-07,1.10427e-29,16.6655,0.48557,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.13751,7.37327e-31,-1.15136e-13,45672.3,62440.9,1.32738,22.1215,1.28577,21.428,1.35247,0.0066,1.45893,6.683e-06 
5,0.04,43.3917,5,3.95253e-07,7.57068e-07,1.04525e-29,15.7748,0.522085,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0564816,-3.08224e-31,7.62483e-13,38733.4,56038.3,1.43454,22.6295,1.36081,21.4665,1.16473,0.0066,1.44589,6.683e-06 
6,0.04,43.1617,6,4.00361e-07,7.54522e-07,1.04173e-29,15.7217,0.530615,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0997679,-5.51476e-31,-1.53471e-14,38344.1,53634,1.46002,22.954,1.37879,21.6769,1.12315,0.0066,1.40709,6.683e-06 
7,0.04,43.3417,7,3.96221e-07,7.6774e-07,1.05998e-29,15.9971,0.516088,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0256191,-1.40148e-31,1.05289e-13,40394.6,56469.9,1.41673,22.6635,1.34828,21.5686,1.19444,0.0066,1.42985,6.683e-06 
8,0.04,43.2417,8,4.41425e-07,7.22456e-07,9.97459e-30,15.0536,0.611006,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.47657,-2.90447e-30,-7.45464e-14,33660.1,47656.7,1.70724,25.7001,1.55611,23.425,0.765275,0.0066,1.40297,6.683e-06 
9,0.04,43.2017,9,4.11791e-07,7.86922e-07,1.08646e-29,16.3968,0.523294,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0626639,-3.56269e-31,4.94062e-13,43498.7,62287.9,1.43814,23.581,1.36335,22.3546,1.15878,0.0066,1.43831,6.683e-06 
