cyc,time,amplitude,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,tof,AR
40,5,0.65,4.27393e-07,9.14148e-07,1.26212e-29,0.467532,0.239287,-4.61856e-13,71556.1,93798.7,1.27581,0.0066,1.45083 
41,5,0.95,4.75172e-07,9.02906e-07,1.2466e-29,0.526269,-0.077804,-1.19237e-12,68948.5,90334.3,1.44702,0.0066,1.40083 
42,5,0.8,4.55362e-07,9.18912e-07,1.2687e-29,0.495545,0.0830091,-8.41012e-13,72680.6,95303,1.35631,0.0066,1.4108 
43,5,1.55,5.6381e-07,9.0012e-07,1.24275e-29,0.626372,-0.543273,-2.10332e-12,68312.1,90500,1.75545,0.0066,1.31233 
44,5,0.5,3.98971e-07,9.14621e-07,1.26277e-29,0.436215,0.427116,-4.8239e-13,71667.1,92293,1.18878,0.0066,1.48756 
45,10,1.7,6.56273e-07,8.88941e-07,1.22732e-29,0.738263,-0.990962,-3.14986e-12,65798.6,87910.1,2.10739,0.0066,1.21484 
46,10,1.25,6.0792e-07,9.09316e-07,1.25545e-29,0.668546,-0.719394,-2.97195e-12,70427.4,92836.4,1.88809,0.0066,1.27709 
47,10,1.1,5.67606e-07,9.11308e-07,1.2582e-29,0.622848,-0.528104,-2.05191e-12,70891.2,94921,1.74438,0.0066,1.29071 
48,10,1.4,6.11366e-07,8.93592e-07,1.23374e-29,0.684166,-0.782234,-2.70802e-12,66836.7,89403.6,1.93729,0.0066,1.24862 
49,10,0.65,4.87746e-07,9.08217e-07,1.25393e-29,0.537037,-0.131881,-1.27591e-12,70172.3,92679.4,1.4793,0.0066,1.37508 
50,10,0.95,5.3677e-07,8.94403e-07,1.23486e-29,0.600143,-0.42852,-1.60146e-12,67018.8,89423.3,1.67326,0.0066,1.33054 
51,10,0.8,5.05736e-07,9.0309e-07,1.24685e-29,0.560006,-0.243648,-1.29996e-12,68990.7,91475.6,1.54902,0.0066,1.36162 
52,10,1.55,6.43341e-07,8.97767e-07,1.2395e-29,0.716601,-0.908972,-2.84556e-12,67777.9,91204.8,2.03933,0.0066,1.22819 
53,10,0.5,4.53424e-07,9.00221e-07,1.24289e-29,0.503681,0.0394299,-5.24933e-13,68335.2,90393.4,1.38015,0.0066,1.41045 
54,10,1.7,6.43786e-07,8.87415e-07,1.22521e-29,0.725463,-0.942765,-3.13364e-12,65460.1,88158.7,2.06718,0.0066,1.18618 
55,10,1.25,5.89025e-07,8.82004e-07,1.21774e-29,0.667826,-0.716469,-1.76593e-12,64270,88237.1,1.88583,0.0066,1.2421 
56,10,1.1,5.8414e-07,9.05226e-07,1.2498e-29,0.645297,-0.623508,-2.46869e-12,69481.3,91785.8,1.81494,0.0066,1.30986 
57,10,1.4,5.98816e-07,8.86405e-07,1.22382e-29,0.675555,-0.747745,-1.65567e-12,65237,88837.4,1.91016,0.0066,1.2646 
58,10,0.65,4.79294e-07,9.01411e-07,1.24453e-29,0.531715,-0.105297,-1.00044e-12,68606.5,90702.3,1.46332,0.0066,1.38335 
59,10,0.95,5.36259e-07,8.89243e-07,1.22773e-29,0.603052,-0.44146,-1.34543e-12,65865.5,88300.8,1.68235,0.0066,1.34261 
60,10,0.8,5.00934e-07,8.88557e-07,1.22679e-29,0.563762,-0.261481,-1.66842e-12,65713.2,85885.4,1.56052,0.0066,1.36642 
61,10,1.55,6.5626e-07,8.97537e-07,1.23918e-29,0.731179,-0.964364,-3.17801e-12,67725.8,90792.6,2.08515,0.0066,1.23166 
62,10,0.5,4.5128e-07,9.01515e-07,1.24468e-29,0.500579,0.0559687,-1.09264e-12,68630.3,89326.7,1.37104,0.0066,1.42463 
63,10,1.7,6.61882e-07,8.77407e-07,1.21139e-29,0.754361,-1.05056,-3.71643e-12,63270.4,82367.1,2.15795,0.0066,1.22105 
64,10,1.25,5.9085e-07,8.81316e-07,1.21679e-29,0.670418,-0.72699,-2.59489e-12,64119.8,84627.2,1.89398,0.0066,1.28328 
65,10,1.1,5.57689e-07,8.85862e-07,1.22307e-29,0.629545,-0.556872,-1.73604e-12,65117,87394.8,1.76541,0.0066,1.31462 
66,10,1.4,6.12808e-07,9.00488e-07,1.24326e-29,0.680529,-0.767715,-2.98145e-12,68395.9,90932.3,1.92582,0.0066,1.2453 
67,10,0.65,4.81063e-07,8.94427e-07,1.23489e-29,0.537845,-0.135894,-5.8171e-13,67024.3,90437.2,1.48174,0.0066,1.36418 
68,10,0.95,5.26807e-07,8.98101e-07,1.23996e-29,0.586578,-0.367397,-1.38249e-12,67853.6,91597.5,1.63099,0.0066,1.30261 
69,10,0.8,4.95342e-07,8.93011e-07,1.23294e-29,0.554688,-0.218188,-7.45745e-13,66706.3,89946.6,1.53278,0.0066,1.34619 
70,10,1.55,6.29048e-07,8.91275e-07,1.23054e-29,0.705784,-0.867255,-2.53872e-12,66318.2,90078.1,2.0053,0.0066,1.22322 
71,10,0.5,4.49578e-07,9.20254e-07,1.27055e-29,0.488537,0.121172,-5.69377e-13,72999.4,97413.4,1.33596,0.0066,1.39517 
72,10,1.7,6.52673e-07,8.86844e-07,1.22442e-29,0.735949,-0.982291,-3.05472e-12,65334,86564.8,2.10014,0.0066,1.24502 
73,10,1.25,5.78049e-07,8.8289e-07,1.21896e-29,0.654724,-0.662735,-1.52666e-12,64464,87908.2,1.84459,0.0066,1.27072 
74,10,1.1,5.67202e-07,9.17022e-07,1.26609e-29,0.618526,-0.509397,-1.8749e-12,72233,97184.6,1.73082,0.0066,1.29213 
75,10,1.4,6.12772e-07,8.98661e-07,1.24074e-29,0.681872,-0.773095,-2.61393e-12,67980.5,91546.6,1.93003,0.0066,1.2429 
76,10,0.65,4.83616e-07,8.82133e-07,1.21792e-29,0.548235,-0.186963,-1.15457e-12,64298.3,84597.3,1.51314,0.0066,1.38087 
77,10,0.95,5.40371e-07,9.01912e-07,1.24523e-29,0.599139,-0.42404,-1.67091e-12,68721,91856.1,1.67012,0.0066,1.33699 
78,10,0.8,5.12885e-07,9.02962e-07,1.24668e-29,0.568003,-0.28148,-1.33477e-12,68961.4,92263.1,1.57356,0.0066,1.34049 
79,10,1.55,6.56544e-07,8.83803e-07,1.22022e-29,0.742862,-1.00809,-3.19824e-12,64664.1,86226.3,2.12186,0.0066,1.22612 
80,10,0.5,4.36539e-07,8.93039e-07,1.23298e-29,0.488824,0.119603,-5.26605e-13,66712.8,87932.9,1.33679,0.0066,1.40994 
81,10,1.7,6.64318e-07,8.95159e-07,1.2359e-29,0.742123,-1.00534,-2.71916e-12,67188.9,91742.9,2.11954,0.0066,1.20446 
82,10,1.25,5.99839e-07,9.06656e-07,1.25177e-29,0.661595,-0.691027,-2.86156e-12,69811,93147.3,1.86621,0.0066,1.26003 
83,10,1.1,5.67538e-07,9.00981e-07,1.24394e-29,0.629911,-0.558435,-1.70199e-12,68508.3,93141.4,1.76656,0.0066,1.27671 
84,10,1.4,6.09523e-07,8.98455e-07,1.24045e-29,0.678413,-0.759237,-2.52433e-12,67933.7,91142.9,1.91915,0.0066,1.25137 
85,10,0.65,4.89163e-07,9.00298e-07,1.243e-29,0.543335,-0.163002,-1.15849e-12,68352.7,90530.8,1.4983,0.0066,1.36805 
86,10,0.95,5.38266e-07,9.01563e-07,1.24474e-29,0.597036,-0.414633,-1.91995e-12,68641.1,90629.9,1.66356,0.0066,1.3315 
87,10,0.8,5.12702e-07,9.09774e-07,1.25608e-29,0.563549,-0.260473,-1.18397e-12,70533.9,94626.3,1.55987,0.0066,1.33782 
88,10,1.55,6.37154e-07,8.88027e-07,1.22606e-29,0.717493,-0.912379,-3.08845e-12,65595.8,87977.4,2.04214,0.0066,1.20821 
89,10,0.5,4.62563e-07,9.17371e-07,1.26657e-29,0.504226,0.0365375,-1.2789e-12,72315.7,94414,1.38174,0.0066,1.38895 
90,1,1.7,4.12771e-07,9.41571e-07,1.29998e-29,0.438385,0.413594,-1.82724e-13,78190.8,100490,1.1947,0.0066,1.56481 
91,1,1.25,3.95882e-07,9.30782e-07,1.28508e-29,0.425322,0.496215,-6.22808e-15,75533.7,97294.8,1.15932,0.0066,1.5361 
92,1,1.1,3.90916e-07,9.39623e-07,1.29729e-29,0.416035,0.556856,-4.3102e-13,77706.6,99134.6,1.13457,0.0066,1.5397 
93,1,1.4,4.20802e-07,9.64966e-07,1.33228e-29,0.436079,0.427961,-3.70226e-13,84165.3,108114,1.18841,0.0066,1.54685 
94,1,0.65,3.61204e-07,9.39669e-07,1.29735e-29,0.384395,0.776973,-1.30818e-13,77718,99160.6,1.0529,0.0066,1.52329 
95,1,0.95,3.71124e-07,9.3497e-07,1.29087e-29,0.396936,0.687055,6.23629e-14,76557.9,98148.3,1.08478,0.0066,1.53658 
96,1,0.8,3.7581e-07,9.44518e-07,1.30405e-29,0.397885,0.680401,-1.24864e-13,78927.4,102122,1.08722,0.0066,1.51116 
97,1,1.55,4.26909e-07,9.4573e-07,1.30572e-29,0.451407,0.334104,-3.41885e-13,79231.6,102110,1.23058,0.0066,1.53128 
98,1,0.5,3.61371e-07,9.56813e-07,1.32102e-29,0.377682,0.826666,-2.7912e-13,82050,105198,1.0361,0.0066,1.50614 
