cyc,wiggle time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,40.01,0,-2937.63,0,5,101,125,0,5,135,-7.02005,-10.9501,-23.0275,-10.7974,-13.0835,364.447,-73.9932,12766.4,-59.7163,16439.4,-8.4282,-12.3582,-25.8438,-12.2056,-14.4916,0.647556,-95.2915,11169,-81.0145,0.494998,-0.00489917,1.00395,-192.509,524.657,645.421,881.288,20489.3,7.26871e-07,0.800574,111.182,87.7467,24.0331,26.2774,0.914591,525.031,639.408,0.79712 
1,140.01,1,-8179.62,0,5,101,125,0,5,135,-17.5316,-13.439,-20.7842,-17.8605,-15.6713,422.695,-70.0446,7946.92,-73.216,16439.4,-19.1648,-15.0722,-24.0506,-19.4938,-17.3045,0.747064,-94.7469,6094.25,-97.9182,0.446395,-0.0089636,1.0088,-212.249,572.405,717.624,5.50056e+10,15458.7,6.61717e-07,0.968563,111.183,87.0753,25.094,27.8384,0.901419,572.409,717.629,0.968569 
2,180.01,2,-10441.8,0,5,101,125,0,5,135,-15.9368,-7.82675,-25.1404,-14.8452,-11.7665,429.161,-63.4432,5795.11,-29.1783,16439.4,-17.595,-9.48495,-28.4568,-16.5034,-13.4247,0.667035,-88.5234,3914.1,-54.2585,0.576198,-0.013093,1.00758,-153.634,641.495,852.609,792.968,13781.3,6.36862e-07,1.16125,112.657,86.8469,26.0003,28.6374,0.907913,614.5,759.418,1.07265 
3,100.01,3,-7652.67,0,5,101,125,0,5,135,-8.00714,-13.9629,-19.6532,-11.1272,-14.1032,344.063,-50.3519,8724.58,-36.7482,16439.4,-9.33653,-15.2922,-22.3119,-12.4566,-15.4325,0.701831,-70.4589,7216.55,-56.8552,0.508049,-0.00561046,1.0043,-138.685,516.925,671.21,792.485,15582.5,6.6348e-07,0.8878,111.505,87.1094,25.383,27.6501,0.918009,585.669,707.955,0.970513 
4,80.01,4,-5224.6,0,5,101,125,0,5,135,-9.83548,-13.1487,-31.0934,-8.37124,-18.7841,404.456,-67.9622,10256.2,-44.0531,16439.4,-11.3982,-14.7114,-34.2189,-9.93398,-20.3469,0.622347,-91.5986,8483.49,-67.6895,0.530005,-0.00620818,1.00435,-172.826,496.047,563.413,94.5532,16096.6,6.70697e-07,0.788223,110.54,87.3977,25.0799,26.2943,0.953816,571.766,640.23,0.902093 
5,160.01,5,-9346.17,0,5,101,125,0,5,135,-11.5451,-11.9766,-23.5068,-10.5327,-12.9276,326.54,-71.5812,6141.51,-45.7839,16439.4,-12.8068,-13.2383,-26.0301,-11.7944,-14.1893,0.666532,-90.6642,4710.28,-64.8669,0.538052,-0.0111213,1.00753,-168.504,575.125,736.337,3.67732e+08,13239.4,6.28403e-07,1.03557,112.506,86.8334,25.154,28.1994,0.892005,575.149,736.363,1.03561 
7,20.01,7,375.043,0,5,101,125,0,5,135,-14.4252,-12.0125,-25.4169,-13.5621,-9.97708,387.808,-53.943,16623.3,-50.9662,16439.4,-15.9236,-13.5109,-28.4137,-15.0605,-11.4755,0.663282,-76.6065,14923.5,-73.6297,0.464388,-0.00294193,1.00269,-164.962,528.904,625.997,5.16852e+08,24900.1,7.75679e-07,0.741809,110.467,87.5184,24.1218,26.0005,0.927745,528.915,626.002,0.741821 
8,120.01,8,-7184.64,0,5,101,125,0,5,135,-4.9752,-5.96995,-29.1378,-12.5779,-9.99376,330.624,-67.4419,8469.84,-58.739,16439.4,-6.25266,-7.24741,-31.6927,-13.8553,-11.2712,0.549303,-86.7635,7020.71,-78.0606,0.480854,-0.00711206,1.00607,-180.436,566.343,677.487,1.12991,15639.4,6.64285e-07,0.932471,111.491,86.7898,25.1325,27.2359,0.922772,574.167,686.903,0.945392 
9,60.01,9,-4273.5,0,5,101,125,0,5,135,-8.66295,-16.082,-26.8669,-14.4489,-10.0266,371.993,-85.2354,11672.5,-50.2911,16439.4,-10.1003,-17.5193,-29.7415,-15.8862,-11.4639,0.648907,-106.975,10042,-72.0303,0.553095,-0.00612454,1.00391,-193.411,525.658,662.037,0.819804,19393.7,7.13677e-07,0.826592,110.866,86.6674,24.456,27.1914,0.899403,543.673,684.662,0.85488 
10,0.01,10,1333.94,0,5,101,125,0,5,135,-9.17758,-11.1971,-24.5656,-10.8057,-13.7072,415.311,-66.7739,17367.8,-53.0696,16439.4,-10.7823,-12.8018,-27.7749,-12.4103,-15.3119,0.648779,-91.0446,15547.5,-77.3403,0.495203,-0.00335747,1.00271,-183.853,450.684,550.894,0.828251,25625.3,7.83138e-07,0.636256,110.878,87.375,22.6405,24.7991,0.912958,465.949,569.488,0.657769 
11,40.01,11,-1212.42,0,5,101,125,0,5,135,-8.48329,-10.8249,-28.0063,-10.5641,-7.86283,354.875,-97.3135,13917.3,-61.6384,16439.4,-9.85446,-12.1961,-30.7486,-11.9353,-9.23399,0.584301,-118.052,12361.9,-82.3773,0.544258,-0.0054869,1.00363,-216.905,483.938,597.646,145.991,20009,7.21147e-07,0.74575,110.944,87.4647,24.3842,26.7094,0.912947,540.485,660.601,0.828586 
12,140.01,12,-6506.17,0,5,101,125,0,5,135,-10.8245,-10.5495,-21.4309,-5.42935,-12.8145,280.933,-45.2579,8393.97,-58.7778,16439.4,-11.91,-11.6349,-23.6019,-6.51482,-13.9,0.650661,-61.6756,7162.64,-75.1956,0.406,-0.00494476,1.00573,-151.91,588.741,710.564,1.73024e+09,15473.2,6.61925e-07,0.977136,111.695,87.6453,25.4494,27.7007,0.918726,588.735,710.549,0.977121 
14,100.01,14,-7626.29,0,5,101,125,0,5,135,-16.1321,-7.84052,-23.1413,-8.182,-11.8153,327.832,-72.2924,8057.25,-32.2872,16439.4,-17.3988,-9.1072,-25.6747,-9.44868,-13.0819,0.656348,-91.4509,6620.37,-51.4457,0.596993,-0.00795627,1.00424,-153.186,533.379,639.55,1.04349,14828.2,6.52597e-07,0.894974,111.123,87.1657,24.4314,26.5095,0.921607,542.577,650.753,0.910529 
15,80.01,15,-5288.25,0,5,101,125,0,5,135,-10.6583,-9.69096,-21.9776,-11.4102,-4.58896,341.792,-40.2844,10248.2,-26.5585,16439.4,-11.9789,-11.0116,-24.6188,-12.7308,-5.90958,0.628393,-60.2587,8750.17,-46.5328,0.519033,-0.00395074,1.0029,-116.098,546.213,642.357,1.3841e+08,17848.9,6.94201e-07,0.853265,110.732,87.7981,24.5121,26.3372,0.930704,546.169,642.319,0.853205 
16,160.01,16,-10380.1,0,5,101,125,0,5,135,-6.60584,-9.98526,-25.3652,-13.6139,-12.4562,427.875,-78.1367,6103.84,-58.0688,16439.4,-8.25907,-11.6385,-28.6716,-15.2671,-14.1094,0.632159,-103.142,4228.46,-83.0738,0.508512,-0.0141355,1.01078,-202.83,609.211,718.875,872802,13609.5,6.34204e-07,1.04347,111.505,86.8111,25.8898,27.8637,0.929156,609.286,718.937,1.04358 
17,200.01,17,-9189.97,0,5,101,125,0,5,135,-7.53993,-13.9104,-26.6276,-14.623,-11.649,340.592,-47.0781,6035.3,-48.471,16439.4,-8.85591,-15.2264,-29.2595,-15.939,-12.9649,0.644243,-66.9823,4542.49,-68.3752,0.449448,-0.00849774,1.00824,-149.033,596.543,709.65,2.02569e+07,12714,6.19977e-07,1.04946,112.415,87.1512,25.6186,27.6838,0.925401,596.589,709.68,1.04953 
18,20.01,18,-1966.39,0,5,101,125,0,5,135,-11.9336,-7.71541,-27.2013,-15.4824,-11.0641,324.301,-76.3799,14183,-50.3797,16439.4,-13.1866,-8.96844,-29.7074,-16.7354,-12.3171,0.632857,-95.332,12761.6,-69.3318,0.533982,-0.00428701,1.00296,-178.53,508.279,595.434,1144.59,22021,7.44551e-07,0.738879,110.446,87.9066,23.6001,25.5851,0.922416,506.284,606.16,0.74404 
19,120.01,19,-6286.28,0,5,101,125,0,5,135,-6.09522,-11.4812,-15.9221,-7.89493,-12.9985,247.008,-65.4896,8623.54,-46.8702,16439.4,-7.04961,-12.4356,-17.8308,-8.84932,-13.9529,0.703404,-79.9248,7540.9,-61.3053,0.520713,-0.00609338,1.00443,-153.491,623.648,783.142,712.396,16415.4,6.75096e-07,1.0352,112.129,87.9796,25.8433,27.8455,0.928097,607.102,717.995,0.97797 
20,60.01,20,-3670.99,0,5,101,125,0,5,135,-9.72734,-11.0849,-21.3712,-7.89893,-10.3839,300.949,-66.4881,12119.7,-48.3949,16439.4,-10.8901,-12.2477,-23.6968,-9.06174,-11.5467,0.64864,-84.0756,10800.6,-65.9823,0.514997,-0.00446806,1.00333,-163.254,573.04,661.505,0.830821,19819.1,7.18858e-07,0.856478,110.912,87.1273,25.5229,27.173,0.939273,592.142,683.736,0.885144 
21,0.01,21,4249.99,0,5,101,125,0,5,135,-8.81519,-13.8647,-29.5218,-13.9366,-14.2824,373.771,-50.4765,19694.2,-56.3181,16439.4,-10.2594,-15.3089,-32.4102,-15.3808,-15.7266,0.636191,-72.3196,18056,-78.1612,0.435364,-0.002294,1.00236,-166.113,480.986,597.667,410.65,27454.5,8.01346e-07,0.669077,110.606,87.1831,23.5053,25.6257,0.917253,502.222,608.085,0.68962 
22,40.01,22,-4276.77,0,5,101,125,0,5,135,-10.7619,-12.2869,-20.11,-13.834,-13.7323,403.156,-72.6905,12115.8,-48.9876,16439.4,-12.3196,-13.8447,-23.2254,-15.3917,-15.29,0.709941,-96.2509,10348.8,-72.548,0.525076,-0.00534308,1.00382,-183.309,514.054,623.471,158.81,19833.1,7.19027e-07,0.787349,110.556,87.1828,24.1442,26.1511,0.923255,529.895,633.277,0.80565 
23,140.01,23,-7870.29,0,5,101,125,0,5,135,-12.3084,-15.7055,-24.9463,-6.42098,-8.50243,401.49,-76.4962,8111.3,-65.9631,16439.4,-13.8596,-17.2568,-28.0488,-7.97226,-10.0537,0.636632,-99.9593,6351.57,-89.4262,0.482264,-0.00907459,1.0077,-207.271,609.441,729.85,3.86662e+10,15480.7,6.62032e-07,1.0074,111.884,87.149,25.8931,28.0745,0.922302,609.446,729.853,1.00741 
25,100.01,25,-8151.55,0,5,101,125,0,5,135,-10.3137,-8.40417,-21.201,-5.88921,-12.2654,315.067,-84.9429,7807.34,-44.4011,16439.4,-11.5311,-9.62153,-23.6357,-7.10657,-13.4828,0.638474,-103.355,6426.4,-62.8137,0.578271,-0.0092755,1.00533,-178.732,564.007,701.015,2.86156e+06,15008.2,6.55227e-07,0.959653,110.842,87.0098,24.909,27.514,0.905321,563.997,701.001,0.959635 
26,80.01,26,-6947.24,0,5,101,125,0,5,135,-3.69001,-13.043,-23.6364,-8.0443,-14.8453,345.025,-45.7985,8774.93,-51.2618,16439.4,-5.02312,-14.3761,-26.3027,-9.37741,-16.1784,0.63088,-65.9618,7262.69,-71.4251,0.434898,-0.00521695,1.00537,-151.672,462.947,617.542,324.386,14400.3,6.46258e-07,0.827357,110.327,87.5322,25.0497,27.2213,0.920223,570.388,686.169,0.968043 
27,160.01,27,-8868.63,0,5,101,125,0,5,135,-10.3056,-4.27411,-19.5722,-15.8744,-16.4445,304.446,-67.324,6767.15,-54.9044,16439.4,-11.4819,-5.45044,-21.9249,-17.0507,-17.6208,0.701819,-85.1159,5432.76,-72.6962,0.493851,-0.00903353,1.00732,-172.351,574.365,651.651,548.058,13518.2,6.32783e-07,0.966823,111.637,86.5656,25.1549,27.3006,0.921405,575.191,690.173,0.995704 
