cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
0,6,0.9,10,0.01,0,3.81078e-07,5.88413e-07,8.12393e-30,12.2606,0.647636,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-0.633289,-3.33195e-30,1.1059e-13,25415.3,39839.5,1.82229,22.3423,1.64153,20.1261,0.617272,0.0066,1.30425,3.7 
1,6,0.9,0.01,10,1,3.79634e-07,5.95415e-07,8.22059e-30,12.4064,0.637596,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-0.591098,-3.09819e-30,4.15396e-13,26333.3,42284.5,1.79072,22.2165,1.61784,20.0716,0.657148,0.0066,1.3449,3.7 
2,6,0.9,10,0.01,2,4.37984e-07,5.03517e-07,6.95181e-30,10.4916,0.869848,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.44908,-8.7626e-30,1.6243e-13,15925.4,26451.9,2.51849,26.423,2.21733,23.2634,-0.162268,0.0066,-1.24848,3.7 
3,6,0.9,0.01,10,3,4.3393e-07,5.39023e-07,7.44202e-30,11.2314,0.805031,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.23141,-7.37746e-30,1.42406e-13,19537.4,31928.5,2.31663,26.0191,2.03954,22.907,0.0475626,0.0066,1.29233,3.7 
4,6,0.9,10,0.01,4,4.78956e-07,4.83786e-07,6.6794e-30,10.0805,0.990016,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.81664,-1.20129e-29,2.47162e-13,14125.6,24446.2,2.89267,29.1595,2.56711,25.8778,-0.518047,0.0066,-1.2225,3.7 
5,6,0.9,10,0.01,5,4.35866e-07,5.12642e-07,7.0778e-30,10.6817,0.850235,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.38475,-8.33316e-30,3.28015e-13,16807,28308.8,2.45749,26.2503,2.16271,23.1015,-0.100148,0.0066,1.32084,3.7 
6,6,0.9,10,0.01,6,4.15378e-07,5.2718e-07,7.27851e-30,10.9847,0.787925,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.17146,-6.71825e-30,1.84789e-14,18277.7,28944.5,2.26316,24.8601,1.99394,21.9027,0.105119,0.0066,1.27166,3.7 
7,6,0.9,0.01,10,7,4.44306e-07,5.25029e-07,7.24881e-30,10.9398,0.84625,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.37153,-8.41338e-30,2.11669e-13,18054.9,30422.4,2.44508,26.7488,2.1517,23.5392,-0.0873887,0.0066,-1.27782,3.7 
8,6,0.9,10,0.01,8,4.27766e-07,5.34992e-07,7.38636e-30,11.1474,0.799576,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.21241,-7.16047e-30,-6.69422e-14,19102.4,30267.2,2.29958,25.6344,2.02494,22.5729,0.0658073,0.0066,1.24751,3.7 
9,6,0.9,10,0.01,9,4.38972e-07,5.10954e-07,7.05448e-30,10.6466,0.859123,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.41411,-8.57044e-30,1.32763e-13,16641.4,27674.5,2.48503,26.457,2.18737,23.288,-0.128546,0.0066,-1.27686,3.7 
10,6,0.9,0.01,10,10,4.06805e-07,5.5002e-07,7.59385e-30,11.4606,0.739619,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-0.99601,-5.59415e-30,2.58714e-13,20757.8,33980.6,2.11167,24.201,1.86819,21.4106,0.272916,0.0066,-1.26794,3.7 
11,6,0.9,0.01,10,11,4.25145e-07,5.27335e-07,7.28066e-30,10.9879,0.806213,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.23552,-7.25218e-30,-1.36918e-13,18294,28366.2,2.32032,25.4954,2.04271,22.4451,0.0436171,0.0066,1.24266,3.7 
12,6,0.9,0.01,10,12,4.17698e-07,5.47978e-07,7.56566e-30,11.418,0.762254,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.0794,-6.22483e-30,1.68986e-13,20527.5,33289,2.18271,24.9223,1.92655,21.9974,0.193271,0.0066,1.27046,3.7 
13,6,0.9,10,0.01,13,4.07236e-07,5.29775e-07,7.31434e-30,11.0387,0.768697,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.10275,-6.20025e-30,5.62885e-13,18549,32657.2,2.20291,24.3173,1.94334,21.4521,0.170921,0.0066,-1.2705,3.7 
14,6,0.9,0.01,10,14,4.86977e-07,5.04751e-07,6.96885e-30,10.5173,0.964786,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.74294,-1.17185e-29,1.78164e-13,16042.7,27043.2,2.81415,29.5973,2.49155,26.2045,-0.446552,0.0066,-1.29339,3.7 
15,6,0.9,0.01,10,15,4.50969e-07,5.01855e-07,6.92886e-30,10.457,0.898604,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.54108,-9.59521e-30,1.53548e-13,15768.2,26344.7,2.60788,27.2705,2.29868,24.0372,-0.251236,0.0066,-1.23033,3.7 
16,6,0.9,10,0.01,16,4.18319e-07,5.42075e-07,7.48416e-30,11.295,0.771699,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.11358,-6.43148e-30,2.59586e-13,19871.2,32219.6,2.21232,24.9882,1.9512,22.0388,0.160567,0.0066,-1.34624,3.7 
17,6,0.9,0.01,10,17,4.81973e-07,4.83367e-07,6.67361e-30,10.0717,0.997117,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.83708,-1.22246e-29,1.93273e-14,14088.9,23064,2.91475,29.3566,2.58858,26.0715,-0.537894,0.0066,-1.24229,3.7 
18,6,0.9,10,0.01,18,4.22658e-07,5.45708e-07,7.53432e-30,11.3707,0.774514,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.1237,-6.55725e-30,2.56666e-13,20273.5,33139.6,2.22114,25.256,1.95858,22.2704,0.150875,0.0066,-1.33203,3.7 
19,6,0.9,0.01,10,19,4.42259e-07,5.16743e-07,7.13442e-30,10.7672,0.855857,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.40334,-8.56883e-30,2.10859e-13,17213.6,28593.4,2.47496,26.6484,2.1783,23.4541,-0.118094,0.0066,-1.29676,3.7 
20,8,0.9,10,0.01,20,4.02157e-07,5.37401e-07,7.41963e-30,11.1976,0.748337,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.02838,-5.70994e-30,3.72207e-13,19361.6,32190.3,2.13905,23.9523,1.89055,21.1697,0.242025,0.0066,-1.34987,3.7 
21,8,0.9,0.01,10,21,4.56579e-07,5.05426e-07,6.97817e-30,10.5314,0.903354,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.55602,-9.80881e-30,-8.6029e-14,16107.2,24956.5,2.62264,27.62,2.31227,24.3514,-0.265704,0.0066,1.28498,3.7 
22,8,0.9,10,0.01,22,4.4333e-07,4.92906e-07,6.80531e-30,10.2705,0.89942,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.54365,-9.44845e-30,1.06756e-13,14939.6,24200.9,2.61041,26.8103,2.30101,23.6326,-0.25373,0.0066,-1.28772,3.7 
23,8,0.9,0.01,10,23,4.77262e-07,5.16741e-07,7.13439e-30,10.7672,0.923599,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.61884,-1.06671e-29,-2.03032e-13,17213.4,26994,2.68579,28.9183,2.37061,25.5247,-0.326413,0.0066,1.21875,3.7 
24,8,0.9,10,0.01,24,4.30532e-07,4.93133e-07,6.80844e-30,10.2752,0.873054,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.4595,-8.67545e-30,5.96995e-13,14960.3,25765.1,2.52839,25.9798,2.22633,22.876,-0.172374,0.0066,-1.29324,3.7 
25,8,0.9,10,0.01,25,4.6955e-07,4.73438e-07,6.53652e-30,9.86485,0.991789,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.82176,-1.18102e-29,2.35139e-13,13238.4,22109.7,2.89819,28.5902,2.57247,25.377,-0.523015,0.0066,-1.27829,3.7 
26,8,0.9,10,0.01,26,3.86657e-07,5.15415e-07,7.11608e-30,10.7395,0.750186,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.03525,-5.52655e-30,7.56541e-13,17081.2,29254.2,2.14475,23.0336,1.89531,20.3547,0.235401,0.0066,1.29326,3.7 
27,8,0.9,0.01,10,27,4.38147e-07,4.86583e-07,6.71801e-30,10.1388,0.900456,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.54692,-9.35772e-30,4.97311e-13,14372,24788,2.61364,26.499,2.30398,23.3595,-0.256885,0.0066,1.23756,3.7 
28,8,0.9,10,0.01,28,4.17952e-07,4.8252e-07,6.66192e-30,10.0541,0.866184,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.43717,-8.29312e-30,4.03184e-13,14015,23600.4,2.50707,25.2063,2.20707,22.1901,-0.150778,0.0066,-1.27633,3.7 
29,8,0.9,10,0.01,29,3.87466e-07,5.43117e-07,7.49854e-30,11.3167,0.713412,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-0.89673,-4.7971e-30,5.06838e-13,19986,32522.9,2.0293,22.965,1.80188,20.3914,0.367489,0.0066,1.28756,3.7 
30,8,0.9,0.01,10,30,4.18907e-07,4.90731e-07,6.77528e-30,10.2252,0.85364,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.39601,-8.07405e-30,3.35858e-13,14742.7,24699,2.46808,25.2366,2.17214,22.2105,-0.111015,0.0066,-1.25087,3.7 
31,8,0.9,0.01,10,31,4.15531e-07,5.28652e-07,7.29883e-30,11.0153,0.786021,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.16472,-6.68203e-30,5.37167e-13,18431.3,30904.4,2.25719,24.8637,1.9889,21.9083,0.111581,0.0066,1.27392,3.7 
32,8,0.9,0.01,10,32,4.05761e-07,5.19127e-07,7.16733e-30,10.8169,0.781621,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.14909,-6.43738e-30,5.41775e-13,17452.9,29237.1,2.24341,24.2667,1.97727,21.3879,0.126551,0.0066,1.25881,3.7 
33,8,0.9,10,0.01,33,4.13047e-07,4.97829e-07,6.87328e-30,10.3731,0.829697,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.31598,-7.50467e-30,4.74007e-13,15391.7,26167.1,2.39357,24.8287,2.10628,21.8486,-0.033812,0.0066,1.27759,3.7 
34,8,0.9,0.01,10,34,4.26587e-07,5.15046e-07,7.11098e-30,10.7318,0.828252,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.31109,-7.72188e-30,9.91292e-13,17044.5,30684.7,2.38906,25.639,2.10234,22.5619,-0.0291022,0.0066,-1.28979,3.7 
35,8,0.9,0.01,10,35,4.16161e-07,5.21099e-07,7.19456e-30,10.858,0.798621,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.20907,-6.94699e-30,4.58575e-13,17652.6,29024.9,2.29659,24.9363,2.02239,21.959,0.0690167,0.0066,1.28102,3.7 
36,8,0.9,10,0.01,36,3.99616e-07,5.15966e-07,7.12369e-30,10.751,0.774501,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.12365,-6.1995e-30,4.87654e-13,17136,28145.8,2.2211,23.879,1.95854,21.0563,0.150921,0.0066,1.2978,3.7 
37,8,0.9,0.01,10,37,4.05181e-07,5.28792e-07,7.30078e-30,11.0183,0.766239,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.09386,-6.11921e-30,4.90321e-13,18446,30336.8,2.19521,24.1874,1.93693,21.3416,0.179437,0.0066,-1.34073,3.7 
38,8,0.9,10,0.01,38,3.90708e-07,4.95688e-07,6.84372e-30,10.3285,0.788214,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.17249,-6.32479e-30,2.16062e-13,15194,24342.9,2.26405,23.3842,1.9947,20.6023,0.104124,0.0066,1.28249,3.7 
39,8,0.9,0.01,10,39,4.14616e-07,5.11691e-07,7.06467e-30,10.6619,0.810285,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.24962,-7.15333e-30,5.98604e-13,16713.6,29005.3,2.33301,24.8744,2.05366,21.896,0.0300451,0.0066,5391.89,3.7 
40,12,0.8,10,0.01,40,4.24655e-07,4.95831e-07,6.84569e-30,10.3315,0.856451,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.40529,-8.23919e-30,5.08088e-13,15207.1,25922.7,2.47682,25.5891,2.17994,22.522,-0.119971,0.0066,1.27749,3.7 
41,12,0.8,0.01,10,41,4.55454e-07,5.09022e-07,7.02781e-30,10.6063,0.894763,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.52895,-9.61438e-30,3.63113e-13,16453.4,27793.1,2.59592,27.5331,2.28773,24.2644,-0.23951,0.0066,1.20356,3.7 
42,12,0.8,10,0.01,42,4.6869e-07,4.80246e-07,6.63052e-30,10.0067,0.975938,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.77573,-1.14907e-29,2.59508e-13,13817.8,23526.7,2.84887,28.5078,2.52482,25.2651,-0.478344,0.0066,-1.21746,3.7 
43,12,0.8,0.01,10,43,4.98106e-07,4.92882e-07,6.80498e-30,10.27,1.0106,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.87554,-1.28983e-29,3.69554e-13,14937.5,25782.5,2.95666,30.3649,2.62957,27.0058,-0.57525,0.0066,-1.28611,3.7 
44,12,0.8,10,0.01,44,4.08072e-07,4.85495e-07,6.70299e-30,10.1161,0.840526,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.3524,-7.61951e-30,8.09234e-13,14275.8,25624,2.42733,24.5551,2.13594,21.6073,-0.068906,0.0066,-1.25935,3.7 
45,12,0.8,10,0.01,45,4.38676e-07,4.62152e-07,6.3807e-30,9.62969,0.949204,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.69655,-1.02753e-29,6.91429e-14,12314,19922,2.76562,26.632,2.44545,23.5489,-0.401613,0.0066,1.23143,3.7 
46,12,0.8,10,0.01,46,4.49527e-07,4.68526e-07,6.4687e-30,9.7625,0.95945,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.72713,-1.07193e-29,5.88744e-13,12830.6,23120.6,2.79754,27.311,2.47572,24.1692,-0.431232,0.0066,-1.2357,3.7 
47,12,0.8,0.01,10,47,4.12767e-07,5.13327e-07,7.08726e-30,10.696,0.8041,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.22818,-6.9992e-30,5.08128e-13,16874.5,28469.3,2.31373,24.7477,2.03705,21.7883,0.0506745,0.0066,1.24627,3.7 
48,12,0.8,10,0.01,48,4.35311e-07,4.7344e-07,6.53656e-30,9.86491,0.919463,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.60611,-9.65288e-30,6.61424e-13,13238.6,24019.5,2.67289,26.3679,2.35863,23.2677,-0.314098,0.0066,-1.24911,3.7 
49,12,0.8,10,0.01,49,4.43497e-07,4.64298e-07,6.41033e-30,9.67441,0.9552,950.317,2545.79,2478.35,4.47365,19.0317,18.2836,-1.71448,-1.0498e-29,4.07193e-13,12486.4,21632.1,2.7843,26.9364,2.46314,23.8294,-0.418978,0.0066,1.22619,3.7 
