cyc,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
89,1.5,0.01,40,89,3.21315e-07,5.36769e-07,7.41091e-30,11.1845,0.59861,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.421682,-1.87068e-30,-2.65329e-13,19293.4,26557.1,1.66847,18.6609,1.52785,17.0882,0.81709,0.0066,1.33139,6.683e-06 
90,1.5,0.01,40,90,3.26691e-07,5.34446e-07,7.37883e-30,11.1361,0.611271,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.477732,-2.15479e-30,5.46237e-13,19044,28128.7,1.70807,19.0212,1.55672,17.3357,0.764179,0.0066,1.36227,6.683e-06 
91,1.5,40,0.01,91,3.4842e-07,5.38667e-07,7.4371e-30,11.224,0.64682,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.629881,-3.03002e-30,-1.49826e-13,19498.7,27560.4,1.81973,20.4246,1.6396,18.4029,0.620494,0.0066,1.31393,6.683e-06 
92,1.5,0.01,40,92,3.37119e-07,5.84669e-07,8.07224e-30,12.1825,0.576597,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.321561,-1.49669e-30,-4.1309e-13,24933.2,33709.3,1.60005,19.4927,1.47848,18.0116,0.911767,0.0066,1.37322,6.683e-06 
93,1.5,0.01,40,93,3.36256e-07,5.77211e-07,7.96926e-30,12.0271,0.582553,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.349001,-1.62025e-30,3.47762e-13,23991.1,34650.8,1.61849,19.4658,1.49173,17.9413,0.885787,0.0066,1.36399,6.683e-06 
94,1.5,40,0.01,94,3.56319e-07,5.90136e-07,8.14771e-30,12.2965,0.603792,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.444752,-2.18797e-30,-3.4636e-13,25639.1,35668.7,1.68466,20.7154,1.53963,18.9319,0.795308,0.0066,1.31277,6.683e-06 
95,1.5,0.01,40,95,3.32399e-07,5.67629e-07,7.83698e-30,11.8275,0.585592,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.362898,-1.66544e-30,-5.21497e-14,22816.1,31802.1,1.62792,19.2543,1.49853,17.7238,0.872641,0.0066,1.36271,6.683e-06 
96,1.5,40,0.01,96,3.67719e-07,5.76965e-07,7.96587e-30,12.022,0.637333,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.58999,-2.99533e-30,7.7058e-13,23960.4,36036.6,1.7899,21.5181,1.61722,19.4423,0.658194,0.0066,1.35974,6.683e-06 
97,1.5,40,0.01,97,3.68804e-07,5.71721e-07,7.89347e-30,11.9127,0.645078,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.622591,-3.17017e-30,8.61931e-13,23313,34831.6,1.81425,21.6127,1.63547,19.483,0.627386,0.0066,1.41646,6.683e-06 
99,1.5,40,0.01,99,3.52528e-07,6.29045e-07,8.68491e-30,13.1072,0.560418,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.245607,-1.19541e-30,-1.03342e-13,31052.1,42822.5,1.55028,20.3198,1.44286,18.9119,0.983855,0.0066,1.4201,6.683e-06 
100,1.65,0.01,40,100,3.11152e-07,5.62034e-07,7.75973e-30,11.7109,0.553617,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.213029,-9.15153e-31,-7.46636e-13,22148,28419.1,1.52951,17.912,1.42807,16.724,1.01487,0.0066,1.37532,6.683e-06 
101,1.65,0.01,40,101,3.39003e-07,5.39223e-07,7.44478e-30,11.2356,0.628688,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.5532,-2.58922e-30,3.96945e-13,19559.2,28591.8,1.76271,19.805,1.59699,17.9432,0.692927,0.0066,1.36979,6.683e-06 
102,1.65,40,0.01,102,3.49981e-07,5.54455e-07,7.65509e-30,11.553,0.631215,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.564001,-2.72526e-30,-3.86639e-14,21264.1,30273.6,1.77066,20.4564,1.60289,18.5182,0.682739,0.0066,1.29869,6.683e-06 
103,1.65,0.01,40,103,3.35753e-07,6.16469e-07,8.51128e-30,12.8451,0.54464,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.169403,-7.85283e-31,1.10272e-12,29226.8,43360,1.50225,19.2966,1.40869,18.0949,1.05649,0.0066,1.45438,6.683e-06 
104,1.65,40,0.01,104,3.62354e-07,5.6029e-07,7.73565e-30,11.6746,0.646725,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.629484,-3.1492e-30,-1.52881e-13,21942.5,30960.9,1.81943,21.241,1.63937,19.139,0.62087,0.0066,1.30316,6.683e-06 
105,1.65,0.01,40,105,3.40809e-07,5.22802e-07,7.21806e-30,10.8934,0.65189,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.650995,-3.06318e-30,8.73625e-13,17826.2,26994.3,1.83567,19.9968,1.65163,17.992,0.600528,0.0066,1.44455,6.683e-06 
106,1.65,0.01,40,106,3.18819e-07,5.53009e-07,7.63513e-30,11.5229,0.576517,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.321189,-1.4138e-30,2.73313e-13,21098.2,29726.3,1.5998,18.4343,1.4783,17.0342,0.91212,0.0066,1.43003,6.683e-06 
107,1.65,40,0.01,107,3.48539e-07,5.9509e-07,8.21612e-30,12.3997,0.585691,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.363351,-1.74848e-30,1.06759e-13,26290.3,37030.6,1.62823,20.1896,1.49875,18.584,0.872213,0.0066,1.40218,6.683e-06 
108,1.65,40,0.01,108,3.71752e-07,5.88846e-07,8.12991e-30,12.2696,0.631323,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.564461,-2.89715e-30,-3.44738e-13,25471.4,35327.5,1.771,21.7295,1.60314,19.6699,0.682305,0.0066,1.33624,6.683e-06 
109,1.65,0.01,40,109,3.23165e-07,5.79352e-07,7.99882e-30,12.0717,0.557805,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.233132,-1.04019e-30,1.27671e-12,24259,37387.4,1.54229,18.6182,1.43717,17.3491,0.995727,0.0066,1.3579,6.683e-06 
110,1.65,0.01,40,110,3.13376e-07,5.80707e-07,8.01753e-30,12.1,0.539646,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.144815,-6.26561e-31,-2.61685e-13,24429.7,33186.3,1.48717,17.9948,1.39799,16.9157,1.08,0.0066,1.36372,6.683e-06 
111,1.65,40,0.01,111,3.90329e-07,5.72203e-07,7.90013e-30,11.9228,0.68215,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.774203,-4.17224e-30,-3.83125e-13,23372.1,32362.3,1.93091,23.0219,1.72457,20.5617,0.483853,0.0066,1.34845,6.683e-06 
112,1.65,0.01,40,112,3.23531e-07,5.62365e-07,7.76429e-30,11.7178,0.575304,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.315556,-1.40953e-30,-2.54917e-13,22187.1,30547.6,1.59607,18.7024,1.47561,17.2909,0.91747,0.0066,1.35151,6.683e-06 
113,1.65,0.01,40,113,3.25546e-07,5.66594e-07,7.82268e-30,11.8059,0.574566,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.312135,-1.40294e-30,-2.89437e-14,22691.5,31715.9,1.59379,18.8162,1.47398,17.4016,0.920711,0.0066,1.36993,6.683e-06 
114,1.65,40,0.01,114,3.54523e-07,5.85917e-07,8.08946e-30,12.2085,0.605074,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.450419,-2.20468e-30,-3.65866e-13,25093.1,34232.4,1.68868,20.6163,1.54255,18.8323,0.789962,0.0066,1.35431,6.683e-06 
115,1.65,0.01,40,115,3.24627e-07,6.2436e-07,8.62023e-30,13.0096,0.519935,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0454617,-2.03757e-31,9.06565e-13,30363.5,44373.2,1.42815,18.5796,1.35631,17.645,1.17533,0.0066,1.44975,6.683e-06 
116,1.65,40,0.01,116,3.75351e-07,4.93676e-07,6.81593e-30,10.2865,0.760319,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.07235,-5.55722e-30,-6.30518e-13,15009.7,20049.7,2.17667,22.3904,1.92152,19.7658,0.200023,0.0066,1.25137,6.683e-06 
117,1.65,40,0.01,117,3.87911e-07,5.50266e-07,7.59725e-30,11.4657,0.704952,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.864021,-4.62743e-30,9.03464e-13,20785.7,31681,2.00269,22.9622,1.78077,20.4177,0.398593,0.0066,1.38686,6.683e-06 
118,1.65,40,0.01,118,3.97782e-07,5.55915e-07,7.67524e-30,11.5834,0.715546,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.904937,-4.9699e-30,7.80629e-13,21432.4,32579.9,2.03599,23.5837,1.80723,20.9338,0.359673,0.0066,1.37402,6.683e-06 
119,1.65,40,0.01,119,3.62594e-07,5.85826e-07,8.08821e-30,12.2066,0.618944,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.511207,-2.55918e-30,7.93245e-14,25081.4,35360.8,1.73213,21.1435,1.57438,19.218,0.732583,0.0066,1.37314,6.683e-06 
120,1.8,0.01,40,120,3.21179e-07,5.85494e-07,8.08362e-30,12.1997,0.54856,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.188546,-8.36078e-31,-7.61496e-13,25038.8,32515.5,1.51414,18.4721,1.41713,17.2886,1.03821,0.0066,1.40453,6.683e-06 
121,1.8,0.01,40,121,3.28352e-07,5.87389e-07,8.10979e-30,12.2392,0.559003,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.238861,-1.08285e-30,2.5319e-13,25282.8,35467.3,1.54595,18.9212,1.43978,17.6218,0.990272,0.0066,1.41278,6.683e-06 
122,1.8,40,0.01,122,3.81583e-07,5.95928e-07,8.22768e-30,12.4171,0.640318,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.60261,-3.17475e-30,7.37684e-13,26401.5,39195.5,1.79925,22.3415,1.62424,20.1684,0.646249,0.0066,1.38331,6.683e-06 
123,1.8,0.01,40,123,3.29836e-07,5.56107e-07,7.67789e-30,11.5874,0.593117,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.397022,-1.80799e-30,-4.59479e-13,21454.6,28564.6,1.65134,19.1347,1.51543,17.5599,0.840385,0.0066,1.37313,6.683e-06 
124,1.8,40,0.01,124,3.95767e-07,4.96546e-07,6.85556e-30,10.3463,0.797041,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.20355,-6.57638e-30,-9.15195e-13,15273,19705.7,2.29165,23.7102,2.01817,20.8807,0.0743183,0.0066,1.27837,6.683e-06 
125,1.8,0.01,40,125,3.14442e-07,5.54107e-07,7.65028e-30,11.5457,0.567475,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.278994,-1.21121e-30,-3.074e-13,21224,28720.7,1.57195,18.1494,1.45833,16.8375,0.952155,0.0066,1.38647,6.683e-06 
126,1.8,0.01,40,126,3.36693e-07,5.62851e-07,7.77101e-30,11.7279,0.598192,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.419807,-1.9515e-30,-5.33314e-13,22244.7,30316.6,1.66717,19.5524,1.5269,17.9074,0.818863,0.0066,1.31625,6.683e-06 
127,1.8,40,0.01,127,3.74846e-07,5.9032e-07,8.15025e-30,12.3003,0.634987,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.580049,-3.00193e-30,-9.56871e-13,25663.1,33826.2,1.78252,21.9255,1.61172,19.8246,0.667584,0.0066,1.34342,6.683e-06 
128,1.8,40,0.01,128,3.71825e-07,5.87928e-07,8.11723e-30,12.2504,0.632432,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.569189,-2.92199e-30,-3.76736e-13,25352.4,35078.2,1.77449,21.7383,1.60574,19.671,0.677839,0.0066,1.31172,6.683e-06 
129,1.8,0.01,40,129,3.17635e-07,5.89484e-07,8.13871e-30,12.2829,0.538835,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.14081,-6.17511e-31,2.82218e-13,25554.2,36250.9,1.48472,18.2366,1.39626,17.1501,1.08382,0.0066,1.40344,6.683e-06 
130,1.8,0.01,40,130,3.13115e-07,6.11928e-07,8.44859e-30,12.7505,0.511686,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.00272459,-1.17785e-32,-6.91676e-13,28585.6,37339.6,1.4037,17.8979,1.33913,17.0746,1.21651,0.0066,1.40183,6.683e-06 
131,1.8,40,0.01,131,3.63415e-07,6.00457e-07,8.29021e-30,12.5115,0.605231,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.45112,-2.26349e-30,4.38829e-13,27008,38475.7,1.68916,21.134,1.5429,19.3041,0.789299,0.0066,1.41311,6.683e-06 
132,1.8,0.01,40,132,3.19011e-07,5.8563e-07,8.0855e-30,12.2026,0.544732,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.169856,-7.48119e-31,6.20663e-13,25056.3,36163.8,1.50253,18.3347,1.40889,17.1921,1.05605,0.0066,1.41903,6.683e-06 
133,1.8,0.01,40,133,3.14655e-07,6.2113e-07,8.57563e-30,12.9423,0.506585,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0240529,1.04493e-31,7.44121e-13,29894.6,43199.6,1.38866,17.9724,1.32858,17.1949,1.24237,0.0066,1.41543,6.683e-06 
134,1.8,40,0.01,134,3.78192e-07,5.68521e-07,7.84928e-30,11.8461,0.665221,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.705862,-3.68566e-30,-4.24379e-14,22923.7,33131.2,1.87762,22.2424,1.68354,19.9433,0.548606,0.0066,1.30001,6.683e-06 
135,1.8,0.01,40,135,3.11285e-07,5.23493e-07,7.22761e-30,10.9078,0.59463,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.40383,-1.73556e-30,2.97087e-13,17897,25811.9,1.65605,18.0639,1.51885,16.5673,0.833953,0.0066,1.35386,6.683e-06 
136,1.8,40,0.01,136,3.72393e-07,6.19756e-07,8.55666e-30,12.9136,0.60087,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.431755,-2.21984e-30,-1.08985e-13,29696.7,41860.3,1.67553,21.6372,1.53298,19.7963,0.807581,0.0066,1.35208,6.683e-06 
137,1.8,40,0.01,137,3.98174e-07,5.23296e-07,7.22489e-30,10.9037,0.760896,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.07445,-5.90669e-30,1.08987e-13,17876.8,26644.7,2.17847,23.7535,1.92302,20.9681,0.198005,0.0066,1.25895,6.683e-06 
138,1.8,40,0.01,138,3.83367e-07,5.98763e-07,8.26682e-30,12.4762,0.640265,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.602386,-3.1884e-30,-2.87744e-13,26780,37181.5,1.79908,22.4457,1.62412,20.2628,0.646461,0.0066,1.36772,6.683e-06 
139,1.8,40,0.01,139,3.79598e-07,6.0239e-07,8.31691e-30,12.5518,0.630153,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.559468,-2.93213e-30,-1.81066e-13,27269.7,37835.8,1.76733,22.1831,1.60041,20.088,0.68702,0.0066,1.3579,6.683e-06 
140,1.8,40,0.01,139,3.75599e-07,6.07823e-07,8.39192e-30,12.665,0.617941,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.506851,-2.62838e-30,2.99225e-13,28014.2,40523.6,1.72899,21.8977,1.57207,19.9102,0.736699,0.0066,1.35778,6.683e-06 
141,1.8,40,0.01,139,3.73923e-07,6.24443e-07,8.62137e-30,13.0113,0.59881,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.422574,-2.18156e-30,-1.5116e-15,30375.6,42727,1.66909,21.7171,1.5283,19.8852,0.816248,0.0066,1.37247,6.683e-06 
142,1.8,40,0.01,139,3.96008e-07,5.47659e-07,7.56126e-30,11.4114,0.723092,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.933757,-5.10531e-30,1.51866e-13,20491.7,29920,2.05973,23.5044,1.82622,20.8397,0.332246,0.0066,1.33982,6.683e-06 
143,1.8,40,0.01,139,3.74693e-07,6.07559e-07,8.38827e-30,12.6595,0.616719,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.50154,-2.59457e-30,7.2799e-14,27977.7,39700.6,1.72515,21.8395,1.56925,19.8659,0.741706,0.0066,1.36429,6.683e-06 
144,1.8,40,0.01,139,3.68615e-07,5.70723e-07,7.87969e-30,11.892,0.645873,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.625973,-3.18575e-30,2.98526e-13,23191.2,34006.1,1.81664,21.6034,1.63736,19.4714,0.624114,0.0066,1.31427,6.683e-06 
145,1.8,40,0.01,139,3.75929e-07,6.06116e-07,8.36834e-30,12.6294,0.620227,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.51677,-2.68218e-30,-2.34521e-13,27778.8,38378.1,1.73615,21.9266,1.57735,19.921,0.72733,0.0066,1.37091,6.683e-06 
146,1.8,40,0.01,139,3.84035e-07,5.61787e-07,7.75632e-30,11.7058,0.683596,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.779955,-4.13547e-30,7.98916e-14,22118.8,31685.6,1.93548,22.6562,1.7281,20.2288,0.478409,0.0066,1.33843,6.683e-06 
147,1.8,40,0.01,139,3.72019e-07,5.77984e-07,7.97994e-30,12.0432,0.64365,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.616586,-3.16696e-30,4.27643e-14,24087.6,34495.5,1.80979,21.7958,1.6321,19.6558,0.633087,0.0066,1.31141,6.683e-06 
148,1.8,40,0.01,139,3.97089e-07,5.63356e-07,7.77798e-30,11.7385,0.704863,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.863674,-4.73501e-30,2.0505e-13,22304.7,33128.7,2.0024,23.5051,1.78054,20.9008,0.398922,0.0066,1.27781,6.683e-06 
149,1.8,40,0.01,139,3.63423e-07,5.8766e-07,8.11353e-30,12.2449,0.618424,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.508954,-2.55373e-30,2.28111e-13,25317.7,36481.3,1.7305,21.1897,1.57318,19.2634,0.734707,0.0066,1.34966,6.683e-06 
150,1.8,40,0.01,139,3.73568e-07,5.75133e-07,7.94057e-30,11.9838,0.649534,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.641198,-3.30709e-30,1.77639e-13,23732.9,34334.7,1.82826,21.9096,1.64603,19.7258,0.609795,0.0066,1.34198,6.683e-06 
151,1.8,40,0.01,139,3.56074e-07,5.835e-07,8.0561e-30,12.1582,0.610238,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.473201,-2.32632e-30,3.82658e-13,24783.9,36003.2,1.70484,20.7277,1.55435,18.8981,0.768455,0.0066,1.36318,6.683e-06 
152,1.8,40,0.01,139,3.97004e-07,5.23282e-07,7.22469e-30,10.9034,0.758682,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.06637,-5.84504e-30,-3.97633e-13,17875.3,24726.1,2.17152,23.677,1.91727,20.9049,0.20573,0.0066,1.30541,6.683e-06 
153,1.8,40,0.01,139,3.72063e-07,5.9488e-07,8.21321e-30,12.3953,0.625442,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.539276,-2.7702e-30,3.6431e-13,26262.4,38210.5,1.75253,21.7231,1.58944,19.7016,0.706085,0.0066,1.37044,6.683e-06 
154,1.8,40,0.01,139,3.69584e-07,6.06809e-07,8.3779e-30,12.6439,0.609062,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.46803,-2.3882e-30,-2.31677e-13,27874.2,39024.5,1.70116,21.5092,1.55166,19.619,0.773336,0.0066,1.34279,6.683e-06 
155,1.8,40,0.01,139,3.7128e-07,5.5616e-07,7.67863e-30,11.5885,0.667577,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.715453,-3.66746e-30,4.69752e-13,21460.8,32269.4,1.88504,21.8448,1.68921,19.5754,0.539528,0.0066,1.32455,6.683e-06 
156,1.8,40,0.01,139,4.01358e-07,5.70682e-07,7.87913e-30,11.8911,0.703294,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.857574,-4.75212e-30,2.4055e-13,23186.2,33960.1,1.99749,23.7523,1.77665,21.1263,0.404731,0.0066,1.31366,6.683e-06 
157,1.8,40,0.01,139,3.84538e-07,5.91835e-07,8.17117e-30,12.3319,0.649738,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.64205,-3.40872e-30,1.00145e-12,25861.2,39226.4,1.82891,22.5538,1.64652,20.3047,0.608988,0.0066,1.40799,6.683e-06 
158,1.8,40,0.01,139,3.91222e-07,5.47504e-07,7.55912e-30,11.4082,0.714555,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.901126,-4.86734e-30,8.33167e-13,20474.3,31218,2.03289,23.1915,1.80474,20.5888,0.363306,0.0066,1.37775,6.683e-06 
159,1.8,40,0.01,139,3.66886e-07,5.26318e-07,7.26661e-30,10.9667,0.697081,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.833298,-4.221e-30,6.93069e-14,18188.3,26072.6,1.97792,21.6912,1.76125,19.3151,0.42778,0.0066,1.3103,6.683e-06 
160,1.8,40,0.01,139,3.88883e-07,5.07559e-07,7.00762e-30,10.5758,0.766182,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.09366,-5.87196e-30,-3.35283e-14,16312,23746.2,2.19503,23.2143,1.93678,20.4831,0.179632,0.0066,1.24725,6.683e-06 
161,1.8,40,0.01,139,3.7658e-07,5.37852e-07,7.42586e-30,11.207,0.700156,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.845335,-4.39511e-30,2.66971e-14,19410.4,28169.8,1.98759,22.275,1.76886,19.8237,0.416348,0.0066,1.28565,6.683e-06 
162,1.8,40,0.01,139,3.9833e-07,5.83095e-07,8.05051e-30,12.1497,0.68313,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.778103,-4.27921e-30,1.66096e-13,24732.3,35489.2,1.93401,23.4977,1.72697,20.9822,0.480162,0.0066,1.36973,6.683e-06 
163,1.8,40,0.01,139,3.83173e-07,6.15319e-07,8.4954e-30,12.8212,0.622724,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.527568,-2.79099e-30,6.79568e-13,29063.4,42914.2,1.74399,22.36,1.58313,20.2976,0.717135,0.0066,1.38928,6.683e-06 
164,1.8,40,0.01,139,3.67551e-07,5.82439e-07,8.04145e-30,12.1361,0.631055,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.563321,-2.85862e-30,1.08217e-13,24648.9,35474.7,1.77016,21.4828,1.60252,19.4483,0.683381,0.0066,1.33918,6.683e-06 
165,1.8,40,0.01,139,3.59428e-07,5.92383e-07,8.17874e-30,12.3433,0.606749,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.457833,-2.27197e-30,-5.43968e-14,25933.1,37059.8,1.69391,20.9084,1.54637,19.0873,0.782962,0.0066,1.30624,6.683e-06 
166,1.8,40,0.01,139,3.62565e-07,5.8528e-07,8.08067e-30,12.1953,0.619473,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.513501,-2.57046e-30,9.17545e-13,25011.4,37512.1,1.73379,21.144,1.57561,19.2149,0.730416,0.0066,1.40886,6.683e-06 
167,1.8,40,0.01,139,3.55195e-07,5.90314e-07,8.15017e-30,12.3002,0.601705,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.435476,-2.13557e-30,-4.14872e-13,25662.3,35165.5,1.67814,20.6414,1.53488,18.8792,0.804067,0.0066,1.33977,6.683e-06 
168,1.8,40,0.01,139,3.66826e-07,6.19649e-07,8.55519e-30,12.9114,0.591989,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.391929,-1.98496e-30,-7.53547e-13,29681.4,39676.7,1.64782,21.2757,1.51289,19.5336,0.845198,0.0066,1.35498,6.683e-06 
169,1.8,40,0.01,139,3.56999e-07,5.19002e-07,7.16561e-30,10.8143,0.687856,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.796911,-3.9279e-30,-2.69488e-13,17440.3,24474.1,1.94888,21.0757,1.73854,18.801,0.46232,0.0066,1.25297,6.683e-06 
170,1.8,40,0.01,139,3.78518e-07,5.62484e-07,7.76594e-30,11.7203,0.672939,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.737142,-3.85231e-30,2.93376e-13,22201.3,32246.5,1.90202,22.2923,1.70217,19.9499,0.519054,0.0066,1.34324,6.683e-06 
171,1.8,40,0.01,139,4.15538e-07,5.18168e-07,7.15409e-30,10.7969,0.801937,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.22064,-7.00299e-30,-1.90664e-13,17356.3,24697.9,2.30698,24.9081,2.03125,21.9312,0.0579136,0.0066,1.31839,6.683e-06 
172,1.8,40,0.01,139,3.65707e-07,5.95654e-07,8.2239e-30,12.4114,0.613958,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.489493,-2.47152e-30,-3.36757e-13,26365.1,36578,1.7165,21.3042,1.56289,19.3977,0.753081,0.0066,1.33315,6.683e-06 
173,1.8,40,0.01,139,3.75721e-07,6.08983e-07,8.40792e-30,12.6892,0.616965,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.50261,-2.60724e-30,-7.70269e-14,28174.9,39811,1.72592,21.9005,1.56982,19.9197,0.740697,0.0066,1.35839,6.683e-06 
174,1.8,40,0.01,139,3.80512e-07,5.99347e-07,8.27488e-30,12.4884,0.634878,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.579586,-3.04488e-30,-9.60861e-14,26858.4,38022.7,1.78218,22.2565,1.61146,20.1245,0.66802,0.0066,1.34826,6.683e-06 
