cyc,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
10,0.9,0.01,40,10,3.3342e-07,5.9793e-07,8.25533e-30,12.4589,0.557623,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.232264,-1.0692e-30,1.64578e-13,26668.5,37227.2,1.54173,19.2082,1.43677,17.9005,0.99655,0.0066,1.42615,6.683e-06 
11,0.9,40,0.01,11,3.42658e-07,5.5597e-07,7.676e-30,11.5846,0.616325,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.499821,-2.36461e-30,3.09942e-13,21438.8,31169.4,1.72391,19.9708,1.56834,18.1685,0.743329,0.0066,1.38512,6.683e-06 
12,0.9,0.01,40,12,3.41411e-07,5.24065e-07,7.2355e-30,10.9198,0.651468,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.649241,-3.06033e-30,7.27598e-14,17955.7,25670.2,1.83435,20.0306,1.65063,18.0245,0.602188,0.0066,1.34438,6.683e-06 
13,0.9,0.01,40,13,3.16851e-07,5.57268e-07,7.69392e-30,11.6116,0.568579,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.284186,-1.2432e-30,1.63894e-13,21589.3,30522.9,1.57532,18.292,1.46076,16.9617,0.947205,0.0066,1.36337,6.683e-06 
14,0.9,40,0.01,14,3.44008e-07,5.35441e-07,7.39257e-30,11.1568,0.642475,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.611665,-2.90513e-30,1.38171e-13,19150.6,27072.1,1.80609,20.1502,1.62933,18.1781,0.637732,0.0066,1.37513,6.683e-06 
15,0.9,0.01,40,15,3.43214e-07,5.22319e-07,7.2114e-30,10.8834,0.657096,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.672531,-3.18684e-30,9.97758e-14,17776.8,25280.7,1.85205,20.1566,1.66405,18.1105,0.580155,0.0066,1.3634,6.683e-06 
16,0.9,40,0.01,16,3.6172e-07,5.57537e-07,7.69763e-30,11.6172,0.648783,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.638069,-3.18658e-30,-1.13477e-14,21620.6,30904.1,1.8259,21.2119,1.64425,19.1016,0.612754,0.0066,1.3371,6.683e-06 
17,0.9,40,0.01,17,3.54613e-07,5.09594e-07,7.03571e-30,10.6182,0.695874,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.828556,-4.05658e-30,-2.62818e-13,16508.9,22895.9,1.97412,20.9617,1.75827,18.6697,0.432286,0.0066,1.31434,6.683e-06 
18,0.9,40,0.01,18,3.60531e-07,5.75e-07,7.93874e-30,11.9811,0.627011,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.546012,-2.71787e-30,1.73037e-13,23716.5,34342.4,1.75747,21.0563,1.59309,19.0869,0.699734,0.0066,1.33657,6.683e-06 
19,0.9,40,0.01,19,3.67461e-07,4.95716e-07,6.84411e-30,10.3291,0.741273,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.00218,-5.0844e-30,1.27533e-13,15196.6,21852.2,2.11686,21.8652,1.87242,19.3404,0.267029,0.0066,1.36113,6.683e-06 
20,1.05,0.01,40,20,3.22753e-07,5.79799e-07,8.005e-30,12.0811,0.556664,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.227674,-1.01453e-30,1.23802e-13,24315.3,34398.4,1.5388,18.5904,1.43468,17.3325,1.00092,0.0066,1.36596,6.683e-06 
21,1.05,0.01,40,21,3.24627e-07,5.64404e-07,7.79245e-30,11.7603,0.575168,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.314926,-1.41149e-30,2.77582e-13,22429.4,32174.5,1.59565,18.7653,1.47531,17.3501,0.918067,0.0066,1.39232,6.683e-06 
22,1.05,40,0.01,22,3.60119e-07,5.37797e-07,7.4251e-30,11.2059,0.669618,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.723746,-3.59845e-30,-1.04896e-13,19404.5,27037.7,1.89146,21.1955,1.69414,18.9843,0.531672,0.0066,1.36852,6.683e-06 
23,1.05,0.01,40,23,3.39703e-07,5.7323e-07,7.9143e-30,11.9442,0.592613,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.394747,-1.85141e-30,-2.40561e-13,23498.1,32483.3,1.64977,19.7051,1.5143,18.087,0.842534,0.0066,1.33991,6.683e-06 
24,1.05,40,0.01,24,3.43294e-07,5.22107e-07,7.20847e-30,10.879,0.657517,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.674262,-3.1958e-30,3.73245e-13,17755.2,26336.7,1.85338,20.1629,1.66505,18.1141,0.578519,0.0066,1.34561,6.683e-06 
