cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR
0,5,0.9,0.01,20,0,3.23573e-07,6.39143e-07,8.82434e-30,0.506261,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0257683,1.15118e-31,3.98838e-13,32571.8,47377.3,1.3877,18.4809,1.32791,17.6846,1.24403,0.0066,1.37078 
1,5,0.9,20,0.01,1,3.35167e-07,6.16244e-07,8.50817e-30,0.543887,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.165714,-7.66841e-31,3.94991e-13,29194.7,42424.9,1.49997,19.2603,1.40708,18.0675,1.06001,0.0066,1.41314 
2,5,0.9,20,0.01,2,3.47041e-07,5.88972e-07,8.13165e-30,0.589231,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.37945,-1.8181e-30,2.56943e-13,25487.7,37013.1,1.63924,20.117,1.50669,18.4904,0.856991,0.0066,1.36722 
3,5,0.9,0.01,20,3,3.23846e-07,6.18989e-07,8.54607e-30,0.523186,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0621122,-2.77715e-31,8.03271e-14,29586.6,41373.1,1.43782,18.5445,1.36312,17.5811,1.15931,0.0066,1.41116 
4,5,0.9,0.01,20,4,3.3096e-07,6.24386e-07,8.62059e-30,0.530057,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0969492,-4.43e-31,3.03076e-13,30367.3,43339.7,1.45835,18.9732,1.37761,17.9228,1.12585,0.0066,1.41382 
5,5,0.9,0.01,20,5,3.31213e-07,6.30911e-07,8.71068e-30,0.524975,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.071231,-3.25732e-31,4.54553e-13,31329.4,45378.5,1.44315,18.9718,1.36688,17.9692,1.15054,0.0066,1.39155 
6,5,0.9,20,0.01,6,3.36331e-07,6.47926e-07,8.94559e-30,0.519089,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0411123,-1.90907e-31,4.23495e-13,33933,48513,1.42563,19.2469,1.35454,18.2871,1.17952,0.0066,1.42925 
7,5,0.9,20,0.01,7,3.46822e-07,6.35446e-07,8.77329e-30,0.545793,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.175052,-8.38218e-31,3.37249e-13,32009.8,45782.9,1.50575,19.9369,1.41117,18.6847,1.05109,0.0066,1.42693 
8,5,0.9,20,0.01,8,3.35208e-07,6.24089e-07,8.61649e-30,0.537116,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.132277,-6.12187e-31,1.07336e-13,30324,42637.3,1.47954,19.2399,1.39259,18.1092,1.09199,0.0066,1.40692 
9,5,0.9,0.01,20,9,3.24729e-07,6.36879e-07,8.79307e-30,0.509876,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.00674555,3.02428e-32,4.94447e-13,32226.8,46843.8,1.39835,18.5567,1.33538,17.721,1.22565,0.0066,1.40112 
10,5,0.9,20,0.01,10,3.42409e-07,6.20341e-07,8.56474e-30,0.551969,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.205077,-9.69496e-31,9.9182e-14,29780.9,42340.1,1.52449,19.7053,1.4245,18.4128,1.02244,0.0066,1.37643 
11,5,0.9,0.01,20,11,3.2638e-07,6.39637e-07,8.83115e-30,0.510258,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.00473932,2.13562e-32,5.42091e-13,32647.3,46961.9,1.39948,18.6521,1.33617,17.8083,1.22371,0.0066,1.40988 
12,5,0.9,0.01,20,12,3.4631e-07,6.34668e-07,8.76255e-30,0.545656,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.174377,-8.33756e-31,2.61249e-13,31892.4,45855.9,1.50533,19.907,1.41088,18.6579,1.05173,0.0066,1.38145 
13,5,0.9,0.01,20,13,3.22896e-07,6.70226e-07,9.25348e-30,0.481772,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.158586,7.06986e-31,6.82418e-13,37558.7,54154.8,1.31644,18.3844,1.27815,17.8497,1.37303,0.0066,1.43905 
14,5,0.9,20,0.01,14,3.42063e-07,6.51039e-07,8.98858e-30,0.525411,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0734439,-3.46853e-31,2.48648e-13,34424.6,48609.3,1.44446,19.5948,1.3678,18.5549,1.14842,0.0066,1.40832 
15,5,0.9,0.01,20,15,3.20175e-07,6.33576e-07,8.74747e-30,0.505346,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0306016,1.35274e-31,3.2223e-13,31728,44888.3,1.38501,18.2844,1.32603,17.5057,1.2487,0.0066,1.44613 
16,5,0.9,0.01,20,16,3.36155e-07,6.23449e-07,8.60765e-30,0.539186,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.142542,-6.61553e-31,6.36158e-13,30230.8,44444.5,1.48578,19.3011,1.39701,18.148,1.08217,0.0066,1.41853 
17,5,0.9,20,0.01,17,3.25949e-07,6.53887e-07,9.02789e-30,0.498478,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.067205,3.02437e-31,4.30845e-13,34878.3,50823,1.36487,18.5961,1.31195,17.875,1.28412,0.0066,1.39446 
18,5,0.9,20,0.01,18,3.2926e-07,6.41373e-07,8.85512e-30,0.513368,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0115004,-5.22799e-32,3.8638e-13,32913.8,47129.4,1.40867,18.8256,1.34262,17.9429,1.20805,0.0066,1.42108 
19,5,0.9,20,0.01,19,3.37449e-07,6.88676e-07,9.50821e-30,0.489997,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.113176,5.27285e-31,2.75631e-13,40746.7,58197,1.34019,19.2313,1.2947,18.5786,1.32877,0.0066,1.41092 
20,2.5,1.8,0.01,20,20,3.20153e-07,6.24642e-07,8.62413e-30,0.512538,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.00717401,-3.17105e-32,8.11368e-13,30404.7,45542.8,1.40622,18.3025,1.3409,17.4524,1.21222,0.0066,1.39985 
21,2.5,1.8,20,0.01,21,3.33804e-07,6.36761e-07,8.79144e-30,0.524222,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0673947,-3.106e-31,1.56632e-13,32208.9,45135.1,1.44091,19.1179,1.3653,18.1147,1.15423,0.0066,1.43448 
22,2.5,1.8,20,0.01,22,3.38859e-07,5.68889e-07,7.85436e-30,0.59565,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.408419,-1.91077e-30,6.08641e-13,22968.3,34635.3,1.65923,19.6681,1.52115,18.0313,0.829618,0.0066,1.38395 
23,2.5,1.8,0.01,20,23,3.35512e-07,6.40119e-07,8.8378e-30,0.524141,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0669818,-3.10277e-31,3.61581e-13,32721.1,46801.4,1.44067,19.2155,1.36513,18.208,1.15463,0.0066,1.42755 
24,2.5,1.8,0.01,20,24,3.18121e-07,6.62665e-07,9.14909e-30,0.480063,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.168129,7.38448e-31,3.31846e-13,36301.9,51231.6,1.31153,18.1093,1.27473,17.6011,1.38235,0.0066,1.43136 
25,2.5,1.8,0.01,20,25,3.33044e-07,6.09479e-07,8.41477e-30,0.54644,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.178212,-8.19449e-31,1.65453e-13,28243.8,40251.4,1.5077,19.1471,1.41256,17.9388,1.04807,0.0066,1.40247 
26,2.5,1.8,20,0.01,26,3.57459e-07,6.32542e-07,8.7332e-30,0.565115,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.267883,-1.32207e-30,2.62245e-13,31572.9,45353.6,1.56467,20.6225,1.45314,19.1525,0.962683,0.0066,1.40849 
27,2.5,1.8,20,0.01,27,3.3063e-07,6.46398e-07,8.92449e-30,0.511496,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.00173478,-7.91901e-33,3.36562e-13,33693.5,48294.1,1.40314,18.8985,1.33874,18.0311,1.21747,0.0066,1.40742 
28,2.5,1.8,20,0.01,28,3.27272e-07,6.44304e-07,8.89559e-30,0.507947,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0168978,7.63523e-32,2.1294e-14,33367.2,46696.4,1.39269,18.6971,1.33139,17.8741,1.23548,0.0066,1.38572 
29,2.5,1.8,0.01,20,29,3.25102e-07,6.25588e-07,8.63719e-30,0.519674,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.044119,-1.98029e-31,4.3607e-13,30543.1,43791.5,1.42737,18.606,1.35576,17.6726,1.17662,0.0066,1.43556 
30,2.5,1.8,20,0.01,30,3.3176e-07,6.65278e-07,9.18517e-30,0.498678,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0661329,3.02918e-31,8.76245e-13,36733,55089.6,1.36546,18.9282,1.31236,18.1921,1.28309,0.0066,1.38431 
31,2.5,1.8,0.01,20,31,3.29476e-07,6.48261e-07,8.95022e-30,0.508246,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0153237,6.9706e-32,3.65806e-13,33985.7,48611.5,1.39358,18.8239,1.33201,17.9922,1.23397,0.0066,1.42176 
32,2.5,1.8,0.01,20,32,3.25559e-07,6.1406e-07,8.47802e-30,0.530175,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0975512,-4.38477e-31,3.24761e-13,28885.5,41157.9,1.4587,18.664,1.37785,17.6296,1.12527,0.0066,1.41979 
33,2.5,1.8,0.01,20,33,3.35176e-07,6.46515e-07,8.92611e-30,0.518436,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0377478,-1.74682e-31,1.1592e-13,33711.8,47736.3,1.42369,19.1788,1.35318,18.2289,1.18275,0.0066,1.39073 
34,2.5,1.8,20,0.01,34,3.51623e-07,5.74165e-07,7.92722e-30,0.612408,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.482716,-2.34344e-30,2.03826e-13,23613.3,34165.9,1.71164,20.4775,1.55933,18.6553,0.759474,0.0066,1.36566 
35,2.5,1.8,0.01,20,35,3.48479e-07,6.27504e-07,8.66363e-30,0.555342,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.221332,-1.06489e-30,2.5484e-13,30824.5,43852,1.53477,20.0672,1.43181,18.721,1.00696,0.0066,1.42274 
