cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR
0,5,1.5,0.01,40,0,3.58941e-07,6.3668e-07,8.79033e-30,0.563769,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.261515,-1.29599e-30,1.78278e-13,32196.7,46496.4,1.56055,20.7026,1.45019,19.2387,0.968733,0.0066,1.40333 
1,5,1.5,40,0.01,1,4.01266e-07,6.2689e-07,8.65515e-30,0.64009,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.601651,-3.33319e-30,1.36453e-13,30734.1,45404.1,1.79853,23.4929,1.6237,21.2093,0.647151,0.0066,1.36854 
2,5,1.5,40,0.01,2,3.89071e-07,6.09846e-07,8.41984e-30,0.637981,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.592724,-3.18394e-30,-1.78475e-13,28294.9,40369.7,1.79194,22.7704,1.61874,20.5696,0.655614,0.0066,1.33493 
3,5,1.5,0.01,40,3,3.42627e-07,6.38229e-07,8.81172e-30,0.53684,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.130902,-6.1923e-31,1.12786e-13,32432.3,46187.8,1.47871,19.6647,1.392,18.5117,1.09331,0.0066,1.39404 
4,5,1.5,0.01,40,4,3.60517e-07,6.02109e-07,8.31302e-30,0.598758,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.422341,-2.10219e-30,4.74503e-13,27231.5,41004.4,1.66893,20.9383,1.52819,19.1725,0.816469,0.0066,1.42599 
5,5,1.5,0.01,40,5,3.59196e-07,6.46039e-07,8.91954e-30,0.555997,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.224478,-1.11324e-30,-1.39015e-14,33637.4,47594.7,1.53677,20.6869,1.43324,19.2932,1.00396,0.0066,1.41764 
6,5,1.5,40,0.01,6,3.81354e-07,6.47673e-07,8.94211e-30,0.588806,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.377518,-1.98769e-30,-1.2357e-14,33893.4,48519,1.63791,22.1042,1.50573,20.3204,0.858818,0.0066,1.38391 
7,5,1.5,40,0.01,7,4.00635e-07,6.15157e-07,8.49317e-30,0.651273,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.648422,-3.58666e-30,3.96152e-13,29040.6,44668.4,1.83374,23.5045,1.65017,21.1515,0.602966,0.0066,1.32694 
8,5,1.5,40,0.01,8,3.9459e-07,6.0698e-07,8.38027e-30,0.650087,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.643504,-3.50575e-30,2.79215e-13,27897.8,42180.6,1.83,23.1448,1.64735,20.8347,0.607611,0.0066,1.35106 
9,5,1.5,0.01,40,9,3.43849e-07,6.5659e-07,9.06521e-30,0.523689,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0646749,-3.07034e-31,1.7541e-13,35312.6,49956.6,1.43932,19.6915,1.36418,18.6635,1.15685,0.0066,1.43289 
10,5,1.5,40,0.01,10,3.7511e-07,5.90594e-07,8.15404e-30,0.635139,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.580692,-3.00738e-30,-1.28103e-13,25698.9,36746.9,1.783,21.9416,1.61207,19.8382,0.666977,0.0066,1.32736 
11,5,1.5,0.01,40,11,3.66958e-07,6.37726e-07,8.80477e-30,0.575416,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.316075,-1.60136e-30,3.64169e-13,32355.6,47533.5,1.59643,21.2134,1.47586,19.6113,0.916986,0.0066,1.41655 
12,5,1.5,0.01,40,12,3.49374e-07,6.51762e-07,8.99856e-30,0.536046,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.126945,-6.12339e-31,-1.13255e-13,34539.3,48302.4,1.47632,20.0492,1.39031,18.8812,1.0971,0.0066,1.41769 
13,5,1.5,0.01,40,13,3.67018e-07,6.73294e-07,9.29584e-30,0.545108,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.171695,-8.70018e-31,-1.12894e-13,38076.9,53929.4,1.50367,21.0953,1.4097,19.7769,1.0543,0.0066,1.3972 
14,5,1.5,40,0.01,14,3.81272e-07,5.91851e-07,8.17139e-30,0.644203,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.618897,-3.25789e-30,1.10012e-14,25863.3,37794,1.81155,22.3404,1.63341,20.1435,0.630916,0.0066,1.31013 
15,5,1.5,0.01,40,15,3.56481e-07,6.6705e-07,9.20962e-30,0.534415,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.118823,-5.84819e-31,3.9007e-13,37027.2,53877,1.47142,20.4514,1.38684,19.2759,1.10488,0.0066,1.43346 
16,5,1.5,0.01,40,16,3.81854e-07,5.90462e-07,8.15221e-30,0.646703,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.629392,-3.31819e-30,4.15525e-13,25681.6,39299.8,1.81936,22.384,1.63932,20.169,0.620957,0.0066,1.37742 
17,5,1.5,40,0.01,17,4.11518e-07,5.94912e-07,8.21366e-30,0.691729,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.812236,-4.61482e-30,4.03715e-13,26266.7,40168.8,1.96107,24.3094,1.74805,21.6688,0.447775,0.0066,1.39577 
18,5,1.5,40,0.01,18,3.89002e-07,6.1856e-07,8.54015e-30,0.628883,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.554034,-2.97558e-30,9.5054e-14,29525.1,43414.6,1.76332,22.7269,1.59745,20.589,0.692141,0.0066,1.35823 
19,5,1.5,40,0.01,19,4.00419e-07,5.96656e-07,8.23773e-30,0.671106,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.72977,-4.03445e-30,1.5041e-13,26498.3,39446.2,1.89615,23.5736,1.69773,21.1067,0.525971,0.0066,1.34055 
20,5,1.5,0.01,40,20,3.48995e-07,5.97345e-07,8.24724e-30,0.584244,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.356742,-1.71893e-30,4.26156e-13,26590.2,39832.9,1.62374,20.2101,1.49551,18.6141,0.878464,0.0066,1.38853 
21,5,1.5,40,0.01,21,3.94665e-07,6.70942e-07,9.26336e-30,0.588226,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.374886,-2.04274e-30,1.82273e-13,37679.2,54926.8,1.63611,22.8731,1.50443,21.0322,0.861305,0.0066,1.39833 
22,5,1.5,40,0.01,22,4.10322e-07,6.07003e-07,8.38059e-30,0.675979,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.749454,-4.24574e-30,-7.40436e-14,27901,41109.9,1.91149,24.1764,1.70955,21.6222,0.507318,0.0066,1.31631 
23,5,1.5,0.01,40,23,3.52213e-07,6.6569e-07,9.19085e-30,0.529095,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0921057,-4.47894e-31,1.55046e-13,36801.3,52677.6,1.45547,20.1884,1.37557,19.0802,1.1305,0.0066,1.41513 
24,5,1.5,0.01,40,24,3.57339e-07,5.77481e-07,7.97299e-30,0.61879,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.510537,-2.51879e-30,-4.51076e-14,24024.8,34237.5,1.73165,20.8365,1.57403,18.9399,0.733214,0.0066,1.37834 
25,5,1.5,0.01,40,25,3.58124e-07,5.99804e-07,8.2812e-30,0.597068,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.414776,-2.05084e-30,2.38429e-13,26920,39477.6,1.66366,20.7922,1.52436,19.0513,0.823614,0.0066,1.38889 
26,5,1.5,40,0.01,26,3.98228e-07,5.63547e-07,7.78061e-30,0.706646,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.8706,-4.78668e-30,3.23184e-13,22327.3,34601.9,2.00801,23.5789,1.78498,20.96,0.392337,0.0066,1.29919 
27,5,1.5,40,0.01,27,3.92413e-07,6.03675e-07,8.33464e-30,0.650041,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.643315,-3.48539e-30,-2.67403e-13,27444.5,38911.8,1.82986,23.017,1.64724,20.7199,0.607789,0.0066,1.347 
28,5,1.5,40,0.01,28,3.90363e-07,6.17893e-07,8.53094e-30,0.631766,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.566349,-3.05237e-30,4.34523e-13,29429.7,45270.3,1.77239,22.8192,1.60418,20.6535,0.680521,0.0066,1.33544 
29,5,1.5,0.01,40,29,3.52158e-07,6.10988e-07,8.43561e-30,0.576375,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.320532,-1.55845e-30,1.99863e-13,28454.1,41175.1,1.59936,20.3614,1.47798,18.8161,0.912742,0.0066,1.38398 
30,5,1.5,40,0.01,30,4.16488e-07,6.31702e-07,8.7216e-30,0.659311,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.681652,-3.91966e-30,-1.09082e-13,31447.3,46045.8,1.85902,24.4695,1.66935,21.9729,0.571524,0.0066,1.34559 
31,5,1.5,0.01,40,31,3.69343e-07,5.795e-07,8.00086e-30,0.637348,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.590051,-3.00886e-30,2.06592e-13,24277.6,35727.8,1.78994,21.6132,1.61726,19.5281,0.658136,0.0066,1.37884 
32,5,1.5,0.01,40,32,3.56809e-07,6.2742e-07,8.66248e-30,0.568691,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.284711,-1.40257e-30,2.43514e-13,30812.2,44699.4,1.57567,20.5992,1.461,19.1002,0.946707,0.0066,1.42108 
33,5,1.5,0.01,40,33,3.5858e-07,6.10459e-07,8.4283e-30,0.587395,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.371111,-1.83727e-30,1.89153e-13,28380.2,41432.5,1.63352,20.7783,1.50256,19.1125,0.864874,0.0066,1.41067 
34,5,1.5,40,0.01,34,4.03532e-07,6.29338e-07,8.68896e-30,0.6412,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.606314,-3.378e-30,5.11737e-14,31095.6,45336.6,1.80204,23.6307,1.62632,21.3264,0.642762,0.0066,1.37824 
35,5,1.5,0.01,40,35,3.4434e-07,6.3347e-07,8.746e-30,0.543577,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.164195,-7.80602e-31,3.05726e-13,31712.1,46287.5,1.49903,19.7863,1.40641,18.5638,1.06146,0.0066,1.41319 
36,5,1.5,0.01,40,36,3.57397e-07,6.5083e-07,8.98569e-30,0.54914,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.191367,-9.44281e-31,1.28228e-13,34391.4,49136,1.5159,20.5572,1.41838,19.2349,1.03552,0.0066,1.38513 
37,5,1.5,40,0.01,37,4.08351e-07,6.0603e-07,8.36715e-30,0.673813,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.740662,-4.17578e-30,4.72859e-13,27767,43487.6,1.9048,24.0531,1.70429,21.5212,0.515735,0.0066,1.30323 
38,5,1.5,40,0.01,38,3.88798e-07,6.34511e-07,8.76037e-30,0.612752,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.48422,-2.59926e-30,-1.6818e-14,31868.6,46107.6,1.71271,22.6439,1.56012,20.6265,0.758055,0.0066,1.34659 
