cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,2.49,2.51,0,15800.1,0,5,101,125,0,5,135,-13.2863,-10.9744,-25.858,-13.6304,-19.5324,543.847,-78.922,33011.9,-78.9568,16439.4,-15.3877,-13.0757,-30.0607,-15.7318,-21.6337,0.686507,-110.704,30628.2,-110.739,0.454468,-0.00206968,1.00197,-243.592,424.342,489.335,0.463324,43918.7,9.37198e-07,0.486216,111.801,86.1203,23.2517,24.7277,0.940311,491.445,566.212,0.562854 
1,4.99,0.01,1,11093.6,0,5,101,125,0,5,135,-16.7828,-9.88159,-25.0441,-16.1768,-12.7375,529.898,-72.4421,29186.5,-83.3638,16439.4,-18.8302,-11.929,-29.1389,-18.2242,-14.785,0.686365,-103.409,26863.9,-114.331,0.429786,-0.00220449,1.00232,-240.607,405.786,463.44,0.471008,39701.9,9.0619e-07,0.478549,111.85,86.4406,22.6689,23.9983,0.944607,467.12,533.301,0.550784 
2,1.49,3.51,2,13788.1,0,5,101,125,0,5,135,-16.306,-14.1918,-27.9811,-17.9716,-9.04159,643.569,-64.6392,32516.1,-52.135,16439.4,-18.7927,-16.6784,-32.9544,-20.4583,-11.5282,0.671808,-102.249,29695.3,-89.7452,0.487033,-0.00197147,1.00164,-209.944,455.483,505.496,0.516414,44201.1,9.39203e-07,0.510899,112.044,86.4234,23.6922,24.7275,0.958134,510.244,566.203,0.572289 
3,2.99,2.01,3,9870.32,0,5,101,125,0,5,135,-15.3769,-4.68974,-25.0239,-16.4292,-12.1429,495.172,-59.6879,27339.6,-94.8802,16439.4,-17.2902,-6.60298,-28.8504,-18.3424,-14.0562,0.66115,-88.6257,25169.2,-123.818,0.373621,-0.00201617,1.00268,-237.207,420.084,480.293,0.560098,37826.2,8.91688e-07,0.503742,112.094,86.4654,22.5233,23.8516,0.94431,461.135,526.8,0.552744 
4,4.49,0.51,4,13735.5,0,5,101,125,0,5,135,-15.9971,-17.8119,-31.9077,-16.1249,-12.5932,527.057,-70.1457,31764.1,-73.9636,16439.4,-18.0336,-19.8483,-35.9806,-18.1613,-14.6297,0.66264,-100.947,29454,-104.765,0.445358,-0.00196228,1.00193,-226.665,431.564,496.738,0.50486,42815.9,9.29288e-07,0.498237,112.038,86.4384,23.1343,24.5853,0.94098,486.493,559.71,0.561526 
5,3.49,1.51,5,14435.5,0,5,101,125,0,5,135,-19.8942,-8.96056,-20.1621,-13.8139,-8.22401,492.993,-57.5645,32059.8,-89.8733,16439.4,-21.7991,-10.8654,-23.9717,-15.7187,-10.1288,0.709376,-86.375,29899,-118.684,0.37752,-0.00165353,1.00216,-228.796,428.982,493.825,0.471155,43181.6,9.31926e-07,0.493883,111.87,86.3367,23.3065,24.7675,0.941013,493.766,568.037,0.568287 
6,3.99,1.01,6,14511,0,5,101,125,0,5,135,-19.23,-14.2177,-27.0339,-4.13636,-13.1846,511.24,-57.5459,32068.3,-76.2177,16439.4,-21.2053,-16.193,-30.9846,-6.11169,-15.16,0.654401,-87.4228,29827.6,-106.095,0.407117,-0.00167763,1.00193,-214.736,421.935,481.292,0.473171,43091,9.31273e-07,0.483894,111.296,86.3386,23.0985,24.4462,0.944867,484.989,553.397,0.556297 
7,0.49,4.51,7,13526.8,0,5,101,125,0,5,135,-13.6066,-9.23957,-19.3439,-20.1577,-11.6294,616.345,-50.7639,32001.8,-83.1941,16439.4,-15.9881,-11.621,-24.1068,-22.5391,-14.0109,0.726884,-86.7831,29300.4,-119.213,0.377582,-0.00169535,1.00221,-229.839,404.036,443.674,0.403245,43091.8,9.3128e-07,0.454634,111.575,86.9278,23.2747,24.1661,0.963115,492.418,540.785,0.554114 
8,0.99,4.01,8,12785.6,0,5,101,125,0,5,135,-15.842,-15.5635,-28.6761,-12.9519,-15.183,551.491,-52.4913,31307.1,-70.8104,16439.4,-17.9728,-17.6943,-32.9378,-15.0827,-17.3139,0.673888,-84.7205,28889.9,-103.04,0.406591,-0.00167854,1.00194,-208.368,401.986,462.044,0.426924,42157.3,9.24498e-07,0.466166,111.794,86.2746,22.9667,24.3843,0.941865,479.472,550.596,0.555766 
9,0.01,4.99,9,11894.4,0,5,101,125,0,5,135,-17.3644,-12.0293,-25.1876,-22.2804,-13.595,586.255,-75.0997,30259.6,-87.3463,16439.4,-19.6296,-14.2945,-29.7179,-24.5455,-15.8602,0.714382,-109.36,27690,-121.607,0.428379,-0.00226193,1.00239,-255.289,419.691,475.643,0.514625,40969.4,9.15732e-07,0.487907,111.525,86.0119,22.7561,23.9844,0.948789,470.718,532.683,0.546823 
