cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
0,7,1.8,10,0.01,0,4.67308e-07,7.61105e-07,1.05082e-29,15.8589,0.613986,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.489618,-3.15896e-30,4.80644e-13,39356.5,59696.1,1.71659,27.2232,1.56296,24.7868,0.752964,0.0066,1.36084,3.7 
1,7,1.8,0.01,10,1,4.2741e-07,7.60766e-07,1.05035e-29,15.8518,0.561816,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.252257,-1.48858e-30,4.53625e-13,39303.8,58831.9,1.55456,24.6426,1.44592,22.9204,0.977532,0.0066,1.36751,3.7 
2,7,1.8,10,0.01,2,4.66458e-07,8.33003e-07,1.15009e-29,17.357,0.559971,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.243482,-1.56806e-30,4.56433e-13,51596.7,76290.4,1.54892,26.8845,1.44189,25.0269,0.985879,0.0066,1.40997,3.7 
3,7,1.8,0.01,10,3,4.16806e-07,8.24256e-07,1.13801e-29,17.1747,0.505676,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,0.0288595,1.66076e-31,5.87005e-13,49988.2,73012.4,1.38598,23.8039,1.32671,22.7859,1.24701,0.0066,1.4269,3.7 
4,7,1.8,10,0.01,4,4.74999e-07,7.46127e-07,1.03014e-29,15.5468,0.636619,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.586973,-3.84941e-30,3.14607e-13,37078.3,56033.4,1.78765,27.7921,1.61554,25.1165,0.66104,0.0066,1.34111,3.7 
5,7,1.8,10,0.01,5,4.63906e-07,8.21318e-07,1.13395e-29,17.1135,0.564831,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.266538,-1.70715e-30,1.00911e-12,49455.6,75439,1.56381,26.7622,1.45252,24.8578,0.963962,0.0066,1.378,3.7 
6,7,1.8,10,0.01,6,4.66015e-07,7.51601e-07,1.0377e-29,15.6609,0.620029,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.515914,-3.31941e-30,5.61443e-13,37900.5,57955.5,1.73554,27.18,1.57689,24.6955,0.728139,0.0066,1.32823,3.7 
7,7,1.8,0.01,10,7,4.18238e-07,8.06837e-07,1.11396e-29,16.8118,0.518368,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.0373957,-2.15938e-31,9.63596e-13,46885.5,70284.8,1.42349,23.9314,1.35303,22.7469,1.18309,0.0066,1.43398,3.7 
8,7,1.8,10,0.01,8,4.66619e-07,7.69791e-07,1.06281e-29,16.0399,0.606163,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.455243,-2.93285e-30,5.59874e-13,40719.3,61789.6,1.69208,27.1408,1.54503,24.7821,0.785407,0.0066,1.36902,3.7 
9,7,1.8,10,0.01,9,4.75778e-07,8.22835e-07,1.13605e-29,17.1451,0.578218,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.329056,-2.16151e-30,5.36282e-13,49730.1,75073.5,1.60506,27.519,1.48208,25.4104,0.904668,0.0066,1.38635,3.7 
