cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR
10,5,0.9,20,0.01,10,4.01651e-07,7.27275e-07,1.00411e-29,0.552269,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.206523,-1.14525e-30,6.2608e-14,34338.2,48566.7,1.52541,23.116,1.42515,21.5966,1.02106,0.0066,1.38843 
11,5,0.9,0.01,20,11,3.94119e-07,6.34333e-07,8.75793e-30,0.621312,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.521469,-2.83752e-30,5.73268e-13,22784.2,33862.1,1.73956,22.9924,1.57986,20.8816,0.722893,0.0066,1.35326 
12,5,0.9,0.01,20,12,3.99554e-07,6.58632e-07,9.0934e-30,0.606643,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.457362,-2.52302e-30,5.21397e-13,25504.1,37620.1,1.69358,23.2422,1.54613,21.2186,0.783407,0.0066,1.33324 
13,5,0.9,0.01,20,13,3.78935e-07,7.26796e-07,1.00345e-29,0.521377,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0528635,-2.7657e-31,4.41191e-13,34270.4,48358.1,1.43244,21.6928,1.35933,20.5857,1.16821,0.0066,1.41711 
14,5,0.9,20,0.01,14,3.89343e-07,6.79352e-07,9.37947e-30,0.57311,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.305378,-1.64155e-30,1.76035e-13,27987.6,39860.6,1.58927,22.4967,1.47075,20.8191,0.927093,0.0066,1.3455 
15,5,0.9,0.01,20,15,3.77952e-07,6.87149e-07,9.48713e-30,0.55003,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.195684,-1.02112e-30,3.45016e-13,28962.4,41225.8,1.5186,21.7431,1.4203,20.3357,1.0314,0.0066,1.38637 
16,5,0.9,0.01,20,16,4.06274e-07,6.56018e-07,9.05731e-30,0.619303,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.512767,-2.87622e-30,3.80976e-13,25201.6,36510.9,1.73326,23.6922,1.57521,21.5319,0.731109,0.0066,1.36904 
17,5,0.9,20,0.01,17,4.13362e-07,6.81952e-07,9.41537e-30,0.606145,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.455161,-2.59764e-30,3.79433e-13,28310.2,40959.3,1.69202,24.043,1.54499,21.9537,0.785484,0.0066,1.35311 
18,5,0.9,20,0.01,18,3.91255e-07,7.01226e-07,9.68147e-30,0.557958,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.233874,-1.26335e-30,-1.1328e-13,30779,42260.3,1.54276,22.5415,1.4375,21.0036,0.995017,0.0066,1.40117 
19,5,0.9,20,0.01,19,3.98745e-07,6.30272e-07,8.70185e-30,0.632655,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.570135,-3.13875e-30,2.53296e-13,22349.4,31974.7,1.77519,23.3131,1.60626,21.0946,0.676947,0.0066,1.39966 
20,2.5,1.8,0.01,20,20,4.0813e-07,6.40734e-07,8.8463e-30,0.636973,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.588468,-3.31593e-30,-8.89216e-14,23480.9,33088.8,1.78876,23.8813,1.61638,21.5798,0.65963,0.0066,1.36318 
21,2.5,1.8,20,0.01,21,4.12159e-07,6.66577e-07,9.20309e-30,0.618322,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.508505,-2.89364e-30,-2.552e-13,26438.2,36855.1,1.73018,24.0308,1.57295,21.847,0.735132,0.0066,1.35542 
22,2.5,1.8,20,0.01,22,4.12806e-07,6.23587e-07,8.60955e-30,0.661986,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.692626,-3.94755e-30,3.97471e-13,21645.7,32391.4,1.86745,24.2646,1.67576,21.7739,0.561141,0.0066,1.31043 
23,2.5,1.8,0.01,20,23,3.91107e-07,6.18566e-07,8.54024e-30,0.632279,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.568537,-3.07e-30,6.99973e-13,21127.1,31778.6,1.774,22.8649,1.60538,20.6915,0.678454,0.0066,1.36974 
24,2.5,1.8,0.01,20,24,4.19593e-07,6.36513e-07,8.78803e-30,0.659205,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.681213,-3.94634e-30,3.88752e-15,23019.9,32780.2,1.85869,24.6514,1.66909,22.1369,0.57194,0.0066,1.33131 
25,2.5,1.8,0.01,20,25,4.00808e-07,6.91517e-07,9.54743e-30,0.579606,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.335456,-1.85633e-30,3.01766e-13,29518.2,42016.4,1.60936,23.1891,1.48517,21.3996,0.898608,0.0066,1.40104 
26,2.5,1.8,20,0.01,26,4.31022e-07,6.08647e-07,8.40329e-30,0.708164,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.876484,-5.21587e-30,4.11362e-13,20127,30335.5,2.01278,25.5264,1.78876,22.6854,0.386741,0.0066,1.34107 
27,2.5,1.8,20,0.01,27,3.98912e-07,6.49084e-07,8.96159e-30,0.614576,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.492199,-2.71082e-30,9.68308e-14,24411,35155.7,1.71843,23.2413,1.56431,21.1569,0.750523,0.0066,1.34713 
28,2.5,1.8,20,0.01,28,3.8796e-07,6.47419e-07,8.9386e-30,0.59924,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.42449,-2.27372e-30,6.00549e-13,24223.6,35503,1.67044,22.5343,1.52928,20.63,0.814441,0.0066,1.39897 
30,2.5,1.8,20,0.01,30,4.39403e-07,5.76767e-07,7.96314e-30,0.761838,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.07789,-6.53912e-30,4.33477e-13,17127.1,26072.5,2.18141,26.216,1.92547,23.1401,0.194718,0.0066,1.33878 
31,2.5,1.8,0.01,20,31,3.91574e-07,6.45205e-07,8.90802e-30,0.606898,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.45849,-2.47872e-30,6.86914e-13,23975.9,35744.7,1.69438,22.7791,1.54671,20.7938,0.782342,0.0066,1.34766 
32,2.5,1.8,0.01,20,32,4.00182e-07,6.3119e-07,8.71453e-30,0.634011,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.575904,-3.18193e-30,2.56644e-13,22447.2,33066.9,1.77945,23.4031,1.60943,21.167,0.671498,0.0066,1.35571 
33,2.5,1.8,0.01,20,33,4.03055e-07,6.93498e-07,9.57478e-30,0.581191,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.342752,-1.90734e-30,6.42061e-13,29772.6,43382,1.61427,23.3265,1.4887,21.5119,0.891701,0.0066,1.39289 
34,2.5,1.8,20,0.01,34,3.80003e-07,7.28165e-07,1.00534e-29,0.521864,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0553551,-2.90421e-31,6.93561e-13,34464.5,49561.8,1.43388,21.7557,1.36035,20.64,1.16581,0.0066,1.39941 
35,2.5,1.8,0.01,20,35,3.83884e-07,6.61583e-07,9.13415e-30,0.580251,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.338429,-1.79371e-30,8.23839e-13,25848.5,37946.4,1.61136,22.2128,1.4866,20.4931,0.895794,0.0066,1.41097 
36,2.5,1.8,0.01,20,36,4.14689e-07,5.84708e-07,8.07278e-30,0.709225,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.880582,-5.0417e-30,2.99967e-13,17844.3,26823.3,2.01612,24.5632,1.79141,21.8254,0.382847,0.0066,1.2822 
37,2.5,1.8,20,0.01,37,3.79715e-07,6.89043e-07,9.51328e-30,0.551075,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.200751,-1.05245e-30,1.93528e-13,29202.6,40525.7,1.52178,21.8487,1.42256,20.4242,1.02657,0.0066,1.44976 
38,2.5,1.8,20,0.01,38,3.94713e-07,7.03372e-07,9.71111e-30,0.561171,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.249193,-1.358e-30,3.45233e-14,31062.6,43015.5,1.55259,22.7546,1.44451,21.1706,0.980445,0.0066,1.40096 
39,2.5,1.8,20,0.01,39,4.02438e-07,7.13668e-07,9.85325e-30,0.563901,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.26214,-1.45652e-30,4.65016e-13,32446.6,46287,1.56095,23.212,1.45048,21.5693,0.96814,0.0066,1.4078 
40,1,1.8,0.01,20,40,3.84305e-07,6.60302e-07,9.11647e-30,0.582014,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.346526,-1.83864e-30,2.9187e-13,25698.7,36479.8,1.61682,22.245,1.49053,20.5074,0.888129,0.0066,1.42726 
41,1,1.8,20,0.01,41,4.03264e-07,6.69334e-07,9.24116e-30,0.602486,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.438948,-2.44392e-30,2.60469e-13,26767.6,38436.7,1.68058,23.4385,1.53665,21.4312,0.800789,0.0066,1.38764 
42,1,1.8,20,0.01,42,3.98359e-07,6.54632e-07,9.03817e-30,0.608523,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.465656,-2.56108e-30,7.76841e-13,25042.2,37174.8,1.69947,23.1813,1.55043,21.1483,0.775577,0.0066,1.39694 
43,1,1.8,0.01,20,43,3.91879e-07,7.04764e-07,9.73033e-30,0.556042,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.224693,-1.2157e-30,4.76763e-13,31247.3,44720.8,1.53691,22.5693,1.43333,21.0484,1.00376,0.0066,1.42234 
44,1,1.8,0.01,20,44,3.90446e-07,7.0267e-07,9.70141e-30,0.55566,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.222859,-1.20136e-30,3.61016e-13,30969.6,44328.5,1.53574,22.4852,1.4325,20.9737,1.0055,0.0066,1.38634 
45,1,1.8,0.01,20,45,4.09913e-07,6.88282e-07,9.50277e-30,0.59556,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.408013,-2.30914e-30,4.12784e-13,29105.9,41905.8,1.65895,23.7918,1.52095,21.8127,0.830001,0.0066,1.38 
46,1,1.8,20,0.01,46,4.35761e-07,6.63524e-07,9.16095e-30,0.656738,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.671054,-4.03729e-30,5.16372e-14,26076.7,37728.2,1.85093,25.5902,1.66319,22.9947,0.581553,0.0066,1.33845 
47,1,1.8,20,0.01,47,3.95979e-07,7.06133e-07,9.74923e-30,0.560771,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.247288,-1.35194e-30,2.56402e-14,31429.8,43983.2,1.55136,22.8258,1.44364,21.2409,0.982257,0.0066,1.39426 
48,1,1.8,20,0.01,48,4.05522e-07,6.16193e-07,8.50747e-30,0.658109,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.67671,-3.7888e-30,9.18863e-13,20884.9,32542.4,1.85524,23.8202,1.66647,21.3965,0.576199,0.0066,1.30115 
49,1,1.8,0.01,20,49,3.95372e-07,6.92149e-07,9.55616e-30,0.571223,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.296567,-1.61887e-30,6.22895e-13,29599.3,43629.2,1.58346,22.8368,1.46659,21.1512,0.935458,0.0066,1.37901 
