cyc,freq,amplitude,time,waittime,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,EkHz,tof,AR
253,115,0.25,0.1,10.9,3.45876e-07,7.02637e-07,9.70096e-30,0.492254,0.100863,6.05983e-13,30965.3,39913.7,1.34675,19.7172,0.0066,1.47909 
254,115,0.25,3,8,3.50826e-07,7.0106e-07,9.67918e-30,0.500422,0.0568066,-3.9314e-13,30757.2,38490,1.37058,20.0211,0.0066,1.44399 
255,115,0.25,9,2,3.60141e-07,6.7059e-07,9.2585e-30,0.537051,-0.131954,-2.98498e-13,26918.6,32971.5,1.47935,20.6707,0.0066,1.4239 
256,115,0.25,8,3,3.53831e-07,6.9987e-07,9.66276e-30,0.505567,0.0294351,-3.71358e-13,30600.9,37929.7,1.38566,20.207,0.0066,1.40806 
257,115,0.25,7,4,3.48788e-07,7.21052e-07,9.95521e-30,0.483721,0.147748,1.88946e-15,33464.3,41442.3,1.32205,19.8629,0.0066,1.40679 
258,115,0.25,1,10,3.3138e-07,7.04945e-07,9.73283e-30,0.470079,0.224649,4.17596e-14,31271.4,39233.1,1.28303,18.8461,0.0066,1.44752 
259,115,0.25,6,5,3.42633e-07,7.29882e-07,1.00771e-29,0.469436,0.228339,-1.65161e-14,34708.8,43153.4,1.2812,19.4849,0.0066,1.43104 
260,115,0.25,4,7,3.42236e-07,7.26359e-07,1.00285e-29,0.471167,0.218427,-3.17853e-13,34208.6,41946.1,1.28612,19.4653,0.0066,1.42074 
261,115,0.25,10,1,3.57482e-07,7.4484e-07,1.02836e-29,0.479944,0.168795,-2.78518e-13,36886.8,45528.5,1.31119,20.3496,0.0066,1.43893 
262,115,0.25,2,9,3.28703e-07,7.08686e-07,9.78448e-30,0.46382,0.260779,3.91854e-13,31772,40040.9,1.26532,18.6846,0.0066,1.45654 
263,115,0.25,5,6,3.51896e-07,7.04745e-07,9.73007e-30,0.499324,0.0626769,-4.37918e-14,31244.8,38745.8,1.36735,20.0789,0.0066,1.42073 
264,115,0.25,5,6,3.59043e-07,7.23999e-07,9.9959e-30,0.495916,0.0810076,-9.89461e-13,33876.3,40748.3,1.3574,20.4773,0.0066,1.44898 
265,115,0.25,5,6,3.40436e-07,7.29452e-07,1.00712e-29,0.466701,0.24408,-3.4586e-13,34647.5,42115.1,1.27346,19.3557,0.0066,1.44743 
266,115,0.25,5,6,3.55521e-07,6.63125e-07,9.15544e-30,0.53613,-0.127371,1.0686e-13,26029.6,32358.4,1.47658,20.4023,0.0066,1.45728 
