cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
12,4.99,0.01,12,16694.9,0,5,101,125,0,5,135,-8.069,-9.67644,-15.8201,-9.61257,-12.9962,372.141,-38.3111,30381.7,-48.2753,16439.4,-9.50688,-11.1143,-18.6959,-11.0504,-14.4341,0.71149,-60.059,28750.6,-70.0232,0.416825,-0.00119512,1.00132,-144.087,607.926,661.603,0.667299,42203.8,9.24838e-07,0.685738,111.706,86.3897,26.6499,27.5411,0.967642,645.592,702.385,0.728117 
13,1.49,3.51,13,17363.1,0,5,101,125,0,5,135,-8.15583,-9.2681,-18.9823,-10.2534,-12.7624,365.39,-57.9088,32187,-39.1341,16439.4,-9.56763,-10.6799,-21.8059,-11.6652,-14.1742,0.678818,-79.2622,30585.5,-60.4874,0.521987,-0.00148305,1.00107,-151.847,573.961,615.744,0.687136,44465.8,9.41074e-07,0.63171,111.868,86.3518,25.8272,26.5104,0.974226,606.343,650.797,0.667511 
14,2.99,2.01,14,17992.6,0,5,101,125,0,5,135,-12.0944,-1.78638,-21.1324,-12.9002,-11.3351,358.252,-28.6233,31684.1,-52.9188,16439.4,-13.4786,-3.1706,-23.9008,-14.2844,-12.7194,0.646196,-49.5595,30113.9,-73.855,0.358645,-0.000941307,1.00133,-138.185,594.985,612.931,0.675428,43677.7,9.35481e-07,0.645541,112.242,86.5736,26.3332,26.4909,0.994049,630.338,649.837,0.684154 
16,3.49,1.51,16,14059.2,0,5,101,125,0,5,135,-5.22406,-9.12382,-19.0858,-14.746,-9.18065,358.765,-26.8922,28174,-56.5531,16439.4,-6.61025,-10.51,-21.8582,-16.1322,-10.5668,0.667189,-47.8584,26601.6,-77.5193,0.339707,-0.0010291,1.00158,-140.882,591.331,613.074,0.615282,39521.6,9.04816e-07,0.665444,111.849,87.1597,26.4588,26.7101,0.990591,636.365,660.639,0.716597 
17,3.99,1.01,17,14111.9,0,5,101,125,0,5,135,-8.08907,-9.86886,-17.629,-6.98999,-15.893,341.035,-51.7068,28293.5,-57.1942,16439.4,-9.40677,-11.1866,-20.2643,-8.30768,-17.2107,0.694704,-71.6369,26798.7,-77.1243,0.436315,-0.00152985,1.00156,-164.186,582.763,639.07,0.64922,39489.9,9.04573e-07,0.674647,112.183,86.4329,26.1469,27.1432,0.963295,621.448,682.234,0.719823 
18,0.49,4.51,18,15574.9,0,5,101,125,0,5,135,-3.72233,-7.153,-14.5402,-12.0877,-8.46279,364.171,-32.7537,29562.9,-48.7528,16439.4,-5.12942,-8.56009,-17.3543,-13.4947,-9.86987,0.681036,-54.0359,27966.8,-70.035,0.391344,-0.0011053,1.00136,-138.078,507.525,537.343,0.460224,40614.8,9.13082e-07,0.571932,111.642,87.2767,25.4565,25.9813,0.979804,589.066,625.076,0.664567 
19,0.99,4.01,19,14242.2,0,5,101,125,0,5,135,-7.28064,-12.1371,-19.8159,-11.643,-8.0173,380.536,-52.9304,28383.9,-60.4728,16439.4,-8.75096,-13.6075,-22.7565,-13.1133,-9.48762,0.663941,-75.1689,26716,-82.7113,0.430959,-0.00161038,1.00168,-174.423,558.703,602.185,1.01222,39508.3,9.04714e-07,0.641128,111.363,86.9203,25.021,25.7399,0.972068,569.081,613.518,0.653115 
20,0.01,4.99,20,12980.3,0,5,101,125,0,5,135,-5.48656,-9.11414,-23.693,-5.51001,-2.88822,406.781,-44.0276,27284.8,-62.3279,16439.4,-7.05828,-10.6859,-26.8364,-7.08173,-4.45994,0.521822,-67.7999,25501.9,-86.1002,0.396212,-0.00152153,1.00184,-171.12,550.412,538.479,0.694337,38002.3,8.93069e-07,0.609597,111.863,87.0293,25.2681,24.7686,1.02017,580.379,568.089,0.642952 
21,1.99,3.01,21,15234.5,0,5,101,125,0,5,135,-15.7899,-7.7481,-12.9169,-6.97373,-9.6107,426.348,-45.5652,30035.4,-44.5409,16439.4,-17.4372,-9.39543,-16.2115,-8.62105,-11.258,0.74236,-70.481,28166.7,-69.4567,0.458177,-0.00143192,1.00134,-153.829,571.689,595.852,0.619795,41933.1,9.22856e-07,0.632434,112.152,86.6933,25.997,26.3062,0.988244,614.343,640.811,0.679886 
22,2.49,2.51,22,12470.6,0,5,101,125,0,5,135,-6.94631,-11.092,-20.8611,-4.97464,-8.54125,365.001,-34.6222,27100.8,-59.2317,16439.4,-8.35661,-12.5023,-23.6817,-6.38493,-9.95154,0.610992,-55.9529,25501,-80.5623,0.366597,-0.00125537,1.00172,-152.628,583.543,631.38,6.67964e+10,38212.9,8.94716e-07,0.678417,111.648,86.6053,25.337,26.112,0.97032,583.547,631.383,0.67842 
23,4.99,0.01,23,16926.9,0,5,101,125,0,5,135,-9.00224,-5.72467,-18.0296,-4.02735,-9.83739,361.799,-24.1579,30499.6,-35.1541,16439.4,-10.4002,-7.12258,-20.8255,-5.42527,-11.2353,0.621416,-45.3014,28913.8,-56.2976,0.4014,-0.000896102,1.00106,-112.858,562.726,586.2,0.440275,41918,9.22745e-07,0.622428,111.795,86.6224,27.0504,27.3703,0.988313,665.14,693.698,0.736139 
