cyc,amp (Vpp),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
34,1.6,34,18052.1,0,5,101,125,0,5,135,-10.1281,-3.1443,-7.87752,-6.12589,-5.87401,-46.1283,0.968483,24514,1.90715,16439.4,-9.94989,-2.96607,-7.52106,-5.94766,-5.69578,0.765556,3.66422,24716.1,4.60288,0.398819,8.47084e-05,0.999899,9.18768,470.209,581.319,0.695327,32875.6,8.50955e-07,0.614393,109.85,83.9747,23.358,25.7326,0.907719,495.95,613.17,0.648041 
35,1.8,35,20707.4,0,5,101,125,0,5,135,-6.65338,-5.51429,-5.4026,-4.51962,-6.95412,-115.982,10.8961,27277.2,1.51098,16439.4,-6.20525,-5.06615,-4.50634,-4.07149,-6.50599,0.829015,17.6741,27785.6,8.289,0.639882,0.000363348,0.999838,27.6209,485.874,582.176,0.629423,36339.8,8.79851e-07,0.604477,109.406,84.8832,23.9343,25.9623,0.921885,520.723,624.166,0.647954 
36,0.2,36,16049.9,0,5,101,125,0,5,135,-9.18364,-4.2148,-10.9401,-9.56193,-8.20803,67.1245,18.5036,23045.8,-20.2154,16439.4,-9.443,-4.47415,-11.4589,-9.82129,-8.46739,0.737571,14.5808,22751.6,-24.1382,-1.01361,0.000366078,1.00058,-14.385,416.833,491.021,0.546113,30230.2,8.27489e-07,0.546726,109.507,85.9883,22.4933,24.1896,0.929875,459.908,541.837,0.603264 
37,0.8,37,17493.7,0,5,101,125,0,5,135,-2.41844,-5.10779,-8.75454,-5.0827,-5.06827,-38.6829,2.10482,23961.4,7.19299,16439.4,-2.26898,-4.95833,-8.45561,-4.93323,-4.9188,0.668861,4.36545,24131,9.45362,0.277881,0.000103365,0.999787,15.7098,435.37,537.582,0.672161,31543.2,8.393e-07,0.576414,109.472,85.3586,22.5308,24.801,0.908465,461.446,569.575,0.610828 
38,0.01,38,18581.5,0,5,101,125,0,5,135,-4.57978,-4.20639,-9.62881,-6.58487,-8.89574,-4.94713,-7.3996,25187.4,0.121709,16439.4,-4.56066,-4.18728,-9.59058,-6.56576,-8.87662,0.716095,-7.11049,25209.1,0.410819,1.0745,-0.000161204,0.999991,-6.61751,413.692,491.248,0.525087,33334.1,8.54892e-07,0.527325,109.613,85.7119,22.5268,24.3203,0.926255,461.281,547.711,0.58796 
39,2,39,18922.4,0,5,101,125,0,5,135,-3.77547,0.769364,-7.9024,-10.465,-5.5712,34.2265,15.0072,25208.2,1.12809,16439.4,-3.90771,0.63712,-8.16689,-10.5972,-5.70344,0.705572,13.007,25058.2,-0.872105,1.0875,0.000296524,1.00002,11.9604,453.406,544.463,333.54,30872.9,8.33312e-07,0.596239,109.388,84.6735,23.938,25.9332,0.923066,520.885,622.763,0.683478 
40,1,40,18003.4,0,5,101,125,0,5,135,-5.83993,-9.54673,-13.9183,-8.26923,-4.20462,22.434,0.00343306,25428.3,-16.5569,16439.4,-5.92661,-9.63341,-14.0916,-8.35591,-4.2913,0.666855,-1.30761,25329.9,-17.868,0.0574793,-2.94997e-05,1.00038,-22.7492,430.515,522.39,0.512263,33916.9,8.59846e-07,0.551533,109.298,85.6785,23.0712,25.1848,0.916079,483.846,587.337,0.619978 
41,0.4,41,19427.4,0,5,101,125,0,5,135,-1.14031,-3.69292,-11.0651,-5.90521,-10.8083,-3.43306,6.98549,26058.8,6.85348,16439.4,-1.12704,-3.67965,-11.0386,-5.89195,-10.7951,0.660689,7.18612,26073.8,7.05411,0.459146,0.000157465,0.999853,15.651,452.498,541.136,0.766126,35078.3,8.6955e-07,0.569071,109.526,85.418,22.7674,24.6717,0.922815,471.186,563.65,0.592661 
42,0.6,42,17394.2,0,5,101,125,0,5,135,-9.02952,-0.637151,-10.8321,-1.18375,-8.94561,-77.8531,-21.1979,23796,1.3042,16439.4,-8.72871,-0.336342,-10.2305,-0.882939,-8.6448,0.645062,-16.6481,24137.2,5.85393,1.72996,-0.000394286,0.999868,-9.62342,440.958,522.482,0.629648,31317.7,8.37295e-07,0.573266,109.561,85.5694,22.7985,24.5905,0.927128,472.474,559.945,0.614304 
43,1.4,43,18983.4,0,5,101,125,0,5,135,-4.79159,-0.810722,-4.0244,-7.56222,-5.43923,-31.6067,7.91966,25033.6,-9.99682,16439.4,-4.66947,-0.6886,-3.78016,-7.4401,-5.3171,0.827354,9.76676,25172.2,-8.14972,-756.397,0.000221664,1.00018,-0.0129122,453.354,548.181,0.536394,33174.9,8.53529e-07,0.584067,109.66,85.1838,23.5329,25.6376,0.917905,503.403,608.65,0.64852 
