cyc,wiggle time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
33,180,20,33,5388.12,0,5,101,125,0,5,135,-13.0589,-12.1808,-22.7646,-2.4089,-14.8108,370.473,-74.7212,22672.8,-82.6724,16439.4,-14.4904,-13.6122,-25.6274,-3.84033,-16.2423,0.652804,-96.3717,21049,-104.323,0.434971,-0.00262312,1.0027,-221.559,412.6,491.212,0.451451,31847.9,8.41994e-07,0.534675,109.511,87.5934,22.9236,24.8833,0.921241,481.115,574.366,0.624324 
34,40,20,34,6137.92,0,5,101,125,0,5,135,-16.775,-14.3655,-31.0145,-13.9909,-18.5552,377.361,-60.8858,23211.4,-51.4901,16439.4,-18.233,-15.8236,-33.9306,-15.449,-20.0133,0.672008,-82.9388,21557.4,-73.5431,0.484482,-0.00220333,1.00186,-171.19,432.632,509.252,0.407725,32695.9,8.49401e-07,0.552602,110.665,86.8728,23.9678,25.8257,0.928061,525.947,618.694,0.671577 
35,20,20,35,6561.52,0,5,101,125,0,5,135,-13.4494,-14.813,-12.0759,-7.01774,-16.6011,452.023,-71.9938,24472.5,-61.0956,16439.4,-15.196,-16.5596,-15.5689,-8.76426,-18.3477,0.790842,-98.4101,22491.3,-87.5118,0.483768,-0.00250653,1.00212,-203.424,411.392,469.712,0.307193,34268.6,8.62808e-07,0.509483,110.164,87.3703,25.1485,26.6668,0.943064,579.04,659.65,0.716303 
36,0.01,20,36,4929.34,0,5,101,125,0,5,135,-9.08541,-12.736,-27.2476,-16.1315,-13.8789,384.563,-96.4462,22001.4,-37.7586,16439.4,-10.5713,-14.2219,-30.2194,-17.6173,-15.3648,0.656577,-118.92,20315.8,-60.2324,0.62197,-0.00335612,1.00161,-191.199,440.714,451.961,0.283036,31320.7,8.37321e-07,0.533012,109.912,87.7376,26.7302,26.8391,0.995945,654.169,668.2,0.789599 
37,140,20,37,6054.48,0,5,101,125,0,5,135,-15.0946,-10.1422,-33.1363,-14.6044,-13.7484,361.378,-87.9713,23241.9,-59.4182,16439.4,-16.4909,-11.5385,-35.9289,-16.0007,-15.1447,0.622213,-109.09,21658,-80.5372,0.530247,-0.00288656,1.00202,-205.735,444.035,521.238,0.473424,32621,8.48752e-07,0.566821,110.017,87.39,23.6137,25.415,0.929125,510.519,599.171,0.651629 
38,100,20,38,6113.34,0,5,101,125,0,5,135,-13.2601,-13.5261,-20.9414,-8.61788,-11.2118,470.781,-69.0083,24224.5,-64.2272,16439.4,-15.0792,-15.3451,-24.5794,-10.4369,-13.0309,0.686773,-96.5207,22161,-91.7397,0.467168,-0.00249503,1.00225,-206.608,446.978,517.494,0.502502,34130.7,8.61649e-07,0.558168,109.965,87.4932,23.4795,25.1109,0.93503,504.732,584.921,0.630592 
39,160,20,39,4169.65,0,5,101,125,0,5,135,-16.0793,-12.7611,-18.7878,-5.11294,-8.67819,453.425,-67.7347,21449,-33.7123,16439.4,-17.8313,-14.5131,-22.2917,-6.86489,-10.4301,0.690096,-94.2329,19461.6,-60.2105,0.566013,-0.00277453,1.00168,-166.486,441.947,519.397,0.492721,30536.1,8.30271e-07,0.577053,110.389,87.2865,23.4075,25.2395,0.927417,501.643,590.924,0.655758 
40,200,20,40,4854.28,0,5,101,125,0,5,135,-8.83067,-12.7465,-24.4775,-8.46807,-8.43931,417.53,-68.2138,22018.3,-76.4593,16439.4,-10.4439,-14.3598,-27.704,-10.0813,-10.0526,0.61862,-92.6142,20188.3,-100.86,0.433494,-0.00262833,1.00272,-213.646,402.238,480.542,0.444029,30963.4,8.34125e-07,0.527079,110.37,87.5225,22.7177,24.6859,0.920269,472.512,565.289,0.619598 
41,60,20,41,3865,0,5,101,125,0,5,135,-14.4671,-13.6477,-22.498,-10.5085,-12.6123,409.988,-100.78,21310.2,-60.4402,16439.4,-16.0512,-15.2318,-25.6662,-12.0926,-14.1965,0.691654,-124.74,19513.3,-84.3999,0.551899,-0.0036663,1.00235,-226.02,393.428,481.801,0.407493,30372.9,8.28789e-07,0.525318,110.336,87.7871,22.8524,25.1278,0.909447,478.132,585.707,0.638513 
42,120,20,42,2452.91,0,5,101,125,0,5,135,-10.8788,-8.97647,-25.7177,-13.5015,-15.4359,386.406,-81.5212,19901.8,-42.1021,16439.4,-12.3718,-10.4695,-28.7037,-14.9945,-16.9289,0.656113,-104.103,18208.1,-64.6837,0.572865,-0.00327778,1.00193,-181.723,463.183,559.388,0.63242,29079.9,8.16857e-07,0.623142,110.382,87.628,23.2599,25.4097,0.915395,495.338,598.924,0.666792 
