cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
13,50,13,16891.3,0,5,101,125,0,5,135,-4.80272,-4.37838,-6.05561,-8.08977,-8.2828,-101.411,15.7134,23940.9,-4.09484,16439.4,-4.41089,-3.98655,-5.27194,-7.69793,-7.89096,0.819814,21.6399,24385.4,1.83165,0.907795,0.000506835,0.999959,23.8379,550.539,618.003,0.562319,31969.7,8.43065e-07,0.691876,108.804,84.8083,25.7966,27.0659,0.953104,604.909,678.354,0.759822 
14,60,14,19544.2,0,5,101,125,0,5,135,-6.04639,-7.24421,-4.78872,-4.96316,-7.58389,-52.7961,26.3914,26464.6,4.73994,16439.4,-5.8424,-7.04022,-4.38073,-4.75917,-7.3799,0.851008,29.4768,26696,7.82534,0.758398,0.000630553,0.999841,38.8672,571.192,670.086,0.756412,35131.9,8.69993e-07,0.711116,108.661,85.0076,25.6145,27.4856,0.931925,596.401,699.557,0.742447 
15,70,15,20324.5,0,5,101,125,0,5,135,-4.65171,-3.99554,-16.9588,-4.17421,-5.79341,-127.754,17.8153,27648,-16.0381,16439.4,-4.15809,-3.50192,-15.9716,-3.6806,-5.2998,0.510254,25.2812,28207.9,-8.57212,1.68601,0.000511879,1.00016,14.9947,603.804,680.422,0.833329,36979.8,8.84987e-07,0.72427,108.959,84.9511,26.2026,27.5565,0.950869,624.102,703.17,0.748551 
16,80,16,19192,0,5,101,125,0,5,135,-6.26033,-0.987003,-9.48536,-3.13281,-7.89654,-169.589,18.9185,26287.8,6.38467,16439.4,-5.60507,-0.331744,-8.17484,-2.47756,-7.24128,0.656959,28.8293,27031.1,16.2955,0.595845,0.000609069,0.999673,48.3838,589.137,674.394,0.881973,35086.9,8.69621e-07,0.724828,109.002,85.122,25.8183,27.3661,0.943441,605.926,693.485,0.745415 
17,90,17,18919.6,0,5,101,125,0,5,135,-2.01011,-3.62016,-13.0883,-6.49223,-6.16714,-134.136,24.0906,26024.7,6.04318,16439.4,-1.49184,-3.10188,-12.0518,-5.97396,-5.64886,0.573665,31.9295,26612.6,13.8821,0.657148,0.000685126,0.999717,48.588,603.321,720.784,2.52267,35059.5,8.69395e-07,0.758507,108.664,83.9979,25.779,27.917,0.923415,604.082,721.687,0.759461 
18,100,18,17987.5,0,5,101,125,0,5,135,-2.16312,-6.46903,-10.267,-9.44857,-6.04445,-124.232,15.0595,25431.8,-11.7459,16439.4,-1.68311,-5.98902,-9.30696,-8.96856,-5.56444,0.704654,22.3197,25976.3,-4.48572,1.31782,0.000490749,1.00009,16.9368,599.655,696.396,0.753577,34360.3,8.63576e-07,0.748304,108.612,84.0001,26.2578,28.0245,0.936959,626.734,727.258,0.781781 
19,20,19,20555.5,0,5,101,125,0,5,135,-5.61578,-3.67956,-12.6271,-2.84254,-9.10053,-180.127,19.2135,27849.1,-8.76608,16439.4,-4.91981,-2.98359,-11.2352,-2.14656,-8.40455,0.62158,29.7402,28638.6,1.76055,0.933674,0.000593056,0.999967,31.8528,497.588,577.353,0.821183,36737.5,8.83049e-07,0.606975,109.299,85.8601,23.793,25.3916,0.937043,514.592,597.023,0.627685 
20,30,20,19860.2,0,5,101,125,0,5,135,-4.96471,0.87226,-6.88674,-10.8093,-4.65355,-153.958,9.28357,27260.3,-21.4477,16439.4,-4.36985,1.46712,-5.69702,-10.2144,-4.05869,0.750927,18.2808,27935.1,-12.4505,5.47283,0.000373805,1.00024,3.34029,525.099,604.113,0.638688,35961.3,8.76786e-07,0.642372,109.055,85.1216,24.8601,26.4106,0.941291,561.786,645.906,0.687031 
21,40,21,19880.1,0,5,101,125,0,5,135,-6.47049,-4.35311,-4.51417,-3.56678,-9.74824,-129.829,13.319,27282.9,-16.5269,16439.4,-5.96886,-3.85148,-3.5109,-3.06515,-9.24661,0.863085,20.9062,27852,-8.93968,2.05394,0.00042874,1.00017,10.1786,551.647,628.807,0.686225,36154.9,8.78357e-07,0.670531,109.187,85.0178,25.3358,26.7906,0.945696,583.491,664.626,0.708982 
22,50,22,19874.2,0,5,101,125,0,5,135,0.805243,-8.31634,-12.7808,-4.08432,-6.1334,-98.5805,22.625,26958.9,-9.4473,16439.4,1.18614,-7.93544,-12.019,-3.70343,-5.7525,0.57416,28.386,27391,-3.68626,1.1846,0.000591836,1.00007,23.9625,588.46,674.236,365.11,35776.2,8.75279e-07,0.719644,108.965,84.9707,25.4802,27.0155,0.943168,590.161,675.833,0.721536 
