cyc,wiggle time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,45,10,0,7015.79,0,5,101,125,0,5,135,-8.19275,-11.2091,-11.3536,-12.013,-9.31259,210.858,-5.59219,16541.9,67.2438,16439.4,-9.00746,-12.0238,-12.9831,-12.8277,-10.1273,0.772104,-17.9147,15617.7,54.9213,-0.373295,-0.000655903,0.998095,47.9908,1698.58,1873.8,2.22619e+10,34830,1.16555e-06,1.53064,115.294,85.3332,43.0724,44.9441,0.958356,1698.57,1873.77,1.53062 
1,0.01,10,1,10439.8,0,5,101,125,0,5,135,-3.31696,-0.956502,-21.4906,-7.62038,-11.9625,242.623,16.0206,19435.5,60.1717,16439.4,-4.2544,-1.89395,-23.3655,-8.55783,-12.8999,0.541598,1.84173,18372.1,45.9928,0.0322923,5.72801e-05,0.998643,57.0331,1327.2,1505.37,0.495086,35172.3,1.16936e-06,1.20877,114.438,84.8676,41.2432,43.656,0.944733,1557.36,1767.9,1.41898 
2,60,10,2,6949.26,0,5,101,125,0,5,135,-6.35967,-5.42256,-18.6107,-11.6618,-6.84415,273.826,19.8456,16542.7,38.8169,16439.4,-7.41768,-6.48057,-20.7267,-12.7198,-7.90216,0.624835,3.84321,15342.5,22.8145,0.123099,0.000143119,0.999193,31.2206,1168.65,1313.62,0.371017,29672.7,1.10493e-06,1.12136,115.066,85.2106,41.3861,43.6292,0.948588,1568.17,1765.74,1.506 
3,105,10,3,5207.01,0,5,101,125,0,5,135,-4.08925,-3.09934,-15.7391,-12.4698,-11.7371,199.061,6.70975,14761.1,45.341,16439.4,-4.85838,-3.86848,-17.2773,-13.2389,-12.5062,0.666134,-4.92338,13888.6,33.7078,-0.138585,-0.000202607,0.998684,35.526,1620.67,1769.11,1.00026e+09,30219,1.11167e-06,1.52318,115.02,86.0612,42.0638,43.662,0.963396,1619.95,1768.39,1.52253 
4,75,10,4,6359.29,0,5,101,125,0,5,135,-8.28728,-6.15734,-15.1463,-11.0366,-10.2617,213.273,25.9842,15788.5,34.7363,16439.4,-9.11132,-6.98139,-16.7944,-11.8606,-11.0857,0.699205,13.5205,14853.8,22.2726,0.335934,0.000519869,0.999187,40.2476,1224.57,1426.76,0.426947,28829.1,1.09435e-06,1.20784,114.457,84.699,40.867,43.8683,0.931583,1529.08,1785.15,1.50971 
5,90,10,5,5483.68,0,5,101,125,0,5,135,-9.00305,-5.85461,-17.1138,-13.9394,-10.7865,218.706,14.029,14375.3,47.1077,16439.4,-9.84809,-6.69965,-18.8039,-14.7844,-11.6316,0.69557,1.24787,13416.7,34.3265,0.0294034,5.31449e-05,0.998613,42.4396,1186.19,1364.09,0.373656,26799.5,1.06805e-06,1.19099,114.656,85.4636,41.7243,44.4914,0.937805,1593.91,1836.22,1.60178 
6,30,10,6,8447.45,0,5,101,125,0,5,135,-6.72283,-6.55723,-13.3696,-3.73639,-4.83447,269.613,32.4633,17404.8,52.4083,16439.4,-7.76456,-7.59896,-15.4531,-4.77812,-5.8762,0.627375,16.7071,16223.1,36.6521,0.275287,0.000588131,0.998775,60.6897,1359.79,1520.1,0.50567,32552.1,1.13957e-06,1.26163,114.441,85.2169,41.6321,43.738,0.951852,1586.87,1774.55,1.47256 
7,15,10,7,7833.76,0,5,101,125,0,5,135,-7.12258,-7.56467,-24.961,-9.28119,-14.7056,285.187,14.7855,17512.2,38.7507,16439.4,-8.22448,-8.66657,-27.1648,-10.3831,-15.8075,0.613293,-1.8809,16262.2,22.0843,-0.0763961,-6.60961e-05,0.999263,24.6203,1210.98,1360.48,0.386267,31654.2,1.12899e-06,1.1369,115.449,84.5237,41.7077,43.9673,0.948607,1592.64,1793.21,1.49686 
8,45,10,8,6570.86,0,5,101,125,0,5,135,-11.5173,-7.34027,-22.3759,-14.5574,-19.1937,243.199,19.4206,16669,51.3951,16439.4,-12.457,-8.27995,-24.2553,-15.497,-20.1334,0.69915,5.20801,15603.1,37.1825,0.104522,0.000190696,0.998708,49.827,1342.71,1498.86,0.438082,32311.4,1.13675e-06,1.24797,116.084,86.6655,42.6626,44.807,0.952141,1666.4,1862.36,1.54973 
9,0.01,10,9,10339.3,0,5,101,125,0,5,135,-8.17787,-8.59783,-17.5973,-15.9526,-13.2346,255.138,4.79311,19890.1,35.0311,16439.4,-9.16367,-9.58364,-19.5689,-16.9384,-14.2204,0.718332,-10.1171,18771.8,20.1208,-0.721217,-0.000308069,0.999418,14.0279,1228.56,1385.32,0.453604,34870.9,1.16601e-06,1.11885,114.092,85.0546,40.3307,42.5477,0.947895,1489.21,1679.28,1.35624 
